id,ac_id_09,booth_id_14,electors_14,missing_percent_14,age_avg_14,age_stddev_14,age_muslim_avg_14,age_muslim_stddev_14,women_percent_14,women_muslim_percent_14,muslim_percent_14,buddhist_percent_14,age_buddhist_avg_14,age_buddhist_stddev_14,women_buddhist_percent_14,hindu_percent_14,age_hindu_avg_14,age_hindu_stddev_14,women_hindu_percent_14,jain_percent_14,age_jain_avg_14,age_jain_stddev_14,women_jain_percent_14,parsi_percent_14,age_parsi_avg_14,age_parsi_stddev_14,women_parsi_percent_14,sikh_percent_14,age_sikh_avg_14,age_sikh_stddev_14,women_sikh_percent_14,christian_percent_14,age_christian_avg_14,age_christian_stddev_14,women_christian_percent_14
18,1,18,1029,7.09,0.0,0.0,0.0,0.0,0.0,0.0,67.99,0.0,0.0,0.0,0.0,23.53,0.0,0.0,0.0,3.03,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0
19,1,19,1040,9.42,0.0,0.0,0.0,0.0,0.0,0.0,40.02,0.0,0.0,0.0,0.0,55.41,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0
20,1,20,1212,5.61,0.0,0.0,0.0,0.0,0.0,0.0,68.7,0.0,0.0,0.0,0.0,26.22,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0
21,1,21,1041,5.57,0.0,0.0,0.0,0.0,0.0,0.0,62.76,0.0,0.0,0.0,0.0,32.24,0.0,0.0,0.0,2.44,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.0,0.0,0.0
22,1,22,882,7.14,0.0,0.0,0.0,0.0,0.0,0.0,61.9,0.0,0.0,0.0,0.0,33.45,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,0.0,0.0,0.0
23,1,23,719,6.11,0.0,0.0,0.0,0.0,0.0,0.0,55.85,0.0,0.0,0.0,0.0,36.44,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,0.0,0.0,0.0
24,1,24,990,6.46,0.0,0.0,0.0,0.0,0.0,0.0,46.97,0.0,0.0,0.0,0.0,48.48,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.0,0.0
25,1,25,930,8.17,0.0,0.0,0.0,0.0,0.0,0.0,21.77,0.0,0.0,0.0,0.0,71.07,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73,0.0,0.0,0.0
26,1,26,900,7.88,0.0,0.0,0.0,0.0,0.0,0.0,53.92,0.0,0.0,0.0,0.0,37.39,0.0,0.0,0.0,2.53,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0
27,1,27,1470,5.17,0.0,0.0,0.0,0.0,0.0,0.0,72.95,0.0,0.0,0.0,0.0,21.59,0.0,0.0,0.0,2.29,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,0.0
