Serial No. of Polling Station,Number of Valid Votes Cast in Favour of,,,,,,,,,,,,,,Total of valid votes,No. of Rejected Votes,NOTA,Total,Total No. of tendered votes
,Parmar Maganbhai Amrabhai,Rathod Bhavsinhbhai Dahyabhai,Liladharbhai Khodaji Vaghela,Govindji Okhaji Thakor,Jakasiji Jogaji Thakor,Parmar Bhaichandbhai Somabhai,Babubhai Karshanbhai Rabari,Imrankhan Mahmadkhan Nagori,Chhaganbhai Naranbhai Prajapati,Jagrala Imran Mahemud,Desai Ishwarbhai Mahadevbhai,Bhoraniya Soyabbhai Hasambhai,Molapiya Abdulkudus AbdulMajid,Vaghda Jivabhai Devabhai,,,,,
1,3,164,136,6,1,0,23,4,4,5,0,0,0,8,354,0,6,360,0
2,6,168,372,2,1,0,1,0,2,1,2,1,2,5,563,0,10,573,0
3,6,306,280,8,0,0,2,1,7,0,2,3,9,13,637,0,14,651,0
4,14,381,193,4,1,1,3,4,1,2,2,3,9,10,628,0,11,639,0
5,0,170,425,3,0,0,2,0,1,0,0,1,5,0,607,0,1,608,0
6,6,167,667,14,6,0,0,0,4,4,0,0,2,4,874,0,3,877,0
7,7,147,496,7,1,1,2,1,5,0,2,4,8,5,686,0,5,691,0
8,1,94,308,4,2,0,36,0,3,0,3,2,1,1,455,0,2,457,0
9,2,97,265,2,0,0,0,1,0,1,0,0,2,0,370,0,4,374,0
10,15,414,114,5,0,1,2,1,0,5,5,1,14,9,586,0,5,591,0
11,2,332,172,2,0,0,0,2,0,2,3,0,5,3,523,0,5,528,0
12,12,375,265,2,3,1,3,4,0,2,2,3,12,9,693,0,15,708,0
13,8,139,347,12,0,0,0,0,1,4,1,4,5,5,526,0,11,537,0
14,10,262,231,10,2,1,0,3,1,3,0,3,2,7,535,0,5,540,0
15,5,198,158,0,0,2,1,1,1,1,0,1,0,3,371,0,3,374,0
16,2,167,320,13,5,1,0,1,0,1,3,0,5,3,521,0,9,530,0
17,7,101,171,1,0,1,2,0,2,0,0,1,1,2,289,0,7,296,0
18,4,151,310,10,0,0,0,1,0,0,1,1,2,0,480,0,5,485,0
19,3,140,84,2,1,0,0,3,1,1,0,0,2,0,237,0,3,240,0
20,13,250,83,4,0,0,2,0,0,0,0,1,1,2,356,0,1,357,0
21,10,145,136,2,4,0,6,1,1,1,3,1,6,5,321,0,6,327,0
22,14,364,121,2,0,0,2,0,6,2,0,0,0,5,516,0,1,517,0
23,4,370,66,1,0,0,1,0,0,1,0,0,1,2,446,0,10,456,0
24,10,553,120,2,1,1,1,0,5,1,1,2,3,6,706,0,7,713,0
25,7,269,245,4,11,2,2,1,3,3,1,5,3,1,557,0,9,566,0
26,4,324,137,8,2,0,1,1,0,0,2,1,0,3,483,0,7,490,0
27,8,130,190,6,2,1,0,2,1,0,0,1,1,5,347,0,14,361,0
28,11,286,51,3,3,0,2,0,0,0,2,3,1,1,363,0,4,367,0
29,5,156,165,7,0,1,0,1,0,0,3,6,3,5,352,0,13,365,0
30,14,206,217,1,0,1,3,3,1,2,1,2,1,1,453,0,0,453,0
31,4,117,436,3,1,0,0,2,1,2,1,3,6,3,579,0,8,587,0
32,8,219,451,4,1,2,0,1,1,1,1,4,4,6,703,0,4,707,0
33,5,212,256,5,1,0,0,1,1,1,3,2,2,3,492,0,4,496,0
34,11,412,184,3,0,0,0,2,0,1,0,1,4,3,621,0,8,629,0
35,3,262,466,6,0,0,1,2,2,1,4,1,6,3,757,0,4,761,0
36,19,405,306,5,0,0,0,3,2,3,2,6,4,10,765,0,9,774,0
37,9,338,368,4,0,2,1,0,1,1,2,7,5,3,741,0,5,746,0
38,2,258,473,7,2,0,3,0,1,3,2,3,11,9,774,0,10,784,0
39,12,226,293,5,7,0,0,2,1,1,0,4,5,4,560,0,2,562,0
40,4,360,328,6,1,0,1,1,1,3,2,3,5,7,722,0,8,730,0
41,11,277,379,4,1,1,2,1,5,4,1,0,3,6,695,0,5,700,0
42,8,303,184,2,1,0,0,0,1,0,0,1,2,3,505,0,1,506,0
43,6,204,28,2,6,1,0,1,0,1,0,1,0,1,251,0,5,256,0
44,2,175,342,2,0,0,2,1,2,0,2,6,3,4,541,0,16,557,0
45,13,507,151,6,1,0,1,0,2,3,0,2,3,15,704,0,13,717,0
46,9,350,116,1,0,1,0,3,0,2,2,1,5,3,493,0,7,500,0
47,6,371,278,2,0,2,0,1,0,2,1,0,2,3,668,0,9,677,0
48,2,56,136,2,0,0,0,1,1,1,0,0,0,1,200,0,0,200,0
49,6,223,71,2,0,0,0,0,0,0,0,0,2,2,306,0,2,308,0
50,4,94,502,9,1,0,0,1,3,1,5,2,4,4,630,0,15,645,0
51,11,468,78,3,4,1,0,0,0,1,2,1,3,7,579,0,11,590,0
52,12,151,451,8,2,0,1,0,3,2,2,1,5,11,649,0,8,657,0
53,2,138,184,6,1,0,0,0,2,1,0,4,4,8,350,0,10,360,0
54,5,174,157,5,1,1,1,0,0,2,0,3,3,2,354,0,8,362,0
55,2,122,116,0,2,1,1,1,1,1,0,1,2,2,252,0,3,255,0
56,2,138,40,0,0,0,1,0,0,0,0,0,1,2,184,0,3,187,0
57,5,243,151,0,0,1,1,0,1,2,0,0,3,1,408,0,5,413,0
58,9,224,232,2,3,2,3,0,3,4,1,0,0,3,486,0,11,497,0
59,7,199,392,4,3,0,0,1,3,0,3,0,2,3,617,0,7,624,0
60,15,242,119,0,2,2,1,0,3,0,0,0,3,5,392,0,9,401,0
61,1,39,327,1,0,0,0,0,2,0,1,0,2,4,377,0,4,381,0
62,10,290,160,2,0,0,1,1,2,2,1,0,3,6,478,0,11,489,0
63,16,397,86,2,0,1,1,1,0,0,1,0,1,3,509,0,2,511,0
64,5,195,27,0,0,0,0,0,0,0,2,2,1,1,233,0,3,236,0
65,8,270,281,3,1,1,0,2,2,2,0,2,9,6,587,0,5,592,0
66,9,320,346,5,0,0,0,2,4,3,1,2,5,5,702,0,8,710,0
67,7,331,215,3,0,1,1,3,1,5,0,1,8,14,590,0,7,597,0
68,4,101,287,2,1,0,1,0,1,1,0,2,4,2,406,0,1,407,0
69,5,311,146,2,0,0,3,0,2,1,0,0,0,2,472,0,2,474,0
70,12,205,269,6,0,0,0,0,2,0,0,2,3,1,500,0,0,500,0
71,5,165,135,2,1,1,2,0,1,2,1,0,0,7,322,0,4,326,0
72,9,223,291,2,1,0,2,1,0,2,3,1,1,1,537,0,10,547,0
73,6,459,209,6,2,1,1,3,1,0,1,3,2,5,699,0,10,709,0
74,2,290,432,9,1,0,2,1,1,2,1,3,5,11,760,0,10,770,0
75,3,99,366,3,1,0,0,0,0,0,0,0,1,1,474,0,12,486,0
76,1,208,619,3,0,2,0,1,0,1,1,0,0,2,838,0,17,855,0
77,3,91,673,2,0,0,0,0,0,0,0,0,0,2,771,0,20,791,0
78,3,268,506,1,4,1,1,2,0,0,1,0,3,3,793,0,9,802,0
79,10,233,527,5,1,0,3,1,3,0,3,2,4,1,793,0,11,804,0
80,3,180,549,2,3,0,0,0,3,1,2,1,0,0,744,0,10,754,0
81,4,137,642,4,0,1,0,1,0,0,0,1,1,0,791,0,16,807,0
82,6,261,511,1,0,0,2,0,1,5,1,0,4,2,794,0,14,808,0
83,6,464,330,8,7,1,1,2,1,1,1,1,0,2,825,0,16,841,0
84,1,97,589,1,0,0,0,1,0,0,2,0,1,0,692,0,23,715,0
85,1,189,551,12,11,2,1,0,0,0,0,1,0,1,769,0,15,784,0
86,4,191,365,1,5,0,2,0,0,0,0,0,3,0,571,0,8,579,0
87,2,452,336,6,15,1,0,0,0,0,0,4,16,20,852,0,6,858,0
88,8,505,79,2,141,1,1,2,0,1,0,0,2,2,744,0,16,760,0
89,3,175,552,4,1,0,0,0,2,1,0,0,1,2,741,0,16,757,0
90,2,269,486,3,1,2,1,0,1,2,1,3,2,2,775,0,22,797,0
91,2,162,644,4,0,0,0,0,0,2,0,2,1,3,820,0,7,827,0
92,1,115,679,4,0,0,1,0,0,1,2,0,3,2,808,0,11,819,0
93,4,319,527,2,1,0,1,2,1,2,3,3,2,7,874,0,11,885,0
94,11,454,422,6,0,1,1,4,0,2,1,2,2,11,917,0,17,934,0
95,5,157,324,6,7,0,2,0,0,0,0,2,3,1,507,0,9,516,0
96,6,196,494,2,0,0,0,1,0,0,0,4,6,4,713,0,8,721,0
97,3,386,306,0,0,0,1,0,1,1,1,2,8,12,721,0,12,733,0
98,1,190,254,3,0,0,0,0,0,0,0,1,1,0,450,0,9,459,0
99,6,298,606,16,2,0,2,5,4,1,2,3,14,6,965,0,13,978,0
100,1,112,473,2,0,0,1,1,0,0,0,0,0,0,590,0,11,601,0
101,1,44,479,2,0,0,0,0,0,0,0,0,1,0,527,0,6,533,0
102,6,179,537,3,0,0,1,1,0,1,0,0,2,3,733,0,5,738,0
103,5,158,751,3,1,1,0,0,0,1,0,2,1,2,925,0,20,945,0
104,1,135,378,1,0,0,0,0,0,0,2,0,0,2,519,0,6,525,0
105,5,117,482,15,3,2,0,1,5,2,2,2,4,4,644,0,20,664,0
106,8,443,353,3,15,0,0,2,0,4,8,1,6,5,848,0,11,859,0
107,9,88,352,11,1,0,0,0,1,2,2,2,17,5,490,0,9,499,0
108,7,247,595,9,4,1,0,1,0,0,0,3,9,8,884,0,3,887,0
109,4,144,503,11,1,0,1,1,1,0,0,3,7,4,680,0,5,685,0
110,8,582,73,0,1,0,1,2,0,0,1,1,2,5,676,0,11,687,0
111,1,229,433,1,0,0,0,0,2,0,0,1,2,0,669,0,6,675,0
112,3,483,441,5,2,1,1,0,0,0,1,2,2,4,945,0,9,954,0
113,0,478,237,3,2,0,1,1,0,0,0,0,4,2,728,0,2,730,0
114,5,481,147,1,2,2,0,0,1,1,2,0,2,7,651,0,5,656,0
115,2,538,216,4,3,0,1,1,0,0,0,0,2,2,769,0,6,775,0
116,3,327,283,4,1,0,1,0,0,1,0,0,0,1,621,0,7,628,0
117,6,162,376,2,2,0,0,1,0,0,0,1,5,2,557,0,6,563,0
118,5,484,287,4,7,0,1,1,0,0,0,0,2,4,795,0,6,801,0
119,3,469,322,3,20,1,1,1,1,0,0,0,1,4,826,0,10,836,0
120,8,263,462,4,10,0,0,0,2,2,0,1,7,4,763,0,12,775,0
121,6,291,522,5,14,0,0,2,0,1,0,2,3,1,847,0,15,862,0
122,4,217,721,3,0,0,0,0,0,0,1,1,1,0,948,0,9,957,0
123,3,41,496,1,0,0,2,0,0,1,0,0,0,0,544,0,3,547,0
124,3,283,427,1,29,0,0,0,2,1,0,0,0,6,752,0,5,757,0
125,3,518,155,6,107,1,2,0,0,1,3,3,3,1,803,0,6,809,0
126,1,31,394,2,0,0,1,0,1,0,0,1,3,1,435,0,8,443,0
127,0,92,695,2,0,0,1,0,2,1,1,0,0,0,794,0,12,806,0
128,3,529,307,3,45,1,0,1,2,0,0,1,1,2,895,0,4,899,0
129,2,50,294,2,0,0,0,0,0,0,1,0,0,0,349,0,2,351,0
130,2,82,730,1,0,2,1,0,0,0,0,0,1,2,821,0,16,837,0
