Serial No. of Polling Station,,,,,,valid,No.of rejected votes,NOTA,Total,No of tendered votes
53,14,138,523,15,14,704,0,17,721,0
54,4,146,20,1,1,172,0,5,177,0
55,15,146,10,4,5,180,0,14,194,0
56,12,250,384,6,1,653,0,14,667,0
Total,155,3098,3454,140,127,6974,0,134,7108,1
57,14,530,90,7,4,645,0,17,662,0
58,8,369,112,6,2,497,0,12,509,0
59,4,350,198,4,0,556,0,6,562,0
60,23,288,262,8,2,583,0,12,595,0
61,17,581,25,2,1,626,0,12,638,0
62,1,88,44,3,0,136,0,0,136,0
63,12,440,153,7,19,631,0,8,639,0
64,10,314,292,16,10,642,0,9,651,0
65,1,511,14,0,0,526,0,5,531,0
66,10,452,14,0,3,479,0,3,482,0
67,1,62,159,5,21,248,0,4,252,0
68,6,39,219,5,3,272,0,5,277,0
69,10,274,57,6,27,374,0,17,391,0
70,4,53,111,4,54,226,0,2,228,0
Total,121,4351,1750,73,146,6441,0,112,6553,0
71,7,550,78,4,2,641,0,2,643,0
72,11,152,84,2,252,501,0,15,516,0
73,10,495,177,3,16,701,0,9,710,0
74,4,806,127,2,11,950,0,4,954,0
75,9,480,318,15,32,854,0,14,868,0
76,3,111,269,7,44,434,0,8,442,0
77,9,201,230,10,7,457,0,8,465,0
78,9,212,92,4,3,320,0,3,323,0
79,7,378,204,1,5,595,0,9,604,0
80,19,251,117,7,8,402,0,17,419,0
81,39,219,232,30,18,538,0,28,566,0
82,6,217,64,6,1,294,0,8,302,0
83,9,21,115,6,4,155,0,3,158,0
84,12,218,197,5,1,433,0,5,438,0
Total,154,4311,2304,102,404,7275,0,133,7408,0
85,7,271,81,7,4,370,0,7,377,0
86,17,299,219,11,5,551,0,9,560,0
87,37,130,205,16,7,395,0,18,413,0
88,4,155,6,0,0,165,0,1,166,0
89,12,389,29,2,5,437,0,10,447,0
90,3,247,151,6,7,414,0,8,422,0
91,8,120,165,9,6,308,0,20,328,0
92,4,436,116,8,4,568,0,5,573,0
93,24,447,151,11,15,648,0,27,675,0
94,10,407,118,5,2,542,0,6,548,0
95,10,191,377,6,5,589,0,5,594,0
96,5,122,145,2,4,278,0,7,285,0
97,6,152,83,5,7,253,0,14,267,0
98,11,319,208,6,5,549,0,8,557,0
Total,158,3685,2054,94,76,6067,0,145,6212,0
99,15,303,153,7,5,483,0,14,497,0
100,18,235,348,17,17,635,0,28,663,0
101,9,250,158,4,9,430,0,13,443,0
102,9,209,188,6,1,413,0,4,417,0
103,22,69,315,10,6,422,0,13,435,0
104,27,252,189,27,17,512,0,37,549,0
105,9,332,70,7,4,422,0,6,428,0
106,8,186,68,4,0,266,0,3,269,0
107,35,313,354,23,16,741,0,36,777,0
108,6,490,307,9,4,816,0,14,830,0
109,10,362,41,6,3,422,0,2,424,0
110,8,296,77,7,0,388,0,14,402,0
111,20,378,155,8,8,569,0,24,593,0
112,13,414,84,4,10,525,0,5,530,0
Total,209,4089,2507,139,100,7044,0,213,7257,0
113,7,383,59,5,2,456,0,3,459,0
114,5,462,40,14,2,523,0,6,529,0
115,13,440,49,6,4,512,0,4,516,0
116,20,559,73,13,8,673,0,12,685,0
117,9,335,32,11,0,387,0,2,389,0
118,3,306,33,4,2,348,0,0,348,0
119,4,750,99,15,1,869,0,3,872,0
120,9,473,74,3,6,565,0,3,568,0
121,11,224,171,6,4,416,0,7,423,0
122,24,173,32,4,23,256,0,4,260,0
123,40,179,136,19,36,410,0,52,462,0
124,14,469,137,3,3,626,0,1,627,0
125,4,218,147,3,1,373,0,7,380,0
126,26,575,254,9,4,868,0,14,882,0
Total,189,5546,1336,115,96,7282,0,118,7400,0
127,2,369,28,3,1,403,0,1,404,0
128,18,235,147,7,8,415,0,23,438,0
129,17,288,106,4,25,440,0,19,459,0
130,16,328,38,3,4,389,0,4,393,0
131,32,251,83,11,19,396,0,19,415,0
132,16,436,123,8,20,603,0,9,612,0
133,22,503,43,9,17,594,0,32,626,0
134,4,243,158,7,2,414,0,9,423,0
135,12,372,77,5,0,466,0,2,468,0
135,3,416,49,6,1,475,0,5,480,0
136,22,526,218,14,16,796,0,12,808,0
137,2,754,62,7,1,826,0,7,833,0
138,5,593,86,13,2,699,0,4,703,0
139,1,491,45,12,1,550,0,4,554,0
Total,172,5805,1263,109,117,7466,0,150,7616,0
140,2,450,51,13,2,518,0,1,519,0
141,7,540,100,17,3,667,0,4,671,0
142,11,473,257,16,29,786,0,9,795,0
143,19,897,92,11,8,1027,0,13,1040,0
144,17,239,305,15,6,582,0,15,597,0
145,12,340,234,16,3,605,0,7,612,0
146,4,556,75,2,1,638,0,5,643,0
147,37,679,105,13,8,842,0,14,856,0
148,19,534,111,11,4,679,0,10,689,0
149,3,473,128,8,1,613,0,3,616,0
150,3,541,52,9,1,606,0,1,607,0
151,29,430,157,17,4,637,0,13,650,0
152,3,401,34,5,0,443,0,16,459,0
153,4,584,115,9,0,712,0,23,735,0
Total,170,7137,1816,162,70,9355,0,134,9489,0
154,9,627,52,11,1,700,0,5,705,0
155,16,287,340,21,4,668,0,8,676,0
156,3,407,312,7,1,730,0,7,737,0
157,6,293,373,9,3,684,0,14,698,0
158,7,782,49,7,0,845,0,7,852,0
159,3,479,50,4,0,536,0,9,545,0
160,17,218,261,7,15,518,0,7,525,0
161,14,324,424,22,7,791,0,13,804,0
162,29,305,367,22,4,727,0,8,735,0
163,25,445,318,16,9,813,0,23,836,0
164,10,255,356,11,5,637,0,4,641,0
165,18,591,126,8,6,749,0,11,760,0
166,9,615,156,17,2,799,0,18,817,0
167,5,575,78,6,2,666,0,12,678,0
Total,171,6203,3262,168,59,9863,0,146,10009,0
168,7,693,107,12,5,824,0,11,835,0
169,7,486,151,6,2,652,0,11,663,0
170,10,576,99,7,3,695,0,6,701,0
171,4,365,22,6,1,398,0,9,407,0
172,2,464,57,1,1,525,0,11,536,0
173,7,519,108,7,3,644,0,5,649,0
174,3,648,107,15,1,774,0,21,795,0
175,8,340,253,11,1,613,0,8,621,0
176,1,672,90,11,4,778,0,22,800,0
177,1,306,60,3,1,371,0,6,377,0
178,10,593,208,24,2,837,0,14,851,0
179,9,372,143,15,0,539,0,8,547,0
180,4,107,120,7,1,239,0,1,240,0
181,9,547,71,11,3,641,0,19,660,0
Total,82,6688,1596,136,28,8530,0,152,8682,0
182,7,174,281,9,1,472,0,5,477,0
183,10,206,217,6,2,441,0,1,442,0
184,3,479,309,17,2,810,0,13,823,0
185,8,710,117,13,0,848,0,12,860,0
186,3,717,59,6,1,786,0,8,794,0
187,7,514,170,7,1,699,0,14,713,0
188,8,580,169,19,2,778,0,32,810,0
189,8,553,209,15,6,791,0,9,800,0
190,4,732,102,9,2,849,0,14,863,1
191,38,332,480,18,21,889,0,7,896,0
192,5,16,271,5,1,298,0,0,298,0
193,10,496,19,15,5,545,0,7,552,0
194,15,664,136,14,38,867,0,8,875,0
195,9,576,93,8,7,693,0,10,703,0
Total,135,6749,2632,161,89,9766,0,140,9906,1
196,9,208,368,13,66,664,0,4,668,0
197,18,109,332,16,38,513,0,10,523,0
198,16,614,184,6,30,850,0,8,858,0
199,12,238,129,7,54,440,0,6,446,0
200,6,404,28,4,4,446,0,7,453,0
201,4,334,53,2,2,395,0,5,400,0
202,3,252,129,5,12,401,0,6,407,0
203,4,78,236,5,6,329,0,4,333,0
204,26,607,175,12,23,843,0,14,857,0
205,3,269,60,2,9,343,0,6,349,0
206,8,90,49,6,3,156,0,6,162,0
207,21,296,543,19,15,894,0,10,904,0
208,6,374,117,3,5,505,0,13,518,0
209,13,196,167,8,1,385,0,3,388,0
Total,149,4069,2570,108,268,7164,0,102,7266,0
210,5,327,78,5,1,416,0,3,419,0
211,3,368,60,4,0,435,0,8,443,0
212,6,271,73,3,5,358,0,7,365,0
213,41,149,133,21,20,364,0,46,410,0
214,38,207,203,31,22,501,0,55,556,0
215,6,179,186,8,9,388,0,7,395,0
216,13,431,71,5,38,558,0,8,566,0
217,14,324,109,6,6,459,0,5,464,0
218,9,474,120,11,2,616,0,5,621,0
219,13,368,102,5,4,492,0,6,498,0
220,3,106,111,1,3,224,0,1,225,0
221,11,530,59,0,4,604,0,6,610,0
222,8,471,33,3,4,519,0,5,524,0
223,6,388,202,16,26,638,0,8,646,0
Total,176,4593,1540,119,144,6572,0,170,6742,0
224,6,204,306,17,9,542,0,7,549,0
225,1,49,123,12,3,188,0,0,188,0
226,5,46,198,8,3,260,0,10,270,0
227,8,261,229,5,80,583,0,4,587,0
228,14,421,144,3,77,659,0,15,674,0
229,5,432,84,4,11,536,0,6,542,0
230,1,423,20,3,1,448,0,1,449,0
231,7,315,110,8,26,466,0,8,474,0
232,10,467,54,8,9,548,0,13,561,0
233,10,426,157,15,16,624,0,5,629,0
