Serial No. of Polling Station,,,,,,valid,No.of rejected votes,NOTA,Total,No of tendered votes
,Kamalbhai Matang,Chavda Vinod Lakhamashi,Dr. Dinesh Parmar,Danicha Govindbhai Punamchand,Hirji Punjabhai Siju,,,,,
1,2,69,59,3,20,153,0,6,159,0
2,11,153,52,3,3,222,0,4,226,0
3,9,121,202,10,2,344,0,7,351,0
4,7,137,62,2,0,208,0,3,211,0
5,10,430,78,12,1,531,0,5,536,0
6,12,321,131,4,24,492,0,9,501,0
7,10,78,375,13,8,484,0,2,486,0
8,3,210,10,0,0,223,0,0,223,0
9,11,329,114,11,6,471,0,4,475,0
10,28,156,105,13,9,311,0,8,319,0
11,5,52,143,9,5,214,0,5,219,0
12,12,391,233,7,3,646,0,10,656,0
13,10,188,192,7,3,400,0,6,406,0
14,9,278,144,15,11,457,0,18,475,0
Total,139,2913,1900,109,95,5156,0,87,5243,0
15,4,84,212,6,3,309,0,4,313,0
16,19,267,119,7,3,415,0,12,427,0
17,2,190,40,0,4,236,0,1,237,0
18,8,99,201,3,4,315,0,1,316,0
19,7,276,249,6,7,545,0,5,550,0
20,9,620,81,3,4,717,0,13,730,0
21,7,258,118,4,5,392,0,8,400,0
22,9,338,93,7,3,450,0,1,451,0
23,5,233,60,6,4,308,0,4,312,0
24,13,531,141,9,5,699,0,6,705,0
25,10,251,224,6,2,493,0,7,500,0
26,10,321,196,20,3,550,0,5,555,0
27,9,244,102,8,1,364,0,4,368,0
28,11,242,267,11,8,539,0,16,555,0
Total,123,3954,2103,96,56,6332,0,87,6419,0
29,14,561,134,17,4,730,0,23,753,0
30,11,387,251,11,19,679,0,17,696,0
31,4,300,155,8,8,475,0,17,492,0
32,11,662,71,26,4,774,0,8,782,0
33,12,468,156,10,2,648,0,10,658,0
34,19,236,226,5,15,501,0,4,505,0
35,5,45,62,3,1,116,0,3,119,0
36,27,460,195,10,47,739,0,20,759,0
37,12,384,144,8,5,553,0,13,566,0
38,10,215,202,6,2,435,0,10,445,0
39,8,179,78,4,2,271,0,3,274,0
40,6,477,57,4,2,546,0,2,548,0
41,5,275,57,6,12,355,0,5,360,0
42,3,155,48,3,13,222,0,3,225,0
Total,147,4804,1836,121,136,7044,0,138,7182,0
43,2,248,118,7,5,380,0,5,385,0
44,11,402,357,8,4,782,0,7,789,0
45,23,401,308,19,7,758,0,11,769,0
46,21,385,162,9,10,587,0,14,601,0
47,9,201,74,1,0,285,0,3,288,0
48,15,87,459,24,8,593,0,13,606,0
49,5,192,259,15,14,485,0,6,491,0
50,1,15,234,8,2,260,0,4,264,0
51,9,319,135,14,23,500,0,11,511,0
52,14,168,411,9,33,635,0,10,645,1
