polling station,Giri  Ramchandra  Vaijnath,Chauhan  Prabhatsinh  Pratapsinh,Ramsinh  Parmar,Piyushkumar  Dilipbhai  Parmar ,Shaikh  Kalim  Abdul  Latif,Shaikh  Majitmiya  Jivamiya,Gora  Shoeb  Mohmadh anif,S.N.  Chavada  (Chavada  Vakil),Chavada  Harishchandr asinh  Prabhatsinh,Patel  Pankajbhai  Ravjibhai,Mansuri  Mukhatyar  Mohammad   (Panter  M.Lala),Vankar  Manilal  Bhanabhai,Total of  Valid  Votes ,No of  rejected  Votes ,Votes for  'NOTA'  Option,Total  Votes,No of  tender  Votes 
1,4,311,157,6,1,1,0,0,2,1,7,1,491,0,10,501,0
2,8,196,478,5,2,9,0,1,8,1,6,5,719,0,11,730,0
3,2,130,208,2,1,0,0,1,1,1,7,2,355,0,7,362,0
4,7,109,243,3,1,1,2,2,0,8,9,5,390,0,5,395,0
5,17,80,161,9,2,2,1,4,12,9,13,19,329,0,31,360,0
6,9,202,312,2,0,1,0,0,3,3,4,6,542,0,24,566,0
7,2,165,208,1,0,1,1,0,1,1,1,2,383,0,5,388,0
8,19,96,481,6,2,0,0,0,2,4,10,6,626,0,13,639,0
9,7,123,129,7,2,0,0,1,2,3,7,3,284,0,11,295,0
10,5,228,153,4,1,0,1,1,2,1,2,6,404,0,8,412,0
11,10,178,264,2,1,2,2,3,4,5,7,4,482,0,6,488,0
12,6,270,345,8,1,0,1,0,4,1,6,9,651,0,4,655,0
13,2,12,306,4,0,0,0,0,3,1,4,1,333,0,4,337,0
14,2,140,250,3,1,2,0,1,1,2,3,5,410,0,1,411,0
15,7,210,163,0,0,1,0,0,1,1,6,1,390,0,12,402,0
16,3,45,302,2,1,0,0,0,0,1,2,1,357,0,10,367,0
17,9,177,222,3,0,0,0,2,1,3,5,2,424,0,4,428,0
18,21,341,335,6,1,1,0,2,3,6,15,10,741,0,16,757,0
19,6,250,262,5,1,0,0,0,3,1,3,3,534,0,4,538,0
20,7,55,382,5,2,2,0,2,8,3,6,2,474,0,5,479,0
21,10,285,424,5,3,0,1,0,2,4,13,4,751,0,11,762,0
22,14,193,406,4,3,1,2,4,5,1,6,3,642,0,17,659,0
23,11,379,318,7,3,1,1,3,7,4,7,5,746,0,10,756,0
24,8,301,220,3,1,0,0,0,1,4,8,4,550,0,10,560,0
25,6,148,297,5,2,3,0,1,3,3,8,7,483,0,14,497,0
26,6,571,131,7,1,0,1,1,3,3,14,11,749,0,16,765,0
27,1,20,216,4,0,1,0,2,0,2,6,3,255,0,0,255,0
28,11,261,197,2,1,1,1,0,4,2,9,10,499,0,8,507,0
29,5,134,155,1,0,0,1,2,4,3,6,5,316,0,12,328,0
30,6,100,324,3,0,2,1,0,3,1,0,2,442,0,9,451,0
31,6,106,145,2,0,1,0,3,1,3,4,3,274,0,8,282,0
32,3,431,184,2,1,0,0,0,2,1,2,1,627,0,6,633,0
33,5,197,413,3,0,0,0,2,4,3,9,12,648,0,18,666,0
34,3,227,303,2,0,0,0,0,5,4,4,5,553,0,9,562,0
35,4,66,211,7,0,0,2,0,2,1,2,0,295,0,5,300,0
36,1,263,96,3,0,0,0,0,0,0,0,0,363,0,2,365,0
37,3,186,195,4,0,0,1,0,0,0,0,0,389,0,3,392,0
38,2,251,167,5,0,0,1,0,0,1,1,1,429,0,8,437,0
39,1,385,176,13,1,0,0,0,1,0,0,1,578,0,5,583,0
40,0,203,51,5,0,0,0,0,2,0,0,0,261,0,0,261,0
41,5,325,271,6,1,1,0,1,2,4,4,3,623,0,12,635,0
42,6,278,333,6,4,0,1,1,6,6,13,8,662,0,18,680,0
43,9,187,194,3,1,2,0,1,3,2,5,2,409,0,16,425,0
44,2,89,287,5,2,0,1,0,5,2,12,0,405,0,17,422,0
45,2,107,440,9,0,0,1,1,0,0,1,1,562,0,8,570,0
46,6,216,249,5,1,0,1,1,3,1,7,2,492,0,12,504,0
47,4,325,410,5,0,0,1,1,4,1,6,4,761,0,6,767,0
48,5,285,186,2,2,0,1,1,4,1,3,4,494,0,4,498,0
49,17,290,302,10,3,1,1,2,6,4,20,7,663,0,20,683,0
50,4,117,146,1,1,0,0,1,1,0,2,0,273,0,4,277,0
51,10,197,230,0,0,0,4,1,6,4,12,6,470,0,10,480,0
52,9,299,317,4,2,1,2,4,3,1,7,4,653,0,3,656,0
53,5,140,278,4,2,0,0,2,1,3,5,12,452,0,17,469,0
54,1,173,146,7,0,1,0,0,0,0,6,1,335,0,6,341,0
55,4,180,160,1,1,0,1,0,2,1,9,1,360,0,4,364,0
56,6,77,273,3,1,0,1,2,3,1,6,0,373,0,8,381,0
57,3,156,227,2,0,1,0,1,0,0,4,4,398,0,6,404,0
58,4,224,252,6,0,0,0,0,1,1,4,6,498,0,2,500,0
59,3,144,137,5,0,0,1,0,1,3,1,4,299,0,2,301,0
60,2,135,295,1,0,0,0,0,2,0,3,7,445,0,3,448,0
61,9,227,367,3,0,0,1,1,5,2,2,3,620,0,7,627,0
62,3,98,182,2,0,0,0,0,2,3,4,3,297,0,3,300,0
63,5,171,123,4,0,2,0,0,2,0,2,2,311,0,11,322,0
64,9,149,397,6,2,0,0,0,1,2,4,8,578,0,16,594,0
65,5,296,203,5,0,2,0,1,0,0,6,2,520,0,8,528,0
66,2,151,71,0,0,0,0,1,0,3,2,1,231,0,5,236,0
67,10,194,157,3,1,0,1,0,1,0,1,6,374,0,4,378,0
68,11,177,309,2,2,0,0,0,0,4,8,3,516,0,13,529,0
69,6,206,218,6,0,0,2,1,1,0,11,2,453,0,7,460,0
70,11,221,379,1,2,0,1,0,3,5,7,8,638,0,19,657,0
71,9,127,112,0,1,0,0,0,0,1,4,4,258,0,3,261,0
72,2,61,40,1,0,1,0,0,0,0,0,0,105,0,0,105,0
73,17,402,190,4,0,1,1,2,2,2,4,5,630,0,11,641,0
74,14,341,333,4,2,0,0,0,7,7,12,9,729,0,16,745,0
75,9,279,267,0,4,1,0,2,3,0,5,4,574,0,9,583,0
76,3,92,445,8,1,23,2,1,2,1,13,3,594,0,13,607,0
77,2,57,473,3,1,38,5,1,0,1,8,2,591,0,5,596,0
78,8,90,547,8,4,96,0,1,1,1,5,6,767,0,3,770,0
79,7,216,218,2,1,0,2,1,5,5,7,3,467,0,11,478,0
80,4,183,92,2,0,2,0,1,3,2,7,3,299,0,14,313,0
81,8,356,141,4,1,4,1,0,3,2,7,6,533,0,10,543,0
82,11,328,231,10,1,0,1,2,2,1,9,3,599,0,11,610,0
83,3,11,671,6,0,0,1,0,6,2,3,1,704,0,7,711,0
84,3,73,567,5,1,0,0,0,0,1,6,3,659,0,4,663,0
85,7,276,254,5,3,3,0,2,2,2,8,4,566,0,18,584,0
86,9,577,208,5,2,0,2,1,1,3,2,6,816,0,2,818,0
87,3,460,175,10,2,0,1,1,3,2,3,6,666,0,22,688,0
88,5,368,242,4,2,2,0,1,4,5,7,8,648,0,7,655,0
89,16,472,134,3,0,1,0,2,4,0,5,12,649,0,14,663,0
90,2,231,207,3,4,0,0,0,0,2,5,4,458,0,2,460,0
91,7,439,177,5,0,1,0,0,1,2,4,7,643,0,8,651,0
92,11,302,198,2,4,0,0,0,1,1,5,3,527,0,11,538,0
93,10,352,194,5,1,0,1,1,2,3,8,12,589,0,11,600,0
94,5,184,269,3,1,0,1,2,2,6,9,6,488,0,18,506,0
95,2,287,47,0,0,0,0,1,0,0,2,3,342,0,0,342,0
96,5,125,70,0,2,0,1,0,0,1,2,1,207,0,1,208,0
97,5,139,597,4,2,0,1,1,1,2,4,2,758,0,13,771,0
98,8,481,191,3,1,0,0,2,2,2,7,17,714,0,26,740,0
99,12,297,228,3,1,0,0,2,3,4,14,6,570,0,13,583,0
100,5,439,134,4,0,0,0,1,0,0,2,1,586,0,2,588,0
101,4,375,136,1,2,0,0,1,1,0,3,4,527,0,1,528,0
102,12,561,166,3,1,0,0,1,2,3,9,9,767,0,27,794,0
103,3,404,363,4,0,0,0,1,2,1,3,5,786,0,11,797,0
104,5,225,242,3,1,0,0,0,2,1,1,7,487,0,10,497,0
105,2,330,222,5,0,0,0,0,0,1,4,1,565,0,7,572,0
106,8,209,180,1,1,0,3,0,1,1,4,2,410,0,5,415,0
107,11,165,253,5,0,0,0,1,6,3,6,4,454,0,33,487,0
108,8,342,120,2,1,0,0,1,0,0,2,5,481,0,7,488,0
109,5,96,274,8,0,0,0,1,2,0,5,3,394,0,25,419,0
110,2,259,289,5,2,0,0,0,2,0,4,7,570,0,18,588,0
111,7,478,143,1,0,0,0,1,0,4,5,5,644,0,10,654,0
112,2,179,339,1,1,0,1,0,1,0,7,4,535,0,5,540,0
113,4,78,645,5,0,0,0,0,2,2,4,3,743,0,4,747,0
114,4,172,428,4,0,1,2,0,2,6,5,5,629,0,5,634,0
115,3,66,149,3,0,0,2,1,3,0,3,2,232,0,4,236,0
116,4,324,89,5,0,0,0,0,2,1,5,3,433,0,2,435,0
117,3,169,124,3,0,0,0,0,0,1,3,3,306,0,4,310,0
118,2,119,194,3,0,0,0,0,3,4,2,1,328,0,3,331,0
119,7,223,494,3,0,0,2,0,2,1,6,4,742,0,4,746,0
120,7,116,320,7,1,0,2,0,0,0,6,4,463,0,13,476,0
121,7,406,360,7,0,0,1,1,3,2,6,11,804,0,8,812,0
122,13,282,228,2,1,1,1,2,4,5,18,5,562,0,13,575,0
123,2,375,197,0,0,0,0,0,2,3,5,1,585,0,7,592,0
124,8,287,197,4,0,0,1,0,2,2,2,5,508,0,15,523,0
125,11,330,143,4,5,1,0,2,2,3,6,7,514,0,9,523,0
126,9,85,559,3,2,10,1,1,0,2,8,2,682,0,3,685,0
127,9,454,196,4,0,0,0,0,1,1,9,15,689,0,14,703,0
128,4,196,172,0,1,0,0,1,1,2,3,5,385,0,29,414,0
129,11,208,202,3,0,0,1,1,4,4,9,2,445,0,17,462,0
130,10,321,319,6,0,0,0,1,3,1,12,6,679,0,13,692,0
131,2,162,362,1,1,1,0,0,1,3,5,1,539,0,15,554,0
132,16,283,240,6,1,0,3,0,9,4,10,21,593,0,19,612,0
133,13,404,411,5,5,1,1,1,1,6,14,13,875,0,39,914,0
134,5,558,92,5,0,1,0,1,2,1,1,6,672,0,6,678,0
135,1,356,203,8,0,0,0,0,0,0,0,1,569,0,1,570,0
136,4,144,529,7,0,0,1,0,3,2,4,1,695,0,13,708,0
137,3,96,506,3,0,0,1,0,0,1,2,0,612,0,6,618,0
138,5,128,305,2,0,0,0,1,1,0,1,4,447,0,0,447,0
139,3,535,248,2,0,0,0,0,3,1,0,3,795,0,10,805,0
140,1,289,76,1,0,1,0,0,1,1,2,0,372,0,7,379,0
141,1,14,487,4,1,0,0,0,1,1,3,0,512,0,4,516,0
142,11,460,245,5,0,0,1,0,1,1,14,8,746,0,19,765,0
143,4,530,178,3,0,1,0,2,1,2,3,2,726,0,16,742,0
144,8,356,163,4,2,1,1,1,5,2,8,7,558,0,19,577,0
145,6,315,168,4,2,0,0,1,5,5,5,7,518,0,13,531,0
146,4,226,318,5,2,0,1,1,0,3,6,6,572,0,12,584,0
147,10,232,145,4,0,2,0,2,0,9,8,3,415,0,15,430,0
148,7,174,299,1,1,0,0,0,3,4,4,5,498,0,5,503,0
149,7,186,278,3,1,0,0,0,1,2,3,0,481,0,3,484,0
150,4,165,268,2,2,0,1,0,1,2,3,3,451,0,7,458,0
151,6,130,229,1,0,1,2,1,1,4,5,6,386,0,9,395,0
152,2,105,181,3,0,0,1,0,2,0,4,1,299,0,2,301,0
153,4,155,211,2,1,0,1,1,0,2,2,1,380,0,0,380,0
154,12,150,265,1,0,0,0,0,0,4,4,3,439,0,2,441,0
155,8,159,258,5,0,0,0,0,5,6,3,7,451,0,7,458,0
156,5,73,232,1,1,0,2,0,2,0,2,3,321,0,8,329,0
157,7,123,228,1,0,0,1,0,0,4,3,3,370,0,4,374,0
158,8,68,284,2,0,0,0,0,0,0,3,1,366,0,9,375,0
159,5,191,170,3,1,0,0,1,1,0,4,5,381,0,5,386,0
160,5,131,259,1,0,0,1,0,1,0,2,2,402,0,10,412,0
161,2,91,144,1,0,0,0,0,1,1,1,3,244,0,3,247,0
162,1,119,171,0,0,0,0,0,3,0,4,1,299,0,2,301,0
163,8,240,211,4,1,1,0,1,1,0,5,2,474,0,6,480,0
164,9,283,230,2,0,0,1,0,1,5,5,3,539,0,7,546,0
165,9,257,216,3,0,0,1,1,0,1,2,4,494,0,8,502,0
166,5,177,303,3,0,1,0,0,0,5,8,3,505,0,9,514,0
167,6,287,287,3,0,0,1,0,1,12,4,9,610,0,15,625,0
168,3,126,282,3,1,1,0,0,4,0,1,3,424,0,11,435,0
169,7,153,79,0,0,1,1,0,0,0,3,5,249,0,1,250,0
170,3,130,294,0,1,0,0,1,1,0,9,1,440,0,10,450,0
171,12,185,172,1,1,0,0,3,1,2,5,3,385,0,8,393,0
172,2,221,79,2,1,0,1,3,5,0,2,2,318,0,3,321,0
173,11,145,424,6,1,2,0,2,3,3,5,6,608,0,8,616,0
174,3,247,278,6,2,0,0,0,1,2,3,2,544,0,5,549,0
175,6,335,163,2,0,0,0,1,2,2,1,3,515,0,4,519,0
176,11,243,212,5,1,1,1,2,1,3,7,5,492,0,11,503,0
177,4,184,216,1,1,0,0,0,2,3,7,5,423,0,7,430,0
178,9,307,293,10,0,0,1,0,4,3,9,8,644,0,10,654,0
179,13,296,164,1,3,0,1,2,3,3,7,5,498,0,3,501,0
180,9,380,177,6,0,0,1,4,2,4,3,5,591,0,8,599,0
181,1,155,195,3,1,0,0,0,4,0,3,14,376,0,5,381,0
182,5,281,285,1,1,0,1,2,0,6,7,5,594,0,8,602,0
183,10,74,232,5,0,0,0,1,1,4,6,5,338,0,17,355,0
184,1,74,92,0,0,1,0,0,1,0,1,3,173,0,2,175,0
185,4,348,70,4,2,0,0,0,1,0,7,13,449,0,10,459,0
186,3,172,106,1,0,0,1,1,2,0,6,3,295,0,7,302,0
187,12,457,88,1,2,0,0,2,1,2,9,5,579,0,9,588,0
188,6,324,55,0,1,1,0,2,1,2,6,2,400,0,6,406,0
189,7,368,143,3,0,0,0,0,2,5,11,8,547,0,9,556,0
190,5,122,106,3,0,0,1,2,2,3,4,0,248,0,4,252,0
191,7,449,111,0,1,0,2,0,1,0,9,7,587,0,6,593,0
192,5,274,197,8,0,0,0,0,1,0,5,1,491,0,4,495,0
193,13,256,124,2,1,0,1,1,3,2,5,4,412,0,10,422,0
194,9,57,342,3,0,0,2,2,1,1,6,1,424,0,16,440,0
195,6,277,59,0,1,1,1,1,2,1,6,4,359,0,6,365,0
196,8,133,183,3,2,0,0,0,3,5,5,3,345,0,4,349,0
197,5,171,297,3,0,1,0,0,2,0,3,1,483,0,3,486,0
198,4,141,357,3,2,2,0,0,2,2,4,3,520,0,12,532,0
199,3,82,517,7,0,0,1,1,0,1,4,0,616,0,6,622,0
200,16,124,493,5,0,0,6,2,3,8,7,2,666,0,5,671,0
201,6,80,369,4,3,0,0,2,2,2,12,9,489,0,14,503,0
202,7,357,223,1,1,0,0,2,2,3,1,0,597,0,11,608,0
203,16,223,303,5,2,0,0,1,7,2,4,5,568,0,12,580,0
204,5,188,243,1,1,1,0,1,0,1,2,4,447,0,6,453,0
205,2,391,124,2,1,0,1,0,1,0,0,0,522,0,4,526,0
206,2,542,172,2,1,0,0,2,0,0,2,2,725,0,10,735,0
207,13,454,400,9,2,1,0,1,3,5,5,3,896,0,16,912,0
208,6,286,452,2,0,1,1,2,2,0,2,7,761,0,10,771,0
209,3,342,189,3,0,0,0,1,0,0,1,0,539,0,13,552,0
210,2,326,106,3,0,0,0,0,0,0,2,1,440,0,9,449,0
211,7,381,203,4,0,1,0,0,3,0,1,0,600,0,7,607,0
212,6,243,357,4,1,1,0,0,1,1,6,2,622,0,7,629,0
213,9,508,396,1,0,0,0,0,2,0,0,2,918,0,4,922,0
214,2,680,197,3,0,0,0,0,1,1,2,0,886,0,5,891,0
215,3,528,205,1,0,0,0,0,0,0,1,0,738,0,15,753,0
216,5,318,138,6,2,0,0,0,1,0,4,0,474,0,2,476,0
217,1,597,278,4,0,0,0,0,0,1,1,4,886,0,10,896,0
218,5,178,47,0,1,0,0,0,1,3,2,3,240,0,8,248,0
219,10,243,204,2,0,0,1,1,4,3,5,5,478,0,16,494,0
220,8,246,355,8,1,0,0,2,4,4,19,12,659,0,15,674,0
221,5,364,201,1,0,0,0,1,1,0,2,1,576,0,5,581,0
222,6,449,259,5,0,0,0,0,3,2,7,4,735,0,18,753,0
223,3,190,219,0,0,0,2,0,0,1,4,2,421,0,3,424,0
224,6,182,154,1,2,1,1,0,1,2,7,4,361,0,9,370,0
225,1,108,155,3,0,1,1,2,1,1,2,6,281,0,3,284,0
226,10,329,97,5,2,0,1,0,2,2,8,4,460,0,9,469,0
227,12,265,615,8,2,0,5,2,10,3,6,9,937,0,3,940,0
228,9,327,198,3,0,0,0,0,3,6,6,5,557,0,22,579,0
229,10,387,165,5,1,0,1,1,3,3,5,4,585,0,6,591,0
230,3,220,210,1,0,0,1,2,4,4,7,7,459,0,20,479,0
231,8,273,412,11,0,1,3,0,2,0,1,3,714,0,22,736,0
232,11,310,186,7,2,1,0,1,0,2,11,5,536,0,4,540,0
233,9,188,382,6,3,2,0,0,4,4,3,5,606,0,8,614,0
234,0,242,84,2,2,0,1,0,0,0,0,1,332,0,6,338,0
235,3,37,170,0,0,0,1,1,5,0,1,2,220,0,5,225,0
236,4,256,104,3,0,1,0,1,2,4,5,1,381,0,9,390,0
237,13,182,95,4,1,0,0,1,1,2,3,3,305,0,9,314,0
238,4,188,482,4,1,0,2,1,3,6,8,3,702,0,14,716,0
239,1,54,490,1,0,0,0,0,3,1,1,5,556,0,12,568,0
240,2,17,551,9,2,0,0,0,1,2,3,0,587,0,2,589,0
241,6,352,66,4,0,0,0,0,0,1,9,8,446,0,7,453,0
242,2,72,407,3,2,0,1,0,2,0,3,0,492,0,4,496,0
243,7,376,194,3,1,0,1,0,1,1,0,3,587,0,8,595,0
244,4,116,184,5,2,0,1,2,1,1,4,2,322,0,3,325,0
245,5,107,268,6,1,1,2,2,1,0,6,2,401,0,4,405,0
246,4,191,177,1,3,0,0,0,1,0,4,1,382,0,5,387,0
247,5,268,341,9,1,1,0,1,5,0,3,2,636,0,14,650,0
248,9,225,276,10,0,0,0,4,5,4,14,3,550,0,15,565,0
249,3,156,238,0,0,0,0,0,2,0,7,5,411,0,8,419,0
250,5,256,304,2,0,0,1,1,6,2,12,6,595,0,22,617,0
251,10,302,292,2,0,0,0,1,1,4,8,5,625,0,15,640,0
252,5,238,242,4,1,0,0,0,3,5,6,10,514,0,9,523,0
253,2,168,243,4,1,0,0,0,0,3,0,4,425,0,3,428,0
254,4,219,160,4,1,0,0,0,3,2,2,3,398,0,9,407,0
255,2,108,237,0,0,0,0,0,2,2,9,0,360,0,1,361,0
256,5,223,243,5,2,0,0,1,2,1,4,0,486,0,11,497,0
257,7,185,248,2,0,0,0,1,3,6,5,4,461,0,12,473,0
258,1,288,201,0,0,0,0,0,1,0,2,3,496,0,3,499,0
259,8,127,127,4,0,0,0,0,3,1,3,4,277,0,1,278,0
260,6,433,186,3,0,2,0,0,3,7,2,3,645,0,12,657,0
261,4,190,227,1,0,0,0,0,1,2,3,2,430,0,1,431,0
262,5,298,364,1,0,0,0,0,2,3,4,4,681,0,12,693,0
263,5,182,350,0,0,0,0,0,1,4,7,3,552,0,8,560,0
264,10,275,290,4,0,0,0,0,3,1,4,5,592,0,16,608,0
265,2,287,118,3,0,0,1,0,1,1,1,1,415,0,3,418,0
266,3,352,324,4,3,1,0,0,1,5,5,2,700,0,9,709,0
267,8,248,176,3,1,0,0,1,1,5,3,2,448,0,2,450,0
268,7,204,264,2,1,2,2,0,4,4,8,7,505,0,6,511,0
269,2,240,147,3,0,0,0,0,0,0,2,7,401,0,4,405,0
