No Polling St.,,,,,,,,,,,,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
,Chuhan Kesavbhai Malabhai (Master),C. R. Patil,Maksu d Mirza,Asla m Mistr y,Patel Bhupen drakum ar Dhirubh ai,Pyarel al Bharti,Mehul Patel,Warde Rajub hai Bhimr ao,Sonal Kellog g,Arun S. Pathak (Journal ist),Kesha vji L. Sarad va,Percy Munshi,Ramjan Mansuri (Journali st),Ravsha heb Bhimra v Patil (Bandh,Rohit Gandhi,Lataben Ashokku mar Dwivedi,Vimal Patel (Endh al),Saiyed Mehmu d Ahmed,Hasan Shaikh,,,,,
238,4,65,425,2,1,1,6,0,2,0,1,2,2,1,0,5,1,0,1,519,0,1,520,0
239,1,749,42,0,1,0,11,0,0,0,0,1,0,1,0,1,2,5,0,814,0,5,819,0
240,6,706,106,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,858,0,4,862,0
241,2,543,63,0,0,1,11,0,0,0,0,1,1,0,1,2,0,0,0,625,0,2,627,0
242,5,749,42,2,0,0,6,0,2,1,0,0,0,3,1,3,2,1,1,818,0,9,827,0
243,4,850,50,0,1,1,10,0,0,0,0,0,0,0,1,3,1,4,0,925,0,4,929,0
244,4,818,34,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,868,0,1,869,0
244,2,747,48,0,0,0,26,0,0,0,1,0,0,1,0,1,0,0,0,826,0,8,834,0
245,6,1150,40,0,0,0,41,0,1,0,1,1,0,0,0,0,1,3,0,1244,0,5,1249,0
246,0,622,18,0,0,0,9,2,0,0,0,0,0,0,0,0,0,2,0,653,0,4,657,0
246,0,755,21,0,0,0,10,0,0,0,0,1,0,0,0,1,0,0,0,788,0,7,795,0
247,0,799,72,0,1,0,16,0,0,0,1,0,0,0,0,0,0,0,0,889,0,13,902,0
248,2,918,74,0,2,1,19,2,0,0,0,0,0,0,0,2,0,1,0,1021,0,7,1028,0
249,3,731,50,1,0,0,13,0,0,0,0,0,0,0,0,6,2,1,0,807,0,15,822,0
250,6,690,230,3,1,1,23,7,2,1,1,2,2,2,6,11,0,0,0,988,0,9,997,0
251,18,659,83,3,0,0,11,2,0,0,0,1,0,1,1,1,2,1,2,785,0,1,786,0
252,4,766,56,0,0,0,16,0,1,0,0,0,0,0,2,1,0,4,0,850,0,9,859,0
253,3,759,81,1,0,1,13,5,1,0,0,1,0,1,1,3,0,0,0,870,0,5,875,0
254,0,768,25,0,0,0,19,0,0,0,2,0,0,0,0,4,0,0,0,818,0,7,825,0
254,2,343,68,1,1,0,12,0,0,0,0,0,0,0,1,1,0,0,0,429,0,3,432,0
255,4,866,49,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,945,0,16,961,0
256,5,633,115,0,0,1,23,0,0,0,0,2,2,1,2,3,1,6,3,797,0,8,805,0
257,7,439,60,1,4,2,5,1,3,0,1,5,2,9,11,8,3,3,1,565,0,8,573,0
258,4,910,63,0,2,1,14,0,0,2,0,2,1,0,1,4,0,2,1,1007,0,8,1015,0
259,1,779,56,1,0,1,7,0,0,0,0,0,1,0,4,3,1,5,3,862,0,4,866,0
260,5,759,21,0,0,0,2,1,0,1,0,2,0,1,2,3,4,48,4,853,0,6,859,0
261,1,795,21,1,1,0,10,0,0,0,0,0,0,0,0,0,0,1,0,830,0,1,831,0
262,7,373,162,6,1,0,1,0,0,2,1,0,2,0,2,4,0,1,4,566,0,3,569,0
262,1,476,101,2,0,1,8,0,0,0,1,0,0,0,3,0,2,0,0,595,0,5,600,0
263,0,888,33,0,0,0,18,0,0,0,3,0,0,0,0,0,0,3,0,945,0,9,954,0
264,6,530,133,1,2,0,2,0,0,1,2,1,1,2,2,4,1,8,2,698,0,5,703,0
265,8,656,83,3,2,0,6,1,0,2,0,1,1,1,4,3,2,8,1,782,0,8,790,0
266,5,639,88,1,0,0,24,1,1,2,0,2,0,1,4,11,0,0,0,779,0,3,782,0
267,2,685,74,1,0,2,9,2,0,1,1,2,1,3,0,10,0,3,1,797,0,3,800,0
268,5,430,59,1,0,0,5,0,0,1,0,1,0,1,4,0,1,1,3,512,0,4,516,0
269,3,527,91,1,0,0,28,0,0,0,4,1,0,2,1,2,0,4,1,665,0,5,670,0
270,3,933,94,2,0,2,9,0,0,0,0,2,0,0,0,2,2,6,2,1057,0,9,1066,0
271,5,164,38,1,0,2,23,1,0,0,0,0,0,0,0,5,0,0,2,241,0,1,242,0
272,8,264,89,4,1,2,51,0,1,0,0,1,0,1,4,2,1,0,1,430,0,2,432,0
273,3,299,85,2,0,0,5,0,0,1,1,0,1,1,0,0,2,2,1,403,0,2,405,0
274,8,535,108,6,4,0,18,1,1,1,0,1,0,1,2,2,0,3,1,692,0,2,694,0
275,6,294,84,4,3,1,16,0,0,0,0,0,2,0,0,4,0,1,0,415,0,0,415,0
276,3,521,77,2,3,0,20,0,0,0,1,0,0,0,1,1,0,1,0,630,0,3,633,0
277,7,389,75,0,1,0,37,3,0,1,0,0,0,0,1,1,0,3,4,522,0,2,524,0
278,7,285,85,2,0,0,20,0,0,1,0,0,0,0,0,4,1,8,3,416,0,0,416,0
279,3,239,49,3,0,0,26,0,0,1,0,0,0,1,0,1,0,0,0,323,0,2,325,0
280,9,340,80,3,0,0,35,0,1,0,0,1,1,0,1,1,2,7,1,482,0,3,485,0
281,9,567,64,2,1,3,15,0,1,1,1,2,0,2,4,4,1,1,0,678,0,0,678,0
282,2,334,37,0,1,0,4,0,0,2,0,0,0,1,0,0,2,1,0,384,0,1,385,0
283,13,473,111,1,2,2,17,3,0,0,0,4,2,1,0,5,0,1,1,636,0,1,637,0
284,7,385,80,0,1,0,11,1,0,0,1,0,1,0,2,0,0,0,0,489,0,2,491,0
285,13,319,126,2,2,0,20,1,0,0,0,0,1,0,2,2,0,1,2,491,0,3,494,0
286,2,355,110,4,2,0,15,0,0,0,0,3,0,2,4,1,3,2,1,504,0,6,510,0
287,7,313,129,0,5,0,11,1,0,0,0,1,2,2,1,8,0,3,1,484,0,1,485,0
288,22,311,154,4,5,0,35,0,1,1,0,0,1,1,1,3,2,0,2,543,0,3,546,0
289,3,290,92,1,4,1,20,1,1,0,0,1,0,0,1,0,0,1,0,416,0,0,416,0
290,2,335,39,1,0,0,15,0,0,0,0,1,0,0,0,1,1,7,2,404,0,2,406,0
291,7,359,70,2,0,0,16,0,2,1,1,2,1,0,0,2,0,2,1,466,0,2,468,0
292,8,344,91,3,4,1,40,1,0,1,0,3,1,2,3,8,1,2,2,515,0,2,517,0
293,1,247,58,2,0,0,7,0,0,0,0,1,0,2,1,4,1,1,2,327,0,0,327,0
294,5,427,59,3,0,0,9,1,1,2,0,1,0,0,3,4,2,1,0,518,0,1,519,0
295,5,230,44,0,0,0,3,1,2,1,0,0,1,0,0,0,0,2,0,289,0,2,291,0
296,12,418,80,5,0,1,25,0,0,1,0,1,1,1,1,0,1,4,0,551,0,1,552,0
297,5,526,89,1,1,0,10,0,0,0,0,0,1,2,3,4,0,2,1,645,0,2,647,0
298,4,334,53,2,0,0,17,0,1,0,1,0,1,0,0,2,0,0,1,416,0,2,418,0
299,22,344,145,1,2,1,34,0,3,0,0,1,2,0,0,4,2,2,1,564,0,0,564,0
300,11,493,164,7,3,1,15,0,1,1,1,1,1,1,3,12,1,1,2,719,0,4,723,0
301,10,505,115,2,4,2,40,1,0,2,0,0,0,0,0,7,0,2,2,692,0,3,695,0
302,17,399,159,2,0,1,27,0,2,0,1,0,0,1,2,1,0,2,0,614,0,2,616,0
303,5,256,98,0,0,2,14,0,1,0,0,2,0,1,0,3,0,1,0,383,0,0,383,0
304,4,476,70,0,1,1,3,2,0,0,1,0,0,0,0,3,3,6,1,571,0,3,574,0
305,5,618,51,4,3,0,28,0,0,0,0,0,1,2,1,1,0,0,0,714,0,3,717,0
306,5,766,128,1,0,0,17,1,0,0,0,1,0,0,2,4,3,7,1,936,0,6,942,0
307,1,417,75,1,0,0,5,1,0,0,0,0,0,1,2,0,1,0,1,505,0,3,508,0
308,3,459,23,2,0,0,3,0,2,0,0,0,0,0,0,2,1,4,2,501,0,4,505,0
309,4,570,51,1,2,1,7,0,0,0,0,0,1,0,1,1,2,0,0,641,0,4,645,0
310,2,732,38,2,2,1,17,0,0,0,0,0,0,0,0,1,0,1,0,796,0,7,803,0
311,2,486,23,0,1,2,3,2,0,0,0,0,0,0,1,1,3,10,1,535,0,3,538,0
312,2,444,66,3,1,0,7,0,1,0,0,2,0,0,4,1,1,2,0,534,0,3,537,0
313,6,573,39,1,1,0,6,0,0,0,1,0,0,0,0,0,0,1,0,628,0,6,634,0
314,5,141,57,1,1,0,1,0,3,0,0,0,0,1,0,3,0,0,1,214,0,1,215,0
315,40,252,54,0,1,1,12,1,1,0,0,1,0,0,0,6,1,1,1,372,0,2,374,0
316,3,228,81,1,2,0,25,0,1,0,0,0,0,1,1,0,0,0,0,343,0,0,343,0
317,27,235,63,0,0,0,21,2,0,0,0,0,0,1,0,0,2,1,0,352,0,2,354,0
318,34,262,145,4,1,0,9,0,1,0,2,3,0,0,1,2,2,3,4,473,0,0,473,0
319,10,177,64,3,1,0,6,0,0,0,1,0,0,0,0,3,2,2,1,270,0,2,272,0
320,19,268,96,4,2,0,17,0,0,0,0,2,1,0,0,6,0,2,0,417,0,6,423,0
321,3,136,70,1,0,0,1,0,0,2,0,1,0,0,1,2,1,0,0,218,0,1,219,0
322,9,289,84,1,0,0,15,0,0,0,0,1,0,0,1,1,0,1,0,402,0,0,402,0
323,15,191,45,1,0,0,4,1,0,0,1,0,0,1,2,1,0,3,0,265,0,2,267,0
324,4,136,53,0,1,0,3,1,1,0,0,0,0,0,1,2,0,3,3,208,0,0,208,0
325,5,214,36,0,1,1,4,0,0,0,0,2,1,1,0,2,0,0,1,268,0,1,269,0
326,13,242,64,2,1,1,8,0,0,1,2,3,1,1,1,4,0,0,1,345,0,1,346,0
327,4,712,80,1,1,0,17,1,0,2,1,1,1,1,0,1,3,3,2,831,0,5,836,0
328,11,649,55,2,1,1,12,0,2,0,0,0,0,1,3,4,4,5,2,752,0,3,755,0
329,1,551,53,0,0,0,7,0,0,0,0,1,1,0,2,1,0,0,1,618,0,2,620,0
330,8,475,63,1,0,0,3,0,0,0,0,0,0,2,4,0,0,2,3,561,0,2,563,0
331,13,224,276,5,3,1,7,2,0,0,3,3,2,1,2,3,2,1,4,552,0,5,557,0
332,1,755,65,0,0,0,19,0,0,0,0,1,0,3,2,1,1,7,0,855,0,5,860,0
333,5,637,58,2,0,0,5,0,1,0,1,0,0,1,1,3,2,3,1,720,0,3,723,0
334,4,71,791,2,0,1,8,0,0,1,0,0,2,1,1,3,2,0,1,888,0,6,894,0
335,4,170,63,1,0,0,10,0,0,0,0,1,1,0,0,0,0,0,1,251,0,1,252,0
336,5,215,28,1,0,0,0,2,0,1,0,1,4,1,0,0,0,1,0,259,0,0,259,0
337,3,119,51,0,1,1,6,0,0,0,0,1,0,0,0,0,0,0,1,183,0,1,184,0
338,6,847,24,5,0,2,0,0,0,0,3,5,1,2,16,5,1,16,1,934,0,3,937,0
339,4,558,64,1,3,1,2,0,0,0,0,0,2,2,3,2,4,8,6,660,0,8,668,0
