polling station,BHAMBHI CHANDUBHAI MULCHANDBHAI,RATHOD DIPSINH SHANKARSINH,SHANKERSINH VAGHELA BAPU,PATEL BHOGILAL HARIBHAI,SHEKH ARIF KHAN,PATEL ISHWARBHAI SAKRAJI ,PATEL PURUSOTTAMBHAI AMBALAL,BALUSINGH SOMANSINGH NARVE,VELANI SHANTILAL KARAMSHI,SOLANKI CHHAGANBHAI KEVALABHAI,NOTA,valid,Rejected Votes,Total Votes,Tender Votes
1,5,263,262,5,0,0,0,2,3,5,2,547,0,547,0
2,11,460,152,3,0,0,1,1,4,4,14,650,0,650,0
3,13,173,224,7,1,1,1,3,2,6,1,432,0,432,0
4,4,88,58,0,0,0,0,2,1,2,3,158,0,158,0
5,8,290,92,2,0,0,2,0,2,11,14,421,0,421,0
6,9,334,277,4,1,0,1,1,12,14,3,656,0,656,0
7,22,474,253,4,3,4,0,4,7,14,26,811,0,811,0
8,11,170,143,1,0,0,0,4,2,0,7,338,0,338,0
9,6,392,273,4,1,0,1,1,3,6,1,688,0,688,0
10,7,346,89,2,0,0,2,2,4,9,3,464,0,464,0
11,14,618,157,3,2,1,1,3,8,11,16,834,0,834,0
12,4,173,120,0,0,0,0,0,2,4,3,306,0,306,0
13,8,437,333,1,0,1,0,1,4,3,3,791,0,791,0
14,1,283,87,0,3,0,0,1,0,3,4,382,0,382,0
15,7,432,122,1,0,0,1,2,1,4,6,576,0,576,0
16,10,345,144,1,0,1,0,4,1,6,5,517,0,517,0
17,6,361,222,2,0,2,0,1,10,7,8,619,0,619,0
18,4,432,167,2,0,2,0,0,2,2,5,616,0,616,0
19,13,484,112,1,2,0,1,0,3,6,7,629,0,629,0
20,3,199,300,6,1,0,0,0,2,2,3,516,0,516,0
21,9,289,476,6,2,0,0,1,3,2,7,795,0,795,0
22,3,549,54,2,1,0,0,1,1,1,1,613,0,613,0
23,0,471,34,0,0,0,0,1,0,0,0,506,0,506,0
24,10,297,328,7,1,0,0,3,3,16,8,673,0,673,0
25,1,236,142,1,2,0,1,0,0,3,3,389,0,389,0
26,13,237,219,1,2,3,0,4,4,6,31,520,0,520,0
