Polling Station,Number of Valid votes cast in favour of,,,,,,,,Total of Valid Votes,Total of Rejected Votes,NOTA,Total,No of Tendered Votes
,Chudasama Rajeshbhai Naranbhai,Punjabhai Bhimabhai Vansh,Atul Govindbhai Shekhada,Kadri Ibrahim Saiyed Husen,Solanki Haribhai Boghabhai,Gadhiya Soyeb Hushenbha i,Saiyed Altaf Husain Abdullah Miyan,Harilal Ranchhodb hai Chauhan,,,,,
241,477,199,8,1,2,0,3,9,699,0,9,708,0
242,396,317,18,5,3,0,4,11,754,0,14,768,0
243,189,213,5,3,0,3,1,9,423,0,12,435,0
244,197,185,6,1,2,3,3,3,400,0,7,407,0
245,310,216,17,4,1,3,4,10,565,0,30,595,0
246,287,243,11,3,1,3,3,6,557,0,25,582,0
247,237,151,3,4,1,0,4,5,405,0,19,424,0
248,151,248,7,0,2,4,2,5,419,0,19,438,0
249,71,265,10,1,1,0,3,2,353,0,8,361,0
250,137,248,7,1,0,4,0,3,400,0,15,415,0
251,177,250,10,4,1,2,4,12,460,0,34,494,0
252,243,354,14,9,7,3,3,7,640,0,32,672,0
