No Polling St.,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
,OMPRAK ASH SHRIVAS,DARSHA NA VIKRAM,DESAI NAISHAD HBHAI,KIRITBHA I HARJIBH,MOHANB HAI B. PATEL,VASAVA KISHORB HAI,MAVJIBH AI LAXMAN,MUKESH BHAI LAVJIBH,,,,,
1,2,896,75,3,31,0,0,0,1007,0,18,1025,0
2,6,546,178,2,23,3,5,1,764,0,14,778,0
3,2,781,66,1,21,1,0,2,874,0,16,890,0
4,0,295,284,2,65,1,0,1,648,0,7,655,0
5,11,380,416,2,19,2,0,1,831,0,9,840,0
6,5,364,133,3,8,0,1,3,517,-2,4,519,0
7,3,703,68,0,9,0,0,2,785,0,7,792,0
8,3,729,60,0,9,0,1,0,802,0,18,820,0
9,4,538,91,0,4,2,2,0,641,0,9,650,0
10,0,332,60,1,9,0,0,0,402,0,4,406,0
11,26,425,210,4,14,0,4,4,687,0,14,701,0
12,2,524,49,0,3,0,1,0,579,0,3,582,0
13,2,732,78,2,13,0,1,0,828,0,10,838,0
14,1,765,85,0,12,0,1,1,865,0,8,873,0
15,1,466,42,0,16,0,0,0,525,0,13,538,0
16,1,813,30,1,11,1,1,0,858,0,18,876,0
17,8,438,239,3,20,2,1,3,714,0,19,733,0
18,5,28,719,2,20,0,2,0,776,0,3,779,0
19,2,264,346,0,14,0,1,0,627,0,10,637,0
20,1,21,565,6,32,1,0,0,626,0,22,648,0
21,3,86,564,2,17,1,0,2,675,0,6,681,0
22,2,527,39,1,16,0,0,1,586,0,13,599,0
23,2,399,52,0,7,0,1,0,461,0,3,464,0
24,2,708,75,3,13,0,0,1,802,0,11,813,0
25,2,443,197,2,17,0,0,2,663,0,12,675,0
26,4,355,146,3,8,5,2,2,525,0,5,530,0
27,15,257,324,7,25,0,6,0,634,0,7,641,0
28,5,469,121,2,7,0,4,0,608,0,9,617,0
29,12,621,79,1,16,0,1,2,732,0,8,740,0
30,6,161,325,1,49,1,1,1,545,0,11,556,0
31,2,637,73,0,14,0,0,0,726,0,11,737,0
32,17,289,444,5,28,4,4,1,792,0,11,803,0
33,3,377,27,1,8,0,0,0,416,0,6,422,0
34,5,399,227,4,25,1,2,4,667,0,7,674,0
35,4,550,54,1,17,0,0,1,627,0,7,634,0
36,1,334,144,0,6,1,0,2,488,0,4,492,0
37,1,331,361,0,17,1,0,0,711,0,8,719,0
38,2,27,489,2,19,0,1,0,540,0,3,543,0
39,0,21,470,2,18,0,0,0,511,0,6,517,0
40,2,60,420,6,21,0,0,0,509,-2,4,511,0
41,2,124,405,4,30,0,0,0,565,0,3,568,0
42,0,8,473,4,37,1,1,1,525,0,5,530,0
43,0,15,485,4,34,1,0,0,539,0,2,541,0
44,4,35,527,3,18,0,0,0,587,0,4,591,0
45,1,764,145,2,11,1,1,3,928,-2,8,934,0
46,3,516,370,3,31,1,0,1,925,0,9,934,0
47,4,889,55,2,6,0,0,2,958,-3,11,966,0
48,2,832,40,0,9,0,0,0,883,0,11,894,0
49,3,197,14,1,1,1,0,1,218,0,3,221,0
50,2,767,56,0,7,0,0,1,833,0,7,840,0
51,3,670,40,1,9,0,0,1,724,0,5,729,0
52,3,600,8,2,4,0,1,0,618,0,5,623,0
53,1,548,66,0,14,1,1,0,631,0,6,637,0
54,1,638,21,1,16,1,0,1,679,0,3,682,0
55,0,629,65,0,16,0,0,0,710,0,9,719,0
56,2,645,32,0,15,0,2,1,697,0,8,705,0
57,0,384,29,1,15,0,0,0,429,0,1,430,0
58,1,452,35,1,7,0,0,0,496,0,7,503,0
59,0,93,506,0,31,0,0,0,630,0,11,641,0
60,4,158,326,0,18,0,0,0,506,0,11,517,0
61,5,777,42,1,10,1,0,2,838,0,9,847,0
62,0,585,35,0,9,0,0,2,631,0,10,641,0
63,1,519,251,1,27,1,2,0,802,0,7,809,0
64,2,172,508,2,47,0,4,1,736,0,6,742,0
65,8,707,84,0,20,0,2,0,821,0,8,829,0
66,0,513,44,1,9,0,1,0,568,0,2,570,0
67,5,518,38,3,12,0,1,0,577,0,7,584,0
68,7,613,60,1,15,0,0,3,699,0,15,714,0
69,6,802,74,2,13,1,0,1,899,0,12,911,0
70,4,732,39,2,13,0,0,1,791,0,6,797,0
71,2,809,43,1,46,1,0,0,902,0,11,913,0
72,2,665,60,1,10,1,0,0,739,0,10,749,0
73,1,462,28,0,7,1,0,1,500,0,3,503,0
74,0,791,16,1,14,1,1,0,824,0,15,839,0
75,4,706,52,1,26,1,0,0,790,0,16,806,0
76,1,729,39,0,11,0,0,1,781,0,9,790,0
77,6,765,50,2,7,0,3,0,833,0,17,850,0
78,1,770,71,0,17,3,1,0,863,0,18,881,0
79,0,610,45,1,10,0,0,0,666,0,8,674,0
80,2,712,40,1,8,0,3,0,766,0,19,785,0
81,1,717,58,0,17,0,1,0,794,0,16,810,0
82,3,860,49,2,16,0,1,1,932,0,17,949,0
83,2,673,51,2,10,0,1,1,740,0,22,762,0
84,1,682,25,1,15,0,0,0,724,0,10,734,0
85,1,655,19,1,10,0,0,0,686,0,1,687,0
86,4,836,63,4,22,0,0,0,929,0,14,943,0
87,3,564,223,0,40,1,0,1,832,0,12,844,0
88,5,623,24,0,2,0,0,0,654,0,18,672,0
89,3,68,386,0,41,1,0,1,500,0,7,507,0
90,0,43,450,0,57,0,0,0,550,0,10,560,0
91,3,71,752,3,85,1,1,1,917,0,21,938,0
92,1,189,497,3,72,0,0,1,763,0,8,771,0
93,1,503,83,1,24,1,1,0,614,0,11,625,0
94,0,309,290,0,13,0,0,2,614,0,10,624,0
95,0,802,102,1,30,0,0,0,935,0,16,951,0
96,1,60,616,1,70,1,0,1,750,0,14,764,0
97,2,58,628,5,88,2,0,0,783,0,10,793,0
98,7,346,141,1,4,0,3,6,508,0,5,513,0
99,2,85,219,3,4,1,0,0,314,0,4,318,0
100,6,147,238,1,7,0,0,3,402,0,3,405,0
101,3,553,69,0,21,1,1,1,649,0,9,658,0
102,2,576,39,0,7,0,1,0,625,0,8,633,0
103,3,644,47,1,14,1,0,2,712,0,9,721,0
104,4,758,63,0,11,0,0,0,836,0,10,846,0
105,4,780,77,1,14,1,0,0,877,0,19,896,0
106,2,868,49,2,4,1,1,0,927,0,7,934,0
107,1,736,81,0,24,2,1,1,846,0,26,872,0
108,2,483,43,0,10,0,1,1,540,0,8,548,0
109,4,378,52,0,14,0,1,1,450,0,9,459,0
110,4,652,64,0,9,0,1,1,731,0,8,739,0
111,2,512,66,1,8,2,0,0,591,0,6,597,0
112,2,609,84,1,16,0,3,0,715,0,11,726,0
113,5,483,29,1,5,1,0,1,525,0,10,535,0
114,2,779,71,0,19,1,0,0,872,0,14,886,0
115,1,849,55,0,26,3,0,1,935,0,15,950,0
116,0,531,41,1,11,0,0,1,585,0,16,601,0
117,0,444,40,0,12,0,0,0,496,0,12,508,0
118,1,856,45,0,21,0,0,0,923,0,11,934,0
119,1,823,55,1,17,0,0,1,898,0,11,909,0
120,0,825,57,2,11,0,0,1,896,0,14,910,0
121,7,544,27,2,10,0,0,0,590,0,16,606,0
122,2,620,39,0,14,0,0,1,676,0,9,685,0
123,7,208,172,3,14,0,1,1,406,0,4,410,0
124,4,874,72,1,21,1,0,1,974,0,22,996,0
125,1,900,58,0,12,0,2,0,973,0,10,983,0
126,3,622,31,0,15,0,0,0,671,0,11,682,0
127,1,510,305,3,15,0,0,1,835,0,12,847,0
128,0,511,19,1,17,0,0,0,548,0,7,555,0
129,3,998,33,0,11,0,0,0,1045,0,11,1056,0
130,2,769,27,1,9,0,0,0,808,0,20,828,0
131,2,500,15,1,6,0,0,0,524,0,5,529,0
132,4,662,28,0,17,0,0,0,711,0,17,728,0
133,1,548,24,0,16,0,0,0,589,0,6,595,0
134,1,844,38,0,18,1,0,0,902,0,12,914,0
135,0,703,41,0,6,1,0,0,751,0,9,760,0
136,3,524,30,1,13,0,0,1,572,0,8,580,0
137,1,579,16,0,8,1,0,0,605,0,16,621,0
138,3,914,44,3,20,1,0,0,985,0,11,996,0
139,0,659,39,1,11,0,0,2,712,0,17,729,0
140,1,484,26,0,12,0,0,1,524,0,9,533,0
141,5,527,107,4,14,1,3,1,662,0,15,677,0
142,5,784,22,0,3,0,1,3,818,0,6,824,0
143,4,506,145,2,9,2,3,5,676,0,9,685,0
144,1,831,35,4,5,0,2,1,879,0,10,889,0
145,5,700,27,1,8,0,0,0,741,0,6,747,0
146,1,722,32,0,20,1,0,1,777,0,8,785,0
147,1,737,43,1,8,0,2,1,793,0,21,814,0
148,3,838,55,1,10,0,0,1,908,0,21,929,0
149,2,917,38,2,19,0,0,0,978,0,12,990,0
150,0,645,34,0,10,0,1,0,690,0,7,697,0
151,9,744,103,1,14,1,0,4,876,0,16,892,0
152,1,716,30,0,26,1,0,0,774,0,8,782,0
153,2,646,25,0,20,1,0,0,694,0,16,710,0
154,4,822,80,2,15,1,1,1,926,0,21,947,0
155,6,691,38,2,13,1,0,0,751,0,12,763,0
156,2,400,113,1,10,0,1,1,528,0,9,537,0
157,1,384,130,0,21,1,0,1,538,0,7,545,0
158,3,394,196,2,14,1,1,2,613,0,3,616,0
159,0,682,39,1,3,1,2,0,728,0,7,735,0
160,12,375,178,1,25,2,2,5,600,0,10,610,0
161,6,375,71,1,9,1,1,3,467,0,8,475,0
