Serial No. of Polling Station,NO. OF VALID VOTES CAST IN FAVOUR OF CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHAI,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,,,,,
42,210,221,4,0,4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,443,0,1,444,0
43,109,217,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,331,0,0,331,0
44,136,224,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,368,0,2,370,0
45,185,309,4,0,2,0,0,0,0,1,0,0,0,0,0,3,4,0,0,0,1,0,0,0,0,509,0,3,512,0
46,167,147,1,0,1,0,0,0,0,0,0,2,0,0,0,3,0,1,0,1,0,0,1,0,0,324,0,3,327,0
47,115,406,4,3,1,0,0,0,2,1,0,1,2,0,11,9,4,2,2,0,1,0,0,0,0,564,0,3,567,0
48,190,269,10,1,4,1,1,0,0,0,1,1,2,3,2,5,4,2,0,1,0,1,1,1,0,500,0,1,501,0
49,124,393,4,1,0,2,0,0,1,1,1,1,0,0,3,6,2,2,2,1,0,1,0,2,0,547,0,2,549,0
50,77,131,2,2,0,0,1,0,1,1,1,1,1,2,2,2,1,3,0,1,0,1,0,0,0,230,0,5,235,0
51,189,465,11,2,1,0,2,0,1,0,0,1,0,1,5,11,4,8,2,1,2,0,1,0,1,708,0,3,711,0
52,132,535,8,2,0,2,0,1,0,0,0,3,1,2,3,5,1,1,0,0,1,2,1,4,1,705,0,3,708,0
53,174,208,8,1,0,3,0,0,0,0,2,3,0,0,1,10,4,2,1,1,0,0,0,1,1,420,0,2,422,0
54,205,73,2,1,1,0,2,1,0,0,1,1,0,0,3,15,7,1,0,1,0,0,1,0,1,316,0,3,319,0
55,96,87,3,3,2,1,1,0,0,0,0,2,0,0,1,7,2,2,1,2,0,0,1,0,5,216,0,11,227,0
56,272,195,4,3,2,1,3,0,0,0,0,0,3,3,3,11,8,1,1,0,2,0,1,1,1,515,0,0,515,0
57,39,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,133,0,1,134,0
58,197,326,4,0,2,0,1,1,1,0,1,2,0,2,1,9,3,2,0,0,0,1,3,0,1,557,0,3,560,0
59,119,162,3,0,1,0,0,1,0,0,0,0,1,0,1,2,1,0,0,0,0,1,1,2,0,295,0,1,296,0
60,176,272,4,1,0,2,2,0,1,0,0,0,0,1,1,5,5,0,0,1,1,0,1,1,0,474,0,1,475,0
61,21,76,1,0,0,0,1,0,1,0,0,0,1,0,3,3,0,0,0,0,0,0,1,0,0,108,0,0,108,0
62,71,91,1,0,1,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,0,171,0,0,171,0
63,127,262,5,0,0,0,0,0,1,0,1,0,1,0,1,6,2,2,0,0,0,1,0,0,0,409,0,2,411,0
64,75,230,3,0,1,0,4,0,0,2,1,2,0,0,2,16,2,2,2,0,0,1,2,0,0,345,0,4,349,0
65,60,260,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,327,0,0,327,0
66,159,380,4,0,1,0,0,0,0,1,2,0,0,0,1,5,2,2,0,0,2,0,1,0,0,560,0,3,563,0
67,103,322,6,0,1,0,2,0,1,0,0,0,0,0,0,5,3,2,0,0,0,0,2,2,1,450,0,3,453,0
68,29,500,3,0,0,0,1,0,0,0,0,2,0,0,8,1,1,2,0,0,0,0,0,0,0,547,0,1,548,0
69,58,362,4,2,1,0,0,0,0,0,0,0,0,1,3,5,5,4,2,0,0,0,1,1,1,450,0,5,455,0
70,291,51,3,2,0,2,1,0,1,2,3,1,0,0,1,9,9,1,0,0,0,0,0,0,1,378,0,1,379,0
71,132,366,4,1,1,0,0,1,0,1,0,0,0,0,1,5,6,1,0,0,0,0,0,0,2,521,0,3,524,0
72,323,107,7,2,1,1,1,2,0,2,1,2,5,1,3,7,3,1,0,0,0,0,0,1,1,471,0,3,474,0
73,677,213,11,5,6,1,0,1,1,1,1,3,1,3,0,43,12,2,2,0,2,2,0,2,1,990,0,3,993,0
74,562,157,9,4,8,1,0,2,2,3,0,4,3,2,5,24,14,5,0,1,2,0,1,2,2,813,0,10,823,0
75,33,226,2,0,3,1,0,1,0,1,1,0,2,1,0,1,0,0,0,0,2,0,1,1,3,279,0,3,282,0
76,86,180,1,1,0,0,1,0,2,0,0,0,2,1,0,1,6,2,0,0,0,0,0,0,1,284,0,3,287,0
77,81,205,10,2,0,1,1,0,1,1,1,3,2,0,1,7,1,0,0,2,2,1,0,0,2,324,0,1,325,0
78,28,220,2,2,1,3,0,1,0,0,0,1,0,0,1,8,2,0,1,0,1,1,0,0,0,272,0,2,274,0
79,247,371,4,2,1,3,1,2,2,2,1,1,2,1,4,5,7,12,1,0,1,2,0,1,0,673,0,1,674,0
80,105,195,8,0,0,0,0,0,1,0,0,0,1,1,3,3,1,4,3,0,0,0,2,0,1,328,0,0,328,0
81,67,121,1,0,0,0,0,1,1,0,1,0,1,1,2,7,0,1,0,0,1,0,0,0,0,205,0,3,208,0
82,163,133,1,0,0,0,0,0,0,2,0,0,1,0,1,4,0,1,1,0,1,0,1,0,0,309,0,0,309,0
83,82,333,5,0,9,0,0,0,0,0,0,0,1,1,1,0,2,3,0,0,0,0,0,1,1,439,0,5,444,0
84,127,252,5,1,4,0,0,1,0,0,1,0,0,1,0,4,2,1,1,0,1,0,1,0,1,403,0,11,414,0
85,313,423,5,0,8,1,1,1,1,1,1,1,0,0,4,12,3,1,0,0,1,2,0,1,1,781,0,13,794,0
86,66,379,1,1,6,0,0,1,1,0,0,1,0,0,1,2,3,2,0,0,0,0,0,0,0,464,0,7,471,0
87,65,289,2,1,6,2,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,1,1,0,372,0,4,376,0
88,46,418,0,0,2,1,1,0,0,0,0,1,0,0,0,1,4,2,0,0,0,1,2,0,0,479,0,7,486,0
89,45,422,1,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,480,0,8,488,0
90,58,524,0,1,1,0,0,0,0,1,0,1,0,0,0,1,2,10,1,1,3,0,0,0,1,605,0,1,606,0
91,60,417,0,1,10,2,1,1,1,0,0,0,0,1,1,2,0,1,0,1,0,0,0,0,0,499,0,6,505,0
92,33,244,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,0,0,0,0,0,0,0,0,284,0,2,286,0
93,187,231,6,4,2,0,0,2,0,0,0,5,1,2,5,32,5,2,1,2,0,0,0,0,3,490,0,9,499,0
94,31,186,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,222,0,3,225,0
95,83,352,1,0,1,0,0,0,0,1,0,1,0,2,1,1,9,2,0,0,1,0,1,0,1,457,0,2,459,0
96,152,305,1,0,1,0,0,0,0,1,0,1,1,1,2,6,0,1,0,1,0,0,0,0,0,473,0,2,475,0
97,36,149,1,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,1,1,194,0,0,194,0
98,100,216,5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,327,0,3,330,0
99,31,269,4,1,0,1,0,0,0,0,0,0,1,1,2,2,0,1,0,0,0,0,0,1,0,314,0,2,316,0
100,76,425,0,1,1,0,2,0,0,0,1,0,1,0,0,2,0,2,1,0,0,1,0,0,1,514,0,4,518,0
101,91,450,4,0,2,0,1,2,0,1,0,0,1,1,5,9,3,0,2,2,0,0,1,2,1,578,0,10,588,0
102,66,541,4,0,4,0,0,0,1,0,0,0,0,0,2,4,2,2,0,0,0,0,0,0,0,626,0,9,635,0
103,41,70,2,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,122,0,0,122,0
104,127,228,2,0,4,0,0,0,0,2,0,0,0,1,1,7,0,0,1,0,1,0,0,0,0,374,0,5,379,0
105,151,695,2,2,1,1,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,1,0,0,860,0,9,869,0
106,93,161,2,2,2,2,0,0,0,1,0,3,4,3,6,19,3,1,3,0,0,0,3,1,0,309,0,3,312,0
107,216,128,2,0,0,0,0,0,1,1,1,3,0,2,4,6,3,2,0,0,1,0,0,0,0,370,0,2,372,0
108,252,274,0,0,3,0,0,1,1,0,1,0,1,1,1,4,4,3,0,0,0,0,0,0,0,546,0,1,547,0
109,325,180,3,3,3,0,1,0,0,0,0,2,1,3,3,6,1,1,0,1,0,0,0,0,0,533,0,3,536,0
110,205,182,2,1,1,0,0,2,0,0,3,2,1,0,3,8,2,2,1,0,0,0,1,2,0,418,0,3,421,0
111,116,197,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,319,0,2,321,0
112,13,424,6,0,0,0,0,0,0,1,0,0,0,2,1,3,2,2,1,0,0,0,0,0,1,456,0,1,457,0
113,211,120,2,0,1,0,2,1,0,3,1,3,3,3,7,9,4,1,2,2,0,1,1,2,3,382,0,4,386,0
114,31,142,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,180,0,1,181,0
115,79,361,1,1,0,0,0,1,0,0,1,3,0,0,1,1,1,2,0,0,0,0,0,0,0,452,0,0,452,0
116,43,173,2,0,1,0,0,0,0,0,0,1,1,0,1,7,1,1,0,0,0,0,2,0,0,233,0,1,234,0
117,3,70,3,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,80,0,0,80,0
118,69,168,4,2,0,0,0,1,0,1,0,0,0,0,2,10,1,3,1,0,2,2,1,0,0,267,0,2,269,0
119,69,298,2,1,1,0,2,1,1,0,0,0,0,0,1,0,3,4,1,0,0,0,2,1,2,389,0,4,393,0
120,146,149,4,1,0,0,1,0,0,0,0,4,2,0,4,6,2,0,0,0,2,0,0,1,1,323,0,0,323,0
121,269,184,3,0,0,0,1,0,0,0,0,0,0,2,1,3,5,1,0,1,0,0,1,0,1,472,0,1,473,0
122,208,193,8,1,1,1,0,0,0,0,0,2,1,1,0,11,2,1,0,0,1,1,0,2,1,435,0,1,436,0
123,156,244,2,0,1,0,0,0,0,0,1,0,0,0,4,6,4,3,2,0,0,0,0,0,1,424,0,2,426,0
124,132,226,4,1,0,1,2,1,0,0,0,1,1,0,2,2,7,2,0,0,0,0,0,0,1,383,0,4,387,0
125,133,153,1,0,0,0,0,1,0,1,0,1,0,2,3,5,1,2,2,1,0,0,0,1,2,309,0,7,316,0
126,446,119,10,1,0,0,0,0,0,1,0,1,0,0,1,9,6,0,0,0,0,1,0,0,1,596,0,3,599,0
127,326,322,4,0,3,0,0,0,0,1,0,1,0,0,4,11,5,4,2,0,0,1,1,0,2,687,0,5,692,0
128,195,102,5,1,1,0,0,0,0,0,0,1,1,1,8,5,1,0,0,0,0,0,0,0,0,321,0,4,325,0
129,108,359,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,471,0,1,472,0
130,47,434,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,484,0,0,484,0
131,191,237,4,0,0,1,1,0,2,0,0,2,0,0,2,1,5,1,1,0,0,0,0,1,1,450,0,0,450,0
132,123,170,3,1,0,0,0,0,0,0,0,0,0,1,3,11,1,0,0,1,0,0,0,0,0,314,0,2,316,0
133,263,253,9,0,2,0,0,0,0,0,1,2,2,5,3,5,3,1,1,0,0,0,1,1,0,552,0,2,554,0
134,62,218,5,1,1,1,1,0,1,0,1,0,2,1,3,13,1,2,0,0,1,0,0,0,1,315,0,4,319,0
135,127,279,4,0,0,1,0,0,0,0,1,0,0,2,1,3,0,0,0,0,0,0,0,0,1,419,0,7,426,0
136,296,135,2,0,1,0,0,1,0,0,0,0,0,0,2,6,1,3,0,0,1,0,0,1,2,451,0,1,452,0
137,77,218,6,1,1,0,0,0,0,1,2,0,0,2,1,3,2,2,0,0,0,0,1,0,1,318,0,4,322,0
138,63,446,8,1,0,1,1,3,1,0,2,1,1,2,6,10,3,2,3,0,2,0,0,1,1,558,0,2,560,0
139,29,415,3,2,1,2,1,0,1,2,0,3,2,4,3,4,1,0,4,1,1,0,0,3,0,482,0,6,488,0
140,23,392,4,0,0,2,0,1,0,1,1,2,0,1,2,3,0,1,0,0,1,0,2,0,0,436,0,2,438,0
141,87,209,3,1,2,0,1,1,1,0,0,0,1,0,1,1,2,2,1,1,0,0,2,0,0,316,0,1,317,0
142,158,188,5,0,2,0,1,0,0,1,0,4,0,0,3,1,4,1,0,1,1,1,0,1,1,373,0,3,376,0
143,14,428,8,1,0,0,2,1,1,1,17,0,0,1,2,4,3,4,2,1,1,1,2,1,1,496,0,7,503,0
144,25,482,3,2,1,2,1,0,0,2,30,0,1,0,3,2,2,2,2,14,0,0,0,0,0,574,0,5,579,0
145,452,34,0,0,3,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,494,0,0,494,0
146,9,356,3,0,0,2,0,2,0,0,16,0,0,0,8,1,0,1,1,0,0,0,0,0,0,399,0,1,400,0
147,287,83,1,1,0,1,0,0,0,0,0,0,0,1,1,3,2,1,1,0,1,0,1,1,0,385,0,1,386,0
148,220,81,1,0,0,0,0,0,0,1,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,309,0,1,310,0
149,303,195,2,0,5,0,0,0,0,1,0,3,0,1,3,9,11,2,0,1,1,1,0,0,2,540,0,3,543,0
150,185,302,1,1,34,0,2,3,1,0,0,1,2,0,2,5,1,5,1,0,1,1,1,2,1,552,0,5,557,0
151,252,361,2,0,33,1,1,1,1,1,2,1,0,3,6,3,3,3,1,2,0,1,0,1,1,680,0,3,683,0
152,190,113,2,0,8,0,1,0,0,0,0,0,0,1,1,4,3,0,1,0,0,1,1,0,0,326,0,2,328,0
