polling station,,,,,,,,,,,,,,,,total,No. of Rejected Votes,Total,Number of tendered votes
,Parmar Maganbhai Amarabhai,Rathod Bhavsinhbhai Dahyabhai,Liladharbhai Khodaji Vaghela,Govindji Okhaji Thakor,Jakasiji Jogaji Thakor,Parmar Bhaichandbhai Somabhai,Babubhai Karshanbhai Rabari,Imrankhan Mahmadkhan Nagori,Chhaganbhai Naranbhai Prajapati,Jagrala Imran Mahemud,Desai Ishwarbhai Mahadevbhai,Bhoraniya Soyabbhai Hasambhai,Molapiya Abdulkudus Abdulmajid,Vaghda Jivabhai Devabhai,None Of The Above,,,,
213,8,101,475,1,0,0,0,1,3,0,1,0,5,2,1,598,0,598,0
214,13,96,439,1,4,0,0,3,1,2,0,3,7,5,5,579,0,579,0
215,3,70,109,0,0,1,1,1,1,0,0,0,0,1,1,188,0,188,0
216,4,91,110,0,1,1,1,1,0,2,0,1,1,2,0,215,0,215,0
217,4,81,534,5,0,0,1,1,1,0,1,1,3,6,8,646,0,646,0
218,24,241,294,3,1,0,0,0,1,0,0,0,4,3,7,578,0,578,0
219,6,16,203,3,0,0,0,0,0,1,0,1,0,2,1,233,0,233,0
220,5,56,311,5,2,0,1,1,1,0,0,0,3,9,5,399,0,399,0
221,5,63,459,4,1,1,0,2,2,0,0,1,3,2,11,554,0,554,0
222,19,53,499,1,1,1,0,0,3,1,0,0,1,1,3,583,0,583,0
223,8,65,364,6,1,1,1,0,3,1,4,6,8,8,8,484,0,484,0
