Serial No of polling station,NO. OF VALID VOTES CAST IN FAVOUR OF,,,,,,,,,,,,,,,,,,,,,
,Koli Patel Somabhai Gandalal,Parmar Minaxiben Vijaybhai,Fatepara Devjibhai Govindbhai,Jethabhai Manjibhai Patel,Bar Ajmalbhai Karmanbhai,Majethiya Samaratbhai Jerambhai,Chavda Palabhai Nanjibhai,Parmar Prabhubhai Gokalbhai,Parmar Vashrambhai Bavalbhai,Makwana Ukabhai Amrabhai,Makwana Vasharambhai Karshanbhai,Mansinh Shivubha Zala,Vadaliya Kalubhai Malubhai,Vaghela Prakashbhai Bachubhai,Vora Bhavanbhai Devjibhai,Sapara Vipulbhai Rameshbhai,Sankaliya Gangarambhai Tapubhai,Total of Valid votes,No. of rejected Votes,Nota,Total,No. of tender ed votes
63,130,14,229,5,2,0,3,1,0,0,1,2,2,8,3,11,7,418,0,1,419,
64,75,4,189,2,1,2,0,2,1,1,3,3,2,7,5,11,8,316,0,1,317,
65,149,13,353,12,2,3,2,2,1,3,3,0,0,4,4,10,11,572,0,25,597,
66,22,3,76,2,0,0,1,0,0,1,0,0,0,0,0,0,1,106,0,1,107,
67,196,2,392,12,0,0,1,0,2,0,3,0,3,3,2,18,3,637,0,3,640,
68,224,7,393,11,5,2,0,0,1,1,0,4,3,3,2,11,5,672,0,6,678,
69,543,1,57,1,0,0,0,1,0,0,1,4,2,1,3,18,13,645,0,4,649,
70,424,4,33,4,0,0,1,2,1,1,1,0,1,1,1,5,7,486,0,2,488,
71,686,3,44,3,2,2,1,1,1,0,0,2,2,5,5,23,13,793,0,4,797,
72,92,0,34,1,0,0,0,0,0,2,0,0,1,0,1,0,4,135,0,2,137,
73,67,9,335,11,1,0,2,3,1,0,3,4,4,10,11,12,6,479,0,3,482,
74,234,8,172,6,2,0,1,0,2,1,0,2,6,3,3,6,9,455,0,2,457,
75,133,1,373,9,0,0,1,0,1,0,0,1,2,11,2,5,5,544,0,3,547,
75,12,5,206,2,1,0,1,0,0,0,0,0,2,12,0,1,1,243,0,2,245,
76,262,10,318,14,1,0,1,2,1,1,2,0,2,3,5,4,12,638,0,13,651,
77,115,8,358,5,2,4,1,5,3,1,1,1,7,12,7,9,6,545,0,5,550,
78,298,19,480,16,2,3,4,7,7,4,7,5,5,11,11,34,6,919,0,4,923,
79,418,6,318,11,3,0,0,1,1,6,4,1,2,9,6,15,16,817,0,4,821,
80,257,11,458,19,3,2,1,0,0,0,2,2,3,10,1,5,3,777,0,5,782,
81,261,3,313,7,0,0,0,0,0,0,0,0,0,0,1,6,4,595,0,4,599,
82,78,4,312,4,2,0,0,2,0,0,0,0,1,5,1,0,4,413,0,5,418,
83,144,0,337,13,0,0,0,0,1,0,0,0,1,0,0,1,4,501,0,7,508,
84,62,0,335,5,0,0,0,0,0,1,0,0,1,4,0,0,0,408,0,7,415,
85,71,5,429,5,1,1,2,0,1,0,0,2,0,15,2,6,1,541,0,4,545,
