Serial No. of Polling Station,Number of Valid Votes Cast in Favour of,,,,,,,,,,,,,,Total of valid votes,No. of Rejected Votes,NOTA,Total,Total No. of tendered votes
,Chaudhary Haribhai Parthibhai,Patel Joitabhai Kasnabhai,Mahant Parsotamgiri Turantgiri,Choudhary Adambhai Nasirbhai,Sanjaykumar Somnathbhai Raval,Gamar Vadhabhai Radhabhai,Thakor Bhupataji Ravaji,Dabhi Navajibhai Madhabhai,Babaji Thakor,Mahendrabhai Kesarabhai Bumbadia,Madhu Nirupaben Natvarlal,Shrimali Ashokbhai Balchndbhai,Solanki Dineshkumar Aljibhai,Solanki Saybabhai Nanabhai,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,314,148,3,8,1,1,1,1,0,2,5,5,5,8,502,0,14,516,0
2,202,131,3,0,1,0,1,0,1,1,1,0,0,0,341,0,8,349,0
3,77,170,4,3,1,0,0,0,1,0,2,2,3,2,265,0,4,269,0
4,325,186,6,3,2,0,5,2,2,1,3,2,7,7,551,0,10,561,0
5,434,77,3,0,1,0,1,2,4,2,2,0,3,8,537,0,32,569,0
6,242,139,5,0,0,1,1,0,1,2,2,2,6,6,407,0,13,420,0
7,502,135,5,1,1,1,0,2,1,1,0,1,6,4,660,0,17,677,0
8,186,226,6,0,4,0,0,0,1,2,0,2,2,5,434,0,8,442,0
9,481,58,1,2,1,0,1,0,0,1,0,1,0,2,548,0,16,564,0
10,275,91,1,0,0,0,1,0,9,0,2,0,0,2,381,0,3,384,0
11,420,41,1,0,1,1,1,0,3,0,0,1,3,1,473,0,6,479,0
12,157,146,5,0,3,0,0,0,0,0,0,0,0,1,312,0,4,316,0
13,217,119,1,1,0,1,0,0,0,0,0,0,2,3,344,0,5,349,0
14,401,46,1,0,0,0,1,0,3,0,1,1,0,2,456,0,10,466,0
15,372,90,1,0,0,0,0,1,0,0,0,0,2,3,469,0,11,480,0
16,289,243,6,0,1,0,0,0,1,0,1,0,1,7,549,0,4,553,0
17,199,253,3,0,0,0,3,3,0,3,2,2,2,6,476,0,21,497,0
18,272,63,1,1,7,2,0,1,3,2,0,2,4,4,362,0,3,365,0
19,35,63,3,1,3,0,2,1,57,3,2,1,2,4,177,0,3,180,0
20,127,105,3,0,0,1,0,0,1,1,2,3,2,3,248,0,9,257,0
21,66,116,0,1,1,0,0,0,2,0,0,0,1,1,188,0,2,190,0
22,505,160,1,0,1,0,0,0,0,0,2,2,2,6,679,0,18,697,0
23,406,119,0,0,1,0,0,0,7,0,0,2,0,5,540,0,5,545,0
24,508,75,1,1,5,1,0,0,0,0,0,0,0,1,592,0,11,603,0
25,142,221,6,0,3,0,1,1,3,1,1,1,1,3,384,0,9,393,0
26,527,203,2,2,1,0,0,0,1,0,0,0,0,1,737,0,5,742,0
27,420,142,7,2,4,1,1,1,0,2,3,2,3,12,600,0,15,615,0
28,176,268,8,0,0,0,1,1,1,0,1,0,3,4,463,0,21,484,0
29,440,90,3,2,0,0,0,3,0,0,1,2,4,3,548,0,12,560,0
30,155,120,3,0,2,0,0,0,0,0,0,0,0,1,281,0,4,285,0
31,289,136,4,1,0,0,1,0,1,2,1,1,1,0,437,0,6,443,0
32,269,458,6,1,2,0,0,3,2,0,0,0,4,6,751,0,7,758,0
33,119,274,4,3,2,0,1,1,0,0,1,0,0,1,406,0,7,413,0
34,271,144,5,0,0,0,1,1,1,1,0,3,1,1,429,0,3,432,0
35,169,195,0,2,6,0,13,2,29,0,1,4,4,4,429,0,13,442,0
36,172,180,7,2,4,1,2,0,2,4,2,0,5,3,384,0,8,392,0
37,11,55,0,0,0,1,0,0,0,4,0,2,0,0,73,0,1,74,0
38,379,195,1,1,1,0,1,0,30,2,0,0,2,2,614,0,8,622,0
39,535,82,1,0,0,0,2,0,0,0,1,1,1,1,624,0,6,630,0
40,361,112,0,0,2,0,0,1,1,0,0,2,1,3,483,0,3,486,0
41,371,230,1,0,2,1,0,0,0,0,0,2,2,3,612,0,7,619,0
42,572,195,2,0,0,0,0,1,8,0,0,0,2,6,786,0,3,789,0
43,538,142,5,0,4,0,1,0,5,2,1,1,4,0,703,0,15,718,0
44,455,284,2,0,1,0,0,0,1,1,1,2,2,6,755,0,13,768,0
45,214,418,2,3,2,0,2,0,1,1,1,2,4,3,653,0,14,667,0
46,147,300,2,6,4,0,0,1,0,7,1,1,8,4,481,0,18,499,0
47,307,143,2,0,3,0,0,0,1,1,1,0,7,5,470,0,9,479,0
48,310,80,0,0,1,0,0,0,0,0,1,0,0,1,393,0,3,396,0
49,183,65,2,1,1,0,4,2,16,1,1,0,0,8,284,0,9,293,0
50,180,320,3,0,0,0,0,1,2,2,0,0,0,1,509,0,3,512,0
51,135,7,1,0,0,0,0,0,0,0,0,0,0,0,143,0,1,144,0
52,194,246,2,3,4,1,1,2,3,1,0,0,3,5,465,0,15,480,0
53,331,195,1,3,1,1,2,0,18,2,1,1,1,1,558,0,11,569,0
54,385,184,2,2,3,2,1,1,2,1,0,4,2,3,592,0,17,609,0
55,255,170,2,2,7,0,1,0,57,1,0,0,1,10,506,0,13,519,0
56,244,403,2,1,4,0,0,0,4,1,0,0,4,4,667,0,1,668,0
57,504,103,2,2,1,0,1,0,1,0,1,0,0,7,622,0,9,631,0
58,116,85,0,0,16,0,0,0,36,0,0,0,1,1,255,0,8,263,0
59,100,82,2,0,1,0,0,1,10,0,0,1,0,0,197,0,4,201,0
60,328,110,0,0,0,0,0,0,1,1,0,0,2,5,447,0,3,450,0
61,247,73,2,0,3,0,1,2,0,0,0,2,0,0,330,0,6,336,0
62,76,470,2,1,1,2,1,0,0,0,0,0,2,2,557,0,10,567,0
63,473,207,2,2,0,0,2,0,0,1,0,0,3,4,694,0,7,701,0
64,308,178,2,1,4,1,0,1,3,0,0,0,2,2,502,0,11,513,0
65,572,39,2,0,5,0,0,0,1,3,1,0,2,0,625,0,8,633,0
66,451,192,1,1,3,1,0,0,0,1,0,2,1,2,655,0,3,658,0
67,103,483,3,10,4,1,2,2,19,3,0,6,3,1,640,0,4,644,0
68,390,149,4,0,2,1,1,0,62,1,1,3,8,6,628,0,9,637,0
69,213,486,2,11,1,0,3,1,23,1,1,7,2,4,755,0,11,766,0
70,311,172,4,0,0,0,0,0,0,1,0,0,0,2,490,0,5,495,0
71,450,140,2,0,2,1,1,0,10,5,0,1,1,4,617,0,14,631,0
72,240,131,4,0,1,0,0,1,3,1,4,1,1,3,390,0,28,418,0
73,401,119,4,1,7,1,6,0,5,2,1,2,3,3,555,0,15,570,0
74,276,285,2,2,2,0,0,2,1,0,1,0,1,10,582,0,7,589,0
75,316,127,1,0,5,0,2,1,4,0,1,0,1,4,462,0,14,476,0
76,157,168,3,0,4,0,1,0,17,0,1,1,2,5,359,0,16,375,0
77,213,49,1,0,0,1,0,0,1,1,0,1,0,1,268,0,12,280,0
