polling station,,,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
,Gamit Movaliyabhai Nopariyabhai .,Chaudhari Tusharbhai Amarsinhbha i.,Chaudhari Revaben Shankarbhai.,Vasava Parbhubhai Nagarbhai.,Chaudhari Chandubhai Machalabhai.,Chaudhari Reniyabhai Shankarbhai.,Jagatsinh Laljibhai Vasava,Bhailalbhai Chhanabhai Rathod,Gamit Surendrabhai Simabhai.,Rathod Rameshbhai Bhikhabhai.,,,,,
1,22,564,17,216,3,0,4,7,5,14,852,0,31,883,0
2,19,479,13,245,4,2,0,4,7,9,782,0,27,809,0
3,9,327,4,275,12,0,2,4,5,4,642,0,10,652,0
4,18,533,14,253,6,2,2,7,12,14,861,0,23,884,0
5,3,252,7,270,5,0,3,2,3,1,546,0,15,561,0
6,7,166,8,207,7,3,4,5,1,5,413,0,17,430,0
7,10,704,13,136,6,2,29,5,12,13,930,0,43,973,0
8,9,324,7,175,4,1,6,1,0,3,530,0,3,533,0
9,2,378,8,222,2,1,1,4,1,7,626,0,16,642,0
10,7,449,11,265,3,1,3,0,4,7,750,0,14,764,0
11,10,454,7,191,6,1,3,4,5,4,685,0,18,703,0
12,7,463,5,152,3,1,5,4,5,2,647,0,14,661,0
13,3,193,1,424,10,0,0,0,1,0,632,0,9,641,0
14,8,141,2,416,12,0,0,0,0,0,579,0,6,585,0
15,5,79,4,432,12,0,1,0,0,0,533,0,5,538,0
16,8,311,6,150,0,1,0,4,1,2,483,0,12,495,0
17,14,664,9,117,1,1,2,2,4,1,815,0,6,821,0
18,3,325,4,97,3,0,0,0,2,5,439,0,6,445,0
19,3,448,7,257,3,0,1,2,2,7,730,0,14,744,0
20,6,275,6,69,1,0,1,1,2,2,363,0,6,369,0
21,3,204,3,428,5,0,4,4,1,4,656,0,13,669,0
22,2,209,3,197,2,2,2,1,0,3,421,0,7,428,0
23,8,372,9,163,3,1,1,2,5,5,569,0,4,573,0
24,8,485,6,106,1,0,5,2,3,4,620,0,9,629,0
25,4,474,9,97,3,1,5,2,1,3,599,0,5,604,0
26,8,607,8,73,1,0,1,1,1,4,704,0,4,708,0
27,8,641,9,155,1,1,1,7,4,4,831,0,24,855,0
28,7,584,7,48,0,2,4,0,2,10,664,0,9,673,0
29,6,293,2,55,2,0,0,0,0,0,358,0,2,360,0
30,5,360,9,353,3,0,1,1,3,5,740,0,15,755,0
31,6,357,3,309,3,1,3,3,4,10,699,0,10,709,0
32,4,177,5,201,2,2,0,0,2,4,397,0,6,403,0
33,2,474,9,436,7,1,1,1,4,3,938,0,14,952,0
34,9,387,6,269,3,1,3,2,2,6,688,0,9,697,0
35,7,500,11,183,6,0,0,7,4,12,730,0,31,761,0
36,15,583,10,131,4,0,1,5,2,2,753,0,11,764,0
37,10,567,9,244,8,5,1,4,5,10,863,0,38,901,0
38,5,389,7,189,3,0,1,4,1,2,601,0,20,621,0
39,2,383,5,98,4,0,1,2,3,6,504,0,13,517,0
40,3,439,4,126,5,0,1,0,2,4,584,0,8,592,0
41,8,392,9,97,4,2,0,4,3,10,529,0,20,549,0
42,4,585,11,133,3,1,1,2,10,8,758,0,21,779,0
43,6,352,5,160,0,1,1,2,2,1,530,0,4,534,0
44,6,494,10,191,2,0,0,1,4,8,716,0,16,732,0
45,8,436,11,271,3,0,1,3,4,5,742,0,10,752,0
46,11,472,10,192,5,3,0,4,4,3,704,0,14,718,0
47,9,451,4,82,1,1,5,1,3,1,558,0,10,568,0
48,8,248,8,247,9,0,0,2,2,1,525,0,7,532,0
49,11,344,5,144,2,0,0,1,2,1,510,0,13,523,0
50,11,620,14,196,2,1,3,2,3,8,860,0,25,885,0
51,11,303,5,161,4,3,2,4,2,3,498,0,10,508,0
52,10,467,14,181,12,3,5,7,9,12,720,0,47,767,0
53,4,362,3,216,8,0,2,1,1,2,599,0,18,617,0
54,10,448,10,485,12,2,2,4,2,7,982,0,17,999,0
55,3,564,10,209,2,1,5,5,3,3,805,0,8,813,0
56,10,418,7,230,3,0,5,0,3,3,679,0,8,687,0
57,4,405,4,177,1,0,0,0,1,2,594,0,1,595,0
58,0,292,1,291,2,0,0,0,2,0,588,0,2,590,0
59,4,324,4,302,5,0,1,5,3,2,650,0,9,659,0
60,1,265,4,477,7,1,0,0,0,0,755,0,6,761,0
61,0,252,4,537,3,0,2,1,2,0,801,0,12,813,0
62,3,218,6,623,3,0,0,1,0,2,856,0,6,862,0
63,1,135,2,339,9,0,0,0,0,0,486,0,2,488,0
64,4,233,5,303,11,1,2,1,0,1,561,0,10,571,0
65,1,312,3,280,3,0,2,0,0,0,601,0,10,611,0
66,0,148,0,395,8,3,0,0,0,0,554,0,3,557,0
67,2,315,2,397,6,0,2,4,1,0,729,0,6,735,0
68,4,399,11,262,5,3,1,3,4,5,697,0,9,706,0
69,1,291,2,277,3,1,0,0,1,0,576,0,5,581,0
70,1,418,2,94,2,0,0,0,2,0,519,0,7,526,0
71,0,320,2,248,10,1,3,1,1,0,586,0,7,593,0
72,4,438,1,321,10,0,1,1,0,7,783,0,16,799,0
73,2,316,5,374,7,1,0,1,0,3,709,0,12,721,0
74,7,288,6,466,8,1,2,4,0,1,783,0,5,788,0
75,6,275,7,484,7,0,3,2,3,5,792,0,6,798,0
76,2,181,4,319,1,0,1,0,1,2,511,0,4,515,0
77,0,309,3,564,2,1,1,0,0,0,880,0,6,886,0
78,7,301,9,382,2,0,0,2,1,5,709,0,13,722,0
79,1,202,4,416,2,0,0,1,0,1,627,0,9,636,0
80,1,127,5,413,5,1,0,3,0,0,555,0,10,565,0
81,1,133,2,668,2,1,0,0,0,2,809,0,8,817,0
82,6,215,11,605,12,2,3,10,4,4,872,0,32,904,0
83,13,167,6,347,12,1,0,2,2,4,554,0,14,568,0
84,0,133,0,406,6,0,1,0,0,1,547,0,9,556,0
85,2,84,11,544,2,0,1,0,0,0,644,0,10,654,0
86,6,390,16,197,8,0,10,4,7,13,651,0,11,662,0
87,8,401,6,175,2,0,8,1,4,6,611,0,8,619,0
88,3,126,0,141,0,0,2,0,3,2,277,0,4,281,0
89,6,373,7,211,3,3,3,4,5,4,619,0,8,627,0
90,2,565,12,119,2,0,2,1,2,3,708,0,10,718,0
91,1,235,3,172,2,0,1,1,3,5,423,0,11,434,0
92,6,574,10,189,1,0,4,7,3,2,796,0,13,809,0
93,8,580,9,79,5,2,1,1,2,3,690,0,9,699,0
94,10,289,5,156,2,1,2,0,2,4,471,0,5,476,0
95,2,313,2,277,5,1,0,1,1,5,607,0,13,620,0
96,4,131,1,139,6,0,0,0,0,3,284,0,10,294,0
97,12,472,4,172,5,4,3,3,2,5,682,0,16,698,0
98,7,522,8,103,3,5,2,3,2,4,659,0,20,679,0
99,5,300,8,165,6,1,0,1,2,2,490,0,10,500,0
100,7,344,13,139,2,0,2,0,2,3,512,0,7,519,0
101,4,342,2,94,1,0,1,1,2,6,453,0,9,462,0
102,7,268,9,127,2,1,1,2,3,9,429,0,20,449,0
103,4,348,9,186,7,0,0,4,7,7,572,0,7,579,0
104,5,295,12,249,2,0,11,7,2,1,584,0,15,599,0
105,7,377,7,161,4,0,0,1,1,4,562,0,10,572,0
106,8,366,6,172,6,1,4,1,0,9,573,0,24,597,0
107,3,173,1,254,4,0,3,1,3,1,443,0,5,448,0
108,2,293,2,161,3,1,2,1,2,4,471,0,10,481,0
109,1,279,7,205,10,2,11,1,0,7,523,0,7,530,0
110,6,374,3,153,6,1,3,0,1,2,549,0,3,552,0
111,7,341,18,65,4,0,1,2,3,2,443,0,13,456,0
112,3,385,6,108,3,1,3,2,3,2,516,0,10,526,0
113,28,405,20,338,8,2,1,2,3,9,816,0,22,838,0
114,2,215,3,72,2,0,0,1,0,1,296,0,3,299,0
115,6,234,6,124,3,0,0,1,0,6,380,0,8,388,0
116,7,449,11,321,7,1,2,8,6,10,822,0,19,841,0
117,4,154,5,198,9,0,0,1,2,4,377,0,8,385,0
118,8,462,16,292,8,2,2,3,3,10,806,0,27,833,0
119,9,418,15,214,2,2,1,5,4,5,675,0,12,687,0
120,11,506,8,235,5,1,0,3,3,3,775,0,9,784,0
121,10,315,8,207,5,0,1,2,4,4,556,0,13,569,0
122,9,383,12,164,7,2,0,1,1,1,580,0,6,586,0
123,1,224,2,202,4,0,2,5,3,1,444,0,8,452,0
124,5,281,5,186,7,1,0,3,3,5,496,0,6,502,0
125,5,450,10,300,8,0,5,2,3,9,792,0,18,810,0
126,11,627,6,131,4,1,1,2,2,2,787,0,16,803,0
127,7,119,4,56,0,0,2,2,2,2,194,0,3,197,0
128,2,215,7,359,1,0,0,1,5,4,594,0,6,600,0
129,12,404,7,243,2,2,0,5,2,3,680,0,15,695,0
130,6,481,11,215,3,0,1,2,2,3,724,0,7,731,0
131,10,344,18,213,2,1,0,2,2,3,595,0,10,605,0
132,3,231,4,208,2,1,0,1,3,7,460,0,6,466,0
133,10,291,11,249,5,0,1,3,2,4,576,0,13,589,0
134,6,427,6,129,3,0,1,0,2,7,581,0,11,592,0
135,10,444,6,152,2,1,0,0,2,3,620,0,7,627,0
136,1,330,9,193,3,0,2,0,2,0,540,0,4,544,0
137,0,385,7,143,3,1,3,2,3,3,550,0,5,555,0
138,7,503,9,161,5,2,3,4,5,5,704,0,6,710,0
139,4,289,5,134,1,0,0,3,1,5,442,0,11,453,0
140,6,197,3,59,0,0,1,2,0,1,269,0,2,271,0
141,8,310,5,292,1,0,0,4,1,6,627,0,5,632,0
142,7,353,10,98,1,0,0,4,3,5,481,0,16,497,0
143,13,528,10,128,4,3,2,3,6,3,700,0,8,708,0
144,10,725,11,240,7,3,2,2,8,4,1012,0,18,1030,0
145,22,372,8,125,5,0,1,3,5,3,544,0,18,562,0
146,11,551,15,79,0,1,0,0,4,1,662,0,3,665,0
147,11,425,11,78,4,2,0,1,4,4,540,0,17,557,0
148,18,725,9,197,1,2,3,3,7,5,970,0,18,988,0
149,32,607,17,71,3,0,5,5,5,15,760,0,32,792,0
150,8,482,5,53,1,0,3,1,2,6,561,0,11,572,0
151,13,299,15,190,6,1,1,4,4,12,545,0,15,560,0
152,9,342,10,296,9,3,21,5,3,3,701,0,14,715,0
153,5,413,10,146,4,0,2,2,1,4,587,0,6,593,0
154,2,216,6,126,4,1,1,0,1,3,360,0,3,363,0
155,5,399,8,215,4,2,2,2,3,5,645,0,6,651,0
156,4,356,4,104,3,1,1,1,2,2,478,0,9,487,0
157,12,300,5,161,6,1,1,3,8,3,500,0,12,512,0
158,11,619,16,138,2,1,5,7,5,12,816,0,16,832,0
159,22,365,13,139,2,0,1,0,1,3,546,0,12,558,0
160,8,503,11,112,2,0,0,2,4,7,649,0,14,663,0
161,6,550,7,115,2,0,3,8,2,6,699,0,14,713,0
162,6,379,8,53,2,0,1,2,3,2,456,0,7,463,0
163,4,303,10,177,1,1,1,3,1,4,505,0,4,509,0
164,12,697,16,99,3,0,0,5,3,5,840,0,10,850,0
165,7,146,4,319,3,0,1,2,8,9,499,0,15,514,0
166,2,164,4,210,2,3,0,0,1,0,386,0,5,391,0
167,7,166,8,459,5,0,1,2,2,5,655,0,11,666,0
168,9,274,3,317,4,0,1,1,2,2,613,0,8,621,0
169,2,119,7,455,8,3,1,3,9,5,612,0,10,622,0
170,0,253,4,403,4,2,1,4,2,0,673,0,4,677,0
171,5,495,3,278,2,4,3,4,2,7,803,0,14,817,0
172,10,194,5,409,7,1,2,3,5,6,642,0,24,666,0
173,10,240,3,412,5,0,0,2,0,5,677,0,9,686,0
174,5,166,12,131,7,1,3,5,5,10,345,0,14,359,0
175,9,330,3,286,2,0,0,4,1,3,638,0,8,646,0
176,3,280,1,62,2,1,0,4,2,5,360,0,7,367,0
177,3,232,3,34,0,0,1,1,0,3,277,0,11,288,0
178,5,562,3,208,2,1,3,2,2,5,793,0,11,804,0
179,18,417,15,279,9,1,5,3,12,9,768,0,32,800,0
180,3,189,5,158,1,0,0,3,4,2,365,0,4,369,0
181,26,337,10,163,10,5,5,9,9,9,583,0,17,600,0
182,7,186,8,256,12,1,5,3,2,4,484,0,19,503,0
183,20,345,14,272,5,1,2,1,6,2,668,0,10,678,0
184,9,381,5,33,0,0,2,0,1,3,434,0,5,439,0
185,6,435,4,39,2,0,0,1,1,6,494,0,9,503,0
186,13,508,5,133,3,1,1,2,3,2,671,0,7,678,0
187,7,194,9,139,2,0,7,0,1,3,362,0,10,372,0
188,2,174,7,207,2,1,3,4,2,1,403,0,1,404,0
189,5,181,3,156,5,1,1,2,1,1,356,0,4,360,0
190,5,258,7,195,5,1,1,0,3,3,478,0,7,485,0
191,15,600,15,69,3,0,0,4,3,11,720,0,16,736,0
192,9,308,2,10,0,0,0,1,4,4,338,0,9,347,0
193,22,568,21,186,8,4,3,10,9,28,859,0,63,922,0
194,14,586,12,145,4,3,1,4,3,7,779,0,15,794,0
195,8,312,5,309,15,2,2,1,3,5,662,0,9,671,0
196,14,245,5,191,1,0,1,0,3,5,465,0,4,469,0
197,6,425,10,199,4,2,1,9,2,5,663,0,11,674,0
198,4,243,9,289,5,1,1,3,0,6,561,0,6,567,0
199,5,421,6,283,2,1,0,0,6,2,726,0,8,734,0
200,9,284,5,305,7,1,1,5,4,9,630,0,22,652,0
201,4,157,4,188,4,1,1,0,2,4,365,0,3,368,0
202,5,261,12,240,2,0,1,3,4,8,536,0,17,553,0
203,7,276,6,543,3,2,1,2,6,4,850,0,11,861,0
204,8,222,10,260,3,1,1,1,0,3,509,0,6,515,0
205,6,273,8,198,3,1,1,2,3,1,496,0,5,501,0
206,15,346,5,143,3,1,3,3,2,3,524,0,11,535,0
207,7,383,7,116,3,0,0,6,4,7,533,0,8,541,0
208,14,464,11,140,1,0,1,2,2,3,638,0,3,641,0
209,14,444,13,390,14,3,0,1,4,4,887,0,6,893,0
210,6,432,7,120,4,1,1,3,6,3,583,0,21,604,0
211,12,298,11,235,8,3,2,4,7,10,590,0,14,604,0
212,16,86,13,349,12,4,3,4,5,9,501,0,22,523,0
213,12,255,20,543,16,1,4,5,9,13,878,0,22,900,0
214,6,82,8,422,8,4,4,8,4,8,554,0,18,572,0
215,6,168,7,308,4,0,0,4,4,4,505,0,11,516,0
216,6,161,12,350,1,2,2,1,2,7,544,0,9,553,0
217,24,231,16,415,17,3,5,12,5,4,732,0,21,753,0
218,7,235,13,386,17,6,1,5,2,9,681,0,24,705,0
219,2,192,13,383,7,2,2,13,9,7,630,0,20,650,0
