polling station,BHAMBHI CHANDUBHAI MULCHANDBHAI,RATHOD DIPSINH SHANKARSINH,SHANKERSINH VAGHELA BAPU,PATEL BHOGILAL HARIBHAI,SHEKH ARIF KHAN,PATEL ISHWARBHAI SAKRAJI ,PATEL PURUSOTTAMBHAI AMBALAL,BALUSINGH SOMANSINGH NARVE,VELANI SHANTILAL KARAMSHI,SOLANKI CHHAGANBHAI KEVALABHAI,NOTA,valid,Rejected Votes,Total Votes,Tender Votes
1,18,300,230,2,1,0,1,1,3,5,8,569,0,569,0
2,2,335,60,2,0,1,0,1,1,2,3,407,0,407,0
3,12,305,172,3,2,1,2,0,2,5,11,515,0,515,0
4,7,220,80,6,0,1,0,0,2,1,5,322,0,322,0
5,10,288,171,2,0,3,3,1,3,2,3,486,0,486,0
6,4,383,196,6,0,1,1,0,4,3,4,602,0,602,0
7,3,260,126,6,0,0,0,0,1,1,13,410,0,410,0
8,6,272,116,10,1,1,1,1,0,0,10,418,0,418,0
9,3,132,308,5,1,0,1,2,0,1,8,461,0,461,0
10,4,117,486,1,0,1,0,0,0,1,1,611,0,611,0
11,8,148,524,1,0,0,0,1,2,1,7,692,0,692,0
12,4,115,566,6,2,0,0,0,2,8,10,713,0,713,0
13,14,508,164,8,2,1,4,2,7,14,23,747,0,747,0
14,13,546,123,4,0,1,1,1,5,10,7,711,0,711,0
15,9,365,172,1,0,0,1,2,2,3,15,570,0,570,0
16,1,438,93,1,1,0,0,0,1,1,16,552,0,552,0
17,4,255,176,0,1,0,0,0,0,2,3,441,0,441,0
18,11,352,215,3,1,3,2,0,3,4,6,600,0,600,0
19,2,115,15,2,0,0,0,0,0,2,5,141,0,141,0
20,8,245,49,2,0,0,0,1,2,0,14,321,0,321,0
21,3,358,138,0,1,0,0,0,0,4,5,509,0,509,0
22,5,374,214,4,0,1,1,2,0,5,14,620,0,620,0
23,2,156,436,3,1,1,1,0,0,2,6,608,0,608,0
24,4,158,669,2,0,1,0,0,1,4,9,848,0,848,0
25,4,51,390,0,0,0,0,2,1,0,0,448,0,448,0
26,12,155,415,7,0,1,2,1,1,2,19,615,0,615,0
27,3,42,539,3,2,2,0,1,3,2,3,600,0,600,0
28,2,70,422,3,1,1,0,0,0,2,1,502,0,502,0
29,3,8,604,2,0,0,0,0,0,0,4,621,0,621,0
30,5,204,447,3,2,1,0,1,2,9,11,685,0,685,0
31,4,24,531,2,0,0,0,0,0,0,0,561,0,561,0
32,5,388,136,2,0,0,1,2,3,1,1,539,0,539,0
33,5,216,325,1,0,1,1,0,5,4,8,566,0,566,0
34,12,285,384,4,3,1,0,0,2,1,17,709,0,709,0
35,21,481,240,1,0,1,1,1,3,9,16,774,0,774,0
36,1,288,71,1,0,0,0,1,1,0,3,366,0,366,0
37,10,62,606,8,2,2,1,2,1,2,21,717,0,717,0
38,18,139,364,10,1,1,3,2,3,4,27,572,0,572,0
39,8,453,124,2,2,0,1,1,2,3,12,608,0,608,0
40,5,93,113,3,2,2,0,0,2,2,9,231,0,231,0
41,3,27,739,8,0,0,0,2,1,0,3,783,0,783,0
42,3,50,446,4,1,0,1,3,1,1,11,521,0,521,0
43,24,208,272,2,1,0,0,3,3,3,13,529,0,529,0
44,3,32,696,3,2,1,1,2,1,3,5,749,0,749,0
45,4,14,978,4,1,1,2,1,0,1,12,1018,0,1018,0
46,7,165,355,2,2,3,2,4,1,3,8,552,0,552,0
47,13,80,499,8,4,0,2,0,3,2,7,618,0,618,0
48,5,52,231,7,3,3,0,1,1,4,13,320,0,320,0
49,10,447,93,3,0,0,1,0,0,1,4,559,0,559,0
50,12,323,95,1,0,0,0,2,0,0,17,450,0,450,0
51,13,435,254,5,0,2,1,1,6,5,10,732,0,732,0
52,6,225,253,5,0,1,0,2,3,4,13,512,0,512,0
53,2,38,410,3,0,0,0,0,1,0,0,454,0,454,0
54,1,69,405,0,0,0,0,1,1,0,1,478,0,478,0
55,1,78,323,4,1,1,0,1,1,3,8,421,0,421,0
56,1,17,456,1,0,0,0,0,0,0,3,478,0,478,0
57,8,303,233,6,2,0,1,2,6,3,11,575,0,575,0
