Serial No. of Polling Station,No. of Valid votes cast in favour of,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA option,Total Votes,Total No. of Tendered Votes
,KACHHADIYA NARANBHAI BHIKHABHAI,THUMMAR VIRJIBHAI KESHAVBHAI (VIRJIBHAI THUMMAR),DAFADA RAMJIBHAI NANJIBHAI,CHAVADA MANUBHAI PARSHOTTMBHAI,RATHOD JIVANBHAI R.,SANGANI VIJAYBHAI DINESHBHAI,SUKHADIYA NATHALAL VALLABHBHAI,USMANBHAI P. MAGHARA,JADAV MUSTAKBHAI,DHIMECHA NARESHBHAI NANJIBHAI,NATHABHAI DAYABHAI TOTA,MEHULBHAI HIMATBHAI SUKHADIA,RAMANI SURESHBHAI DHIRUBHAI,VALODARA VRAJLAL JIVABHAI,,,,,
1,194,142,1,1,0,0,2,0,0,1,0,1,1,1,344,0,4,348,0
2,172,208,4,2,0,0,0,0,0,0,0,0,1,1,388,0,2,390,0
3,167,119,5,1,1,0,1,0,1,0,0,0,2,4,301,0,7,308,0
4,230,180,2,1,1,1,1,1,0,1,1,0,1,2,422,0,6,428,0
5,229,326,5,0,0,1,1,0,2,0,0,0,2,2,568,0,7,575,0
6,364,223,18,7,1,2,3,0,0,1,3,3,7,7,639,0,18,657,0
7,252,370,8,3,2,1,3,0,1,3,6,1,2,8,660,0,17,677,0
8,293,187,7,4,1,2,9,0,1,1,1,1,5,5,517,0,11,528,0
9,255,142,9,8,1,0,3,0,0,2,2,3,8,6,439,0,18,457,0
10,324,168,6,2,0,0,2,0,0,0,3,1,2,5,513,0,7,520,0
11,287,59,4,1,1,0,2,0,1,2,2,1,7,3,370,0,11,381,0
12,153,92,2,3,0,1,3,0,1,0,0,1,2,3,261,0,1,262,0
13,289,80,1,0,0,2,1,0,1,0,1,0,1,3,379,0,10,389,0
14,178,198,4,13,0,0,3,1,1,1,2,0,1,5,407,0,5,412,0
15,174,109,2,0,0,0,4,1,1,1,2,3,0,3,300,0,4,304,0
16,198,251,4,2,3,4,2,2,0,1,0,2,2,2,473,0,7,480,0
17,221,101,5,1,0,1,0,2,0,0,1,0,1,1,334,0,7,341,0
18,437,128,3,10,1,0,8,2,0,2,0,2,9,8,610,0,16,626,0
19,315,217,8,8,2,0,1,0,3,3,4,3,4,6,574,0,15,589,0
20,158,202,3,1,0,0,1,0,0,0,1,0,1,0,367,0,5,372,0
21,324,142,5,3,1,2,8,0,1,1,1,1,4,3,496,0,4,500,0
22,217,173,6,14,1,0,0,0,1,1,1,1,6,9,430,0,14,444,0
23,228,99,5,30,1,0,15,3,2,2,7,3,6,6,407,0,16,423,0
24,355,33,0,0,0,1,0,1,0,1,0,0,3,2,396,0,10,406,0
25,143,70,1,2,0,2,2,1,0,0,0,1,2,3,227,0,6,233,0
26,159,75,1,0,0,1,3,3,4,0,0,0,3,5,254,0,13,267,0
27,162,139,3,0,0,1,6,0,0,2,4,1,3,7,328,0,10,338,0
28,116,86,4,6,0,9,2,1,0,2,1,2,3,0,232,0,6,238,0
29,90,65,2,12,2,22,15,1,1,3,2,0,2,0,217,0,2,219,0
30,190,149,3,8,0,0,4,1,0,0,2,2,3,5,367,0,11,378,0
31,152,222,6,3,0,0,2,2,2,2,1,2,2,7,403,0,10,413,0
32,143,137,0,1,0,0,1,0,0,1,0,0,2,0,285,0,4,289,0
33,128,134,7,4,0,1,2,1,0,1,0,1,1,1,281,0,5,286,0
34,286,111,1,14,0,1,3,1,1,0,3,0,0,5,426,0,9,435,0
35,130,112,4,21,1,4,3,2,1,1,2,2,2,5,290,0,8,298,0
36,260,151,1,3,0,0,2,0,1,2,2,0,4,6,432,0,12,444,0
37,147,208,8,1,0,5,2,2,0,0,1,2,2,5,383,0,1,384,0
38,188,29,4,15,1,0,3,0,3,1,10,3,4,3,264,0,13,277,0
39,210,61,3,43,1,1,4,1,1,6,9,4,4,1,349,0,6,355,0
40,189,99,4,14,2,1,3,2,2,1,6,0,5,4,332,0,8,340,0
41,161,176,5,4,2,3,3,1,0,2,0,1,8,6,372,0,3,375,0
42,177,70,2,0,0,1,2,2,0,1,2,1,4,0,262,0,9,271,0
43,299,138,2,2,2,1,3,2,2,3,1,2,3,2,462,0,12,474,0
44,275,105,6,1,2,0,1,1,1,0,0,1,1,4,398,0,17,415,0
45,269,161,3,3,1,1,4,1,1,1,1,2,6,6,460,0,17,477,0
46,159,102,2,19,0,1,2,2,0,1,2,0,3,7,300,0,13,313,0
47,320,124,7,71,0,2,0,2,0,1,1,4,4,3,539,0,12,551,0
48,162,86,5,1,1,3,4,2,0,0,0,0,6,3,273,0,9,282,0
49,311,145,6,4,2,2,9,3,1,0,1,0,6,4,494,0,10,504,0
50,173,218,6,2,0,2,1,1,1,1,0,2,5,13,425,0,16,441,0
51,244,134,0,2,0,1,7,0,1,0,0,1,1,5,396,0,19,415,0
52,197,75,0,6,2,0,1,0,0,2,2,0,2,2,289,0,12,301,0
53,109,49,2,0,1,1,2,3,0,1,1,0,2,3,174,0,5,179,0
54,33,83,2,2,0,1,1,0,1,0,0,1,0,0,124,0,0,124,0
55,178,106,3,1,0,1,2,1,0,3,5,2,2,8,312,0,4,316,0
56,100,59,2,0,0,0,1,0,0,0,0,0,1,1,164,0,1,165,0
57,279,62,1,1,0,2,11,1,2,1,1,1,7,2,371,0,12,383,0
58,201,91,2,1,0,0,5,1,0,0,2,3,3,2,311,0,8,319,0
59,208,57,1,3,1,0,1,0,0,0,0,1,0,1,273,0,8,281,0
60,208,75,1,4,0,0,2,1,1,0,0,0,2,4,298,0,13,311,0
61,213,189,9,1,2,0,1,3,0,1,1,3,8,6,437,0,16,453,0
62,263,136,6,1,0,2,5,1,0,0,1,1,4,4,424,0,7,431,0
63,84,219,2,2,1,2,1,0,0,0,1,1,1,7,321,0,2,323,0
64,245,179,5,43,1,2,1,1,1,4,4,2,1,8,497,0,6,503,0
65,176,181,2,14,1,0,2,1,1,2,2,1,1,9,393,0,11,404,0
66,248,274,6,8,0,1,2,0,0,2,0,0,2,10,553,0,12,565,0
67,116,138,0,2,2,1,1,1,1,1,0,0,4,3,270,0,9,279,0
68,98,125,4,6,0,0,2,0,0,1,1,2,1,2,242,0,5,247,0
69,210,64,0,0,0,0,3,0,0,0,1,2,2,0,282,0,2,284,0
70,220,118,4,22,0,0,2,1,0,0,1,1,4,4,377,0,7,384,0
71,164,196,6,3,4,0,1,1,1,0,0,1,4,6,387,0,4,391,0
72,130,125,0,4,0,1,5,1,0,1,0,1,2,2,272,0,3,275,0
73,186,79,2,0,0,1,0,0,0,1,0,0,1,2,272,0,5,277,0
74,339,125,3,6,0,0,2,4,0,2,3,2,4,1,491,0,11,502,0
75,177,366,11,7,1,1,1,4,1,2,9,1,2,6,589,0,10,599,0
76,271,69,3,12,1,0,5,0,1,2,0,1,2,3,370,0,8,378,0
77,311,67,3,6,0,0,1,1,0,0,1,0,3,2,395,0,14,409,0
78,215,203,7,1,2,3,8,1,1,2,0,0,2,7,452,0,24,476,0
79,180,76,0,2,0,0,1,0,0,0,0,0,1,5,265,0,5,270,0
80,239,182,2,2,1,0,6,1,1,0,6,0,3,3,446,0,10,456,0
81,291,233,9,8,2,0,1,1,2,0,3,1,7,6,564,0,14,578,0
82,260,201,8,30,2,0,2,0,1,1,6,1,3,11,526,0,26,552,0
83,352,328,2,6,0,1,5,1,0,1,1,0,4,4,705,0,8,713,0
84,298,379,2,5,0,0,5,3,2,0,0,0,4,5,703,0,7,710,0
85,167,411,2,1,0,0,1,4,0,0,1,0,0,7,594,0,5,599,0
86,278,223,2,4,0,0,2,1,1,0,2,4,3,2,522,0,12,534,0
87,345,257,2,2,0,2,7,3,0,0,0,0,3,3,624,0,18,642,0
88,204,82,1,2,0,0,2,0,0,0,0,0,1,0,292,0,5,297,0
89,330,71,1,8,0,0,3,0,1,0,0,1,1,2,418,0,5,423,0
90,505,70,2,6,0,3,9,1,0,1,1,0,1,2,601,0,8,609,0
91,360,61,1,3,1,0,5,0,1,0,0,1,1,3,437,0,11,448,0
92,262,39,0,8,0,0,2,1,0,0,0,0,0,1,313,0,3,316,0
93,336,164,6,9,1,1,3,1,0,1,0,3,7,4,536,0,9,545,0
94,272,236,1,9,1,0,6,0,2,0,6,0,5,2,540,0,16,556,0
95,221,116,5,1,1,0,2,2,0,2,55,1,1,4,411,0,9,420,0
96,254,79,3,1,2,0,2,1,0,2,18,1,0,1,364,0,8,372,0
97,332,141,0,6,1,0,1,0,0,0,1,1,2,4,489,0,9,498,0
98,300,96,2,4,0,0,4,7,0,0,1,1,1,1,417,0,10,427,0
99,349,159,2,2,0,0,1,0,0,0,1,0,5,4,523,0,13,536,0
100,284,135,0,2,0,0,1,0,0,0,0,2,0,0,424,0,10,434,0
101,284,292,5,2,2,1,7,1,0,1,1,3,4,3,606,0,11,617,0
102,226,411,9,2,1,1,3,4,0,1,3,3,4,12,680,0,19,699,0
103,557,106,11,9,1,0,4,0,0,1,0,0,3,3,695,0,15,710,0
104,459,198,5,10,2,0,5,0,0,1,25,3,2,3,713,0,31,744,0
105,255,174,4,32,2,0,4,0,0,1,1,0,6,4,483,0,10,493,0
106,255,97,2,6,0,1,5,0,2,0,0,3,4,5,380,0,11,391,0
107,243,114,1,5,0,0,2,0,0,1,0,0,1,0,367,0,8,375,0
108,339,128,1,10,1,1,1,0,0,1,3,1,5,2,493,0,4,497,0
109,312,234,8,65,1,1,2,5,1,3,1,2,2,12,649,0,13,662,0
110,449,175,2,48,2,2,8,5,3,3,5,5,11,11,729,0,26,755,0
111,268,116,2,73,4,2,1,1,0,1,4,3,4,2,481,0,13,494,0
112,139,144,2,32,1,0,0,3,1,1,3,0,1,8,335,0,7,342,0
113,272,144,4,55,4,2,1,2,3,1,2,0,4,3,497,0,11,508,0
114,278,123,6,60,0,1,6,0,0,1,4,2,0,7,488,0,13,501,0
115,313,256,10,63,4,5,17,4,3,2,8,7,9,8,709,0,12,721,0
116,351,137,7,11,3,3,7,5,1,1,4,2,4,13,549,0,10,559,0
117,183,83,5,14,0,1,1,3,0,0,2,3,14,4,313,0,5,318,0
118,218,268,5,17,0,3,0,1,2,1,2,1,6,11,535,0,13,548,0
