Sr. No. of Polling Station,Patel Himmatsingh Prahladsingh,Paresh Rawal,Rohit Rajubhai Virjibhai Alias Manojbhai Sontariya,Aditya Raval,Khalifa Samsuddin Nasiruddin(Jugnu),Dutt Aakash - Advocate,Dinesh Vaghela,Naranbhai T. Sengal (Dr. N.T.Sengal),Buddhpriya Jasvant Somabhai,Vijaykumar M. Vadhel,Atikbhai Mev,Anilkumar Sharma,Dashrathbhai M. Devda,Roshan Priyavadan Shah,Total No. of Valid Votes,No. of Rejected Votes',NOTA,Total,No. of Tendered Votes
168,718,17,0,0,1,0,16,0,0,0,0,0,0,0,752,0,8,760,0
169,621,22,0,0,3,0,15,1,0,2,0,2,0,0,666,0,4,670,0
170,482,21,0,2,0,0,4,0,0,1,0,0,0,0,510,0,0,510,0
171,670,37,0,0,0,1,19,0,0,1,0,0,2,1,731,0,5,736,0
172,550,15,0,0,0,0,19,0,0,0,0,1,0,0,585,0,4,589,0
173,746,26,1,1,1,0,10,1,1,0,1,2,0,4,794,0,12,806,0
174,690,22,2,0,1,1,14,1,0,0,2,2,0,0,735,0,3,738,0
175,569,22,1,0,1,1,8,0,0,0,1,0,0,1,604,0,9,613,0
176,441,30,2,1,0,0,5,1,0,0,0,0,1,1,482,0,1,483,0
177,352,418,6,0,0,0,9,0,0,0,0,0,1,2,788,0,10,798,0
178,395,419,6,0,2,1,6,1,1,0,0,0,0,1,832,0,9,841,0
179,97,563,1,1,0,0,1,0,0,0,0,0,1,0,664,0,9,673,0
180,461,323,3,0,1,0,7,0,0,0,0,0,0,1,796,0,4,800,0
181,85,594,5,1,0,1,9,0,0,0,2,0,2,2,701,0,9,710,0
182,400,178,6,0,0,0,3,0,0,0,1,0,1,2,591,0,7,598,0
183,456,250,1,0,1,2,17,0,0,1,0,0,1,0,729,0,4,733,0
184,90,642,4,1,0,1,1,0,0,0,0,0,0,1,740,0,1,741,0
