Polling Station,Number of Valid votes cast in favour of,,,,,,,,Total of Valid Votes,Total of Rejected Votes,NOTA (NONE OF THE ABOVE),Total,No of Tendered Votes
,Chudasama Rajeshbhai Naranbhai,Punjabhai Bhimabhai Vainsh,Atul Govindbhai Shekhda,Kadri Ibrahim saiyad Husen,Solanki Haribhai Boghabhai,Gadhiya Soyeb Husenbhai,Saiyad Altafhusen Abdulahmiya,Harilal Ranchhodbhai Chauhan,,,,,
207,156,220,6,0,0,0,0,3,385,0,6,391,0
208,249,178,5,1,2,2,1,0,438,0,7,445,0
209,368,122,3,1,1,0,0,0,495,0,5,500,0
210,574,121,3,1,0,0,0,1,700,0,11,711,0
211,134,177,2,1,0,0,1,0,315,0,5,320,0
212,197,102,1,0,0,0,0,1,301,0,1,302,0
213,172,291,7,0,0,0,1,4,475,0,5,480,0
214,163,288,3,0,2,1,0,5,462,0,4,466,0
215,437,117,4,2,1,1,0,5,567,0,10,577,0
216,437,128,5,0,3,0,2,6,581,0,13,594,0
217,416,108,6,3,0,1,1,5,540,0,20,560,0
218,367,86,4,1,0,1,0,1,460,0,8,468,0
