No Polling St.,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,Chuhan Kesavbhai Malabhai (Master),C.R.Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakuma r Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,,,,,
131,3,412,26,0,0,0,4,1,0,0,0,1,0,0,1,2,1,5,1,457,0,2,459,0
132,3,524,34,0,0,0,3,0,0,0,0,1,0,0,2,0,0,1,1,569,0,4,573,0
133,0,541,23,0,1,0,6,3,0,0,0,0,0,0,0,0,1,3,0,578,0,6,584,0
134,3,791,66,2,0,1,12,0,1,0,1,1,0,1,2,4,0,6,1,892,0,7,899,0
135,6,540,25,0,0,0,16,4,1,0,1,3,1,0,2,3,0,6,0,608,0,3,611,0
136,3,367,22,0,0,1,2,4,0,1,0,0,0,0,1,2,0,4,1,408,0,1,409,0
137,2,679,45,0,0,1,8,0,0,1,0,1,0,0,0,0,1,0,1,739,0,8,747,0
138,4,685,86,1,1,0,8,1,0,0,0,1,0,0,0,4,1,2,2,796,0,11,807,0
139,3,469,60,4,0,1,7,0,0,0,0,0,0,0,3,5,0,2,1,555,0,6,561,0
140,2,238,89,2,0,2,7,0,0,3,0,4,0,0,4,2,0,1,1,355,0,1,356,0
141,2,398,18,1,1,0,10,0,0,0,0,0,1,0,0,1,0,1,0,433,0,2,435,0
142,5,667,13,0,0,0,3,0,0,0,0,0,0,2,1,0,0,1,0,692,0,4,696,0
143,1,657,31,1,0,0,13,0,0,7,0,0,0,0,0,4,0,1,3,718,0,6,724,0
144,5,732,44,1,2,1,16,1,1,1,0,2,0,2,0,2,3,1,1,815,0,3,818,0
145,7,678,94,2,1,0,13,3,2,1,0,1,2,0,0,4,0,0,0,808,0,6,814,0
146,3,516,78,3,1,0,4,0,1,0,0,2,0,0,0,3,1,11,0,623,0,2,625,0
147,6,395,67,2,0,1,10,1,0,1,2,0,1,0,1,5,0,1,1,494,0,3,497,0
148,22,372,56,2,0,0,3,3,0,0,1,0,0,0,1,5,2,7,3,477,0,1,478,0
149,6,538,36,2,0,0,24,0,1,0,0,1,0,0,0,0,3,3,1,615,0,1,616,0
150,6,597,49,3,1,4,8,1,0,2,3,2,0,0,2,6,1,5,1,691,0,10,701,0
151,3,661,65,0,1,1,4,0,0,0,1,0,0,2,0,1,0,4,0,743,0,8,751,0
152,5,481,54,0,1,2,10,1,0,0,0,0,0,0,0,3,0,0,1,558,0,4,562,0
153,4,517,50,0,0,0,11,1,0,0,0,0,0,0,0,0,1,0,0,584,0,3,587,0
154,1,503,68,0,0,1,9,0,0,1,0,0,0,0,1,0,0,0,0,584,0,5,589,0
155,2,768,40,3,0,0,21,1,0,0,1,0,0,0,0,0,1,1,2,840,0,9,849,0
156,5,558,91,2,1,0,14,0,1,0,0,3,0,1,0,2,1,2,1,682,0,6,688,0
157,10,651,75,0,1,0,6,1,0,0,0,0,0,0,1,2,1,1,0,749,0,12,761,0
158,3,473,53,1,1,1,4,1,0,1,0,0,1,1,2,1,0,4,1,548,0,3,551,0
159,1,450,37,2,0,1,6,1,1,0,0,0,0,0,1,0,0,1,0,501,0,4,505,0
160,6,805,55,0,1,0,9,0,1,1,0,4,2,0,2,3,3,6,0,898,0,8,906,0
161,5,662,65,1,0,0,9,0,1,0,1,1,0,0,0,2,0,0,0,747,0,3,750,0
162,2,624,83,1,1,0,12,0,0,1,0,1,1,0,0,2,0,1,0,729,0,5,734,0
163,2,563,49,0,0,0,13,1,1,0,0,0,0,0,1,1,1,2,0,634,0,9,643,0
164,5,541,74,0,0,0,16,5,0,2,1,0,0,3,1,1,0,0,0,649,0,1,650,0
165,7,572,58,3,0,0,13,1,1,0,1,1,1,0,3,2,0,2,0,665,0,1,666,0
166,1,282,52,1,1,0,2,1,0,0,1,0,2,0,0,1,1,1,2,348,0,4,352,0
167,24,308,150,1,0,2,5,1,0,0,0,2,2,1,0,3,3,1,0,503,0,1,504,0
168,33,269,171,2,1,1,10,3,2,2,2,2,4,1,0,7,0,0,1,511,0,2,513,0
169,7,383,114,2,2,2,9,3,3,2,2,2,3,0,5,5,0,3,1,548,0,2,550,0
170,3,676,58,6,1,0,9,1,0,1,0,0,0,0,0,1,2,4,1,763,0,9,772,0
171,1,797,51,1,0,0,15,1,0,0,1,0,0,0,0,1,0,6,1,875,0,6,881,0
172,13,433,125,4,5,1,7,0,1,1,1,1,0,0,1,2,1,8,0,604,0,6,610,0
173,7,283,85,1,0,1,11,1,0,0,0,0,1,1,0,1,0,3,1,396,0,1,397,0
174,3,384,59,0,0,1,5,1,1,0,1,0,1,0,0,2,1,1,3,463,0,2,465,0
175,98,367,255,2,1,0,1,4,0,0,0,0,5,2,0,8,1,5,1,750,0,4,754,0
176,174,252,283,5,1,0,4,32,0,0,2,1,8,3,1,13,3,1,7,790,0,0,790,0
177,38,134,180,1,1,0,1,15,1,1,3,1,2,4,0,12,1,1,1,397,0,2,399,0
178,54,97,167,3,1,0,1,18,0,0,2,0,1,2,5,9,2,2,0,364,0,1,365,0
179,65,491,201,9,2,2,5,1,1,2,2,1,0,2,2,5,3,2,0,796,0,6,802,0
180,10,353,162,3,1,1,9,1,1,1,2,1,0,1,1,3,0,1,0,551,0,4,555,0
181,3,935,39,0,0,0,12,2,0,0,0,0,0,0,0,0,1,4,0,996,0,6,1002,0
182,42,394,306,7,3,0,13,31,1,3,3,1,2,2,3,9,0,0,0,820,0,6,826,0
183,1,469,55,0,0,0,12,1,2,0,0,1,0,1,0,1,2,0,1,546,0,7,553,0
184,19,570,106,2,1,0,7,3,1,2,0,2,0,2,0,4,2,2,0,723,0,0,723,0
185,141,170,263,3,2,0,3,6,2,3,0,0,3,4,2,11,5,3,1,622,0,0,622,0
186,79,175,421,5,2,0,3,6,1,0,0,4,1,1,1,6,4,3,5,717,0,1,718,0
187,76,208,387,4,4,2,1,5,0,1,4,3,1,1,3,9,3,2,3,717,0,3,720,0
188,1,201,124,1,0,0,4,3,1,2,0,2,1,2,2,3,1,1,0,349,0,2,351,0
189,4,170,164,1,0,1,0,0,0,0,2,1,0,3,0,0,0,1,1,348,0,0,348,0
190,3,119,130,2,0,0,2,2,2,1,0,1,1,0,0,2,0,1,1,267,0,0,267,0
191,1,145,121,3,1,1,7,1,0,1,0,2,0,1,2,5,1,4,3,299,0,2,301,0
192,12,305,114,1,1,0,10,0,1,0,1,0,0,3,0,6,1,0,2,457,0,1,458,0
193,18,215,187,3,1,0,1,1,2,0,0,1,2,1,0,3,4,1,3,443,0,1,444,0
194,15,448,99,0,1,0,6,0,0,0,0,0,0,1,2,2,1,0,0,575,0,0,575,0
195,16,326,105,0,2,0,13,1,0,0,1,0,0,0,2,4,0,6,1,477,0,3,480,0
196,4,506,79,0,0,0,16,0,0,1,0,1,0,0,0,2,0,0,0,609,0,3,612,0
197,2,692,84,0,0,0,9,1,0,0,0,0,0,0,0,2,1,2,1,794,0,9,803,0
198,7,526,77,1,0,0,9,0,0,0,0,0,0,0,0,3,0,1,0,624,0,10,634,0
199,3,408,150,0,1,1,6,0,0,0,1,0,0,0,0,3,0,1,1,575,0,5,580,0
200,1,371,125,2,0,0,11,2,1,0,0,0,0,1,1,2,1,5,0,523,0,4,527,0
201,6,232,319,4,1,0,4,0,0,0,0,1,1,3,3,10,3,1,2,590,0,1,591,0
202,8,408,176,1,1,1,4,1,0,0,0,1,1,0,1,7,0,1,1,612,0,5,617,0
203,4,443,52,0,0,0,20,1,0,0,0,0,0,1,0,0,0,1,1,523,0,5,528,0
204,11,297,235,3,1,2,7,2,1,0,3,0,0,2,2,8,1,4,4,583,0,4,587,0
205,5,186,255,1,0,0,5,0,0,1,0,2,1,2,5,4,1,1,3,472,0,2,474,0
206,5,106,255,2,0,0,9,0,0,1,0,1,0,2,2,1,2,0,2,388,0,2,390,0
206,12,174,293,2,2,1,4,4,0,0,1,0,2,3,2,8,2,0,1,511,0,1,512,0
207,3,161,341,3,0,1,3,1,0,0,0,1,1,3,2,5,1,0,4,530,0,2,532,0
208,9,132,485,2,1,0,12,0,0,0,0,0,2,1,3,4,3,3,5,662,0,3,665,0
209,9,127,496,3,1,1,7,1,3,1,0,2,2,5,3,4,2,1,3,671,0,2,673,0
210,4,76,412,6,3,0,4,1,1,0,0,2,2,5,1,6,0,2,5,530,0,3,533,0
210,3,159,504,2,2,0,7,0,0,3,2,1,1,4,1,7,5,3,9,713,0,6,719,0
211,6,261,412,4,0,1,12,0,1,4,0,1,3,3,2,2,0,2,0,714,0,3,717,0
212,3,734,55,1,0,0,7,0,1,0,0,0,0,0,1,2,2,2,1,809,0,6,815,0
213,7,465,211,2,1,0,7,0,0,0,1,1,0,0,1,0,2,1,0,699,0,4,703,0
214,2,644,56,0,0,0,8,1,0,1,1,0,0,0,0,2,1,10,1,727,0,5,732,0
215,10,288,105,1,0,0,4,0,0,1,1,3,0,0,0,1,0,0,0,414,0,0,414,0
216,3,565,68,3,2,0,11,1,0,0,0,1,0,0,0,1,1,0,0,656,0,0,656,0
217,7,454,103,4,0,0,10,0,0,0,0,4,1,1,5,3,0,2,1,595,0,2,597,0
218,12,646,130,3,1,0,6,3,0,0,0,1,0,2,0,4,3,3,3,817,0,3,820,0
219,15,713,115,0,0,0,13,0,0,0,0,0,0,0,1,1,1,1,0,860,0,7,867,0
220,11,620,77,1,0,0,12,2,0,1,0,1,1,1,5,4,0,4,1,741,0,5,746,0
