Serial No. of Polling Station,No. of Valid votes cast in favour of,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA option,Total Votes,Total No. of Tendered Votes
,KACHHADIYA NARANBHAI BHIKHABHAI,THUMMAR VIRJIBHAI KESHAVBHAI (VIRJIBHAI THUMMAR),DAFADA RAMJIBHAI NANJIBHAI,CHAVADA MANUBHAI PARSHOTTMBHAI,RATHOD JIVANBHAI R.,SANGANI VIJAYBHAI DINESHBHAI,SUKHADIYA NATHALAL VALLABHBHAI,USMANBHAI P. MAGHARA,JADAV MUSTAKBHAI,DHIMECHA NARESHBHAI NANJIBHAI,NATHABHAI DAYABHAI TOTA,MEHULBHAI HIMATBHAI SUKHADIA,RAMANI SURESHBHAI DHIRUBHAI,VALODARA VRAJLAL JIVABHAI,,,,,
1,363,88,4,2,0,0,1,1,0,2,2,4,1,8,476,0,31,507,0
2,394,53,5,5,2,0,1,6,0,4,2,4,5,12,493,0,20,513,0
3,149,110,4,2,1,0,9,0,1,0,3,3,12,3,297,0,7,304,0
4,225,93,3,8,3,1,9,1,3,6,6,7,15,3,383,0,5,388,0
5,248,134,5,4,1,4,50,2,0,4,2,6,18,4,482,0,10,492,0
6,193,64,2,3,2,1,102,4,0,0,1,1,35,2,410,0,7,417,0
7,340,123,3,1,1,1,35,5,1,1,12,2,13,4,542,0,9,551,0
8,149,56,1,0,0,3,14,0,3,1,3,3,15,5,253,0,11,264,0
9,137,88,4,2,2,2,14,3,3,0,1,3,5,4,268,0,9,277,0
10,400,71,5,2,1,1,3,4,2,1,1,1,6,0,498,0,6,504,0
11,172,21,1,0,0,0,3,0,0,2,0,1,0,1,201,0,5,206,0
12,602,56,8,23,2,1,4,1,2,2,11,6,8,7,733,0,15,748,0
13,516,47,4,6,0,1,4,1,1,3,2,4,1,3,593,0,15,608,0
14,336,112,4,5,0,0,2,2,2,1,1,4,3,3,475,0,10,485,0
15,147,92,4,0,1,0,3,0,0,1,1,2,4,3,258,0,3,261,0
16,263,105,4,3,1,0,33,4,1,2,1,2,15,9,443,0,14,457,0
17,198,72,2,1,0,2,60,0,1,0,2,3,16,5,362,0,18,380,0
18,147,114,4,22,2,4,2,2,1,1,3,3,7,7,319,0,22,341,0
19,14,9,1,0,0,0,2,0,0,0,0,0,0,0,26,0,1,27,0
20,206,169,2,1,1,0,16,0,2,1,2,2,6,8,416,0,15,431,0
21,151,99,0,2,1,0,13,2,2,0,1,2,14,6,293,0,7,300,0
22,282,174,5,1,0,2,5,3,2,1,20,3,8,12,518,0,17,535,0
23,230,109,6,1,1,2,8,1,1,0,3,0,12,6,380,0,4,384,0
24,154,214,4,1,2,0,2,3,1,2,2,2,2,9,398,0,10,408,0
25,268,133,3,1,3,3,2,2,2,2,8,3,5,8,443,0,20,463,0
26,305,62,3,0,0,0,3,0,0,1,1,0,5,6,386,0,11,397,0
27,159,107,0,1,1,1,3,1,1,1,0,0,3,1,279,0,8,287,0
28,190,144,3,14,1,0,1,1,1,1,3,5,7,11,382,0,11,393,0
