Serial No. of Polling Station,,,,,,,,,,,,,,,,,,,,,,,,,,valid,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHAI,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,,,,,
43,161,257,10,0,1,2,3,0,0,1,0,3,1,2,1,15,3,2,1,1,1,2,0,4,0,471,0,2,473,
44,161,142,2,2,3,0,0,0,1,1,1,2,0,1,2,8,9,2,2,1,1,0,0,3,1,345,0,6,351,
45,580,99,1,0,0,0,1,1,0,2,1,3,1,0,4,15,10,0,1,0,0,0,0,0,3,722,0,4,726,
46,283,467,11,4,7,0,3,0,2,2,0,5,2,1,11,10,9,9,1,2,0,0,0,2,1,832,0,2,834,
47,104,189,3,0,13,0,2,0,0,0,0,1,2,0,0,1,4,0,0,0,0,1,0,2,0,322,0,1,323,
48,37,115,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,155,0,0,155,
49,331,286,8,1,1,0,1,0,0,0,0,2,0,3,3,13,14,3,2,1,0,1,0,0,3,673,0,6,679,
50,294,237,1,0,0,1,1,0,1,0,1,2,0,4,2,7,9,2,3,1,2,0,1,0,0,569,0,2,571,
51,153,211,2,0,0,2,1,1,1,1,0,0,0,0,1,9,2,3,1,0,0,0,0,1,2,391,0,2,393,
52,45,403,2,0,0,0,0,0,0,0,1,0,1,0,2,3,2,4,1,1,0,0,0,1,0,466,0,3,469,
53,348,72,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,441,0,0,441,
54,65,350,2,0,3,0,1,0,1,0,0,2,0,0,1,1,3,1,1,0,0,0,1,3,1,436,0,1,437,
55,230,449,7,0,1,0,1,0,1,1,1,0,1,0,3,6,3,4,0,1,1,0,0,0,0,710,0,2,712,
56,46,241,2,0,1,0,0,0,1,0,2,1,0,1,3,4,0,2,1,2,0,0,0,0,0,307,0,1,308,
57,114,296,2,0,0,0,1,1,0,0,0,1,0,1,2,5,2,0,0,0,1,0,0,0,2,428,0,0,428,
58,96,351,4,1,1,0,1,0,0,1,3,0,0,2,1,1,0,5,0,2,0,0,0,0,0,469,0,1,470,
59,85,170,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,5,1,0,0,1,1,0,2,270,0,1,271,
60,249,260,9,2,3,1,0,0,0,0,1,0,1,2,3,3,2,0,2,0,0,0,0,0,3,541,0,9,550,
61,201,24,1,0,1,0,0,0,0,0,0,1,0,1,0,1,6,0,0,1,0,0,0,0,0,237,0,2,239,
62,164,278,4,1,6,0,1,1,0,0,0,2,1,1,4,3,2,5,0,0,0,0,0,1,5,479,0,1,480,
63,78,181,3,0,0,0,2,1,2,0,1,3,2,5,3,6,5,5,1,3,4,0,3,1,3,312,0,8,320,
64,154,428,4,0,4,0,0,0,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0,0,602,0,3,605,
65,459,157,2,0,2,0,0,0,0,0,0,0,0,1,5,6,3,0,1,0,1,0,0,1,0,638,0,3,641,
66,355,266,2,2,2,3,1,0,0,1,1,0,0,0,1,8,9,5,0,0,0,3,1,0,0,660,0,1,661,
67,319,153,0,1,0,0,1,1,0,0,0,0,0,1,0,3,6,3,1,0,0,0,0,0,1,490,0,3,493,
68,187,526,5,1,1,0,1,0,0,0,1,0,2,0,4,5,3,0,1,1,0,2,1,0,6,747,0,7,754,
69,175,585,3,1,1,1,0,0,0,0,1,0,0,1,2,0,1,2,2,0,0,0,0,0,1,776,0,4,780,
70,175,522,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,1,1,1,0,0,0,0,1,707,0,9,716,
71,246,465,7,1,2,1,2,1,0,0,0,3,0,2,4,6,2,1,2,1,1,1,0,1,4,753,0,7,760,
72,291,354,4,2,1,1,1,0,1,0,0,0,0,1,1,5,8,3,0,3,2,1,2,1,1,683,0,12,695,
73,444,189,8,0,0,0,1,1,0,1,1,1,2,5,5,29,11,3,0,1,0,1,2,4,3,712,0,7,719,
74,89,329,10,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,435,0,0,435,
75,290,311,10,2,1,1,0,0,3,2,1,3,2,2,2,10,3,3,1,0,2,0,0,1,0,650,0,6,656,
76,182,455,5,0,1,0,0,0,0,1,1,1,0,0,4,9,9,5,3,2,0,1,1,1,2,683,0,3,686,
77,233,215,5,2,0,0,0,0,0,0,0,2,0,2,2,4,6,2,0,1,0,1,0,0,2,477,0,5,482,
78,144,239,2,1,0,1,1,2,0,0,1,0,1,1,5,7,1,1,0,1,0,1,0,1,0,410,0,2,412,
79,202,212,1,1,1,0,0,0,1,1,1,0,0,1,4,2,4,5,1,0,1,0,0,0,2,440,0,1,441,
80,456,359,6,1,1,0,1,2,0,0,0,0,0,1,5,7,3,2,1,1,1,1,1,1,2,852,0,2,854,
81,411,170,7,1,0,1,0,0,2,1,0,3,2,1,4,19,16,4,0,0,0,1,2,0,1,646,0,3,649,
82,136,131,1,0,1,1,0,0,0,1,0,0,0,1,2,1,8,6,0,0,0,0,2,0,3,294,0,4,298,
83,164,195,6,1,3,0,1,0,1,1,1,3,1,3,2,7,2,1,0,0,0,0,0,1,1,394,0,4,398,
84,170,109,1,1,3,0,0,0,0,0,0,0,1,1,3,0,2,5,0,0,0,0,1,1,0,298,0,3,301,
85,193,101,2,0,1,0,1,0,1,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,1,306,0,2,308,
86,90,126,0,0,0,1,0,1,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,223,0,1,224,
87,387,218,5,1,0,2,0,1,3,1,1,3,1,0,3,6,10,2,1,0,1,0,2,3,2,653,0,4,657,
88,154,167,1,4,0,0,2,1,0,0,0,3,0,1,1,1,0,1,2,0,2,2,1,0,0,343,0,2,345,
89,388,166,4,1,1,1,2,0,0,0,1,0,0,1,1,6,7,3,1,2,0,1,0,1,0,587,0,2,589,
90,355,189,1,0,0,0,1,1,0,2,0,0,0,0,2,10,0,1,0,0,1,0,0,0,2,565,0,2,567,
91,324,118,2,0,2,0,1,1,0,0,0,1,0,1,0,12,8,1,1,0,0,1,0,0,2,475,0,3,478,
