No. & Polling Station,,,,,,,,,,,,,,,,total,No. of Rejected Votes,Total,Number of tendered votes
,Parmar Maganbhai Amarabhai,Rathod Bhavsinhbhai Dahyabhai,Liladharbhai Khodaji Vaghela,Govindji Okhaji Thakor,Jakasiji Jogaji Thakor,Parmar Bhaichandbhai Somabhai,Babubhai Karshanbhai Rabari,Imrankhan Mahmadkhan Nagori,Chhaganbhai Naranbhai Prajapati,Jagrala Imran Mahemud,Desai Ishwarbhai Mahadevbhai,Bhoraniya Soyabbhai Hasambhai,Molapiya Abdulkudus Abdulmajid,Vaghda Jivabhai Devabhai,None Of The Above,,,,
274,5,287,138,3,1,1,1,0,0,0,0,1,4,2,1,444,0,444,0
275,2,186,248,4,2,0,0,0,3,1,0,3,1,6,2,458,0,458,0
276,4,63,244,5,0,1,1,0,0,2,1,1,1,3,3,329,0,329,0
277,2,130,214,1,0,0,2,0,1,2,2,3,5,4,7,373,0,373,0
278,2,202,194,6,0,0,0,0,1,1,2,1,1,5,7,422,0,422,0
279,2,73,418,1,1,0,0,1,3,0,1,0,3,0,2,505,0,505,0
280,2,133,168,5,1,1,6,1,0,2,1,0,2,3,1,326,0,326,0
,41,2424,2747,37,6,5,11,6,15,14,11,21,33,42,57,5470,0,5470,0
281,6,273,212,3,0,0,1,0,0,1,1,1,1,1,4,504,0,504,0
,1222,67850,70490,703,162,162,174,238,305,353,203,307,703,965,1531,145368,0,145368,0
,1222,67850,70490,703,162,162,174,238,305,353,203,307,703,965,1531,145368,0,145368,0
