Serial No. of Polling Station,No. of Valid votes cast in favour of,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA option,Total Votes,Total No. of Tendered Votes
,KACHHADIYA NARANBHAI BHIKHABHAI,THUMMAR VIRJIBHAI KESHAVBHAI (VIRJIBHAI THUMMAR),DAFADA RAMJIBHAI NANJIBHAI,CHAVADA MANUBHAI PARSHOTTMBHAI,RATHOD JIVANBHAI R.,SANGANI VIJAYBHAI DINESHBHAI,SUKHADIYA NATHALAL VALLABHBHAI,USMANBHAI P. MAGHARA,JADAV MUSTAKBHAI,DHIMECHA NARESHBHAI NANJIBHAI,NATHABHAI DAYABHAI TOTA,MEHULBHAI HIMATBHAI SUKHADIA,RAMANI SURESHBHAI DHIRUBHAI,VALODARA VRAJLAL JIVABHAI,,,,,
1,275,171,3,0,0,1,4,0,0,0,1,2,3,3,463,0,21,484,0
2,282,152,3,0,1,1,1,0,0,0,2,2,4,2,450,0,10,460,0
3,220,152,3,0,4,0,2,4,0,2,3,1,8,7,406,0,18,424,0
4,249,94,8,1,0,1,9,0,1,1,2,2,4,2,374,0,8,382,0
5,97,155,1,0,0,1,2,1,0,0,0,0,2,4,263,0,3,266,0
6,57,253,4,1,1,1,3,2,0,1,1,0,6,7,337,0,7,344,0
7,236,253,6,3,0,2,12,1,1,0,1,3,5,11,534,0,15,549,0
8,169,233,5,0,3,1,5,0,2,2,2,1,4,7,434,0,13,447,0
9,162,202,6,1,1,3,1,0,0,1,0,1,5,7,390,0,10,400,0
10,141,215,5,0,1,1,5,0,3,0,1,1,3,2,378,0,5,383,0
11,113,257,2,1,1,2,5,0,0,0,0,1,5,3,390,0,2,392,0
12,195,188,3,0,1,0,6,1,0,2,1,1,2,6,406,0,10,416,0
13,116,375,8,2,0,1,3,2,2,0,3,2,3,3,520,0,10,530,0
14,202,412,8,2,1,0,1,0,0,0,0,1,2,3,632,0,9,641,0
15,149,179,4,3,0,2,3,0,2,1,1,1,4,2,351,0,18,369,0
16,191,187,3,1,1,1,6,0,2,2,1,1,2,4,402,0,7,409,0
17,156,137,3,1,1,0,7,0,0,2,0,1,2,5,315,0,9,324,0
18,85,104,12,0,0,0,2,1,1,0,1,1,2,3,212,0,4,216,0
19,321,315,10,1,1,0,1,0,1,0,1,0,3,5,659,0,12,671,0
20,119,212,2,0,0,1,3,1,0,0,0,0,4,6,348,0,6,354,0
21,50,106,6,0,0,0,1,0,1,2,0,0,0,0,166,0,4,170,0
22,331,128,4,6,1,0,1,1,0,1,3,0,6,5,487,0,16,503,0
23,356,57,0,1,0,0,6,1,0,0,1,1,2,1,426,0,10,436,0
24,300,158,3,3,0,0,3,0,1,0,0,3,4,0,475,0,10,485,0
25,217,93,2,0,0,0,13,1,2,1,0,1,5,2,337,0,5,342,0
26,210,60,1,0,0,0,9,0,0,1,0,0,2,1,284,0,7,291,0
27,222,75,0,0,0,0,9,0,0,0,0,1,0,0,307,0,13,320,0
28,178,134,1,0,1,2,9,1,0,0,0,1,4,0,331,0,12,343,0
29,210,116,1,0,0,0,4,0,0,0,0,0,2,4,337,0,5,342,0
30,320,218,10,1,0,0,4,2,0,0,0,2,1,5,563,0,17,580,0
31,179,118,0,0,0,1,5,0,0,2,2,3,3,4,317,0,12,329,0
32,31,168,3,0,1,2,1,1,0,0,0,0,1,6,214,0,9,223,0
33,231,260,6,4,1,2,6,2,0,0,0,2,4,4,522,0,12,534,0
34,154,275,4,3,1,0,0,1,0,1,1,0,1,2,443,0,3,446,0
