No. of Polling Station,No. of Valid Votes cast in favour of,,,,,,,,,,,,,,Total No. of Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Voters
,Patel Himmatsingh Prahladsingh,Paresh Rawal,Rohit Rajubhai Virjibhai Alias Manojbhai Sontariya,Aditya Raval,Khalifa Samsuddin Nasiruddin (Jugnu),Dutt Aakash - Advocate,Dinesh Vaghela,Naranbhai T. Sengal (Dr. N.T. Sengal),Buddhpriya Jasvant Somabhai,Vijaykumar M. Vadhel,Atikbhai Mev,Anilkumar Sharma,Dashrathbhai M. Devda,Roshan Priyavadan Shah,,,,,
153,27,471,0,0,0,0,6,0,0,0,0,0,1,0,505,0,1,506,
154,374,287,2,0,0,0,15,2,1,0,0,0,0,2,683,0,19,702,
155,27,343,4,0,0,0,4,0,0,0,0,0,1,0,379,0,3,382,
156,131,502,3,0,0,1,3,0,0,0,3,1,0,3,647,0,8,655,
157,136,429,3,0,0,0,1,2,0,0,1,1,0,5,578,0,12,590,
158,118,263,1,1,0,1,4,0,1,0,0,0,0,3,392,0,6,398,
159,207,171,2,1,1,0,1,0,0,0,0,0,2,0,385,0,8,393,
160,184,276,2,2,0,1,2,1,0,0,0,0,3,0,471,0,4,475,
161,66,569,2,0,0,1,8,0,0,0,0,1,1,1,649,0,13,662,
162,25,401,2,0,0,0,1,1,0,0,0,0,0,3,433,0,4,437,
163,99,146,2,1,0,1,2,0,0,0,1,0,1,5,258,0,10,268,
164,300,354,4,1,2,1,14,0,0,2,0,1,2,4,685,0,17,702,
165,263,445,6,0,3,0,2,0,0,1,0,2,0,6,728,0,9,737,
166,156,618,2,1,0,3,24,0,1,0,0,2,0,4,811,0,11,822,
167,29,416,2,2,0,1,1,1,0,0,0,0,1,2,455,0,7,462,
168,315,263,111,3,4,1,2,2,2,2,0,1,6,8,720,0,9,729,
169,118,171,1,0,0,0,4,0,0,0,1,1,0,1,297,0,6,303,
170,7,233,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,240,
171,234,144,12,0,1,1,2,2,1,1,1,2,3,1,405,0,4,409,
172,198,111,31,3,0,0,1,1,2,2,1,1,2,1,354,0,5,359,
173,72,500,7,0,0,0,5,1,0,1,0,0,0,0,586,0,7,593,
174,117,614,3,0,0,1,10,1,1,0,0,0,1,0,748,0,4,752,
175,31,483,2,1,1,0,11,0,0,0,0,0,0,0,529,0,8,537,
176,92,792,4,1,0,0,12,0,1,0,1,0,0,0,903,0,10,913,
177,223,536,2,1,1,0,19,0,2,0,0,1,0,1,786,0,11,797,
178,320,427,1,4,0,0,10,0,3,0,0,1,1,3,770,0,15,785,
179,371,292,10,2,2,0,15,2,0,1,0,3,2,7,707,0,15,722,
180,130,462,1,1,0,0,6,1,0,0,0,0,3,2,606,0,6,612,
181,166,477,8,2,2,0,12,1,0,2,1,1,2,2,676,0,9,685,
182,247,137,22,1,0,0,8,0,0,2,1,1,2,1,422,0,13,435,
183,41,308,0,3,0,0,4,0,0,0,0,0,1,1,358,0,6,364,
184,129,456,3,0,1,0,7,0,0,0,1,0,3,1,601,0,5,606,
185,166,551,4,3,2,0,7,2,0,1,5,2,7,6,756,0,16,772,
186,61,627,1,0,0,0,11,0,0,0,2,0,0,0,702,0,10,712,
187,85,565,3,0,1,0,3,1,0,1,0,0,1,2,662,0,6,668,
188,75,668,2,0,0,1,12,1,0,1,0,0,0,1,761,0,8,769,
189,132,642,5,1,2,0,14,0,2,0,0,0,2,1,801,0,4,805,
190,94,827,1,0,0,0,13,0,3,0,1,0,0,2,941,0,20,961,
191,292,365,7,1,0,0,7,2,1,0,2,1,2,2,682,0,19,701,
192,121,362,3,0,2,0,2,1,0,0,1,0,2,2,496,0,10,506,
193,241,508,5,1,2,0,3,0,0,0,0,0,4,4,768,0,6,774,
194,202,463,3,0,1,2,13,1,0,0,0,0,3,1,689,0,11,700,
195,186,503,3,0,0,1,4,0,0,0,2,1,2,7,709,0,12,721,
196,141,779,3,1,0,0,6,2,0,0,1,0,0,2,935,0,13,948,
197,56,405,0,0,0,0,4,2,1,0,1,0,0,0,469,0,1,470,
