polling station,No.of valid votes cast in favour of,,,,,,,,,,,Total Valid Votes,No. of Reject votes,NOTA,Total,No.of tender votes
,Ishvarbhai Dhanabhai Makwana,Dr. Kirit P. Solanki,Chavda Mansukhbh ai Nagarbhai,Amrut Sonara,Narendra Sankhaliya,Dr. J.G. Parmar,J. J. Mevada,Aayar Muljibhai Khanabhai,Parmar Harjivanbhai Kalabhai,Solanki Rameshbha i Danabhai,Solanki Vitthalbhai Maganbhai,,,,,
1,459,95,2,0,0,1,13,0,0,1,1,572,0,5,577,0
2,281,19,0,0,1,0,10,0,0,0,1,312,0,4,316,0
3,445,32,2,0,1,0,13,0,0,0,1,494,0,6,500,0
4,349,43,0,0,0,0,11,1,0,0,1,405,0,5,410,0
5,415,61,0,2,1,1,11,1,0,1,0,493,0,9,502,0
6,702,52,1,0,0,0,22,0,0,0,0,777,0,8,785,0
7,297,97,0,0,1,2,11,0,0,1,1,410,0,11,421,0
8,455,31,0,0,1,0,25,1,0,0,2,515,0,5,520,0
9,109,184,2,0,0,1,3,2,0,0,0,301,0,2,303,0
10,321,166,0,2,0,1,14,0,0,0,0,504,0,9,513,0
11,72,51,0,0,1,0,7,0,0,0,0,131,0,2,133,0
12,294,163,0,1,1,0,20,1,1,1,0,482,0,6,488,0
13,424,46,1,1,0,0,9,0,0,0,0,481,0,4,485,0
14,244,167,0,0,1,0,9,0,0,0,0,421,0,13,434,0
15,227,472,4,0,0,1,11,0,0,0,1,716,0,7,723,0
16,270,175,0,0,2,0,46,0,0,2,0,495,0,10,505,0
17,584,25,0,0,0,0,22,0,1,0,0,632,0,8,640,0
18,193,46,0,0,0,0,9,0,0,0,0,248,0,6,254,0
19,173,67,0,0,0,0,10,0,0,0,1,251,0,4,255,0
20,35,14,2,0,0,0,1,0,0,0,0,52,0,0,52,0
21,147,342,1,0,2,0,3,0,0,0,2,497,0,9,506,0
22,638,38,1,0,0,0,30,2,0,0,0,709,0,2,711,0
23,557,49,2,0,0,1,14,1,1,0,2,627,0,3,630,0
24,29,271,1,0,1,1,2,0,0,0,1,306,0,3,309,0
25,96,318,3,0,0,0,11,0,0,0,1,429,0,4,433,0
26,294,45,0,0,1,0,7,0,0,0,0,347,0,3,350,0
27,341,63,3,0,0,2,15,0,0,1,0,425,0,6,431,0
28,171,330,3,1,2,0,2,0,0,0,4,513,0,7,520,0
29,128,104,1,0,0,0,9,0,0,1,0,243,0,0,243,0
30,482,253,5,1,0,0,16,0,1,3,0,761,0,4,765,0
31,251,12,0,0,1,0,9,0,0,0,0,273,0,5,278,0
32,94,42,0,0,0,0,5,1,0,0,1,143,0,2,145,0
33,518,58,1,0,0,0,11,0,0,1,0,589,0,4,593,0
34,202,106,1,1,2,0,2,0,0,0,0,314,0,1,315,0
35,146,117,3,0,0,0,3,0,0,0,0,269,0,0,269,0
36,115,313,13,0,1,1,5,0,0,0,4,452,0,9,461,0
37,215,405,19,1,0,6,7,1,0,0,2,656,0,9,665,0
38,409,257,7,1,0,3,10,0,0,0,2,689,0,7,696,0
39,5,2,0,1,0,0,0,0,0,0,0,8,0,0,8,0
40,451,25,0,1,0,1,10,0,2,0,0,490,0,10,500,0
41,345,15,0,0,2,0,10,0,0,0,1,373,0,11,384,0
42,613,30,0,1,0,0,21,1,0,0,1,667,0,8,675,0
43,427,30,0,2,0,0,18,0,1,1,0,479,0,14,493,0
44,360,19,0,1,1,0,16,0,0,1,1,399,0,7,406,0
45,315,12,0,0,0,0,15,0,0,0,0,342,0,2,344,0
