No Polling St.,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
,OMPRAK ASH SHRIVAS,DARSHA NA VIKRAM,DESAI NAISHAD HBHAI,KIRITBHA I HARJIBH,MOHANB HAI B. PATEL,VASAVA KISHORB HAI,MAVJIBH AI LAXMAN,MUKESH BHAI LAVJIBH,,,,,
1,2,653,39,0,17,1,0,2,714,0,3,717,0
2,1,390,17,0,9,0,2,0,419,0,0,419,0
3,2,737,55,2,77,0,1,2,876,0,9,885,0
4,0,602,35,0,24,2,0,1,664,0,8,672,0
5,1,847,23,1,66,1,1,2,942,0,4,946,0
6,6,738,61,0,9,0,0,1,815,0,9,824,0
7,4,754,59,2,64,0,2,1,886,0,8,894,0
8,7,518,82,0,3,1,0,0,611,0,7,618,0
9,2,317,63,0,8,0,1,1,392,0,1,393,0
10,1,695,84,0,11,1,0,0,792,0,6,798,0
11,4,679,85,1,8,2,3,2,784,0,8,792,0
12,1,375,43,1,8,0,0,1,429,0,3,432,0
13,3,603,151,4,4,2,2,2,771,0,6,777,0
14,7,450,321,4,10,0,3,2,797,0,8,805,0
15,2,488,45,0,4,0,0,0,539,0,1,540,0
15,7,142,230,4,9,0,8,6,406,0,14,420,0
16,2,730,45,3,26,2,2,0,810,0,9,819,0
17,3,767,31,3,15,1,2,0,822,0,9,831,0
18,0,695,35,0,13,1,0,1,745,0,8,753,0
19,4,639,45,6,20,1,0,2,717,0,19,736,0
20,1,415,19,1,6,1,1,1,445,0,0,445,0
21,3,518,30,1,2,0,0,1,555,0,0,555,0
22,7,122,127,4,1,0,1,0,262,0,1,263,0
23,9,931,52,2,16,0,0,0,1010,0,5,1015,0
24,3,541,56,2,9,0,1,0,612,0,15,627,0
25,11,263,328,5,18,1,1,4,631,0,4,635,0
26,2,193,79,0,7,2,2,3,288,0,7,295,0
27,2,183,159,3,26,1,1,0,375,0,4,379,0
28,3,498,8,0,12,0,0,0,521,0,5,526,0
29,2,507,34,0,13,0,0,2,558,0,7,565,0
30,1,818,47,1,34,0,0,0,901,0,12,913,0
31,1,499,19,1,13,0,1,4,538,0,7,545,0
32,3,642,71,1,13,1,0,4,735,0,2,737,0
33,3,514,23,1,9,0,0,0,550,0,5,555,0
34,1,534,18,0,1,1,0,0,555,0,1,556,0
35,1,675,43,2,34,0,0,0,755,0,6,761,0
36,3,421,30,0,55,0,1,1,511,0,4,515,0
37,0,739,42,0,15,0,2,1,799,0,7,806,0
38,3,803,109,1,38,0,1,1,956,0,12,968,2
39,2,835,57,0,25,0,0,1,920,0,19,939,0
40,1,832,31,0,14,0,0,0,878,0,8,886,0
41,5,946,65,2,20,2,0,0,1040,0,8,1048,0
42,4,743,96,4,24,1,2,1,875,0,11,886,0
43,2,800,46,1,16,0,2,0,867,0,10,877,0
44,2,721,44,1,36,0,2,1,807,0,9,816,0
45,2,863,72,3,26,0,1,1,968,0,8,976,0
46,3,449,238,1,11,0,4,0,706,0,6,712,0
47,4,402,178,1,5,0,3,1,594,0,0,594,0
48,7,386,56,0,1,1,2,2,455,0,2,457,0
49,1,461,75,1,7,0,2,2,549,0,4,553,0
50,3,776,54,3,27,4,4,3,874,0,11,885,0
51,1,780,72,3,26,1,0,2,885,0,7,892,0
52,3,428,34,1,16,0,0,0,482,0,7,489,0
53,2,768,18,2,14,0,1,1,806,0,4,810,0
54,2,811,43,1,37,0,0,0,894,0,10,904,0
55,4,766,41,0,23,1,0,2,837,0,7,844,0
56,9,575,73,1,17,1,0,1,677,0,5,682,0
57,1,752,63,1,30,1,1,1,850,0,15,865,0
58,14,462,95,0,17,0,2,1,591,0,8,599,0
59,16,315,125,3,20,0,1,1,481,0,4,485,0
60,3,684,29,0,12,0,0,2,730,0,10,740,0
61,3,558,87,11,8,0,0,0,667,0,3,670,0
62,0,441,20,1,7,1,2,1,473,0,7,480,0
63,4,675,82,2,39,0,0,3,805,0,17,822,0
64,14,346,365,8,9,2,4,6,754,0,6,760,0
65,9,344,167,1,12,0,0,1,534,0,9,543,0
66,12,266,392,7,7,3,3,9,699,0,14,713,0
67,5,233,124,2,7,0,0,0,371,0,4,375,0
68,20,281,117,4,4,1,2,3,432,0,7,439,0
69,4,187,117,5,7,1,1,1,323,0,2,325,0
70,3,169,91,1,5,0,1,2,272,0,2,274,0
71,2,645,47,1,8,0,0,0,703,0,5,708,0
72,2,560,48,3,10,0,1,0,624,0,6,630,0
73,7,533,50,2,12,2,1,4,611,0,7,618,0
74,2,600,35,0,13,0,0,0,650,0,3,653,0
75,6,508,57,1,14,1,0,1,588,0,2,590,0
76,7,611,58,2,7,0,0,0,685,0,7,692,0
77,7,680,75,0,10,2,1,4,779,0,4,783,0
78,7,550,73,1,17,0,0,0,648,0,4,652,0
79,5,407,31,1,19,0,2,0,465,0,4,469,0
80,2,628,59,1,7,1,0,0,698,0,10,708,0
81,1,634,41,0,14,1,1,0,692,0,2,694,0
82,4,859,58,1,23,0,0,1,946,0,14,960,0
83,7,153,44,1,2,0,1,1,209,0,7,216,0
84,6,453,52,6,20,0,0,1,538,0,8,546,0
85,2,581,52,1,9,0,0,2,647,0,4,651,0
86,2,401,33,1,11,1,2,0,451,0,1,452,0
87,6,634,27,1,14,2,0,0,684,0,6,690,0
88,4,188,100,0,1,0,3,0,296,0,5,301,0
89,2,121,47,1,2,0,0,0,173,0,1,174,0
90,3,406,32,1,18,0,0,0,460,0,8,468,0
91,2,466,33,1,12,0,0,3,517,0,2,519,0
92,6,691,28,1,20,2,1,1,750,0,9,759,0
93,5,699,45,2,25,0,1,0,777,0,9,786,0
94,1,541,26,0,32,0,0,2,602,0,8,610,0
95,5,747,39,1,20,0,0,0,812,0,6,818,0
96,2,478,28,0,26,0,0,0,534,0,1,535,0
97,4,416,31,1,7,0,0,0,459,0,4,463,0
98,1,82,76,0,4,0,0,0,163,0,0,163,0
99,29,180,93,2,5,1,0,0,310,0,1,311,0
100,1,27,29,0,1,2,0,0,60,0,0,60,0
101,1,21,9,0,1,0,0,0,32,0,0,32,0
102,5,22,13,0,0,0,0,0,40,0,0,40,0
103,5,773,82,2,2,1,0,1,866,0,8,874,0
104,15,187,33,1,3,0,0,2,241,0,4,245,0
105,5,197,129,2,9,1,2,2,347,0,6,353,0
