Serial No. of Polling Station,No. Of Valid Votes Cast in favour of,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,Tendered Votes
,Patel Jayeshbhai Ambalalbhai (Jayesh kaka) - INC,Vasava Mansukhbhai Dhanjibhai - BJP,Sukhramsingh - BSP,Anilkumar Chhitubhai Bhagat - JD(U),Jayendrasinh Rana - AAP,Sayyed Asif Zafar Ali - ADP,Saiyad Mohsin Bapu Nanumiyawala - BMP,Anandkumar Sarvarsinh Vasava - IND,Nitin Ishwarlal Vakil (Advocate ) - IND,Bhura Shabbirbhai Valibhai - IND,Rafikbhai Suleman Sapa - IND,Virsangbhai Parbatbhai Gohil - IND,Shaileshkumar Maganbhai Parmar - IND,Sindhi Mayyudeen Umarbhai - IND,,,,,
156,39,131,2,0,2,0,0,0,0,1,4,2,0,3,184,0,1,185,0
157,59,293,4,3,0,1,0,1,0,1,1,1,1,0,365,0,4,369,0
158,412,105,0,2,1,1,2,1,0,0,0,0,1,3,528,0,5,533,0
159,256,310,3,1,0,0,0,1,0,2,1,10,3,5,592,0,9,601,0
160,284,181,2,17,4,0,0,1,1,0,0,4,3,3,500,0,15,515,0
161,247,260,5,3,0,0,1,0,0,0,0,0,1,3,520,0,8,528,0
162,59,171,1,1,1,1,0,0,0,0,0,1,2,8,245,0,6,251,0
163,83,290,7,8,2,1,2,1,1,1,1,7,7,9,420,0,9,429,0
164,242,519,4,1,3,1,0,1,5,3,1,2,6,17,805,0,21,826,0
165,63,258,8,0,0,0,0,0,0,1,0,1,1,4,336,0,3,339,0
166,762,16,3,2,1,0,0,0,2,2,0,3,1,2,794,0,7,801,0
167,572,7,0,1,2,0,0,0,0,0,0,0,0,1,583,0,9,592,0
168,430,108,2,2,0,1,0,0,0,0,1,1,2,7,554,0,16,570,0
169,135,357,7,56,1,2,1,1,0,0,3,3,3,12,581,0,12,593,0
170,75,400,5,0,1,0,0,0,0,2,1,1,3,9,497,0,8,505,0
171,192,289,8,1,0,0,0,2,1,1,0,2,2,10,508,0,16,524,0
172,130,299,1,8,0,0,1,1,2,0,3,1,4,9,459,0,14,473,0
173,52,412,3,109,5,1,0,1,1,1,1,1,3,1,591,0,9,600,0
174,225,244,2,0,0,0,0,1,0,1,0,0,4,1,478,0,9,487,0
175,336,515,9,3,0,3,1,1,1,2,1,0,1,1,874,0,9,883,0
176,196,154,1,14,1,0,1,0,0,0,1,2,6,3,379,0,20,399,0
177,21,226,4,18,0,0,0,1,0,0,0,2,1,22,295,0,15,310,0
178,59,640,8,4,0,0,0,1,0,0,0,0,1,1,714,0,6,720,0
179,106,412,5,2,0,0,0,0,0,0,1,1,1,6,534,0,9,543,0
180,267,693,0,0,1,0,0,0,0,1,0,2,0,8,972,0,12,984,0
181,739,339,4,3,1,2,0,0,0,2,1,1,3,9,1104,0,3,1107,0
182,294,261,3,1,2,1,1,1,0,0,1,0,1,5,571,0,14,585,0
183,289,417,3,27,2,0,0,0,0,1,0,1,1,5,746,0,24,770,0
184,238,228,1,0,2,0,0,0,0,0,0,0,0,1,470,0,2,472,0
185,263,308,7,0,0,0,0,1,0,1,0,1,5,12,598,0,16,614,0
186,674,24,0,0,9,1,0,0,0,0,0,0,0,1,709,0,8,717,0
187,324,161,1,2,1,0,0,0,0,0,0,0,1,5,495,0,7,502,0
188,472,256,1,2,2,0,0,3,1,2,1,1,4,6,751,0,17,768,0
189,58,290,6,5,0,0,3,1,0,0,4,0,2,10,379,0,15,394,0
190,356,276,10,4,1,0,0,1,2,1,2,3,8,6,670,0,30,700,0
191,64,277,5,15,1,0,0,1,0,0,1,1,1,3,369,0,8,377,0
192,214,174,2,70,2,0,0,2,0,1,0,0,0,3,468,0,9,477,0
193,140,276,4,24,0,1,0,1,2,0,2,5,2,4,461,0,9,470,0
194,222,321,4,2,1,1,1,0,2,1,1,1,0,5,562,0,22,584,0
195,194,238,0,1,0,1,1,1,0,0,0,0,0,1,437,0,2,439,0
196,242,299,2,3,0,0,0,1,0,1,0,2,4,4,558,0,12,570,0
197,334,199,7,23,4,2,1,3,8,4,7,10,9,34,645,0,59,704,0
198,65,484,1,1,1,0,1,1,1,0,0,1,1,6,563,0,5,568,0
199,254,318,6,26,0,0,0,0,0,0,1,2,7,4,618,0,11,629,0
200,466,190,4,4,0,0,2,1,1,2,0,3,2,6,681,0,18,699,0
201,180,320,4,82,4,1,2,0,1,1,1,3,3,8,610,0,15,625,0
202,192,309,6,2,2,0,0,1,2,0,2,0,1,3,520,0,9,529,0
203,111,211,6,5,2,0,0,1,0,3,1,1,7,7,355,0,12,367,0
204,228,371,3,12,1,0,0,1,1,1,1,0,0,2,621,0,17,638,0
205,248,34,2,0,0,0,0,0,0,0,1,0,0,1,286,0,3,289,0
206,142,426,3,0,0,0,0,0,1,0,0,0,1,7,580,0,7,587,0
207,78,598,9,3,3,1,1,0,0,0,0,2,1,8,704,0,24,728,0
208,52,393,2,19,0,0,1,0,1,0,0,0,1,4,473,0,7,480,0
209,194,247,3,3,2,1,0,0,1,0,0,0,3,4,458,0,21,479,0
210,140,425,10,10,2,2,0,0,1,0,2,1,5,10,608,0,22,630,0
211,111,351,7,5,0,0,0,0,3,0,0,2,1,4,484,0,6,490,0
212,432,161,0,0,1,0,0,1,0,2,1,3,2,3,606,0,22,628,0
213,722,61,1,0,0,0,0,2,0,1,1,0,2,3,793,0,15,808,0
214,507,29,0,0,2,0,1,1,0,1,0,0,0,0,541,0,6,547,0
215,578,85,2,0,2,1,1,0,0,2,1,2,4,6,684,0,27,711,0
216,403,99,3,0,1,0,0,0,0,1,0,0,1,1,509,0,5,514,0
217,308,56,4,0,2,0,0,0,2,1,2,0,1,6,382,0,30,412,0
218,423,85,3,5,0,0,0,0,0,0,1,0,3,7,527,0,19,546,0
219,51,624,6,37,3,1,0,2,0,1,2,3,1,14,745,0,21,766,0
220,222,53,9,3,1,1,0,0,1,2,3,2,3,1,301,0,7,308,0
221,247,220,3,0,4,1,1,0,0,0,0,0,1,4,481,0,0,481,0
222,161,135,1,2,0,1,2,1,0,1,0,2,2,3,311,0,14,325,0
223,57,286,5,2,1,0,0,0,0,1,0,1,0,0,353,0,0,353,0
224,60,255,3,2,1,0,0,1,0,0,1,1,0,2,326,0,3,329,0
225,63,429,2,3,1,0,1,0,0,1,1,0,2,3,506,0,6,512,0
226,104,498,4,6,1,1,0,2,2,3,5,4,1,12,643,0,13,656,0
227,91,321,5,0,30,0,0,0,3,0,0,0,2,11,463,0,11,474,0
228,130,265,6,31,7,1,0,3,1,0,0,0,0,4,448,0,5,453,0
229,169,480,4,3,0,0,0,0,2,0,0,2,0,2,662,0,2,664,0
230,295,384,8,3,1,3,2,1,3,1,2,4,7,24,738,0,44,782,0
231,552,127,2,2,0,1,2,2,1,5,4,2,4,1,705,0,14,719,0
232,412,151,3,17,1,1,0,0,3,5,1,0,4,2,600,0,17,617,0
233,470,203,6,16,2,0,0,2,0,2,1,0,3,4,709,0,21,730,0
234,610,79,6,9,0,0,0,0,4,1,1,0,1,4,715,0,10,725,0
235,64,190,2,3,0,0,0,0,0,1,1,1,0,3,265,0,4,269,0
236,136,257,3,1,0,1,0,1,0,1,2,0,1,4,407,0,9,416,0
237,131,421,2,3,4,0,0,0,1,1,1,1,1,4,570,0,15,585,0
238,339,204,0,0,2,1,0,1,0,2,0,3,7,4,563,0,22,585,0
239,315,204,6,1,3,1,1,1,1,1,2,0,4,6,546,0,33,579,0
240,204,236,3,3,0,0,1,0,0,3,0,0,2,7,459,0,9,468,0
241,251,322,2,9,17,0,1,1,1,0,0,3,2,6,615,0,12,627,0
242,635,32,3,0,3,0,0,0,0,0,1,0,0,0,674,0,7,681,0
243,246,152,4,0,3,1,0,1,0,2,1,1,1,6,418,0,15,433,0
244,235,273,3,0,0,1,1,1,1,1,0,0,1,2,519,0,8,527,0
245,234,176,3,0,0,1,0,0,0,0,0,0,0,0,414,0,3,417,0
246,446,292,7,0,1,0,0,0,0,0,0,1,1,5,753,0,14,767,0
247,509,114,2,2,0,0,0,0,1,0,1,0,1,5,635,0,9,644,0
248,321,110,2,0,0,0,0,0,0,0,0,1,1,5,440,0,21,461,0
249,95,406,3,2,1,0,0,0,0,1,0,1,6,14,529,0,12,541,0
250,193,325,2,0,0,1,2,0,0,3,1,0,2,0,529,0,14,543,0
251,244,294,1,0,0,1,0,1,0,1,3,1,3,4,553,0,20,573,0
