Serial No.of Polling Station,,,,,,,,,,,,,,,,,,,,valid,No. of Rejected Votes,NOTA,Total,No. of Tendered votes
,Chauhan Keshavbhai Malabhai (Master),C. R. Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakumar Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwiv,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,,,,,
58,3,971,41,1,0,0,4,0,1,0,0,0,0,1,1,2,0,1,0,1026,0,5,1031,0
59,1,713,17,0,0,0,8,0,0,0,0,0,0,1,0,0,0,2,0,742,0,2,744,0
60,0,734,13,2,0,0,6,0,0,0,1,2,0,0,0,1,0,4,0,763,0,3,766,0
61,2,59,921,13,3,0,3,1,3,1,3,2,3,7,2,14,5,2,12,1056,0,3,1059,0
62,5,454,221,1,0,0,7,1,1,0,0,0,0,0,1,2,6,1,0,700,0,1,701,0
63,4,88,437,6,1,1,1,7,0,0,1,0,1,3,1,4,0,1,2,558,0,2,560,0
64,2,227,153,5,1,0,3,0,1,0,0,2,0,1,3,5,1,1,0,405,0,1,406,0
65,3,61,484,3,0,1,8,1,1,1,1,1,0,4,0,9,1,1,2,582,0,1,583,0
66,2,64,838,8,1,0,1,2,1,3,0,0,7,10,4,2,1,3,17,964,0,5,969,0
67,7,61,393,1,2,0,7,0,0,1,0,0,0,0,0,2,1,0,2,477,0,3,480,0
68,2,44,409,4,0,0,9,0,0,0,0,0,0,2,0,4,1,0,2,477,0,3,480,0
69,3,944,29,0,1,0,8,0,0,0,0,0,0,0,0,1,0,18,3,1007,0,3,1010,0
70,1,263,161,0,0,0,6,0,0,1,0,0,1,0,0,3,1,3,0,440,0,3,443,0
71,4,336,285,3,1,0,5,0,0,0,2,0,1,0,0,4,0,4,0,645,0,4,649,0
72,0,415,183,2,1,0,5,0,1,2,1,0,0,0,1,3,1,4,1,620,0,0,620,0
73,24,210,316,6,1,0,5,7,0,0,0,1,1,4,3,9,0,2,1,590,0,2,592,0
74,26,201,220,6,1,0,1,2,1,1,1,0,3,1,1,4,1,7,2,479,0,1,480,0
75,2,850,26,0,0,1,11,0,0,0,0,2,0,0,0,2,0,2,0,896,0,5,901,0
76,0,558,35,0,0,0,14,0,0,0,0,0,0,0,0,1,0,1,0,609,0,6,615,0
77,2,745,47,2,0,0,10,0,1,0,0,2,0,1,0,0,1,3,0,814,0,3,817,0
78,3,205,396,1,0,0,13,0,0,0,0,1,0,0,0,0,2,1,4,626,0,4,630,0
79,1,201,311,1,1,1,9,0,0,0,0,0,0,0,0,3,0,1,0,529,0,1,530,0
80,4,648,38,0,0,0,7,0,0,1,0,1,0,0,0,1,0,2,0,702,0,5,707,0
81,0,736,46,0,0,0,12,0,0,0,0,1,0,0,0,2,2,0,0,799,0,8,807,0
82,0,483,46,1,0,1,11,0,0,0,0,0,0,0,0,4,0,0,0,546,0,2,548,0
83,3,541,42,0,0,0,3,1,0,0,1,0,0,0,3,1,0,5,0,600,0,4,604,0
84,1,606,39,2,1,1,3,0,0,1,2,0,0,1,1,1,1,4,0,664,0,8,672,0
85,10,439,76,2,0,0,2,0,0,1,0,2,0,2,2,2,0,0,1,539,0,1,540,0
86,3,738,53,0,0,0,17,0,0,1,0,0,1,0,0,2,2,0,0,817,0,10,827,0
87,2,683,158,4,0,0,9,0,1,2,0,1,1,3,3,9,3,1,0,880,0,7,887,0
88,3,545,39,0,0,0,8,0,0,0,1,1,0,1,0,2,1,1,0,602,0,3,605,0
89,3,653,35,1,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1,702,0,5,707,0
90,0,661,28,0,0,0,8,0,0,0,0,1,0,0,0,0,0,1,0,699,0,4,703,0
91,2,630,27,0,0,0,4,2,0,0,0,0,0,0,0,4,1,2,0,672,0,4,676,0
92,0,688,13,0,0,0,13,0,0,0,0,1,1,0,1,0,0,0,0,717,0,5,722,0
93,2,645,23,1,0,0,7,0,0,0,0,0,0,0,0,1,3,1,0,683,0,4,687,0
94,2,91,398,5,0,0,10,1,1,0,0,1,0,2,2,2,1,2,7,525,0,1,526,0
95,3,170,681,6,0,0,5,0,0,1,1,1,0,4,1,3,1,2,4,883,0,1,884,0
96,9,115,238,4,0,0,2,14,1,0,1,1,0,2,1,6,0,2,0,396,0,4,400,0
97,3,46,536,3,0,0,0,0,0,2,0,0,0,6,1,5,1,2,4,609,0,0,609,0
98,3,107,410,2,0,1,7,1,0,0,1,2,2,2,2,1,0,2,1,544,0,5,549,0
99,1,140,442,3,1,0,5,0,2,0,0,2,3,3,1,7,2,3,7,622,0,3,625,0
100,6,107,371,5,4,1,4,1,2,0,0,1,2,2,2,2,1,0,2,513,0,4,517,0
101,6,82,598,5,0,1,4,0,0,1,0,2,1,2,1,10,2,2,3,720,0,2,722,0
102,5,65,590,4,1,0,11,7,1,0,2,4,2,2,1,8,2,0,5,710,0,2,712,0
103,5,193,325,6,1,0,11,0,1,0,0,2,2,1,2,0,2,4,0,555,0,2,557,0
104,5,67,539,5,0,2,6,2,2,0,2,0,0,3,2,4,2,4,13,658,0,4,662,0
105,3,353,74,1,0,0,4,0,0,0,0,2,1,0,0,0,0,8,0,446,0,0,446,0
106,2,56,565,5,0,0,3,0,2,2,2,1,0,1,0,3,0,0,2,644,0,0,644,0
107,4,45,460,1,0,0,5,0,0,0,0,0,1,2,0,2,1,2,1,524,0,0,524,0
108,2,39,484,3,0,0,7,0,1,0,0,0,1,2,0,3,0,1,0,543,0,1,544,0
109,9,88,597,7,1,0,2,0,1,0,1,0,3,4,1,6,1,2,9,732,0,2,734,0
110,5,93,735,9,1,1,8,2,1,2,1,2,1,2,1,9,1,1,0,875,0,1,876,0
111,5,34,635,7,2,1,6,4,2,0,0,1,5,4,2,8,5,2,9,732,0,7,739,0
112,7,131,571,14,3,1,4,0,1,0,0,2,3,5,5,10,4,5,8,774,0,4,778,0
113,3,55,436,7,1,0,5,0,1,3,0,0,5,4,4,7,1,0,30,562,0,3,565,0
114,1,32,539,5,1,1,7,0,0,3,0,0,1,3,1,2,3,1,5,605,0,5,610,0
115,3,288,60,1,2,0,0,1,0,0,1,0,2,0,1,1,0,0,0,360,0,0,360,0
116,4,64,576,0,1,0,13,1,0,1,0,1,0,2,2,1,0,1,3,670,0,1,671,0
117,3,51,326,1,0,0,5,0,1,1,0,0,2,4,2,8,0,0,3,407,0,0,407,0
118,2,499,158,5,0,1,1,1,1,0,1,2,2,1,3,5,0,5,0,687,0,1,688,0
119,5,378,263,5,0,0,6,0,0,1,0,1,0,1,1,4,1,1,1,668,0,5,673,0
120,4,510,88,0,0,1,7,0,0,1,1,0,0,0,0,2,1,9,1,625,0,3,628,0
121,1,381,102,1,0,0,2,2,1,1,1,0,0,0,2,3,0,0,0,497,0,4,501,0
122,7,233,260,1,0,0,7,0,2,2,0,1,1,1,0,3,0,5,2,525,0,4,529,0
123,4,16,665,6,1,0,1,1,0,0,1,1,3,3,1,5,0,1,5,714,0,2,716,0
124,2,24,473,2,0,0,3,0,0,0,0,0,0,1,0,2,0,1,3,511,0,3,514,0
125,2,445,214,2,0,0,6,0,0,1,0,1,1,1,1,1,1,1,1,678,0,2,680,0
126,5,142,211,3,0,0,3,0,0,0,1,1,1,1,0,1,1,1,1,372,0,3,375,0
127,11,650,37,2,1,0,7,2,0,0,0,1,0,0,0,3,3,2,0,719,0,3,722,0
128,1,127,349,1,4,0,7,1,0,4,0,0,2,0,1,1,1,0,1,500,0,6,506,0
129,4,490,38,3,0,0,2,1,0,1,0,2,0,0,1,1,0,5,1,549,0,2,551,0
130,2,534,29,1,0,1,4,8,0,1,0,0,1,1,0,3,2,0,0,587,0,2,589,0
131,7,675,59,2,0,1,6,0,0,0,2,3,0,1,2,1,3,9,2,773,0,4,777,0
132,9,335,26,1,1,0,5,1,0,0,0,1,0,1,1,5,1,2,0,389,0,5,394,0
133,1,35,459,2,0,0,1,0,0,1,0,0,2,4,0,2,0,1,1,509,0,1,510,0
134,2,35,554,4,1,0,5,0,0,1,0,0,1,0,1,1,0,1,3,609,0,1,610,0
135,3,48,601,5,2,1,2,0,0,0,0,0,1,1,0,4,0,0,3,671,0,0,671,0
136,1,19,372,2,0,0,4,0,1,0,0,0,0,2,0,1,1,0,4,407,0,3,410,0
137,1,55,506,3,1,1,5,0,0,1,0,0,0,0,0,1,0,0,2,576,0,3,579,0
138,2,11,383,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,4,407,0,3,410,0
139,3,108,269,1,0,0,3,0,0,0,0,0,0,0,1,4,0,4,4,397,0,0,397,0
140,4,567,56,0,0,0,2,1,1,1,0,3,0,0,0,5,0,4,1,645,0,3,648,0
141,7,504,24,2,0,0,5,0,1,1,1,2,1,0,1,0,1,1,0,551,0,1,552,0
142,4,496,16,1,0,0,3,0,0,1,0,1,0,0,0,3,1,2,0,528,0,2,530,0
143,8,889,27,2,0,0,6,0,2,1,1,1,1,0,3,7,2,4,0,954,0,2,956,0
144,4,532,21,1,0,1,6,0,1,0,0,1,1,0,1,1,1,4,0,575,0,1,576,0
145,15,535,36,0,0,1,2,2,0,0,0,1,2,0,2,2,1,16,0,615,0,1,616,0
146,2,634,29,2,2,0,3,1,1,1,0,1,1,0,0,4,0,20,2,703,0,2,705,0
147,3,63,487,1,1,0,4,0,0,0,1,0,0,1,0,4,3,1,6,575,0,5,580,0
148,3,171,360,5,0,0,5,0,0,0,0,0,0,1,1,2,0,2,2,552,0,0,552,0
149,2,99,611,6,1,0,5,1,0,0,0,0,1,2,1,3,1,0,0,733,0,3,736,0
150,3,525,113,0,2,0,3,0,0,1,0,0,0,0,1,1,0,1,0,650,0,1,651,0
151,1,57,567,1,0,0,7,1,0,0,0,1,0,0,0,2,0,3,2,642,0,5,647,0
152,8,620,35,1,0,0,2,1,1,1,0,1,2,2,0,3,0,4,0,681,0,1,682,0
153,3,424,206,3,3,1,6,0,1,0,2,2,2,1,3,8,0,1,0,666,0,2,668,0
154,4,466,34,0,0,1,4,1,1,2,0,3,0,0,0,2,1,6,3,528,0,5,533,0
155,4,637,58,2,2,0,2,2,0,0,0,3,0,0,2,2,3,4,0,721,0,2,723,0
156,4,579,65,3,1,0,3,0,2,2,0,1,1,1,3,3,0,2,0,670,0,3,673,0
157,5,541,47,0,0,0,1,1,0,1,2,0,0,1,0,2,1,5,0,607,0,1,608,0
158,7,755,66,0,1,0,0,0,1,0,1,0,1,0,2,4,3,5,0,846,0,0,846,0
159,4,523,22,0,0,0,1,1,0,0,0,3,2,2,0,2,4,17,1,582,0,1,583,0
160,6,581,37,0,1,0,14,1,1,0,0,1,0,0,2,5,2,6,0,657,0,2,659,0
161,3,581,37,0,2,0,4,0,0,1,0,1,0,2,0,2,0,5,1,639,0,3,642,0
162,5,669,30,1,2,0,4,0,0,1,0,0,0,0,0,0,2,0,0,714,0,0,714,0
163,4,527,47,2,1,1,10,1,1,1,0,0,0,0,2,2,0,7,1,607,0,1,608,0
164,3,484,24,0,0,0,1,4,0,0,0,0,0,0,1,2,0,6,0,525,0,3,528,0
165,0,536,53,1,0,0,0,0,1,0,0,1,1,0,3,1,1,2,2,602,0,0,602,0
166,3,521,39,2,0,1,1,1,2,0,1,1,1,3,0,1,0,1,0,578,0,2,580,0
