polling station,BHAMBHI CHANDUBHAI MULCHANDBHAI,RATHOD DIPSINH SHANKARSINH,SHANKERSINH VAGHELA BAPU,PATEL BHOGILAL HARIBHAI,SHEKH ARIF KHAN,PATEL ISHWARBHAI SAKRAJI ,PATEL PURUSOTTAMBHAI AMBALAL,BALUSINGH SOMANSINGH NARVE,VELANI SHANTILAL KARAMSHI,SOLANKI CHHAGANBHAI KEVALABHAI,NOTA,valid,Rejected Votes,Total Votes,Tender Votes
1,15,356,220,3,2,1,1,2,2,6,5,613,0,613,0
2,16,362,134,12,0,1,3,2,3,10,4,547,0,547,0
3,14,115,479,9,1,0,1,2,2,4,6,633,0,633,0
4,10,225,182,4,0,0,0,0,2,4,13,440,0,440,0
5,5,142,235,2,0,2,0,1,2,4,7,400,0,400,0
6,1,179,58,2,0,0,0,0,3,6,10,259,0,259,0
7,3,422,154,1,0,2,1,0,2,3,8,596,0,596,0
8,2,98,159,2,1,0,0,0,2,3,3,270,0,270,0
9,3,251,140,3,1,2,0,1,3,2,7,413,0,413,0
10,5,235,173,3,2,2,1,1,1,2,5,430,0,430,0
11,13,305,177,6,0,2,0,1,2,2,8,516,0,516,0
12,7,287,30,1,1,1,1,2,3,5,13,351,0,351,0
13,6,374,69,4,0,1,0,0,5,5,4,468,0,468,0
14,10,197,38,1,2,0,0,1,3,3,6,261,0,261,0
15,3,277,97,4,2,2,3,0,7,2,11,408,0,408,0
16,2,188,67,2,0,1,0,2,1,6,6,275,0,275,0
17,4,222,105,5,2,0,0,1,0,5,14,358,0,358,0
18,4,222,27,1,2,0,0,1,0,3,3,263,0,263,0
19,3,162,32,1,0,0,0,1,0,2,4,205,0,205,0
20,2,200,34,4,1,1,0,0,2,4,2,250,0,250,0
21,7,150,195,3,2,1,2,1,3,4,14,382,0,382,0
22,1,305,15,0,0,0,0,0,0,2,0,323,0,323,0
23,9,296,188,8,2,4,1,2,1,4,12,527,0,527,0
24,3,204,79,1,1,0,0,1,4,3,4,300,0,300,0
25,16,440,176,3,0,1,1,1,2,4,3,647,0,647,0
26,12,253,42,1,0,0,0,1,3,1,3,316,0,316,0
27,9,402,261,10,2,2,2,5,9,6,19,727,0,727,0
28,9,136,121,5,5,2,2,2,3,7,9,301,0,301,0
29,13,387,163,4,0,0,2,4,8,11,11,603,0,603,0
30,11,254,155,6,2,1,1,2,14,8,17,471,0,471,0
31,10,273,74,4,1,2,1,5,4,8,13,395,0,395,0
32,10,321,50,6,1,2,5,2,6,9,14,426,0,426,0
33,0,225,41,0,0,0,0,0,1,2,1,270,0,270,0
34,6,217,58,0,0,0,0,1,2,9,7,300,0,300,0
35,9,239,116,3,1,1,1,2,1,5,19,397,0,397,0
36,9,275,60,3,2,0,1,2,4,4,7,367,0,367,0
37,1,101,20,2,0,2,2,2,2,8,15,155,0,155,0
38,6,323,48,1,1,0,0,0,5,6,6,396,0,396,0
39,3,251,192,3,1,1,0,2,3,0,4,460,0,460,0
40,9,345,87,1,1,0,0,1,6,4,4,458,0,458,0
41,4,436,87,1,1,0,1,2,3,9,7,551,0,551,0
42,5,354,240,7,8,1,1,1,2,2,12,633,0,633,0
43,10,333,157,1,1,0,0,0,1,2,10,515,0,515,0
44,8,321,254,6,1,3,2,4,5,12,10,626,0,626,0
45,7,366,179,4,1,0,0,4,0,8,10,579,0,579,0
46,0,162,35,1,0,0,0,0,0,1,0,199,0,199,0
47,6,158,250,3,4,1,2,0,2,1,9,436,0,436,0
48,2,379,148,4,0,1,1,0,0,3,9,547,0,547,0
49,7,262,244,3,1,1,0,0,3,2,3,526,0,526,0
50,6,334,152,3,0,0,2,0,7,4,9,517,0,517,0
51,3,82,269,3,0,0,1,3,2,5,2,370,0,370,0
52,4,427,79,1,0,0,0,0,2,1,3,517,0,517,0
53,7,230,156,8,1,2,1,1,2,2,19,429,0,429,0
54,6,235,29,0,1,0,0,0,1,3,1,276,0,276,0
55,6,192,113,2,0,1,0,0,4,5,7,330,0,330,0
56,2,89,153,0,1,1,1,2,1,3,9,262,0,262,0
57,11,235,255,4,2,0,1,6,4,7,14,539,0,539,0
58,7,305,81,3,1,2,0,1,1,7,4,412,0,412,0
59,17,151,287,6,0,1,1,1,2,1,10,477,0,477,0
60,5,397,121,4,5,3,0,1,5,10,19,570,0,570,0
61,4,264,102,6,1,1,0,2,6,5,6,397,0,397,0
62,9,268,279,5,3,1,0,1,5,13,21,605,0,605,0
63,8,367,207,7,2,0,1,4,7,9,11,623,0,623,0
64,3,137,143,5,3,0,2,3,9,3,11,319,0,319,0
65,5,94,83,7,1,0,0,0,0,5,7,202,0,202,0
66,5,285,166,2,0,0,1,0,5,10,9,483,0,483,0
67,3,38,185,3,1,0,0,1,3,3,6,243,0,243,0
68,12,118,172,9,1,0,0,3,1,4,10,330,0,330,0
69,2,228,283,8,2,1,2,3,1,3,12,545,0,545,0
70,12,209,175,2,0,0,0,0,1,2,10,411,0,411,0
71,8,113,137,6,1,0,1,1,5,5,7,284,0,284,0
72,1,159,109,1,0,0,0,1,1,5,2,279,0,279,0
73,8,244,168,1,0,0,1,1,7,2,10,442,0,442,0
74,5,291,169,6,1,1,1,0,5,6,7,492,0,492,0
