Sl. No.of Polling Station,,,,,,,,,,,,,,,,,,,"""None of the Above"" (NOTA)",valid,No of Rejected Votes,Total,No. of Test Votes (VVPAT),No. Tendered Votes
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,,,,,,
57,362,126,2,1,0,0,0,1,0,0,0,0,0,3,1,3,6,3,1,510,0,510,0,0
58,84,351,4,2,0,0,0,4,0,0,0,0,0,1,2,2,1,4,3,458,0,458,0,0
59,249,95,4,0,0,0,0,1,0,0,0,0,0,0,2,5,2,1,3,362,0,362,0,0
60,561,64,4,0,1,0,1,1,0,1,0,0,0,0,2,7,8,0,3,655,0,655,0,0
61,546,55,0,1,0,0,0,4,0,0,0,0,0,0,0,1,3,1,3,614,0,614,0,0
62,625,64,0,1,0,0,0,3,0,0,0,0,0,1,0,2,5,0,5,706,0,706,0,0
63,332,34,2,0,0,0,1,5,0,0,0,0,0,0,0,2,4,0,2,382,0,382,0,0
64,339,153,15,0,2,0,1,6,0,0,0,0,0,1,0,14,11,4,4,550,0,550,0,0
65,447,91,0,2,0,0,0,6,0,0,0,0,0,0,0,5,4,0,0,557,0,557,0,0
66,441,43,2,0,1,0,0,0,1,1,0,1,1,0,2,0,5,0,1,498,0,498,0,0
67,546,137,16,2,0,1,0,12,0,0,0,0,0,1,1,3,5,3,1,728,0,728,0,0
68,573,64,1,0,0,0,1,8,0,0,0,0,0,0,0,3,4,0,5,659,0,659,0,0
69,572,77,13,0,0,0,0,4,0,0,0,0,0,0,0,2,6,1,3,678,0,678,0,0
70,460,209,5,14,0,0,1,2,0,0,0,0,0,0,0,3,7,1,7,709,0,709,0,0
71,467,428,8,4,1,0,0,4,0,0,1,0,1,0,0,3,5,6,2,929,0,929,0,0
72,233,477,8,6,0,0,0,5,0,0,1,1,2,2,1,11,4,4,3,756,0,756,0,0
73,348,401,5,7,0,0,1,4,0,5,1,0,1,1,7,17,13,6,11,828,0,828,0,0
74,271,399,16,5,0,1,1,3,2,0,0,0,0,0,0,3,0,5,18,724,0,724,0,0
75,250,561,13,5,0,0,1,9,0,0,0,1,1,0,2,6,2,3,7,860,0,860,0,0
76,557,59,1,0,0,0,0,2,0,1,0,1,1,0,2,21,15,3,6,669,0,669,0,0
77,371,195,4,3,0,0,0,0,0,0,0,2,2,0,2,23,6,5,3,615,0,615,0,0
78,577,253,6,2,1,1,0,10,1,0,0,0,0,3,3,20,9,8,6,902,0,902,0,0
79,281,346,56,19,1,0,0,4,0,2,0,0,0,1,3,13,4,5,5,740,0,740,0,0
80,523,145,4,2,0,0,1,4,0,0,0,0,0,0,1,10,1,0,1,692,0,692,0,0
81,418,70,1,0,0,1,0,8,0,0,0,0,0,0,1,2,3,1,6,511,0,511,0,0
82,611,158,3,0,0,0,0,4,0,2,1,0,1,0,4,5,15,3,5,812,0,812,0,0
83,634,93,0,0,0,0,0,2,1,0,0,2,2,1,2,9,3,0,4,751,0,751,0,0
84,429,274,3,0,0,0,0,1,0,0,1,0,1,0,4,1,2,6,3,724,0,724,0,0
85,732,61,1,0,0,0,0,4,0,0,0,0,0,0,1,2,4,1,8,814,0,814,0,0
86,627,60,3,0,1,1,0,9,0,0,0,0,0,0,1,1,4,2,8,718,0,718,0,0
87,707,66,1,1,0,0,0,8,0,0,0,0,0,0,0,2,3,0,6,794,0,794,0,0
88,806,78,1,1,1,0,1,2,0,0,0,0,0,0,1,0,3,1,3,898,0,898,0,0
89,567,42,0,0,0,0,0,2,1,0,0,0,0,0,0,3,2,0,4,621,0,621,0,0
90,787,40,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,7,839,0,839,0,0
91,582,48,0,0,0,0,0,8,0,0,1,0,1,0,0,0,6,0,1,646,0,646,0,0
92,722,38,2,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,4,770,0,770,0,0
93,557,232,7,1,1,1,0,1,1,0,0,0,0,1,3,6,5,6,2,826,0,826,0,0
94,524,39,2,1,1,0,0,5,0,0,0,1,1,0,2,3,7,0,3,588,0,588,0,0
95,549,121,4,1,2,0,2,2,0,3,0,6,6,7,7,30,5,2,1,748,0,748,0,0
96,630,64,0,2,0,0,0,2,0,0,0,1,1,0,1,6,9,2,2,719,0,719,0,0
97,202,346,48,2,0,0,0,2,0,0,0,0,0,0,1,1,2,4,3,611,0,611,0,0
98,582,207,6,2,0,0,1,5,0,0,0,1,1,0,3,14,4,5,7,839,0,839,0,0
99,302,75,4,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,2,389,0,389,0,0
100,509,26,0,0,1,0,0,1,0,0,0,0,0,0,0,1,5,0,4,547,0,547,0,0
101,446,22,0,0,0,0,0,4,0,0,0,0,0,0,0,1,3,0,3,479,0,479,0,0
102,698,44,0,0,0,0,1,3,0,0,0,0,0,0,1,0,3,2,1,753,0,753,0,0
103,496,31,1,0,0,0,0,7,0,0,0,1,1,1,0,1,8,1,2,549,0,549,0,0
104,839,71,1,0,1,0,0,4,0,0,0,0,0,0,0,5,2,0,4,928,0,928,0,0
105,459,31,0,1,0,0,0,5,0,0,0,0,0,0,1,2,2,1,2,504,0,504,0,0
106,86,348,14,0,0,0,0,3,0,0,1,1,2,0,0,0,2,13,5,473,0,473,0,0
107,60,247,6,0,0,0,0,1,0,0,0,0,0,1,0,3,1,2,3,324,0,324,0,0
108,377,140,2,2,0,0,0,4,0,0,0,0,0,2,4,5,4,1,2,543,0,543,0,0
109,73,620,2,1,0,1,0,3,0,0,0,0,0,0,0,0,3,8,3,714,0,714,0,0
110,307,12,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,0,0,332,0,332,0,0
111,614,40,0,1,0,0,0,3,0,0,0,0,0,0,1,5,4,1,7,676,0,676,0,0
112,359,268,6,0,2,0,2,0,2,1,1,2,3,1,3,8,11,2,8,676,0,676,0,0
113,800,112,0,0,1,0,2,3,0,0,0,0,0,1,1,7,3,0,5,936,0,936,0,0
114,440,227,0,1,0,0,1,3,0,1,1,2,3,2,4,9,2,2,5,701,0,701,0,0
115,756,117,3,0,1,1,0,3,0,1,1,1,2,0,3,13,6,3,3,913,0,913,0,0
