polling station,,,,,,,,,,,,,,,,
,Ishvarbhai Dhanabhai Makwana,Dr. Kirit P. Solanki,Chavda Mansukhbh ai Nagarbhai,Amrut Sonara,Narendra Sankhaliya,Dr. J.G. Parmar,J. J. Mevada,Aayar Muljibhai Khanabhai,Parmar Harjivanbhai Kalabhai,Solanki Rameshbha i Danabhai,Solanki Vitthalbhai Maganbhai,Total Valid Votes,No. of Reject votes,NOTA,Total,No.of tender votes
209,48,438,5,1,0,0,1,0,2,0,2,497,,12,509,0
210,55,712,1,1,1,0,2,0,0,1,4,777,,13,790,0
211,72,360,2,0,0,0,3,1,0,1,0,439,,6,445,0
212,74,434,2,0,2,0,4,0,1,1,0,518,,5,523,0
213,211,315,2,1,3,1,9,0,1,1,1,545,,6,551,0
214,40,426,3,0,1,0,9,0,1,0,4,484,,10,494,0
215,42,393,7,0,4,0,4,1,2,1,6,460,,2,462,0
216,88,481,1,0,0,1,6,0,3,0,1,581,,12,593,0
217,103,377,13,2,0,1,3,1,2,14,27,543,,64,607,0
218,42,259,6,0,0,1,3,0,1,0,2,314,,1,315,0
219,213,345,3,3,0,2,9,0,1,1,1,578,,10,588,0
220,145,373,2,0,3,3,1,0,1,2,1,531,,7,538,0
221,86,270,5,0,1,2,2,0,0,0,0,366,,7,373,0
222,123,538,5,1,0,0,6,1,1,7,6,688,,16,704,0
223,298,516,2,0,1,0,8,0,2,1,2,830,,12,842,0
224,56,488,5,1,0,0,2,0,2,1,6,561,,7,568,0
225,474,268,17,4,2,5,16,0,3,1,5,795,,10,805,0
226,243,391,7,0,3,2,7,2,2,1,5,663,,5,668,0
227,595,233,4,0,3,2,3,1,4,5,3,853,,15,868,0
228,360,281,6,3,1,0,2,0,0,4,1,658,,9,667,0
