polling station,No. of Valid Votes cast in favour of,,,,,,,,,,Total of  Valid  Votes,No.of  rejected  votes,Votes for  'NOTA'  option,Total  Votes,No.of       tendered  votes
,Katara  Singjibhai  Jaljibhai,Jasvantsinh  Sumanbhai  Bhabhor,Taviyad  Dr.Prabhaben  Kishorsinh,Bamaniya  Jyotishkumar  Bapubhai,Bhabhor  Mavjibhai  Titubhai,K. C. MUNIA  Advocate,Meda  Jagdishbhai  Manilal,Ramsingbhai  Nanjibhai  Kalara,Kumari  Induben  Nathubhai  Sangada,Bhura  Navalbhai  Manabhai,,,,,
1,21,423,178,8,1,2,8,3,1,7,652,0,26,678,0
2,29,296,130,3,2,3,6,4,6,11,490,0,17,507,0
3,17,487,135,10,5,3,4,3,0,9,673,0,28,701,0
4,8,158,118,5,1,3,2,1,3,3,302,0,12,314,0
5,12,329,164,12,6,0,3,1,4,4,535,0,19,554,0
6,18,391,232,12,3,3,5,7,8,11,690,0,28,718,0
7,14,315,254,16,8,5,7,8,17,6,650,0,40,690,0
8,11,444,72,4,2,4,2,0,4,6,549,0,8,557,0
9,15,295,161,5,4,5,10,4,5,7,511,0,22,533,0
10,13,165,74,2,1,2,4,0,3,5,269,0,16,285,0
11,16,231,109,3,3,1,10,2,7,8,390,0,17,407,0
12,9,170,32,1,0,0,3,1,0,2,218,0,2,220,0
13,6,330,207,10,2,2,5,1,5,3,571,0,11,582,0
14,13,240,201,13,5,3,3,3,7,11,499,0,23,522,0
,202,4274,2067,104,43,36,72,38,70,93,6999,0,269,7268,0
,202,4274,2067,104,43,36,72,38,70,93,6999,0,269,7268,0
15,21,344,165,8,6,1,7,1,5,9,567,0,16,583,0
16,12,323,268,6,0,1,6,3,3,6,628,0,18,646,0
17,18,316,155,13,11,3,5,2,3,12,538,0,14,552,0
18,13,211,99,4,1,6,3,1,2,5,345,0,14,359,0
19,21,223,99,1,5,2,5,2,2,2,362,0,14,376,0
20,5,283,199,10,6,6,9,6,6,3,533,0,14,547,0
21,22,258,116,3,2,2,3,0,2,3,411,0,11,422,0
22,18,395,79,7,4,3,5,1,4,8,524,0,13,537,0
23,8,230,61,7,3,1,6,0,2,4,322,0,20,342,0
24,26,225,355,21,4,2,7,5,10,10,665,0,27,692,0
25,21,285,41,3,0,0,4,1,0,5,360,0,5,365,0
26,18,256,64,3,2,1,5,2,10,10,371,0,9,380,0
27,16,353,356,15,2,1,8,4,4,13,772,0,39,811,0
28,19,266,191,8,3,3,8,6,3,6,513,0,26,539,0
,440,8242,4315,213,92,68,153,72,126,189,13910,0,509,14419,0
,440,8242,4315,213,92,68,153,72,126,189,13910,0,509,14419,0
29,9,122,92,3,4,1,3,0,1,2,237,0,5,242,0
30,9,145,53,0,1,0,3,0,4,3,218,0,5,223,0
31,24,836,81,4,3,1,4,0,1,1,955,0,1,956,0
32,13,430,79,2,2,0,1,2,5,7,541,0,17,558,0
33,22,459,70,7,3,3,6,5,2,7,584,0,11,595,0
34,21,238,180,8,3,2,4,3,6,3,468,0,19,487,0
35,9,243,84,7,2,0,4,2,2,2,355,0,6,361,0
36,1,616,70,5,2,1,0,0,0,0,695,0,2,697,0
37,7,296,153,5,3,0,6,2,4,5,481,0,6,487,0
38,7,181,162,2,1,0,0,1,3,3,360,0,6,366,0
39,14,269,369,13,0,4,8,4,2,6,689,0,28,717,0
40,16,255,172,8,2,3,7,2,5,12,482,0,25,507,0
41,22,260,197,9,5,2,2,0,2,4,503,0,19,522,0
42,7,249,64,2,0,1,1,2,1,3,330,0,8,338,0
,621,12841,6141,288,123,86,202,95,164,247,20808,0,667,21475,0
,621,12841,6141,288,123,86,202,95,164,247,20808,0,667,21475,0
43,10,397,192,13,1,1,1,4,6,10,635,0,22,657,0
44,0,254,174,4,1,1,1,2,1,3,441,0,5,446,0
45,17,242,222,7,1,4,6,3,3,6,511,0,8,519,0
46,9,78,323,6,1,1,2,5,7,9,441,0,6,447,0
47,1,134,161,2,0,2,3,3,6,1,313,0,8,321,0
48,10,136,194,8,0,1,5,0,2,5,361,0,13,374,0
49,20,259,99,6,0,2,3,2,1,4,396,0,18,414,0
50,13,357,203,4,4,6,3,6,5,7,608,0,14,622,0
51,7,231,57,2,0,3,2,0,1,3,306,0,7,313,0
52,13,254,142,4,5,1,6,4,5,5,439,0,14,453,0
53,9,241,108,5,1,1,4,0,4,6,379,0,8,387,0
54,28,217,163,9,2,13,6,2,6,8,454,0,14,468,0
55,10,176,78,8,2,8,1,1,1,2,287,0,9,296,0
56,3,178,30,1,0,1,0,0,1,3,217,0,8,225,0
,771,15995,8287,367,141,131,245,127,213,319,26596,0,821,27417,0
,771,15995,8287,367,141,131,245,127,213,319,26596,0,821,27417,0
57,3,198,30,2,1,1,2,1,3,1,242,0,3,245,0
58,14,312,68,4,0,1,1,0,1,1,402,0,4,406,0
59,3,330,116,4,1,2,4,0,3,7,470,0,5,475,0
60,9,278,84,1,0,3,1,0,3,1,380,0,10,390,0
61,6,230,58,4,2,2,3,1,3,1,310,0,5,315,0
62,7,197,78,1,0,2,2,0,3,8,298,0,7,305,0
63,6,284,152,3,0,2,1,1,0,2,451,0,9,460,0
64,6,206,109,0,1,0,2,0,1,1,326,0,6,332,0
65,2,169,47,1,0,0,0,0,0,6,225,0,4,229,0
66,7,268,46,1,2,1,1,2,4,12,344,0,6,350,0
67,9,374,69,4,2,0,1,0,0,5,464,0,7,471,0
68,13,185,74,1,2,4,2,0,5,10,296,0,9,305,0
69,13,298,81,4,0,0,1,1,3,2,403,0,9,412,0
70,5,224,53,2,1,2,0,1,3,10,301,0,12,313,0
,874,19548,9352,399,153,151,266,134,245,386,31508,0,917,32425,0
,874,19548,9352,399,153,151,266,134,245,386,31508,0,917,32425,0
71,18,249,342,12,5,3,5,6,8,15,663,0,17,680,0
72,19,307,360,6,1,2,8,3,3,4,713,0,19,732,0
73,3,437,66,0,0,0,0,0,0,0,506,0,3,509,0
74,2,157,82,4,1,1,0,0,0,1,248,0,1,249,0
75,9,380,191,4,1,1,2,4,2,3,597,0,6,603,0
76,3,177,97,4,2,0,1,3,6,5,298,0,14,312,0
77,10,230,155,4,3,4,2,2,3,2,415,0,14,429,0
78,24,266,153,5,1,4,2,1,5,11,472,0,20,492,0
79,10,268,189,2,1,0,2,3,7,17,499,0,21,520,0
80,12,175,124,1,0,0,2,1,1,2,318,0,2,320,0
81,16,246,220,3,0,0,1,2,8,5,501,0,3,504,0
82,9,343,91,1,0,1,1,1,4,1,452,0,7,459,0
83,2,75,81,1,1,0,3,1,0,1,165,0,5,170,0
84,7,232,133,5,0,1,1,0,2,2,383,0,6,389,0
,1018,23090,11636,451,169,168,296,161,294,455,37738,0,1055,38793,0
,1018,23090,11636,451,169,168,296,161,294,455,37738,0,1055,38793,0
85,16,285,297,7,3,4,4,3,9,3,631,0,17,648,0
86,2,232,49,1,0,0,1,0,2,3,290,0,5,295,0
87,11,232,235,6,4,2,0,2,2,5,499,0,13,512,0
88,2,251,158,6,1,0,1,0,1,3,423,0,7,430,0
89,11,258,98,9,1,2,4,0,4,10,397,0,15,412,0
90,8,251,33,3,0,0,2,1,0,2,300,0,2,302,0
91,10,315,155,0,1,1,1,0,2,3,488,0,2,490,0
92,14,370,141,6,0,2,3,6,6,0,548,0,13,561,0
93,17,244,127,11,2,4,3,3,1,6,418,0,13,431,0
94,10,186,151,7,0,1,0,1,2,3,361,0,9,370,0
95,10,247,88,3,1,0,4,3,4,6,366,0,9,375,0
96,9,346,141,3,4,2,3,5,4,6,523,0,9,532,0
97,3,253,76,0,1,1,3,1,0,4,342,0,10,352,0
98,10,259,143,5,0,1,8,3,2,6,437,0,28,465,0
,1151,26819,13528,518,187,188,333,189,333,515,43761,0,1207,44968,0
,1151,26819,13528,518,187,188,333,189,333,515,43761,0,1207,44968,0
99,15,287,224,16,2,3,6,2,2,2,559,0,7,566,0
