Serial No. of Polling Station,No. of Valid votes cast in favour of,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA option,Total Votes,Total No. of Tendered Votes
,KACHHADIYA NARANBHAI BHIKHABHAI,THUMMAR VIRJIBHAI KESHAVBHAI (VIRJIBHAI,DAFADA RAMJIBHAI NANJIBHAI,CHAVADA MANUBHAI PARSHOTTMBHAI,RATHOD JIVANBHAI R.,SANGANI VIJAYBHAI DINESHBHAI,SUKHADIYA NATHALAL VALLABHBHAI,USMANBHAI P. MAGHARA,JADAV MUSTAKBHAI,DHIMECHA NARESHBHAI NANJIBHAI,NATHABHAI DAYABHAI TOTA,MEHULBHAI HIMATBHAI SUKHADIA,RAMANI SURESHBHAI DHIRUBHAI,VALODARA VRAJLAL JIVABHAI,,,,,
233,300,200,2,10,4,4,2,4,2,0,3,1,2,5,539,0,15,554,0
234,177,207,4,8,2,2,3,2,2,1,3,5,4,11,431,0,22,453,0
235,271,130,1,1,1,1,2,1,0,0,8,0,0,2,418,0,14,432,0
236,260,134,0,1,0,1,1,0,0,1,0,1,2,0,401,0,9,410,0
237,194,117,4,39,1,2,3,3,0,1,1,4,3,6,378,0,7,385,0
238,187,66,4,45,3,1,4,2,0,2,4,4,6,3,331,0,16,347,0
239,282,92,5,10,0,2,1,0,0,2,3,3,9,5,414,0,15,429,0
240,134,56,3,3,0,0,1,0,0,1,0,1,3,0,202,0,3,205,0
241,139,126,0,7,1,0,1,1,0,2,1,3,6,2,289,0,5,294,0
242,244,192,3,3,1,0,1,0,0,0,2,2,0,3,451,0,7,458,0
243,281,219,5,23,6,1,4,1,1,2,2,3,6,6,560,0,13,573,0
244,346,58,2,6,42,4,1,3,0,3,6,4,11,7,493,0,24,517,0
245,139,25,2,0,0,0,1,1,1,2,0,0,2,2,175,0,8,183,0
246,28,41,3,0,0,0,0,0,0,0,0,0,0,0,72,0,0,72,0
247,253,260,11,2,2,3,1,4,2,4,3,5,1,17,568,0,18,586,0
248,353,52,1,12,1,1,4,0,0,1,1,2,2,1,431,0,6,437,0
249,212,43,4,1,0,0,6,1,0,0,3,0,1,3,274,0,6,280,0
250,258,207,7,2,2,2,5,2,0,0,1,0,4,5,495,0,10,505,0
