Sl. No.of Polling Station,,,,,,,,,,,,,,,,,,,,valid,No of Rejected Votes,Total,No. of Test Votes (VVPAT),No. Tendered Votes
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,"""None of the Above"" (NOTA)",,,,,
57,551,75,0,0,0,0,2,24,0,0,0,0,0,1,0,1,14,5,22,695,0,695,0,0
58,636,78,3,3,0,0,0,16,2,0,0,0,0,0,0,2,0,0,17,757,0,757,0,0
59,461,74,1,0,0,0,0,24,0,1,0,0,0,0,0,6,0,1,10,579,0,579,0,0
60,686,71,1,1,0,0,0,18,0,0,0,0,0,0,0,2,3,0,7,790,0,790,0,0
61,361,35,0,0,0,0,0,11,0,0,0,0,0,0,1,3,1,0,4,417,0,417,0,0
62,476,50,2,0,0,0,0,9,0,0,0,0,0,0,0,2,1,0,5,545,0,545,0,0
63,718,125,2,1,0,0,1,26,0,1,0,1,1,2,1,1,5,2,13,899,0,899,0,0
64,730,139,2,0,0,0,1,9,0,0,0,0,0,0,0,7,5,2,21,918,0,918,0,0
65,419,241,1,0,0,0,1,20,0,1,1,0,1,1,1,4,6,4,10,710,0,710,0,0
66,735,43,2,0,1,1,0,9,0,0,0,0,0,0,1,2,0,0,2,796,0,796,0,0
67,853,92,0,0,0,0,0,10,0,0,0,0,0,0,0,3,2,0,11,971,0,971,0,0
68,486,50,1,0,0,0,0,4,0,0,1,1,2,0,2,8,3,0,1,557,0,557,0,0
69,513,132,4,1,0,0,0,6,0,1,2,0,2,0,1,5,4,3,6,678,0,678,0,0
70,610,189,9,0,0,0,0,20,1,0,0,1,1,1,1,2,3,1,20,858,0,858,0,0
71,404,27,3,0,0,0,0,7,1,1,0,0,0,0,3,6,6,0,4,462,0,462,0,0
