polling station,,,,,,,,,,,,,,,,
,Ishvarbhai Dhanabhai Makwana,Dr. Kirit P. Solanki,Chavda Mansukhbh ai Nagarbhai,Amrut Sonara,Narendra Sankhaliya,Dr. J.G. Parmar,J. J. Mevada,Aayar Muljibhai Khanabhai,Parmar Harjivanbhai Kalabhai,Solanki Rameshbha i Danabhai,Solanki Vitthalbhai Maganbhai,Total Valid Votes,No. of Reject votes,NOTA,Total,No.of tender votes
1,472,414,0,0,1,2,18,0,1,0,6,914,0,7,921,0
2,210,628,4,3,1,0,6,1,1,1,6,861,0,15,876,0
3,229,296,3,0,1,1,3,0,3,1,6,543,0,8,551,0
4,82,503,6,1,1,0,3,1,1,1,6,605,0,12,617,0
5,82,685,13,0,0,0,3,2,0,2,4,791,0,8,799,0
6,257,394,2,0,12,0,6,0,1,2,1,675,0,18,693,0
7,205,443,6,1,4,3,7,0,1,2,3,675,0,15,690,0
8,165,882,7,0,1,1,3,2,0,1,2,1064,0,7,1071,0
9,316,344,6,1,0,1,5,1,1,6,5,686,0,6,692,0
10,338,184,16,0,1,2,3,2,2,2,4,554,0,17,571,0
11,145,388,7,0,1,2,17,0,0,1,3,564,0,13,577,0
12,55,531,3,0,1,1,6,2,0,0,0,599,0,15,614,0
13,373,102,8,2,4,0,17,2,0,0,2,510,0,12,522,0
14,196,244,3,1,7,0,4,0,0,0,1,456,0,6,462,0
15,266,171,1,0,2,0,7,0,1,1,3,452,0,12,464,0
16,515,317,7,1,7,4,12,3,3,2,4,875,0,21,896,0
17,384,179,2,2,12,2,13,0,0,1,1,596,0,14,610,0
18,277,174,6,1,2,1,3,1,1,1,2,469,0,13,482,0
19,45,629,8,0,0,1,2,0,2,0,16,703,0,9,712,0
20,170,658,7,1,2,1,8,0,0,1,7,855,0,18,873,0
21,11,130,0,0,0,0,0,0,0,0,2,143,0,4,147,0
22,196,458,6,1,5,0,2,1,0,2,8,679,0,14,693,0
23,174,321,7,0,4,0,2,2,2,0,2,514,0,16,530,0
24,485,304,6,1,6,5,14,0,2,2,6,831,0,14,845,0
25,367,200,8,4,11,1,14,2,0,1,0,608,0,13,621,0
26,312,117,0,0,9,0,9,1,2,0,0,450,0,8,458,0
27,306,142,2,0,19,0,2,1,0,0,0,472,0,12,484,0
28,363,455,3,3,16,0,8,1,2,0,3,854,0,9,863,0
29,361,379,4,0,20,1,11,0,1,1,1,779,0,13,792,0
30,154,623,3,1,11,1,27,0,2,1,5,828,0,27,855,0
31,428,231,3,0,9,12,10,1,1,1,3,699,0,12,711,0
32,160,440,1,0,2,3,52,1,0,0,1,660,0,25,685,0
33,308,544,1,1,4,1,8,0,0,1,1,869,0,13,882,0
34,86,793,3,0,9,2,12,1,0,1,2,909,0,9,918,0
35,245,228,4,1,0,0,11,1,3,3,4,500,0,14,514,0
36,134,568,1,0,2,1,12,1,1,2,1,723,0,15,738,0
37,121,685,2,0,2,1,15,0,0,0,0,826,0,12,838,0
38,251,616,5,0,1,0,9,1,0,0,1,884,0,24,908,0
39,74,423,0,0,0,0,15,0,0,0,0,512,0,10,522,0
40,57,669,2,0,3,0,8,1,1,0,3,744,0,11,755,0
41,36,659,0,0,1,2,11,1,0,0,0,710,0,8,718,0
42,108,256,0,0,0,0,2,0,0,0,1,367,0,9,376,0
43,35,513,6,0,1,0,0,0,2,2,5,564,0,11,575,0
44,31,594,2,0,0,0,7,0,0,0,0,634,0,9,643,0
45,105,483,0,2,0,0,7,0,1,2,2,602,0,14,616,0
46,126,472,1,1,0,1,12,0,0,1,1,615,0,13,628,0
47,167,460,4,0,1,0,17,0,0,1,2,652,0,9,661,0
48,68,429,2,0,0,0,13,0,1,0,1,514,0,11,525,0
49,72,407,0,0,0,1,6,1,0,0,0,487,0,8,495,0
50,351,267,1,0,3,0,8,0,0,3,2,635,0,7,642,0
51,581,66,0,1,2,0,7,0,1,1,1,660,0,12,672,0
52,79,492,3,1,1,0,5,1,1,1,2,586,0,5,591,0
53,62,624,1,1,0,0,7,0,0,0,2,697,0,10,707,0
54,73,698,3,1,0,0,8,0,0,1,4,788,0,10,798,0
55,340,441,1,1,2,1,18,1,0,0,1,806,0,5,811,0
56,623,14,0,0,0,2,20,1,0,0,0,660,0,2,662,0
57,453,101,0,3,0,8,13,0,0,0,0,578,0,5,583,0
58,302,374,4,3,2,10,15,2,0,2,2,716,0,14,730,0
59,263,578,11,1,1,2,15,0,1,2,6,880,0,15,895,0
60,276,350,9,1,0,7,3,2,1,2,5,656,0,10,666,0
61,293,315,14,2,0,57,5,0,0,1,3,690,0,7,697,0
62,576,31,2,0,1,2,10,1,0,0,1,624,0,7,631,0
63,179,438,4,0,1,8,1,0,0,1,2,634,0,2,636,0
64,346,344,39,1,5,3,14,1,1,8,5,767,0,14,781,0
65,249,291,26,0,0,7,14,0,0,1,3,591,0,14,605,0
66,782,29,2,3,0,0,15,0,1,0,2,834,0,3,837,0
67,617,90,5,1,1,1,30,2,2,2,3,754,0,12,766,0
