Serial No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,Total of valid votes,No. of Rejected votes,Nota,Total,No. of Tendere d votes
,Dilip Patel,Purshottambhai Alias Kanubhai Mathurbhai Chauhan,Solanki Bharatbhai Madhavsinh,Girishbhai Das (Advocate),Padhiyar Vikramsinh (Vakil),Mahida Mahendrasinh Sahebsinh,Ravjibhai S Parmar,Hitendrasinh Mohansinh Parmar,Patel Jayeshbhai Arvindbhai,Patel Dilipbhai Manilal,Patel Naineshkuma r Umedbhai,Parmar Amarsinh Dahyabhai,Rabari Hiteshkumar Laljibhai,Vahora Firojbhai Walimahamad bhai (Kasorwala),Vaghela Bharat P,,,,,
1,365,6,126,4,0,0,0,0,0,0,1,0,2,2,1,507,0,9,516,0
2,127,1,248,3,0,1,2,2,2,0,0,2,2,3,3,396,0,9,405,0
3,351,4,302,4,1,1,0,0,1,1,2,1,2,10,0,680,0,6,686,0
4,355,1,79,0,0,0,1,1,0,1,0,0,0,1,0,439,0,1,440,0
5,163,3,333,3,0,2,1,0,0,0,0,1,0,12,8,526,0,17,543,0
6,285,5,222,1,0,2,0,1,0,1,1,0,1,0,2,521,0,6,527,0
7,249,4,279,5,0,18,2,3,0,4,2,2,1,9,5,583,0,14,597,0
8,168,8,275,3,0,7,1,0,3,1,2,2,0,9,3,482,0,7,489,0
9,387,0,189,0,0,1,2,2,0,0,0,0,0,0,0,581,0,2,583,0
10,416,0,35,0,1,0,2,0,0,0,0,1,0,0,0,455,0,2,457,0
11,394,5,123,0,1,0,0,2,1,1,2,1,0,0,3,533,0,5,538,0
12,328,2,317,3,1,0,0,2,0,0,0,1,2,3,2,661,0,18,679,0
13,142,3,235,1,0,2,6,0,2,2,0,1,1,4,0,399,0,2,401,0
14,140,3,237,1,0,1,1,2,0,2,1,1,3,7,4,403,0,5,408,0
15,596,6,122,0,0,0,4,0,0,4,1,2,1,1,2,739,0,15,754,0
16,423,1,224,3,1,0,3,2,3,0,1,1,5,7,7,681,0,20,701,0
17,631,5,125,0,0,0,2,0,0,1,1,0,0,0,3,768,0,3,771,0
18,187,4,384,3,0,1,0,1,1,0,3,3,5,7,5,604,0,14,618,0
19,118,5,388,6,0,1,2,3,1,0,0,2,1,9,3,539,0,8,547,0
20,289,5,207,5,1,1,4,0,0,0,0,0,3,9,7,531,0,19,550,0
21,245,2,371,3,1,0,2,3,0,3,0,2,1,11,2,646,0,11,657,0
22,323,2,400,3,0,0,3,2,1,3,0,0,2,9,3,751,0,12,763,0
23,578,3,234,2,0,14,1,0,0,0,0,0,1,3,0,836,0,4,840,0
24,336,3,379,5,0,35,1,0,0,1,0,0,0,2,0,762,0,7,769,0
25,311,3,361,4,0,60,4,1,2,0,0,1,1,3,3,754,0,9,763,0
26,365,4,222,5,2,24,1,0,2,0,2,0,0,5,3,635,0,24,659,0
27,252,0,233,1,1,9,1,0,0,0,4,1,1,7,2,512,0,15,527,0
28,337,7,302,3,2,24,3,0,1,3,1,0,1,2,3,689,0,17,706,0
29,270,4,212,1,0,3,0,2,0,0,0,0,3,2,3,500,0,13,513,0
30,310,5,198,2,1,5,0,1,0,1,1,3,7,8,4,546,0,27,573,0
31,233,4,511,3,2,1,2,2,1,0,0,5,3,8,4,779,0,14,793,0
32,201,5,477,4,1,0,0,3,1,1,5,0,2,8,5,713,0,20,733,0
33,483,3,251,1,0,0,0,0,2,1,0,1,0,2,0,744,0,9,753,0
34,173,2,554,4,3,5,0,1,1,1,2,3,5,16,3,773,0,21,794,0
35,492,9,131,2,3,0,1,1,2,0,1,1,1,8,2,654,0,35,689,0
36,339,9,347,6,0,6,1,1,2,0,1,3,11,7,6,739,0,17,756,0
37,171,4,399,1,2,4,1,1,4,1,2,0,4,9,5,608,0,13,621,0
38,117,5,465,7,0,2,2,2,2,4,3,2,5,16,6,638,0,13,651,0
39,302,0,201,0,1,1,1,1,0,0,1,0,0,1,2,511,0,10,521,0
40,298,0,69,0,0,3,0,1,0,0,1,0,1,1,0,374,0,1,375,0
41,340,3,409,3,2,3,2,4,2,0,1,0,3,3,5,780,0,18,798,0
42,377,4,169,0,1,0,0,0,0,1,0,0,1,1,0,554,0,5,559,0
43,326,8,339,3,0,2,4,1,4,3,2,2,1,4,5,704,0,11,715,0
44,322,3,204,1,0,1,2,4,0,0,1,1,1,4,3,547,0,14,561,0
45,483,4,290,2,1,3,4,1,0,1,1,0,4,3,4,801,0,22,823,0
46,154,3,413,6,2,3,1,4,4,3,2,3,5,15,2,620,0,24,644,0
47,113,6,573,1,0,4,3,2,1,1,0,1,0,2,1,708,0,8,716,0
48,15,2,636,2,0,1,0,1,2,2,0,0,1,3,0,665,0,6,671,0
49,31,0,610,3,0,0,5,0,0,1,0,0,2,5,3,660,0,2,662,0
50,56,3,639,3,0,1,3,1,2,2,1,1,1,9,6,728,0,8,736,0
51,246,2,476,3,1,9,2,0,1,0,1,0,0,3,1,745,0,7,752,0
52,124,0,605,5,1,1,2,1,2,0,0,1,3,7,2,754,0,7,761,0
53,303,5,164,2,0,0,0,2,0,0,3,0,1,3,4,487,0,24,511,0
54,217,3,226,2,0,1,1,3,2,0,0,0,2,9,3,469,0,19,488,0
55,73,2,406,2,0,0,0,1,0,2,0,0,3,3,4,496,0,4,500,0
56,145,5,428,4,0,0,2,4,4,1,1,3,7,9,3,616,0,15,631,0
57,657,2,100,1,0,0,1,1,0,0,0,1,1,2,0,766,0,11,777,0
58,460,0,86,1,0,0,0,0,0,1,0,0,1,4,0,553,0,8,561,0
59,412,0,211,2,0,0,7,0,2,0,2,0,0,2,5,643,0,9,652,0
60,173,3,308,3,1,0,1,1,2,1,0,0,7,11,2,513,0,20,533,0
61,195,2,357,5,1,1,4,1,0,2,1,0,6,20,2,597,0,19,616,0
62,331,2,139,0,0,1,1,0,1,1,0,0,3,7,2,488,0,20,508,0
63,459,1,82,1,21,14,1,2,0,0,0,2,5,4,1,593,0,7,600,0
64,315,4,286,2,12,6,0,0,2,1,0,0,0,9,8,645,0,14,659,0
65,393,1,164,2,1,0,0,0,0,1,1,0,2,4,1,570,0,6,576,0
66,453,3,291,0,2,0,0,1,3,0,1,1,2,3,3,763,0,12,775,0
67,305,3,531,2,0,0,1,1,1,0,0,2,8,11,7,872,0,22,894,0
68,412,1,107,0,0,0,1,0,0,0,1,0,1,0,3,526,0,4,530,0
69,193,1,522,8,2,3,3,1,1,0,3,5,6,8,6,762,0,35,797,0
