polling station,BHAMBHI CHANDUBHAI MULCHANDBHAI,RATHOD DIPSINH SHANKARSINH,SHANKERSINH VAGHELA BAPU,PATEL BHOGILAL HARIBHAI,SHEKH ARIF KHAN,PATEL ISHWARBHAI SAKRAJI ,PATEL PURUSOTTAMBHAI AMBALAL,BALUSINGH SOMANSINGH NARVE,VELANI SHANTILAL KARAMSHI,SOLANKI CHHAGANBHAI KEVALABHAI,NOTA,valid,Rejected Votes,Total Votes,Tender Votes
1,6,213,158,2,0,0,0,0,2,1,6,388,0,388,0
2,1,265,7,0,0,0,0,0,0,0,2,275,0,275,0
3,5,176,460,2,2,0,1,4,2,0,2,654,0,654,0
4,2,18,142,5,0,0,0,1,2,0,0,170,0,170,0
5,0,141,93,2,0,0,0,1,1,1,1,240,0,240,0
6,9,29,385,0,1,3,1,0,2,1,10,441,0,441,0
7,5,113,442,12,1,0,1,4,7,4,8,597,0,597,0
8,8,313,59,0,1,2,0,0,0,0,6,389,0,389,0
9,14,305,281,7,2,2,1,2,5,5,5,629,0,629,0
10,6,467,130,7,0,1,0,1,2,4,3,621,0,621,0
11,7,291,224,2,0,0,0,2,0,2,9,537,0,537,0
12,3,261,158,2,1,0,1,2,3,4,9,444,0,444,0
13,7,201,215,1,0,0,1,0,2,0,5,432,0,432,0
14,6,134,360,3,2,0,0,0,1,4,6,516,0,516,0
15,2,494,245,0,1,1,1,1,2,2,6,755,0,755,0
16,8,131,515,10,0,2,1,1,2,3,10,683,0,683,0
17,10,556,184,2,1,1,0,3,2,3,14,776,0,776,0
18,8,233,193,0,0,1,2,1,4,4,9,455,0,455,0
19,2,128,74,1,1,0,0,0,0,2,3,211,0,211,0
20,11,179,159,5,2,0,2,1,4,3,9,375,0,375,0
21,1,79,264,3,0,0,0,0,3,0,1,351,0,351,0
22,1,108,151,4,1,1,0,1,1,3,7,278,0,278,0
23,9,223,99,2,0,0,1,2,4,10,8,358,0,358,0
24,3,32,263,4,0,0,0,1,5,0,8,316,0,316,0
25,11,74,289,3,2,1,1,3,2,3,4,393,0,393,0
26,6,121,187,4,0,0,0,0,4,5,10,337,0,337,0
27,3,172,122,1,0,0,0,0,1,0,1,300,0,300,0
28,3,339,121,3,0,2,0,0,4,6,4,482,0,482,0
29,4,219,81,1,0,1,0,0,1,4,4,315,0,315,0
30,9,439,163,4,2,1,2,3,3,10,20,656,0,656,0
31,7,371,144,2,2,0,0,1,1,6,6,540,0,540,0
32,13,109,228,4,2,1,1,0,4,2,10,374,0,374,0
33,3,105,36,1,1,1,0,1,4,2,1,155,0,155,0
34,7,263,230,4,1,0,0,0,0,8,8,521,0,521,0
35,4,80,390,4,0,1,0,1,1,3,7,491,0,491,0
36,4,126,117,2,1,1,1,1,2,1,2,258,0,258,0
37,4,223,97,2,0,0,0,0,2,6,4,338,0,338,0
38,8,415,164,3,2,0,2,2,11,6,11,624,0,624,0
39,9,349,51,4,0,0,1,2,2,8,6,432,0,432,0
40,5,337,205,5,1,1,0,0,2,5,6,567,0,567,0
41,7,292,103,2,3,0,1,2,0,2,9,421,0,421,0
42,3,495,46,1,0,0,0,0,1,0,2,548,0,548,0
43,7,286,217,1,0,1,1,1,1,0,4,519,0,519,0
44,1,49,141,3,0,0,0,0,0,0,5,199,0,199,0
45,3,499,37,1,0,0,0,1,1,3,3,548,0,548,0
46,8,469,120,0,1,0,0,1,2,5,2,608,0,608,0
47,7,258,144,5,1,0,0,1,11,14,15,456,0,456,0
48,1,217,145,1,0,1,0,0,0,3,2,370,0,370,0
49,3,261,197,1,0,1,1,1,1,5,6,477,0,477,0
50,7,116,179,0,0,0,0,3,8,2,6,321,0,321,0
51,6,239,65,1,2,2,0,1,1,7,5,329,0,329,0
52,1,179,161,2,0,0,0,0,0,0,1,344,0,344,0
53,1,341,4,0,0,0,1,1,0,0,1,349,0,349,0
54,6,324,306,7,0,2,2,2,4,4,8,665,0,665,0
55,8,519,248,4,0,2,0,4,8,9,11,813,0,813,0
56,4,285,85,0,0,1,0,0,2,3,1,381,0,381,0
57,5,203,331,5,1,0,0,1,1,1,7,555,0,555,0
58,0,43,62,3,0,0,0,0,1,0,0,109,0,109,0
59,16,253,159,1,0,0,0,0,0,9,12,450,0,450,0
60,14,195,407,7,1,2,0,6,4,6,18,660,0,660,0
61,12,335,281,3,1,2,0,3,5,6,7,655,0,655,0
62,5,288,101,2,0,0,0,2,4,2,7,411,0,411,0
63,5,237,228,3,2,1,0,3,11,5,8,503,0,503,0
64,5,259,65,4,1,1,0,0,1,6,2,344,0,344,0
65,16,169,261,9,2,1,30,3,7,11,15,524,0,524,0
66,7,308,140,4,4,1,14,1,6,0,7,492,0,492,0
67,17,535,211,9,5,8,7,5,26,14,41,878,0,878,0
68,6,282,235,4,1,0,1,1,4,1,3,538,0,538,0
69,8,70,172,4,2,1,1,6,2,0,6,272,0,272,0
70,7,212,297,2,0,0,0,2,6,6,4,536,0,536,0
71,5,103,114,4,1,0,0,0,2,1,2,232,0,232,0
72,3,233,241,4,0,0,0,0,1,1,7,490,0,490,0
73,1,254,91,0,0,0,1,0,0,1,3,351,0,351,0
74,9,146,319,5,0,0,2,2,5,2,16,506,0,506,0
75,2,124,151,2,0,1,0,1,2,0,4,287,0,287,0
76,2,146,61,1,1,1,0,1,1,5,3,222,0,222,0
77,2,145,154,4,1,0,0,3,2,2,4,317,0,317,0
78,0,390,146,4,0,0,0,0,1,0,5,546,0,546,0
79,12,318,330,4,4,1,2,0,3,3,10,687,0,687,0
80,4,522,120,2,1,0,1,2,7,2,28,689,0,689,0
81,2,258,162,2,0,0,1,0,1,6,7,439,0,439,0
82,8,144,204,3,1,0,1,1,6,8,10,386,0,386,0
83,6,248,58,3,1,0,0,2,2,4,13,337,0,337,0
84,11,346,232,5,2,0,1,2,3,4,10,616,0,616,0
85,5,204,101,1,0,1,1,2,6,6,7,334,0,334,0
86,8,315,119,4,3,0,1,2,9,5,14,480,0,480,0
87,8,110,179,4,0,0,0,2,1,0,2,306,0,306,0
88,8,408,120,0,2,0,2,0,4,4,6,554,0,554,0
89,12,438,360,3,0,1,0,0,2,4,5,825,0,825,0
90,5,188,180,4,0,0,0,1,0,4,0,382,0,382,0
91,13,298,220,3,0,0,1,2,3,2,10,552,0,552,0
92,7,196,134,2,2,0,1,2,4,4,6,358,0,358,0
93,3,90,97,2,0,0,0,0,0,1,3,196,0,196,0
94,9,355,102,2,0,0,1,2,2,5,10,488,0,488,0
95,5,288,121,0,0,0,1,4,2,4,2,427,0,427,0
96,9,307,135,0,1,0,0,0,4,5,1,462,0,462,0
97,4,292,129,0,0,0,0,0,0,3,3,431,0,431,0
98,6,171,254,2,0,3,0,0,0,0,7,443,0,443,0
99,4,139,49,2,0,1,0,0,0,0,0,195,0,195,0
100,9,217,192,3,2,2,0,2,1,5,7,440,0,440,0
101,5,143,228,5,0,1,3,1,4,8,12,410,0,410,0
102,1,285,56,0,0,0,0,0,4,1,1,348,0,348,0
103,5,237,276,4,0,0,0,0,2,2,9,535,0,535,0
