polling station,,,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
,Gamit Movaliyabhai Nopariyabhai.,Chaudhari Tusharbhai Amarsinhbhai.,Chaudhari Revaben Shankarbhai.,Vasava Parbhubhai Nagarbhai.,Chaudhari Chandubhai Machalabhai.,Chaudhari Reniyabhai Shankarbhai.,Jagatsinh Laljibhai Vasava,Bhailalbhai Chhanabhai Rathod,Gamit Surendrabhai Simabhai.,Rathod Rameshbhai Bhikhabhai.,,,,,
1,6,372,7,360,5,1,1,4,5,7,768,0,14,782,0
2,4,273,0,13,8,0,1,0,1,0,300,0,1,301,0
3,6,364,5,163,11,1,0,1,0,3,554,0,6,560,0
4,1,38,0,335,1,1,1,3,1,1,382,0,4,386,0
5,18,209,7,375,14,1,4,4,8,1,641,0,23,664,0
6,10,171,5,451,11,0,2,3,2,4,659,0,7,666,0
7,3,223,3,143,5,1,0,0,0,1,379,0,2,381,0
8,2,105,3,243,7,1,1,3,6,5,376,0,11,387,0
9,1,64,5,549,5,2,1,3,5,1,636,0,8,644,0
10,7,78,4,197,12,4,3,11,5,2,323,0,13,336,0
11,0,13,2,409,4,0,3,0,0,0,431,0,0,431,0
12,3,233,6,381,8,1,0,2,1,2,637,0,7,644,0
13,7,72,12,552,3,2,2,0,2,4,656,0,13,669,0
14,7,294,11,261,7,2,5,2,4,7,600,0,7,607,0
15,11,316,11,476,8,2,4,7,4,19,858,0,23,881,0
16,2,123,5,276,8,2,2,7,2,1,428,0,12,440,0
17,1,228,2,170,2,0,0,0,0,0,403,0,1,404,0
18,2,93,11,354,7,6,9,13,7,14,516,0,31,547,0
19,2,268,1,129,5,0,1,2,0,0,408,0,3,411,0
20,8,136,8,605,8,1,6,3,13,13,801,0,28,829,0
21,3,183,4,241,2,0,2,1,3,4,443,0,7,450,0
22,3,15,3,365,3,0,5,1,4,2,401,0,12,413,0
23,10,85,9,507,6,2,14,7,4,6,650,0,21,671,0
24,1,61,1,110,2,0,1,6,1,2,185,0,5,190,0
25,6,174,6,302,7,1,7,5,4,10,522,0,12,534,0
26,1,114,4,348,5,1,4,3,2,7,489,0,25,514,0
27,2,174,5,416,5,3,2,1,2,3,613,0,7,620,0
28,0,125,2,201,1,1,1,2,0,4,337,0,5,342,0
29,5,140,5,372,4,1,1,1,0,3,532,0,10,542,0
30,4,151,5,532,2,1,6,3,8,10,722,0,13,735,0
31,7,244,3,251,7,1,0,0,4,6,523,0,14,537,0
32,12,282,11,282,4,1,9,4,6,12,623,0,12,635,0
33,5,210,5,178,4,1,2,1,2,4,412,0,6,418,0
34,8,147,4,168,1,1,3,0,1,2,335,0,6,341,0
35,3,153,5,363,6,2,10,4,6,6,558,0,29,587,0
36,1,202,1,316,3,0,4,0,0,2,529,0,2,531,0
37,17,423,14,298,4,0,30,4,6,10,806,0,9,815,0
38,7,342,8,238,6,1,8,6,3,7,626,0,6,632,0
