Sr. No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes,Votes for 'NOTA' Option,Total,No. of Tendered votes
,Chauhan Keshavbhai Malabhai (Master),C. R. Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakumar Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,,,,,
112,7,424,141,0,2,0,5,1,0,2,1,1,1,4,5,19,1,4,2,620,0,7,627,0
113,7,536,155,2,1,1,9,2,0,2,2,1,4,1,7,15,14,30,11,800,0,10,810,0
114,2,299,54,0,0,0,10,1,0,0,0,0,0,0,3,1,1,1,0,372,0,4,376,0
115,3,241,64,1,1,0,1,0,0,0,0,3,0,1,0,2,0,0,0,317,0,2,319,0
116,3,400,238,2,0,0,10,0,2,2,1,3,4,4,6,7,5,8,2,697,0,17,714,0
117,4,457,149,0,1,0,10,0,2,0,1,0,2,1,9,3,1,4,3,647,0,8,655,0
118,4,286,170,2,1,0,2,0,0,0,1,1,3,3,11,10,2,6,3,505,0,5,510,0
119,7,203,247,9,1,1,1,2,2,1,2,6,7,11,6,5,5,2,5,523,0,0,523,0
120,8,432,262,6,2,2,9,0,1,1,2,6,4,6,5,5,4,2,6,763,0,11,774,0
,436,48913,21300,218,65,35,1251,57,84,60,62,137,88,206,279,382,151,314,235,74273,0,997,75270,0
,436,48913,21300,218,65,35,1251,57,84,60,62,137,88,206,279,382,151,314,235,74273,0,997,75270,0
121,9,371,162,2,0,0,8,0,4,1,0,3,3,4,10,6,3,0,3,589,0,4,593,0
122,1,539,88,1,0,0,37,0,0,0,0,1,0,0,2,1,1,1,0,672,0,6,678,0
123,2,368,31,1,0,0,7,0,0,0,0,1,0,0,0,2,0,1,0,413,0,7,420,0
124,5,364,104,1,1,1,13,0,0,0,0,0,0,0,2,4,1,0,0,496,0,2,498,0
125,0,409,107,0,0,1,8,1,0,0,0,0,0,0,1,0,0,2,2,531,0,2,533,0
126,4,322,105,1,0,0,11,0,0,1,2,0,2,1,0,3,0,3,0,455,0,2,457,0
127,3,260,329,2,1,0,9,2,2,1,0,2,2,5,1,7,4,2,1,633,0,7,640,0
128,0,338,94,1,0,0,13,0,0,0,0,0,0,0,2,1,2,1,1,453,0,17,470,0
129,7,431,83,2,1,3,18,0,1,0,1,0,0,1,5,4,0,0,1,558,0,10,568,0
130,1,304,71,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,384,0,13,397,0
131,3,465,138,3,0,0,17,0,0,0,0,1,0,0,0,1,1,10,4,643,0,14,657,0
132,1,363,28,0,0,0,5,0,1,0,0,0,0,0,2,0,0,2,1,403,0,7,410,0
,472,53447,22640,232,68,40,1403,60,92,63,65,145,95,217,306,411,163,336,248,80503,0,1088,81591,0
,472,53447,22640,232,68,40,1403,60,92,63,65,145,95,217,306,411,163,336,248,80503,0,1088,81591,0
133,1,433,51,0,0,1,6,0,0,0,0,1,0,0,1,0,1,3,0,498,0,10,508,0
134,2,484,62,5,0,0,8,1,0,0,1,3,1,0,1,3,0,2,1,574,0,8,582,0
135,4,463,85,1,0,0,14,1,0,0,2,1,1,1,1,0,0,2,0,576,0,3,579,0
136,0,284,41,1,0,0,4,0,0,0,2,9,0,1,0,0,0,2,0,344,0,4,348,0
137,3,355,183,3,0,0,4,0,0,0,3,4,5,1,5,4,1,5,3,579,0,4,583,0
138,1,447,81,1,3,1,8,0,0,0,0,0,0,1,0,3,1,5,1,553,0,6,559,0
139,1,294,92,1,0,0,2,0,1,2,2,1,1,0,7,8,1,5,0,418,0,3,421,0
140,7,540,165,2,1,0,14,0,0,1,0,1,1,2,5,4,1,1,1,746,0,14,760,0
141,5,663,71,1,0,1,23,1,0,2,0,0,1,2,2,3,1,2,0,778,0,5,783,0
142,1,455,86,1,0,0,15,1,0,0,0,0,1,0,0,1,1,1,0,563,0,19,582,0
143,1,298,66,0,1,0,12,0,0,1,0,1,0,0,0,0,1,1,1,383,0,6,389,0
144,3,296,183,0,0,1,9,0,1,1,1,1,2,1,0,2,2,5,2,510,0,10,520,0
,501,58459,23806,248,73,44,1522,64,94,70,76,167,108,226,328,439,173,370,257,87025,0,1180,88205,0
,501,58459,23806,248,73,44,1522,64,94,70,76,167,108,226,328,439,173,370,257,87025,0,1180,88205,0
145,2,193,309,3,1,0,4,2,0,2,0,2,5,6,1,11,5,2,5,553,0,3,556,0
146,1,543,183,2,0,0,23,1,0,0,2,0,2,0,2,2,2,1,0,764,0,22,786,0
147,3,361,129,0,0,0,5,0,0,0,0,0,0,0,2,0,0,2,2,504,0,12,516,0
148,1,412,107,1,0,0,23,0,1,0,0,3,0,1,0,2,0,1,0,552,0,10,562,0
149,5,370,152,4,1,0,15,0,0,0,0,0,1,1,4,4,0,1,2,560,0,13,573,0
150,5,506,106,3,1,1,15,0,0,0,0,3,0,0,1,0,2,2,0,645,0,13,658,0
151,1,576,81,3,0,1,23,0,0,0,0,0,0,1,1,2,0,2,0,691,0,17,708,0
152,5,326,145,3,2,1,3,1,2,2,1,2,4,6,5,8,4,0,1,521,0,7,528,0
153,3,308,189,3,1,1,2,1,2,0,2,2,2,3,9,14,1,1,5,549,0,4,553,0
154,2,540,136,1,1,1,13,0,0,0,1,1,1,1,4,2,1,3,3,711,0,11,722,0
155,3,301,121,3,0,2,3,1,0,0,0,0,1,0,1,0,1,2,0,439,0,4,443,0
156,5,521,258,2,1,0,2,0,1,2,0,2,0,1,1,0,10,19,9,834,0,4,838,0
,537,63416,25722,276,81,51,1653,70,100,76,82,182,124,246,359,484,199,406,284,94348,0,1300,95648,0
,537,63416,25722,276,81,51,1653,70,100,76,82,182,124,246,359,484,199,406,284,94348,0,1300,95648,0
157,3,307,200,2,2,0,3,2,0,0,0,1,2,4,0,5,1,0,0,532,0,7,539,0
158,6,205,228,4,5,1,1,0,0,0,0,2,3,7,11,6,4,5,4,492,0,3,495,0
159,3,352,203,4,0,1,6,0,2,1,0,2,3,9,10,4,0,5,10,615,0,5,620,0
160,5,339,267,1,2,2,6,2,0,1,1,3,1,5,6,10,1,4,2,658,0,0,658,0
161,8,466,146,2,1,1,3,0,3,1,1,3,0,3,7,9,1,1,2,658,0,0,658,0
162,3,504,87,2,0,2,4,0,1,0,1,1,1,1,4,3,1,2,0,617,0,2,619,0
