Sr. No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes,Votes for 'NOTA' Option,Total,No. of Tendered votes
,Chauhan Keshavbhai Malabhai (Master),C. R. Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakumar Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,,,,,
208,1,247,306,5,2,0,1,2,2,0,1,5,11,2,3,15,2,2,4,611,0,4,615,0
209,9,281,148,4,0,0,0,0,1,0,0,1,4,4,8,16,5,14,8,503,0,5,508,0
210,7,189,170,3,0,0,1,0,1,1,2,2,5,4,9,10,0,3,1,408,0,7,415,0
211,5,344,179,1,0,0,3,0,1,1,0,3,1,1,3,6,1,2,0,551,0,2,553,0
212,13,198,273,8,0,4,2,2,5,2,0,2,3,13,9,13,1,2,3,553,0,2,555,0
213,6,448,162,7,3,0,3,0,2,1,1,5,1,5,7,6,3,2,0,662,0,7,669,0
214,2,497,92,4,0,0,5,1,0,0,1,0,0,1,2,2,1,1,1,610,0,8,618,0
215,7,315,205,6,1,3,0,3,2,0,0,2,3,3,21,17,2,7,8,605,0,5,610,0
216,3,360,230,1,0,0,2,1,0,0,1,0,1,5,4,6,0,7,3,624,0,4,628,0
,919,82418,38523,475,143,101,1840,131,192,134,145,326,252,502,805,1098,354,640,486,129484,0,1585,131069,0
,919,82418,38523,475,143,101,1840,131,192,134,145,326,252,502,805,1098,354,640,486,129484,0,1585,131069,0
217,4,359,209,2,0,0,1,1,1,0,0,4,3,4,4,6,1,1,2,602,0,5,607,0
218,7,618,233,3,2,0,6,1,0,1,0,1,0,0,3,4,0,6,3,888,0,12,900,0
219,4,382,188,2,3,0,5,1,0,0,0,2,3,5,6,8,4,5,7,625,0,10,635,0
220,6,646,227,4,2,0,3,0,2,2,2,4,3,2,15,7,8,4,3,940,0,5,945,0
221,5,330,163,4,0,0,0,1,5,3,2,3,4,3,6,10,4,3,3,549,0,4,553,0
222,8,123,281,2,0,0,1,0,2,3,1,3,5,2,8,14,5,3,0,461,0,9,470,0
223,4,379,200,6,1,0,0,1,1,2,1,0,1,6,5,9,2,2,6,626,0,6,632,0
224,4,320,200,3,1,1,4,1,0,1,0,0,1,4,4,3,18,7,7,579,0,7,586,0
