,Serial No. & Name of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,Total Valid Votes,Rejected Votes,NOTA,Total Votes,No. of Tendered Votes
,,Jadeja Kandhalbhai Saramanbhai,Radadiya Vithalbhai Hansrajbhai,Sadiya Vrajlal Pababhai,Irfanshah Habibshah Suhravardi,Mansukh Sundarji Dhokai,Aghera Dhirajlal Bhurabhai,Unadakat Prakash Vallabhadas,Khunti Bharatbhai Maldebhai,Khokhani Lalitaben Mansukhbhai,Joshi Harish Liladhar,Tukadia G. R.,Patel Butani Rajeshbhai Maganbhai,Rathod Chandulal Mohanbhai,Vakil Vinzuda Ranjit Naranbhai,,,,,
,70,55,311,1,0,2,2,3,0,0,1,1,4,2,2,384,0,10,394,0
,71,292,173,9,2,2,0,1,1,0,0,0,10,2,2,494,0,12,506,0
,72,143,311,6,3,4,0,1,0,0,0,1,2,1,1,473,0,8,481,0
,73,219,230,5,1,8,0,0,2,0,1,2,0,0,1,469,0,8,477,0
,74,280,234,6,5,6,2,1,0,0,0,0,1,0,0,535,0,10,545,0
,75,517,79,5,3,6,3,0,0,0,0,0,1,2,0,616,0,14,630,0
,76,686,50,7,3,8,2,0,1,1,1,1,1,1,0,762,0,15,777,0
,77,505,148,5,8,15,4,0,5,0,1,2,3,5,6,707,0,22,729,0
,78,102,421,4,0,9,1,0,0,0,0,0,1,0,3,541,0,15,556,0
,79,118,361,10,7,12,3,1,1,0,0,0,1,1,8,523,0,28,551,0
,80,102,466,3,2,15,1,0,1,0,0,0,1,1,2,594,0,17,611,0
,81,111,460,3,1,11,2,0,0,0,2,0,0,0,1,591,0,7,598,0
,82,131,319,0,3,22,1,0,0,0,3,0,0,0,0,479,0,10,489,0
,83,325,27,2,1,9,1,1,0,0,0,0,0,1,1,368,0,17,385,0
,84,337,105,2,1,10,1,1,1,0,1,0,1,1,3,464,0,12,476,0
,85,45,480,3,2,12,0,2,0,0,1,0,1,1,2,549,0,9,558,0
,86,96,509,1,2,18,1,0,0,0,1,0,0,2,3,633,0,9,642,0
,87,104,557,0,1,10,1,0,0,0,0,0,0,0,1,674,0,21,695,0
,88,386,248,5,4,5,2,1,1,1,0,2,0,2,1,658,0,18,676,0
,89,522,138,4,4,6,0,1,0,1,0,1,2,1,1,681,0,16,697,0
,90,172,380,6,3,7,1,1,3,2,1,1,3,1,4,585,0,12,597,0
,91,211,326,4,4,9,1,0,2,0,0,2,0,3,4,566,0,14,580,0
,92,62,539,2,1,8,0,0,1,0,1,0,1,1,2,618,0,6,624,0
,93,72,390,7,1,12,0,0,0,3,1,1,1,1,1,490,0,15,505,0
,94,317,287,8,4,5,1,0,2,2,0,2,2,2,2,634,0,16,650,0
,95,70,573,2,1,8,1,0,0,0,0,0,0,0,0,655,0,18,673,0
,96,74,625,1,1,4,2,0,1,1,0,0,0,0,2,711,0,15,726,0
,97,132,413,3,5,6,2,1,0,2,0,0,2,0,2,568,0,21,589,0
,98,154,358,1,1,10,1,4,0,0,0,1,2,1,5,538,0,17,555,0
,99,266,323,2,4,5,2,1,2,2,1,0,4,4,1,617,0,15,632,0
,100,41,851,0,1,5,0,0,0,1,0,0,1,1,2,903,0,6,909,0
,101,77,590,1,0,10,0,1,0,1,2,1,0,2,2,687,0,8,695,0
,102,101,511,1,3,10,1,1,0,2,1,0,0,0,0,631,0,3,634,0
,103,150,435,3,3,10,1,0,2,0,1,1,0,1,3,610,0,11,621,0
,104,89,576,2,4,12,0,0,1,0,1,0,0,0,1,686,0,11,697,0
,105,416,296,4,1,18,1,0,0,0,0,0,2,0,2,740,0,27,767,0
,106,143,389,8,1,5,0,0,1,0,1,0,2,0,4,554,0,12,566,0
,107,150,460,3,1,11,2,0,2,0,0,0,2,2,1,634,0,19,653,0
,108,164,283,2,3,6,1,0,1,0,1,0,1,2,5,469,0,6,475,0
,109,259,258,8,4,4,4,0,2,2,0,4,3,5,8,561,0,9,570,0
,110,114,153,2,5,2,0,1,2,1,0,0,3,1,1,285,0,8,293,0
,111,153,336,4,4,2,1,2,2,1,1,2,2,4,3,517,0,14,531,0
,112,91,331,2,2,4,1,0,1,0,1,0,1,0,2,436,0,4,440,0
,113,60,290,2,6,1,5,1,2,1,0,3,1,5,1,378,0,0,378,0
,114,69,245,2,1,3,1,1,1,2,1,1,0,3,2,332,0,3,335,0
,115,145,206,17,4,3,1,1,2,1,0,2,0,3,7,392,0,9,401,0
,116,94,309,4,3,0,2,1,0,2,0,1,1,3,1,421,0,8,429,0
,117,215,198,2,1,1,1,0,2,1,0,1,1,3,6,432,0,8,440,0
,118,331,191,4,3,4,3,2,1,2,1,0,0,3,3,548,0,23,571,0
,119,476,65,3,5,5,1,1,1,1,2,1,3,3,3,570,0,23,593,0
,120,122,269,4,2,1,0,1,1,1,1,0,1,0,2,405,0,12,417,0
,121,317,317,7,2,6,1,1,1,0,4,4,3,2,4,669,0,23,692,0
,122,77,312,3,2,0,0,2,0,0,0,0,1,1,3,401,0,8,409,0
,123,89,65,5,4,3,1,0,0,3,1,1,0,2,1,175,0,4,179,0
,124,147,211,5,5,6,1,1,1,1,0,2,1,1,1,383,0,10,393,0
,125,123,311,3,2,5,2,0,1,2,1,1,0,4,0,455,0,2,457,0
,126,82,229,6,1,3,0,0,1,0,0,0,2,0,1,325,0,2,327,0
,127,187,113,7,1,1,1,0,1,2,0,2,1,5,2,323,0,4,327,0
,128,44,250,4,0,2,0,1,0,0,0,1,4,2,1,309,0,1,310,0
,129,148,134,3,1,2,0,0,2,0,2,1,2,1,3,299,0,15,314,0
,130,159,351,8,3,5,5,0,2,1,1,1,3,2,5,546,0,24,570,0
,131,102,166,0,3,1,0,0,1,1,0,3,0,1,5,283,0,6,289,0
,132,94,120,5,3,2,1,0,1,0,0,0,1,3,2,232,0,6,238,0
,133,111,170,2,2,3,0,0,4,0,1,0,2,5,3,303,0,11,314,0
,134,220,173,3,4,2,0,1,1,2,0,1,2,1,2,412,0,17,429,0
,135,179,511,9,3,8,2,1,1,0,1,2,4,4,3,728,0,8,736,0
,136,70,296,3,1,4,0,1,1,0,1,3,6,1,2,389,0,6,395,0
,137,150,342,8,2,1,2,0,0,1,0,0,3,1,0,510,0,6,516,0
,138,91,318,7,4,3,1,1,3,0,1,3,4,6,5,447,0,8,455,0
,139,18,369,2,0,1,0,0,0,0,0,1,1,0,2,394,0,3,397,0
,140,18,265,3,2,1,0,0,0,0,0,1,2,0,1,293,0,4,297,0
,141,79,270,5,0,0,0,0,0,0,0,1,4,1,4,364,0,4,368,0
,142,36,344,4,1,1,0,0,1,1,0,0,0,0,1,389,0,11,400,0
,143,199,270,9,0,3,3,0,2,2,0,1,3,2,0,494,0,15,509,0
,144,141,394,4,3,3,1,0,2,2,0,1,3,2,2,558,0,20,578,0
,145,155,307,8,5,4,2,0,4,1,0,1,9,4,1,501,0,11,512,0
,146,120,433,9,4,2,0,0,4,2,0,1,3,2,1,581,0,9,590,0
,147,33,249,9,1,1,0,0,0,1,1,1,1,1,2,300,0,9,309,0
,148,156,118,2,4,0,1,2,0,3,0,0,4,0,1,291,0,6,297,0
,149,75,296,23,10,1,3,1,4,7,2,3,2,8,6,441,0,9,450,0
,150,227,116,15,3,2,0,0,2,0,1,1,5,2,2,376,0,4,380,0
,151,146,177,6,5,4,1,0,2,3,1,1,2,0,2,350,0,4,354,0
,152,37,521,5,2,7,0,0,0,0,0,0,0,0,0,572,0,10,582,0
,153,22,422,2,0,4,0,0,0,0,0,0,1,0,0,451,0,19,470,0
,154,83,418,7,3,2,0,1,0,0,1,0,1,1,2,519,0,16,535,0
,155,38,387,6,1,3,0,1,0,0,0,3,1,0,2,442,0,15,457,0
,156,59,355,1,1,5,1,1,1,0,0,0,0,2,1,427,0,25,452,0
,157,16,402,2,1,1,0,0,0,0,1,2,0,1,0,426,0,7,433,0
,158,183,202,3,1,5,1,0,0,1,0,0,0,0,0,396,0,22,418,0
,159,132,415,5,1,14,1,0,1,2,1,2,1,2,1,578,0,16,594,0
,160,58,604,2,0,4,0,0,0,1,0,1,0,0,1,671,0,17,688,0
,161,17,382,2,0,3,0,0,0,1,0,0,0,0,2,407,0,18,425,0
,162,297,55,0,1,6,2,0,3,0,1,0,0,0,0,365,0,12,377,0
,163,225,337,1,2,6,1,2,2,2,3,0,3,2,0,586,0,25,611,0
,164,526,25,2,3,9,1,0,2,0,1,2,0,1,3,575,0,28,603,0
,165,357,25,1,4,10,1,0,1,0,0,3,0,0,2,404,0,9,413,0
,166,105,455,2,4,7,2,0,1,0,0,1,1,0,3,581,0,9,590,0
,167,252,293,7,4,11,2,1,1,2,0,1,6,2,0,582,0,15,597,0
,168,228,342,5,3,10,0,0,2,0,0,0,1,1,1,593,0,11,604,0
,169,151,601,3,4,8,4,1,3,0,2,3,0,1,2,783,0,20,803,0
,170,207,77,3,1,6,0,1,2,0,0,1,0,1,1,300,0,6,306,0
,171,21,614,0,2,3,0,0,0,1,0,0,0,0,3,644,0,21,665,0
,172,49,391,2,1,5,0,0,0,0,0,0,0,1,1,450,0,20,470,0
,173,389,33,3,5,6,0,1,1,1,0,1,0,0,2,442,0,4,446,0
,174,364,18,2,4,1,1,0,1,0,0,0,1,0,1,393,0,14,407,0
,175,333,46,0,1,5,0,0,1,0,2,0,0,0,0,388,0,11,399,0
,176,198,9,0,1,1,1,0,0,0,0,0,0,0,0,210,0,4,214,0
,177,412,35,5,3,1,3,1,1,0,0,1,1,1,0,464,0,8,472,0
,178,364,134,3,3,1,3,0,2,0,2,1,1,0,1,515,0,12,527,0
,179,97,208,4,0,1,1,0,1,0,0,1,0,3,3,319,0,11,330,0
,180,54,308,2,0,11,0,0,1,0,0,0,2,0,0,378,0,18,396,0
,181,195,279,6,2,10,0,0,0,1,2,0,0,1,0,496,0,13,509,0
,182,295,84,4,4,6,1,0,2,0,0,0,0,0,1,397,0,8,405,0
,183,205,414,2,3,5,1,3,2,0,2,1,1,0,2,641,0,12,653,0
,184,432,65,1,1,7,0,0,1,0,1,1,1,0,0,510,0,14,524,0
,185,3,192,0,1,5,0,0,0,0,0,0,0,0,0,201,0,3,204,0
,186,40,378,4,0,1,0,1,1,1,0,0,0,1,0,427,0,17,444,0
,187,83,287,7,0,8,1,0,0,0,1,1,0,0,1,389,0,11,400,0
,188,33,662,6,1,6,1,1,0,2,0,2,0,1,0,715,0,21,736,0
,189,13,621,1,0,5,0,1,0,0,1,0,2,3,1,648,0,12,660,0
,190,16,725,8,0,12,0,0,0,0,0,0,0,1,2,764,0,11,775,0
,191,66,438,5,2,11,4,0,4,0,0,1,3,6,6,546,0,13,559,0
,192,23,439,1,1,6,0,0,0,0,0,0,0,0,1,471,0,10,481,0
,193,19,495,3,0,7,0,1,0,0,0,1,0,2,4,532,0,6,538,0
,194,32,705,6,1,9,0,0,3,0,1,1,1,2,5,766,0,12,778,0
,195,27,663,4,2,9,1,0,0,1,0,0,1,3,2,713,0,14,727,0
,196,72,434,4,1,9,1,2,4,4,0,0,5,3,3,542,0,12,554,0
,197,24,470,8,4,4,2,0,0,0,0,0,0,2,3,517,0,5,522,0
,198,40,417,6,3,4,1,0,2,0,1,1,2,2,1,480,0,6,486,0
,199,421,10,4,0,9,1,0,0,0,0,0,0,1,1,447,0,9,456,0
,200,614,18,1,1,5,1,1,3,1,0,0,2,3,0,650,0,12,662,0
,201,368,47,0,2,6,2,0,1,1,0,1,3,0,1,432,0,6,438,0
,202,317,79,2,3,2,4,1,2,1,1,2,2,1,1,418,0,12,430,0
,203,469,12,3,1,4,1,0,2,0,0,0,0,0,0,492,0,9,501,0
,204,400,12,1,3,4,2,2,1,1,0,0,1,3,0,430,0,8,438,0
,205,532,33,3,1,6,0,1,2,0,0,0,0,4,2,584,0,13,597,0
,206,581,42,3,5,15,4,1,1,2,0,0,2,0,1,657,0,20,677,0
,207,466,61,43,2,4,3,0,3,1,1,1,0,3,2,590,0,23,613,0
,208,384,83,22,1,3,3,0,5,0,0,0,1,1,2,505,0,11,516,0
,209,385,41,42,0,3,2,0,1,0,0,1,2,0,1,478,0,12,490,0
,210,251,337,1,2,4,2,2,5,1,0,1,3,1,2,612,0,16,628,0
,211,28,866,4,2,7,0,0,0,1,0,1,0,1,4,914,0,19,933,0
,212,204,385,7,5,2,1,1,0,3,1,2,13,2,8,634,0,20,654,0
,213,124,469,6,4,6,1,0,0,1,1,2,0,1,8,623,0,11,634,0
,214,177,123,11,1,8,4,0,1,0,0,0,0,0,1,326,0,8,334,0
,215,56,129,1,1,3,0,1,0,0,0,0,0,0,2,193,0,4,197,0
,216,95,284,11,2,2,2,0,1,1,0,0,0,1,3,402,0,14,416,0
,217,135,65,1,0,1,1,0,0,0,0,0,0,2,2,207,0,2,209,0
,218,66,332,6,6,4,1,0,0,1,1,0,1,1,1,420,0,4,424,0
,219,27,317,3,5,3,4,2,1,0,2,0,2,1,3,370,0,9,379,0
,220,23,396,2,1,1,1,0,1,0,1,0,0,1,1,428,0,3,431,0
,221,51,410,5,2,2,0,1,0,1,1,0,1,1,1,476,0,8,484,0
,222,35,517,3,0,1,1,0,2,0,0,2,0,0,0,561,0,9,570,0
,223,137,319,36,1,6,1,2,0,1,2,1,5,3,4,518,0,9,527,0
