No Polling St.,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
,OMPRAK ASH SHRIVAS,DARSHA NA VIKRAM,DESAI NAISHAD HBHAI,KIRITBHA I HARJIBH,MOHANB HAI B. PATEL,VASAVA KISHORB HAI,MAVJIBH AI LAXMAN,MUKESH BHAI LAVJIBH,,,,,
117,6,199,464,4,81,0,4,3,761,0,8,769,0
118,9,306,422,6,19,1,2,4,769,0,14,783,0
119,3,147,509,3,20,2,1,1,686,0,8,694,0
120,4,48,781,3,19,0,1,1,857,0,6,863,0
121,7,149,627,3,29,1,1,0,817,0,7,824,0
122,1,19,450,4,15,0,1,1,491,0,5,496,0
123,5,223,179,0,18,0,1,3,429,0,2,431,0
124,1,150,173,2,14,0,2,1,343,0,5,348,0
125,2,60,479,5,51,7,0,1,605,0,4,609,0
126,1,65,37,0,4,0,1,0,108,0,1,109,0
127,3,218,113,2,6,0,1,0,343,0,2,345,0
128,3,573,36,0,15,0,0,1,628,0,8,636,0
129,6,645,116,0,15,1,1,0,784,0,4,788,0
130,3,869,19,1,6,1,0,2,901,0,10,911,0
131,1,854,35,0,10,1,0,1,902,0,8,910,0
132,1,74,486,0,23,0,1,0,585,0,11,596,0
133,2,85,559,6,13,1,1,0,667,0,9,676,0
134,5,83,512,2,19,2,0,2,625,0,13,638,0
135,2,532,98,2,10,0,1,0,645,0,14,659,0
136,1,528,40,1,11,0,1,0,582,0,6,588,0
137,1,513,40,1,4,0,1,0,560,0,5,565,0
138,0,484,11,1,6,0,0,1,503,0,3,506,0
139,8,478,290,1,17,1,0,3,798,0,15,813,0
140,3,568,68,0,1,0,0,1,641,0,2,643,0
141,5,194,115,1,9,1,1,1,327,0,0,327,0
142,1,266,279,3,17,2,2,2,572,0,9,581,0
143,0,140,281,2,9,0,1,1,434,0,7,441,0
144,0,506,362,1,5,0,0,2,876,0,7,883,0
145,8,235,673,6,12,0,2,1,937,0,12,949,0
146,0,48,17,0,2,0,0,0,67,0,1,68,0
147,4,176,368,3,21,1,0,2,575,0,15,590,0
148,0,93,302,2,26,1,0,0,424,0,24,448,0
149,2,435,49,1,6,1,0,1,495,0,8,503,0
150,11,598,76,3,6,0,0,3,697,0,10,707,0
151,3,426,59,0,2,0,0,2,492,0,2,494,0
152,0,205,259,2,13,2,0,0,481,0,13,494,0
153,0,245,108,1,5,1,1,1,362,0,3,365,0
154,4,212,249,2,7,0,4,0,478,0,6,484,0
155,1,149,205,1,5,0,3,0,364,0,5,369,0
156,1,248,196,2,15,0,1,1,464,0,20,484,0
157,0,51,763,3,11,0,0,1,829,0,7,836,0
158,5,26,595,3,4,0,0,0,633,0,3,636,0
159,2,172,459,5,10,1,0,0,649,0,8,657,0
160,3,948,15,2,3,2,1,1,975,0,1,976,0
161,2,194,116,3,6,0,0,0,321,0,1,322,0
162,2,88,500,4,5,0,1,0,600,0,1,601,0
