No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,Kishanbhai Vestabhai Patel,Thakriya Ratilal Vajirbhai,Dr. K. C. Patel,Gaurangbhai Rameshbhai Patel,Talaviya Babubhai Chhaganbhai,Patel Govindbhai Ranchhodbhai,Patel Shaileshbhai Gandabhai,Dr. Pankajkumar Parbhubhai,Vadia Laxmanbhai Chhaganbhai,Patel Budhabhai Ranchhodbhai,,,,,
207,117,3,345,4,1,6,0,0,4,2,482,0,12,494,0
208,232,12,522,6,0,12,1,6,1,9,801,0,21,822,0
209,263,1,645,16,1,16,1,2,6,3,954,0,17,971,0
210,183,4,621,5,4,6,0,1,2,2,828,0,10,838,0
211,79,1,474,1,0,4,0,1,0,0,560,0,8,568,0
212,128,0,345,6,0,3,1,1,0,3,487,0,5,492,0
213,380,12,429,7,2,4,2,5,7,5,853,0,41,894,0
214,92,5,490,2,1,5,1,0,0,3,599,0,4,603,0
215,39,0,515,3,0,3,1,0,0,0,561,0,4,565,0
216,64,0,717,4,0,7,0,1,0,1,794,0,6,800,0
217,92,18,636,7,0,10,1,1,3,3,771,0,9,780,0
218,76,6,561,6,0,5,0,2,4,2,662,0,9,671,0
219,18,1,307,1,0,3,1,2,3,1,337,0,3,340,0
220,222,12,396,7,0,13,1,2,6,5,664,0,2,666,0
221,289,4,251,4,0,27,1,2,5,6,589,0,19,608,0
222,132,5,242,3,1,58,0,2,1,2,446,0,6,452,0
223,268,9,618,13,1,1,4,2,2,7,925,0,7,932,0
224,197,2,415,4,2,0,0,6,6,3,635,0,11,646,0
225,339,9,297,4,0,3,2,1,4,7,666,0,13,679,0
