Serial No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,Total of valid votes,No. of Rejected votes,Nota,Total,No. of Tendere d votes
17,197,3,401,8,1,1,0,3,0,0,3,0,4,11,1,633,0,12,645,0
18,299,4,508,4,0,2,0,0,3,1,1,2,4,16,10,854,0,19,873,0
19,278,6,330,3,1,1,1,0,1,2,1,0,3,9,5,641,0,16,657,0
20,212,6,635,7,1,5,1,2,2,2,0,2,10,23,4,912,0,21,933,0
21,208,1,151,1,1,1,0,0,0,0,0,0,0,0,0,363,0,10,373,0
22,334,2,108,0,0,0,8,0,2,1,0,0,1,1,0,457,0,8,465,0
23,102,5,768,12,0,1,5,0,1,1,0,1,4,13,1,914,0,16,930,0
24,33,1,445,7,0,3,0,1,0,1,0,0,4,12,0,507,0,16,523,0
25,22,1,335,5,0,0,0,0,1,0,0,0,7,8,3,382,0,7,389,0
26,54,1,853,5,0,2,1,1,0,0,0,0,2,0,0,919,0,1,920,0
27,80,2,626,4,1,0,0,2,1,1,0,2,2,6,3,730,0,6,736,0
28,53,4,413,3,0,2,2,0,1,2,0,0,2,3,1,486,0,14,500,0
29,29,1,612,1,0,2,1,1,0,0,0,1,0,1,1,650,0,7,657,0
30,44,2,458,3,0,1,5,1,0,0,0,0,3,9,0,526,0,8,534,0
31,80,3,593,0,0,3,0,0,0,0,0,1,1,2,2,685,0,9,694,0
32,140,2,563,3,1,1,4,1,2,0,1,0,0,1,1,720,0,20,740,0
33,51,1,539,3,1,4,4,0,3,0,0,0,3,7,2,618,0,4,622,0
34,621,2,277,1,0,2,2,1,0,2,0,0,0,0,3,911,0,13,924,0
35,457,2,298,1,0,0,1,0,3,0,1,0,0,0,2,765,0,5,770,0
36,409,0,120,1,0,0,0,0,0,1,0,0,1,0,0,532,0,6,538,0
37,323,1,133,0,0,0,6,3,0,1,0,0,0,0,0,467,0,9,476,0
38,317,6,356,2,1,7,1,0,2,0,1,1,1,6,5,706,0,13,719,0
39,221,2,381,4,1,1,1,0,0,0,1,0,0,7,6,625,0,11,636,0
40,277,2,138,3,0,0,2,0,2,1,0,0,0,2,1,428,0,9,437,0
41,380,7,219,0,1,6,3,1,1,0,0,2,3,5,1,629,0,11,640,0
42,492,3,179,2,1,2,1,0,0,2,1,1,1,1,4,690,0,17,707,0
43,758,12,92,1,0,0,3,0,0,2,0,0,0,0,0,868,0,12,880,0
44,669,1,190,1,0,10,4,0,0,2,0,0,0,2,2,881,0,4,885,0
45,287,4,389,3,0,0,1,0,0,1,0,0,3,15,5,708,0,21,729,0
46,472,11,340,2,0,3,2,1,1,1,1,1,1,7,4,847,0,17,864,0
47,123,2,437,5,1,2,0,1,2,0,1,4,3,4,3,588,0,8,596,0
48,145,4,100,1,0,0,0,0,0,0,0,0,1,0,0,251,0,5,256,0
49,569,0,119,2,0,1,3,2,0,0,0,0,0,1,0,697,0,8,705,0
50,466,1,107,0,1,1,1,0,0,0,0,0,1,0,1,579,0,4,583,0
51,53,1,604,0,0,6,4,0,1,0,0,0,2,4,0,675,0,10,685,0
52,650,4,102,0,1,0,3,0,0,0,0,0,0,0,0,760,0,11,771,0
53,504,4,309,3,0,3,1,1,1,1,0,0,1,0,1,829,0,8,837,0
54,175,4,481,3,0,0,0,0,1,1,0,0,0,3,1,669,0,5,674,0
55,288,2,366,2,0,3,5,0,1,1,0,0,2,6,2,678,0,4,682,0
56,616,4,207,2,1,1,1,3,0,1,1,0,0,9,3,849,0,24,873,0
57,347,5,321,1,1,0,1,2,2,1,5,3,4,12,9,714,0,47,761,0
58,262,8,103,0,0,0,0,1,0,0,2,4,2,1,5,388,0,13,401,0
59,173,5,321,7,3,1,0,1,1,0,2,1,2,2,11,530,0,8,538,0
60,506,2,49,0,0,0,5,0,0,0,0,0,0,0,0,562,0,3,565,0
61,155,5,560,7,0,5,1,0,1,0,0,4,2,10,2,752,0,13,765,0
62,25,1,563,3,0,1,3,1,1,1,0,0,1,2,1,603,0,7,610,0
63,612,0,39,0,0,0,2,0,0,0,0,0,0,0,0,653,0,4,657,0
64,627,13,133,1,2,0,0,0,0,0,1,0,2,1,16,796,0,27,823,0
65,476,2,85,0,0,2,0,0,0,0,1,0,0,0,1,567,0,12,579,0
66,352,4,97,1,0,0,0,0,0,0,0,0,2,3,6,465,0,26,491,0
67,553,1,75,2,0,0,0,0,0,0,0,0,0,2,0,633,0,10,643,0
68,759,7,59,0,0,1,0,0,0,2,2,0,0,0,0,830,0,10,840,0
69,225,5,336,3,0,3,5,0,4,2,4,0,6,7,7,607,0,9,616,0
70,191,10,284,2,0,1,0,5,3,2,2,3,2,9,1,515,0,19,534,0
71,552,4,192,2,0,3,2,2,1,1,1,1,0,4,4,769,0,21,790,0
72,650,6,88,0,0,1,1,0,0,1,0,0,1,3,0,751,0,4,755,0
73,96,0,97,1,0,0,0,0,1,0,0,0,0,1,0,196,0,1,197,0
74,268,9,233,1,1,0,2,2,1,0,0,0,1,2,0,520,0,3,523,0
75,17,2,795,4,0,1,6,0,0,0,1,2,0,4,1,833,0,1,834,0
76,454,6,257,4,1,1,2,1,0,0,0,0,1,8,2,737,0,14,751,0
77,433,1,113,1,0,1,0,0,0,0,0,0,0,3,4,556,0,38,594,0
78,381,6,54,1,1,2,1,1,0,1,0,0,0,5,5,458,0,14,472,0
79,551,3,181,4,0,0,0,0,1,0,0,0,1,4,2,747,0,23,770,0
80,308,2,197,1,0,1,0,0,1,0,0,1,1,5,1,518,0,12,530,0
81,219,5,95,0,0,0,0,0,0,0,0,0,0,3,1,323,0,2,325,0
82,191,1,146,1,0,1,1,0,0,0,0,0,2,1,2,346,0,6,352,0
83,85,3,169,1,0,0,0,0,3,0,0,0,4,7,2,274,0,10,284,0
84,245,0,96,1,0,2,2,1,1,0,0,0,1,1,2,352,0,5,357,0
85,143,2,481,0,0,3,0,0,3,0,0,4,6,8,9,659,0,6,665,0
86,133,1,247,0,1,0,0,0,1,1,1,2,1,4,2,394,0,4,398,0
87,127,4,112,2,0,0,1,0,0,0,0,1,1,0,2,250,0,7,257,0
88,178,7,241,3,2,2,2,1,0,0,0,0,1,6,5,448,0,12,460,0
89,104,5,318,3,0,3,0,1,2,1,1,1,3,17,13,472,0,23,495,0
90,302,3,253,4,0,1,1,3,2,2,0,0,3,3,2,579,0,18,597,0
91,210,3,310,3,2,2,0,0,2,1,0,1,1,3,3,541,0,23,564,0
92,412,3,75,1,0,1,0,2,1,0,1,0,4,6,6,512,0,17,529,0
93,276,4,267,2,1,1,0,0,0,2,2,1,4,1,2,563,0,20,583,0
94,430,4,225,1,0,1,3,0,0,1,0,0,1,2,2,670,0,11,681,0
95,420,2,115,1,0,0,0,1,0,0,0,1,1,6,1,548,0,9,557,0
96,366,14,290,6,1,0,4,0,1,1,0,0,1,3,0,687,0,9,696,0
97,320,3,501,2,0,0,2,2,1,1,1,1,4,6,4,848,0,10,858,0
98,135,7,195,4,0,1,1,1,3,0,0,2,2,3,1,355,0,3,358,0
99,154,5,426,2,3,0,0,0,2,0,0,0,2,5,3,602,0,15,617,0
100,218,6,326,3,0,0,0,0,0,0,1,2,7,8,6,577,0,9,586,0
101,501,16,231,1,0,0,0,1,1,0,0,0,3,3,2,759,0,15,774,0
102,366,7,240,2,0,0,1,1,4,0,0,1,2,2,4,630,0,9,639,0
103,344,7,337,5,0,0,1,0,2,2,1,0,2,8,6,715,0,12,727,0
104,224,3,477,3,1,0,0,2,2,1,2,1,5,4,0,725,0,11,736,0
105,113,3,688,3,1,1,1,2,1,1,0,0,2,6,3,825,0,4,829,0
106,285,8,331,2,1,0,0,3,0,1,3,3,4,6,5,652,0,14,666,0
107,400,5,201,4,0,0,1,0,0,3,0,0,3,2,4,623,0,8,631,0
108,365,7,118,1,0,1,0,0,0,0,0,0,3,2,2,499,0,26,525,0
109,292,2,392,3,1,1,1,0,1,1,1,0,1,6,2,704,0,6,710,0
110,398,1,156,1,0,0,0,0,0,0,1,0,0,3,0,560,0,3,563,0
111,136,3,222,0,1,0,0,1,0,1,0,0,1,9,0,374,0,8,382,0
112,193,2,184,2,0,1,0,0,1,2,0,1,1,5,2,394,0,9,403,0
113,105,6,253,3,1,2,0,0,1,2,0,3,1,3,1,381,0,6,387,0
114,259,4,133,1,2,1,1,0,0,0,0,0,1,1,2,405,0,7,412,0
115,362,2,107,1,0,0,0,0,0,1,0,1,0,0,0,474,0,1,475,0
116,351,2,200,5,0,0,0,1,0,0,0,1,1,2,0,563,0,7,570,0
117,111,3,147,2,1,1,0,0,1,0,0,0,0,4,1,271,0,8,279,0
118,310,6,355,3,2,0,0,0,0,0,2,1,1,5,1,686,0,10,696,0
119,460,6,276,3,0,1,0,3,1,1,1,0,6,4,4,766,0,28,794,0
120,383,3,375,2,0,1,2,1,3,2,1,1,5,9,10,798,0,12,810,0
121,63,0,322,1,0,0,1,0,3,0,0,1,2,8,4,405,0,6,411,0
122,70,3,453,5,0,0,0,1,0,1,0,3,1,4,0,541,0,6,547,0
123,195,6,195,0,0,2,0,1,1,1,0,0,2,2,3,408,0,14,422,0
124,213,1,372,2,0,1,0,0,0,0,2,0,6,7,2,606,0,13,619,0
125,449,6,206,3,1,0,2,2,3,0,1,0,2,7,4,686,0,20,706,0
126,319,2,174,0,0,1,0,1,2,3,0,1,7,8,5,523,0,30,553,0
127,207,6,320,2,0,1,2,0,0,0,0,0,2,1,2,543,0,8,551,0
128,252,6,326,5,1,2,0,0,1,1,1,2,4,8,3,612,0,9,621,0
129,425,3,174,0,0,0,0,0,0,0,0,0,0,4,0,606,0,8,614,0
130,416,2,114,0,0,0,2,0,2,1,2,0,0,4,2,545,0,3,548,0
131,520,9,124,0,0,1,0,1,1,0,0,1,2,2,3,664,0,9,673,0
132,343,0,80,0,0,0,3,0,1,2,0,0,0,1,0,430,0,5,435,0
133,517,0,65,2,0,1,1,0,1,1,0,0,0,0,0,588,0,7,595,0
134,251,10,229,0,0,1,1,0,2,0,0,2,0,5,1,502,0,12,514,0
135,172,6,235,7,1,0,1,0,1,1,0,1,0,7,5,437,0,14,451,0
136,220,17,256,4,0,2,4,0,0,2,0,1,1,7,9,523,0,18,541,0
137,298,4,219,1,2,1,0,0,1,0,0,0,3,2,2,533,0,20,553,0
138,173,0,184,2,0,0,0,0,0,1,1,0,1,2,0,364,0,5,369,0
139,119,3,284,3,0,0,0,1,0,0,0,0,0,3,0,413,0,6,419,0
140,178,4,390,4,1,0,3,0,2,1,0,3,3,6,7,602,0,11,613,0
141,143,4,355,2,1,1,0,0,1,0,1,1,4,5,7,525,0,18,543,0
142,580,6,198,1,1,3,5,0,1,2,0,5,2,3,8,815,0,20,835,0
143,150,6,232,0,0,0,2,1,0,0,0,0,1,2,1,395,0,5,400,0
144,167,1,196,2,2,2,1,0,1,1,0,1,4,1,3,382,0,14,396,0
145,359,5,80,2,1,2,0,0,0,0,0,0,2,5,3,459,0,21,480,0
146,557,1,13,0,0,0,1,0,1,0,0,0,0,0,0,573,0,1,574,0
147,559,4,48,1,0,0,0,1,2,0,1,0,1,0,3,620,0,11,631,0
148,521,12,92,2,0,0,1,0,1,2,0,0,1,1,0,633,0,3,636,0
149,738,6,78,0,1,1,1,1,0,1,0,0,0,1,1,829,0,7,836,0
150,532,1,52,3,0,0,1,1,1,0,0,1,0,0,0,592,0,6,598,0
151,215,3,303,5,0,0,2,1,6,1,3,1,7,5,2,554,0,14,568,0
152,150,5,288,3,0,2,1,0,3,1,2,3,3,2,1,464,0,6,470,0
153,151,6,544,1,1,1,2,2,2,2,3,3,16,18,1,753,0,15,768,0
154,172,2,230,1,1,2,3,1,0,0,2,0,1,4,2,421,0,14,435,0
155,81,3,177,1,0,0,0,0,0,0,0,1,0,9,1,273,0,5,278,0
156,85,4,170,0,0,1,2,1,0,0,0,0,1,3,6,273,0,3,276,0
157,134,3,219,2,0,0,1,1,1,0,0,0,0,10,3,374,0,5,379,0
158,116,2,196,2,1,2,0,2,0,0,0,4,3,5,4,337,0,7,344,0
159,195,6,165,3,2,1,15,0,1,3,1,0,2,3,2,399,0,4,403,0
160,51,0,181,2,0,2,0,0,0,0,1,0,0,3,2,242,0,8,250,0
161,159,1,275,5,1,0,0,0,0,0,0,1,3,7,2,454,0,10,464,0
162,153,2,139,1,0,4,0,1,0,0,0,1,0,2,3,306,0,9,315,0
163,105,3,273,3,0,0,0,0,2,1,0,1,0,5,2,395,0,13,408,0
164,307,4,394,3,0,0,0,0,0,1,0,1,9,20,6,745,0,17,762,0
165,222,3,102,0,0,1,0,0,0,0,0,0,2,3,1,334,0,9,343,0
166,95,3,166,2,0,0,0,0,0,0,0,1,1,1,1,270,0,7,277,0
167,173,5,130,2,3,0,0,1,1,1,1,0,2,3,6,328,0,9,337,0
168,209,2,170,1,0,1,0,1,0,0,1,1,0,2,1,389,0,8,397,0
169,226,1,259,3,0,0,0,0,2,0,0,1,4,9,1,506,0,14,520,0
170,151,5,278,3,0,2,1,0,1,0,1,1,2,9,5,459,0,7,466,0
171,127,4,372,4,0,1,0,1,2,0,3,2,9,23,6,554,0,20,574,0
172,78,2,290,2,1,2,2,0,0,1,5,1,4,9,5,402,0,13,415,0
173,80,2,180,5,1,0,0,0,1,0,1,1,0,7,4,282,0,13,295,0
174,259,5,260,3,1,1,2,1,1,0,0,0,3,9,5,550,0,12,562,0
175,238,4,222,4,1,0,2,0,0,1,1,1,3,3,3,483,0,17,500,0
176,230,7,204,2,0,0,0,1,2,0,0,1,4,7,1,459,0,6,465,0
177,120,5,167,3,2,1,0,0,0,0,1,0,4,6,3,312,0,6,318,0
178,178,2,152,1,0,1,0,0,0,1,1,0,1,2,4,343,0,17,360,0
179,182,2,134,4,0,1,1,0,1,0,0,1,4,2,2,334,0,15,349,0
180,109,1,332,3,0,0,1,2,0,1,1,1,2,7,2,462,0,8,470,0
181,31,1,330,5,1,0,0,0,2,0,1,0,1,11,4,387,0,9,396,0
182,41,3,389,2,1,0,0,0,2,1,2,0,3,2,3,449,0,5,454,0
183,48,2,50,2,2,0,1,1,0,0,0,0,0,1,1,108,0,1,109,0
184,77,1,457,1,0,0,0,2,0,1,1,1,1,8,5,555,0,6,561,0
185,113,2,263,2,2,0,0,0,2,1,0,1,4,9,1,400,0,11,411,0
186,47,3,98,2,0,0,1,1,1,0,1,0,3,3,0,160,0,7,167,0
187,60,6,428,3,0,0,0,1,1,0,1,6,3,11,8,528,0,3,531,0
188,47,1,284,3,1,0,0,1,0,1,1,1,3,5,3,351,0,8,359,0
189,40,2,163,1,0,1,0,0,1,0,0,0,4,5,1,218,0,1,219,0
190,55,8,547,5,0,0,0,1,0,2,0,3,1,15,5,642,0,0,642,0
191,116,3,201,2,0,0,0,0,0,2,1,0,3,15,5,348,0,7,355,0
192,86,2,132,1,0,1,0,2,1,0,1,1,0,1,2,230,0,1,231,0
193,124,0,213,3,0,1,0,1,0,2,0,0,0,3,1,348,0,2,350,0
194,128,4,177,1,0,0,1,1,0,1,3,0,2,2,0,320,0,6,326,0
195,76,1,160,3,1,0,0,0,0,0,0,1,3,2,1,248,0,2,250,0
196,106,2,121,6,1,0,0,1,0,0,0,1,1,3,3,245,0,3,248,0
197,163,4,164,1,0,1,0,1,1,0,2,0,0,6,2,345,0,12,357,0
198,219,2,317,5,1,0,0,0,0,0,0,0,4,4,1,553,0,16,569,0
199,61,3,460,3,0,0,0,1,0,0,0,0,,0,1,529,0,1,530,0
200,192,6,422,4,1,3,0,1,1,3,3,4,2,13,3,658,0,10,668,0
201,171,1,500,1,0,2,0,0,1,1,0,0,4,12,2,695,0,14,709,0
202,240,10,193,18,1,0,1,1,1,0,0,0,1,2,3,471,0,11,482,0
203,355,2,134,0,0,0,0,0,1,0,0,2,6,4,2,506,0,12,518,0
204,317,3,216,5,1,0,0,2,0,0,1,1,1,3,4,554,0,7,561,0
205,108,2,203,3,1,1,0,3,0,2,1,1,2,2,0,329,0,3,332,0
206,181,3,210,2,1,5,3,0,3,1,1,1,1,1,1,414,0,9,423,0
207,252,2,133,4,2,1,0,2,2,1,1,1,1,1,5,408,0,12,420,0
208,134,3,210,6,0,1,0,0,0,1,1,0,1,1,1,359,0,13,372,0
209,332,5,260,1,1,1,0,2,1,0,1,2,5,6,2,619,0,16,635,0
210,186,7,499,5,2,1,1,2,2,1,1,0,3,2,3,715,0,2,717,0
211,313,11,155,3,1,2,0,0,1,0,1,0,2,2,3,494,0,11,505,0
212,198,5,348,3,0,0,0,0,0,1,0,0,4,5,9,573,0,13,586,0
213,108,3,377,0,0,3,0,0,0,0,0,1,0,1,1,494,0,3,497,0
214,103,1,274,3,0,0,1,0,0,0,1,0,2,4,0,389,0,5,394,0
215,381,7,81,0,3,0,0,0,1,0,2,0,0,2,2,479,0,5,484,0
216,210,1,233,0,0,2,2,0,1,1,0,2,3,6,3,464,0,3,467,0
217,110,2,325,2,1,4,0,1,1,1,2,0,2,4,2,457,0,4,461,0
218,228,2,215,0,0,1,0,0,0,2,0,1,4,9,6,468,0,3,471,0
219,177,3,213,1,0,0,0,3,1,0,0,1,0,3,1,403,0,11,414,0
220,162,3,440,2,0,0,0,1,1,0,0,0,1,6,4,620,0,8,628,0
221,166,4,405,2,1,0,2,0,0,0,1,0,2,2,0,585,0,7,592,0
222,185,1,285,1,0,0,1,2,0,0,2,1,2,4,1,485,0,9,494,0
223,151,4,213,2,0,0,1,0,1,1,0,1,3,2,3,382,0,13,395,0
224,211,2,373,3,0,0,0,1,2,0,0,0,1,9,7,609,0,19,628,0
225,253,0,261,3,0,0,0,0,1,1,1,0,2,3,3,528,0,1,529,0
226,141,5,313,4,0,0,0,1,1,0,0,1,3,2,7,478,0,10,488,0
227,53,2,179,0,1,0,0,0,0,1,1,0,1,4,1,243,0,5,248,0
228,283,2,353,1,0,0,2,0,0,0,0,3,3,11,7,665,0,17,682,0
229,418,6,66,1,0,1,0,1,2,0,0,1,4,6,7,513,0,40,553,0
230,50,2,107,0,1,0,0,0,0,0,0,0,2,1,0,163,0,2,165,0
231,359,10,297,0,1,1,0,1,2,3,4,4,2,7,7,698,0,14,712,0
232,344,1,196,1,1,0,0,0,0,0,0,3,3,3,2,554,0,9,563,0
233,115,1,171,3,1,1,1,0,2,0,0,0,1,4,2,302,0,3,305,0
234,151,1,135,0,1,0,0,1,0,1,0,0,3,1,3,297,0,6,303,0
235,140,6,224,3,0,2,0,0,0,1,0,1,1,2,2,382,0,12,394,0
236,89,5,540,1,0,0,0,1,3,1,0,0,3,7,2,652,0,6,658,0
237,148,2,140,2,0,0,1,1,1,1,0,1,2,5,0,304,0,9,313,0
238,60,2,135,3,1,2,0,0,1,0,0,0,2,2,4,212,0,3,215,0
239,220,9,127,2,0,0,0,0,1,0,1,1,0,2,2,365,0,11,376,0
240,202,6,373,1,2,2,2,1,2,0,0,2,6,14,4,617,0,24,641,0
241,195,1,240,3,1,0,1,1,0,0,1,2,3,4,8,460,0,20,480,0
242,301,2,189,3,0,0,0,0,1,0,0,0,0,5,3,504,0,15,519,0
243,150,3,324,4,0,0,4,0,1,0,0,2,0,6,2,496,0,7,503,0
244,148,3,170,4,0,0,0,0,1,0,0,1,0,2,2,331,0,6,337,0
245,150,4,144,4,1,1,1,0,1,0,0,2,1,2,4,315,0,11,326,0
246,229,1,73,0,0,0,0,1,1,0,1,0,1,3,3,313,0,12,325,0
247,333,3,37,1,0,0,1,1,1,0,1,1,0,2,3,384,0,20,404,0
248,120,8,259,3,0,0,1,1,1,1,2,2,3,7,1,409,0,3,412,0
249,232,8,469,4,0,0,1,0,1,1,1,1,2,12,7,739,0,16,755,0
