Serial No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,Total of valid votes,No. of Rejected votes,Nota,Total,No. of Tendere d votes
,Dilip Patel,Purshottambhai Alias Kanubhai Mathurbhai Chauhan,Solanki Bharatbhai Madhavsinh,Girishbhai Das (Advocate),Padhiyar Vikramsinh (Vakil),Mahida Mahendrasinh Sahebsinh,Ravjibhai S Parmar,Hitendrasinh Mohansinh Parmar,Patel Jayeshbhai Arvindbhai,Patel Dilipbhai Manilal,Patel Naineshkuma r Umedbhai,Parmar Amarsinh Dahyabhai,Rabari Hiteshkumar Laljibhai,Vahora Firojbhai Walimahamad bhai (Kasorwala),Vaghela Bharat P,,,,,
1,291,3,164,1,0,2,0,0,1,2,0,0,2,3,1,470,0,9,479,0
2,440,0,48,1,1,1,0,0,0,0,0,0,2,0,0,493,0,3,496,0
3,240,5,315,3,1,1,0,1,0,0,0,2,2,4,8,582,0,10,592,0
4,163,17,452,8,1,6,3,2,2,2,2,2,2,10,5,677,0,16,693,0
5,583,6,151,0,1,3,4,0,2,2,4,3,7,7,4,777,0,35,812,0
6,345,7,130,1,0,0,1,1,0,1,1,3,1,2,11,504,0,47,551,0
7,327,7,261,3,0,0,1,0,0,0,0,0,0,4,4,607,0,9,616,0
8,145,2,213,0,1,0,0,1,1,1,0,0,2,1,3,370,0,5,375,0
9,515,6,109,4,0,0,0,0,1,0,2,0,3,0,4,644,0,14,658,0
10,327,20,327,5,0,1,0,2,1,2,1,1,3,8,3,701,0,13,714,0
11,111,7,337,1,0,0,1,3,1,0,0,0,0,3,0,464,0,8,472,0
12,44,2,310,6,1,1,1,4,0,1,0,3,4,10,1,388,0,8,396,0
13,352,4,192,0,2,1,0,0,1,0,1,0,3,3,3,562,0,9,571,0
14,231,2,338,1,1,1,3,1,0,0,2,1,3,9,7,600,0,8,608,0
15,461,2,137,1,0,1,1,0,0,0,0,1,2,1,6,613,0,5,618,0
16,207,7,387,0,0,0,0,0,1,0,2,2,1,5,3,615,0,11,626,0
