No Polling St.,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
40,3,491,43,1,13,2,0,2,555,0,5,560,0
41,3,523,24,2,12,0,0,0,564,0,3,567,0
42,8,507,24,1,13,0,1,0,554,0,5,559,0
43,1,278,20,0,21,0,0,0,320,0,2,322,0
44,0,414,37,1,6,0,0,0,458,0,2,460,0
45,0,263,24,1,27,0,0,1,316,0,1,317,0
46,8,544,63,0,3,2,1,1,622,0,7,629,0
47,4,456,119,1,9,1,5,4,599,0,16,615,0
48,2,446,41,1,23,1,0,1,515,0,3,518,0
49,5,546,42,0,14,0,0,3,610,0,4,614,0
50,1,644,50,1,27,0,0,1,724,0,5,729,0
51,4,485,32,0,10,4,0,0,535,0,7,542,0
52,0,250,25,2,2,0,0,0,279,0,0,279,0
53,4,365,27,0,9,0,0,1,406,0,3,409,0
54,2,346,29,1,4,0,0,5,387,0,9,396,0
55,7,876,66,3,15,1,0,0,968,0,7,975,0
56,2,553,23,1,15,0,1,4,599,0,4,603,0
57,6,757,41,0,14,2,2,4,826,0,5,831,0
58,3,469,21,1,6,0,0,4,504,0,5,509,0
59,1,495,19,0,7,0,0,0,522,0,8,530,0
60,0,281,3,1,3,0,0,0,288,0,2,290,0
61,1,427,11,1,9,0,0,0,449,0,5,454,0
62,4,404,17,0,1,1,0,2,429,0,3,432,0
63,1,317,7,0,3,0,0,0,328,0,2,330,0
64,4,400,27,0,28,0,3,0,462,0,5,467,0
65,2,657,41,1,21,1,2,1,726,0,10,736,0
66,5,454,20,1,8,1,0,1,490,0,4,494,0
67,0,470,24,2,5,0,0,0,501,0,6,507,0
68,5,610,37,0,7,0,0,3,662,0,5,667,0
69,2,739,72,5,19,1,0,0,838,0,18,856,0
70,3,526,37,0,4,0,1,1,572,0,5,577,0
71,0,708,45,0,7,0,1,0,761,0,6,767,0
72,8,547,37,2,12,1,0,1,608,0,7,615,0
73,0,398,30,0,9,1,1,1,440,0,2,442,0
74,4,624,30,0,11,0,0,0,669,0,6,675,0
75,2,420,29,1,21,0,0,2,475,0,2,477,0
76,1,365,17,1,15,0,0,0,399,0,0,399,0
77,5,655,21,0,4,0,0,0,685,0,3,688,0
78,0,482,22,1,3,0,1,3,512,0,0,512,0
79,4,741,27,0,18,0,1,0,791,0,4,795,0
80,4,436,20,0,2,0,1,0,463,0,5,468,0
81,1,734,36,1,21,0,0,0,793,0,6,799,0
82,1,267,12,0,2,0,0,0,282,0,1,283,0
83,2,689,21,1,13,0,0,0,726,0,5,731,0
84,6,623,52,1,6,0,0,0,688,0,1,689,0
85,1,552,35,0,10,0,0,1,599,0,2,601,0
86,11,641,24,2,30,0,2,1,711,0,3,714,0
87,3,413,15,2,13,1,1,1,449,0,4,453,0
87,1,356,16,0,4,1,0,1,379,0,2,381,0
88,3,381,11,0,7,0,0,1,403,0,6,409,0
89,3,618,60,0,11,0,0,1,693,0,5,698,0
90,3,347,18,0,16,0,0,0,384,0,1,385,0
91,1,744,26,1,5,0,1,0,778,0,5,783,0
92,2,451,13,0,6,0,0,0,472,0,3,475,0
93,1,359,8,0,2,2,1,1,374,0,0,374,0
94,1,315,17,1,2,2,0,0,338,0,3,341,0
95,5,596,37,0,10,0,1,3,652,0,8,660,0
96,3,591,32,2,11,0,0,2,641,0,3,644,0
97,1,471,19,1,10,0,0,1,503,0,5,508,0
98,1,311,25,0,2,0,1,1,341,0,4,345,0
99,1,313,13,0,7,0,1,0,335,0,0,335,0
100,2,464,23,2,7,0,0,0,498,0,5,503,0
101,4,580,11,0,13,0,0,0,608,0,6,614,0
102,36,378,303,8,11,2,1,2,741,0,11,752,0
103,3,328,12,0,4,0,0,2,349,0,2,351,0
104,1,543,33,0,14,0,0,1,592,0,9,601,0
105,1,745,32,0,6,0,0,1,785,0,7,792,0
106,3,497,32,0,10,1,0,0,543,0,9,552,0
107,0,704,42,0,17,1,0,0,764,0,5,769,0
108,9,377,202,0,38,2,3,2,633,0,8,641,0
109,3,206,163,0,7,1,2,2,384,0,6,390,0
110,8,98,199,4,3,2,2,5,321,0,3,324,0
111,3,96,149,1,3,1,1,1,255,0,0,255,0
112,11,204,244,6,19,3,7,3,497,0,11,508,0
113,3,574,16,1,12,0,0,1,607,0,2,609,0
114,2,627,19,1,8,0,1,0,658,0,2,660,0
115,0,478,16,0,18,1,0,0,513,0,3,516,0
116,2,487,16,1,14,2,0,0,522,0,2,524,0
117,0,698,19,0,8,0,0,2,727,0,13,740,0
118,1,448,17,1,14,1,2,0,484,0,9,493,0
119,2,124,317,3,3,2,3,1,455,0,7,462,0
120,0,537,29,2,32,1,2,2,605,0,11,616,0
121,15,230,104,3,8,1,5,4,370,0,5,375,0
122,3,614,42,0,12,2,0,2,675,0,5,680,0
123,5,594,39,0,18,1,0,2,659,0,9,668,0
124,2,469,56,1,3,0,0,0,531,0,7,538,0
125,2,593,42,1,8,0,0,1,647,0,4,651,0
126,1,673,72,0,20,1,0,1,768,0,10,778,0
127,3,700,60,1,23,0,1,0,788,0,14,802,0
128,0,232,5,0,7,0,1,0,245,0,1,246,0
129,7,365,254,6,4,1,2,4,643,0,13,656,0
130,5,537,22,2,14,0,2,2,584,0,8,592,0
131,6,486,19,1,15,1,0,0,528,0,4,532,0
132,0,250,7,1,3,0,1,0,262,0,3,265,0
133,0,459,17,2,15,0,1,0,494,0,3,497,0
134,5,706,25,0,16,0,0,2,754,0,6,760,0
135,5,785,25,2,6,1,1,3,828,0,6,834,0
136,3,466,12,2,25,0,0,1,509,0,0,509,0
137,12,141,65,3,1,0,0,1,223,0,4,227,0
138,1,22,39,1,4,1,0,0,68,0,1,69,0
139,0,19,14,0,2,2,0,0,37,0,0,37,0
140,0,122,58,1,4,1,1,0,187,0,3,190,0
141,10,189,115,3,2,0,1,1,321,0,0,321,0
142,1,442,15,1,13,1,0,0,473,0,2,475,0
143,1,476,17,1,21,0,0,0,516,0,2,518,0
144,1,450,11,1,16,0,1,0,480,0,4,484,0
145,4,528,18,0,26,0,1,2,579,0,2,581,0
146,3,483,13,0,16,0,0,1,516,0,8,524,0
147,1,511,27,0,9,0,0,0,548,0,6,554,0
148,0,582,38,1,7,1,0,0,629,0,9,638,0
149,11,204,71,1,5,1,0,1,294,0,1,295,0
150,30,244,102,4,4,1,1,4,390,0,6,396,0
151,12,528,234,3,3,1,4,4,789,0,7,796,0
152,1,169,7,0,1,0,0,0,178,0,0,178,0
153,3,229,145,2,11,3,1,3,397,0,2,399,0
154,9,280,118,3,13,0,2,0,425,0,2,427,0
155,4,152,45,0,6,1,1,0,209,0,2,211,0
156,4,208,50,4,0,1,0,1,268,0,2,270,0
157,13,275,106,4,37,2,2,0,439,0,4,443,0
158,6,99,708,6,47,3,2,0,871,0,5,876,0
159,6,127,426,3,54,2,0,1,619,0,9,628,0
160,5,216,142,3,3,1,5,3,378,0,4,382,0
161,2,212,61,2,3,1,2,0,283,0,2,285,0
162,3,157,121,2,2,1,0,2,288,0,4,292,0
