polling station,Giri  Ramchandra  Vaijnath,Chauhan  Prabhatsinh  Pratapsinh,Ramsinh  Parmar,Piyushkumar  Dilipbhai  Parmar ,Shaikh  Kalim  Abdul  Latif,Shaikh  Majitmiya  Jivamiya,Gora  Shoeb  Mohmadh anif,S.N.  Chavada  (Chavada  Vakil),Chavada  Harishchandr asinh  Prabhatsinh,Patel  Pankajbhai  Ravjibhai,Mansuri  Mukhatyar  Mohammad   (Panter  M.Lala),Vankar  Manilal  Bhanabhai,Total of  Valid  Votes ,No of  rejected  Votes ,Votes for  'NOTA'  Option,Total  Votes,No of  tender  Votes 
1,9,151,100,6,0,0,2,0,1,8,7,6,290,0,12,302,0
2,7,281,205,2,2,0,1,0,1,5,7,7,518,0,14,532,0
3,13,351,142,4,0,0,0,1,4,6,12,6,539,0,10,549,0
4,8,85,316,4,0,0,1,1,4,3,4,1,427,0,17,444,0
5,18,458,68,1,1,0,1,0,1,1,5,6,560,0,15,575,0
6,0,307,83,0,0,0,1,0,2,0,1,2,396,0,9,405,0
7,8,211,162,6,1,2,0,1,1,3,6,1,402,0,6,408,0
8,8,200,239,6,1,0,1,1,0,8,1,4,469,0,10,479,0
9,8,189,186,8,0,1,1,0,1,2,6,4,406,0,13,419,0
10,10,207,327,6,4,1,0,4,5,3,8,7,582,0,5,587,0
11,12,177,235,11,1,0,1,3,8,5,10,12,475,0,32,507,0
12,4,77,142,3,0,0,0,0,3,1,9,2,241,0,6,247,0
13,11,281,131,4,2,1,0,0,0,3,22,10,465,0,25,490,0
14,8,259,203,3,0,0,0,0,1,5,10,11,500,0,14,514,0
15,3,120,92,0,0,0,0,3,3,2,9,5,237,0,9,246,0
16,7,332,350,3,5,0,2,1,5,4,6,4,719,0,8,727,0
17,4,143,125,1,0,0,0,0,1,2,1,1,278,0,6,284,0
18,17,528,246,11,1,0,1,1,1,2,4,2,814,0,9,823,0
19,17,358,170,4,2,1,1,2,3,2,4,8,572,0,30,602,0
20,5,201,177,8,0,0,2,2,2,4,7,6,414,0,14,428,0
21,4,123,279,8,1,0,0,0,1,0,3,1,420,0,8,428,0
22,14,229,272,6,1,1,1,0,5,4,8,13,554,0,22,576,0
23,10,264,250,6,0,1,1,1,7,3,7,8,558,0,26,584,0
24,14,400,164,8,1,0,1,1,0,3,5,7,604,0,13,617,0
25,6,300,133,5,0,2,0,1,4,1,8,5,465,0,11,476,0
26,16,409,164,7,2,0,0,2,5,5,7,5,622,0,19,641,0
27,1,280,112,1,0,0,0,1,1,0,8,5,409,0,6,415,0
28,2,117,183,2,1,1,0,0,3,1,2,2,314,0,11,325,0
29,7,189,155,1,1,0,0,0,1,0,4,4,362,0,7,369,0
30,5,21,67,0,0,0,0,0,1,1,1,1,97,0,3,100,0
31,6,166,121,1,1,1,0,0,1,2,7,2,308,0,7,315,0
32,4,275,246,4,3,1,0,1,3,0,4,4,545,0,3,548,0
33,6,326,165,2,1,0,1,1,3,3,7,6,521,0,6,527,0
34,1,73,114,3,1,0,0,1,2,1,3,5,204,0,0,204,0
35,6,208,261,1,1,0,0,2,3,0,3,1,486,0,2,488,0
36,6,455,65,2,2,0,1,0,0,2,1,2,536,0,9,545,0
37,13,98,460,2,3,1,0,1,2,2,6,8,596,0,14,610,0
38,5,102,84,1,0,0,0,1,2,2,4,1,202,0,4,206,0
39,4,124,64,7,2,0,0,1,0,0,3,3,208,0,4,212,0
40,2,340,113,4,0,0,0,2,0,1,1,2,465,0,6,471,0
41,7,72,279,4,0,2,1,0,1,5,7,4,382,0,13,395,0
42,5,144,257,4,2,0,0,0,3,1,1,2,419,0,3,422,0
43,12,51,387,4,1,0,0,1,4,0,3,2,465,0,16,481,0
44,3,59,451,8,0,1,1,1,1,5,6,0,536,0,8,544,0
45,4,118,399,5,0,2,0,2,0,0,6,3,539,0,10,549,0
46,3,299,70,3,2,0,0,0,1,1,1,1,381,0,6,387,0
