Serial No. of Polling Station,Number of Valid Votes Cast in Favour of,,,,,,,,,,,,,,Total of valid votes,No. of Rejected Votes,NOTA,Total,Total No. of tendered votes
,Chaudhary Haribhai Parthibhai,Patel Joitabhai Kasnabhai,Mahant Parsotamgiri Turantgiri,Choudhary Adambhai Nasirbhai,Sanjaykumar Somnathbhai Raval,Gamar Vadhabhai Radhabhai,Thakor Bhupataji Ravaji,Dabhi Navajibhai Madhabhai,Babaji Thakor,Mahendrabhai Kesarabhai Bumbadia,Madhu Nirupaben Natvarlal,Shrimali Ashokbhai Balchndbhai,Solanki Dineshkumar Aljibhai,Solanki Saybabhai Nanabhai,,,,,
1,257,233,8,1,0,0,1,1,1,3,0,0,10,9,524,0,8,532,0
2,264,240,6,3,0,0,0,0,1,2,0,1,3,7,527,0,8,535,0
3,208,42,1,1,0,0,0,0,0,0,0,0,0,1,253,0,4,257,0
4,529,90,3,1,0,1,1,1,0,5,1,1,3,3,639,0,9,648,0
5,94,384,14,0,1,0,1,3,1,1,1,0,6,9,515,0,6,521,0
6,132,216,4,1,1,1,0,1,0,0,3,0,6,5,370,0,4,374,0
7,527,111,4,0,1,1,1,2,0,2,4,2,2,0,657,0,9,666,0
8,129,214,6,1,0,0,0,2,1,7,0,2,8,5,375,0,6,381,0
9,332,192,4,0,0,1,1,1,13,8,1,2,3,3,561,0,15,576,0
10,326,235,14,2,9,0,0,4,2,3,3,3,5,5,611,0,11,622,0
11,197,139,2,2,0,0,0,2,0,0,4,0,1,1,348,0,8,356,0
12,134,257,13,6,0,1,4,0,2,3,0,5,3,8,436,0,6,442,0
13,347,274,8,2,4,4,2,2,1,2,1,2,4,4,657,0,7,664,0
14,167,234,12,0,3,0,1,1,2,3,2,2,5,5,437,0,17,454,0
15,168,144,10,2,7,0,1,2,0,1,0,1,3,0,339,0,3,342,0
16,370,82,3,0,1,0,2,2,2,6,1,4,4,5,482,0,12,494,0
17,307,205,8,1,3,0,0,0,1,5,0,4,3,9,546,0,15,561,0
18,260,249,10,0,4,0,2,3,4,2,1,1,4,2,542,0,8,550,0
19,184,134,7,0,17,1,2,2,0,0,1,0,1,2,351,0,4,355,0
20,318,180,2,0,14,1,1,1,0,2,3,1,3,7,533,0,14,547,0
21,299,325,10,0,10,1,0,2,2,5,1,2,6,10,673,0,9,682,0
22,479,29,2,0,0,0,0,0,0,0,0,0,1,4,515,0,0,515,0
23,256,149,12,1,1,0,0,1,3,1,1,2,0,7,434,0,7,441,0
24,425,149,2,5,1,0,3,1,3,1,0,0,1,1,592,0,5,597,0
25,154,245,4,1,1,0,0,1,1,1,3,1,9,3,424,0,12,436,0
26,325,113,2,1,0,0,0,0,1,1,0,1,1,3,448,0,6,454,0
27,43,171,3,1,1,0,0,0,0,0,1,0,0,2,222,0,3,225,0
28,129,161,2,1,1,0,0,1,1,1,1,1,6,3,308,0,11,319,0
29,232,229,7,1,1,0,1,0,0,3,0,0,1,3,478,0,5,483,0
30,199,164,3,0,0,0,0,1,0,0,0,0,3,3,373,0,3,376,0
31,453,120,9,2,3,0,0,0,4,2,3,3,5,6,610,0,21,631,0
32,158,143,3,1,1,1,0,1,4,2,0,2,7,8,331,0,8,339,0
33,286,147,3,0,2,0,0,1,3,5,3,4,7,4,465,0,14,479,0
34,235,230,5,2,4,0,0,3,1,1,4,2,2,5,494,0,11,505,0
35,368,213,11,4,1,0,0,1,1,3,4,1,8,7,622,0,11,633,0
36,468,194,8,2,8,0,0,2,0,4,2,2,0,8,698,0,3,701,0
37,383,217,7,1,2,1,1,0,0,2,0,0,6,0,620,0,3,623,0
38,194,163,7,1,5,3,2,7,21,3,2,1,0,3,412,0,6,418,0
39,509,221,2,1,1,0,7,1,3,3,5,5,5,4,767,0,13,780,0
40,406,211,7,2,0,1,1,4,7,3,4,1,2,5,654,0,22,676,0
41,339,31,0,1,0,0,2,1,9,2,0,1,0,2,388,0,2,390,0
42,176,189,13,0,1,0,0,1,0,3,2,1,4,4,394,0,5,399,0
43,283,101,6,1,3,0,0,2,3,3,4,2,2,2,412,0,10,422,0
44,395,117,6,2,7,1,0,1,0,5,0,2,4,1,541,0,13,554,0
45,93,143,28,0,0,0,2,4,32,1,1,1,3,2,310,0,6,316,0
46,322,28,1,2,2,2,0,2,11,0,3,1,1,1,376,0,8,384,0
47,279,121,35,0,1,0,1,1,41,6,0,0,3,4,492,0,8,500,0
48,375,146,7,2,0,0,2,1,4,1,2,4,7,2,553,0,19,572,0
49,385,69,3,1,0,1,1,4,19,5,3,3,2,7,503,0,4,507,0
50,415,104,0,1,3,2,0,1,4,2,0,1,6,2,541,0,5,546,0
51,348,124,8,4,0,0,3,4,0,1,1,4,4,5,506,0,5,511,0
52,310,111,2,2,2,1,1,4,1,5,1,0,1,1,442,0,2,444,0
53,165,308,6,0,0,0,0,1,3,1,1,4,6,4,499,0,10,509,0
54,217,229,5,0,2,2,0,1,1,0,3,4,1,1,466,0,8,474,0
55,222,183,11,4,0,1,2,5,0,5,1,1,7,1,443,0,14,457,0
56,262,192,9,2,2,0,1,1,2,1,4,1,1,6,484,0,12,496,0
57,730,7,3,1,1,0,0,1,1,3,0,0,4,6,757,0,1,758,0
58,481,91,9,1,1,0,1,1,0,3,2,3,2,2,597,0,8,605,0
59,93,293,10,3,3,1,3,1,28,1,2,1,3,3,445,0,11,456,0
60,554,78,8,1,4,0,1,0,0,2,3,2,4,3,660,0,2,662,0
61,263,148,11,1,1,1,0,1,14,1,1,2,7,5,456,0,6,462,0
62,662,167,8,1,0,0,1,2,0,4,2,2,4,10,863,0,9,872,0
63,100,120,8,0,0,0,2,0,2,0,1,0,0,5,238,0,2,240,0
64,311,91,4,0,0,1,0,0,0,4,2,1,2,6,422,0,9,431,0
65,274,337,12,2,0,1,3,7,1,6,5,8,11,11,678,0,17,695,0
66,340,103,5,1,0,1,1,3,3,2,0,3,4,3,469,0,17,486,0
67,62,169,3,0,1,0,0,0,4,0,1,0,1,3,244,0,6,250,0
68,248,308,3,1,5,0,1,2,1,1,2,1,1,6,580,0,18,598,0
69,492,179,7,1,1,0,1,1,0,6,1,1,4,13,707,0,15,722,0
70,424,68,2,3,0,1,1,1,1,2,1,1,2,7,514,0,21,535,0
71,247,165,7,0,1,1,0,0,0,1,1,2,2,2,429,0,19,448,0
72,273,256,9,0,0,0,1,1,6,3,4,0,7,5,565,0,15,580,0
73,177,306,4,1,3,1,4,0,1,1,4,0,5,7,514,0,12,526,0
74,107,163,1,0,2,0,0,0,0,0,0,0,2,8,283,0,7,290,0
75,377,188,27,0,1,0,0,0,0,3,0,1,3,3,603,0,8,611,0
76,367,28,0,0,2,0,1,0,0,1,0,0,1,2,402,0,2,404,0
77,663,60,3,2,1,2,1,3,1,3,1,3,1,4,748,0,12,760,0
78,366,314,12,0,10,3,0,2,5,3,1,5,5,6,732,0,12,744,0
79,736,123,5,3,0,0,0,1,2,1,0,2,2,1,876,0,9,885,0
80,404,151,7,2,7,1,0,1,0,1,2,2,5,1,584,0,14,598,0
81,362,169,6,1,6,0,2,0,0,1,1,1,0,4,553,0,5,558,0
