polling station,,,,,,,,,,,,,,,,valid,No. of Rejected Votes,Total,Number of tendered votes
,Parmar Maganbhai Amarabhai,Rathod Bhavsinhbhai Dahyabhai,Liladharbhai Khodaji Vaghela,Govindji Okhaji Thakor,Jakasiji Jogaji Thakor,Parmar Bhaichandbhai Somabhai,Babubhai Karshanbhai Rabari,Imrankhan Mahmadkhan Nagori,Chhaganbhai Naranbhai Prajapati,Jagrala Imran Mahemud,Desai Ishwarbhai Mahadevbhai,Bhoraniya Soyabbhai Hasambhai,Molapiya Abdulkudus Abdulmajid,Vaghda Jivabhai Devabhai,None Of The Above,,,,
137,5,183,219,1,1,0,1,1,1,1,2,1,3,1,5,420,0,425,0
138,5,74,475,11,2,4,1,2,0,0,0,1,1,1,4,577,0,581,0
139,8,186,92,4,0,0,0,0,0,1,4,1,2,1,7,299,0,306,0
140,3,202,76,1,1,1,1,1,0,0,0,1,0,3,5,290,0,295,0
141,15,155,412,10,3,1,1,1,0,0,0,2,2,3,27,605,0,632,0
142,7,284,207,4,0,0,0,0,0,1,0,0,3,5,16,511,0,527,0
143,4,142,252,3,0,0,1,0,2,1,2,0,3,4,2,414,0,416,0
144,17,503,205,4,0,0,0,1,1,2,3,3,8,7,20,754,0,774,0
145,11,277,337,11,1,0,1,6,1,1,1,1,10,10,12,668,0,680,1
146,1,138,406,6,0,1,0,1,2,1,1,0,2,6,11,565,0,576,0
147,8,373,60,2,0,0,2,4,0,1,1,0,0,1,6,452,0,458,0
148,13,317,232,6,0,0,1,2,1,4,1,3,6,7,7,593,0,600,0
149,12,453,227,5,0,0,1,1,3,0,1,2,2,2,20,709,0,729,0
150,11,182,561,1,1,0,0,1,0,3,1,2,5,4,12,772,0,784,0
151,10,262,376,5,0,0,0,2,1,1,2,2,3,5,13,669,0,682,0
152,15,387,286,5,1,2,4,5,4,7,2,4,6,13,14,741,0,755,0
153,1,118,245,4,1,1,7,2,3,2,3,2,8,4,10,401,0,411,0
154,7,163,382,2,0,1,2,1,2,0,2,1,3,2,14,568,0,582,0
155,6,57,509,9,2,0,1,2,5,2,4,4,6,3,10,610,0,620,0
156,12,158,491,13,1,0,1,2,2,3,2,5,3,7,9,700,0,709,0
157,7,187,347,7,1,0,1,0,3,0,6,3,5,4,6,571,0,577,0
158,1,198,20,0,0,0,0,2,0,0,2,3,1,0,4,227,0,231,0
159,0,72,256,4,0,0,0,0,2,0,0,3,2,2,6,341,0,347,0
160,12,262,240,2,1,1,0,0,3,0,0,7,5,2,5,535,0,540,0
161,8,312,75,3,1,0,0,0,0,1,1,1,2,4,4,408,0,412,0
162,3,125,141,0,1,0,0,0,1,1,3,1,1,4,6,281,0,287,0
163,2,126,102,3,0,0,0,0,0,1,2,1,1,2,1,240,0,241,0
164,5,216,243,2,1,1,1,1,3,1,1,3,3,4,7,485,0,492,0
165,12,197,200,3,0,1,1,0,2,1,1,2,5,4,3,429,0,432,0
166,3,51,320,4,1,1,0,0,0,3,1,1,1,3,8,389,0,397,0
167,4,54,476,4,0,1,1,1,5,2,1,2,8,7,6,566,0,572,0
168,1,29,589,2,0,0,1,2,0,0,1,0,0,1,3,626,0,629,0
169,8,189,153,3,0,0,0,0,0,0,0,0,2,0,2,355,0,357,0
170,5,117,212,5,0,0,0,0,2,1,1,2,4,6,4,355,0,359,0
171,11,387,29,1,1,0,1,0,0,3,1,0,3,6,9,443,0,452,0
172,7,285,74,1,0,0,0,0,2,1,0,0,0,3,6,373,0,379,0
173,8,191,250,3,0,1,1,0,3,2,1,4,8,5,8,477,0,485,0
174,2,121,124,2,0,0,0,0,3,2,0,2,0,4,5,260,0,265,0
175,3,40,348,2,0,0,0,1,0,0,0,2,2,4,3,402,0,405,0
176,0,64,430,2,0,0,1,1,1,1,0,0,0,1,8,501,0,509,0
177,2,71,504,0,0,1,2,1,2,0,0,0,4,2,3,589,0,592,0
178,5,40,470,8,0,0,4,2,8,0,5,2,4,8,16,556,0,572,0
179,5,34,315,6,0,0,1,2,4,1,1,1,1,2,9,373,0,382,0
180,1,25,287,2,2,1,0,0,3,2,0,0,3,1,7,327,0,334,0
181,6,204,243,2,0,0,1,1,4,2,0,0,4,4,5,471,0,476,0
182,4,92,443,5,2,0,1,2,0,1,0,0,3,1,7,554,0,561,0
183,3,171,375,3,1,1,0,1,0,0,0,1,1,0,6,557,0,563,0
