Sr.No. of Polling Station,,,,,,,,,,,,,,,,,valid,No. of reject ed Votes (Test Votes),Total,No. of tender ed votes
,Chauhan Devusinh Jesingbhai (Chauhan Devusinh),Dinsha Patel,Pandav Bhailalbhai Kalubhai,Abdul Razakkha n Pathan,Badhiwala Labhubhai Jivrajbhai,Ranveer Pranayraj Govindbhai,Khristi Adward Khushalbh ai,Chauhan Devusing Motishing,Pathan Amanullakha Sitabkha,Parikh Viral Hasmukhbh ai,Malek Yakubmiya Nabimiya,Malek Sadik Hushen Mahammd Hushen,Malek Sabirhusen Ismaelbhai,Ratansinh Udesinh Chauhan,Roshan Priyavada n Shah,NOTA,,,,
70,302,89,0,0,6,0,0,3,0,0,0,0,0,0,0,6,406,0,406,
71,314,42,3,0,4,0,0,0,0,0,0,0,0,0,0,3,366,0,366,
72,361,181,3,0,2,0,2,0,1,0,0,1,6,4,3,7,571,0,571,
73,366,60,0,0,3,0,0,0,0,0,0,0,0,1,2,6,438,0,438,
74,526,37,0,0,0,0,1,1,0,1,0,0,0,0,0,8,574,0,574,
75,725,89,2,1,10,0,0,0,0,0,0,0,0,0,1,16,844,0,844,
76,632,62,2,1,7,0,0,0,0,1,0,1,0,0,0,13,719,0,719,
77,954,78,2,1,9,0,0,0,0,0,0,0,0,1,4,10,1059,0,1059,
78,857,52,1,1,6,0,1,0,0,0,0,0,0,0,0,12,930,0,930,
79,525,44,1,1,2,3,1,2,1,0,0,1,0,0,0,8,589,0,589,
80,390,109,4,0,10,0,1,2,0,2,1,3,0,5,6,14,547,0,547,
81,282,36,1,0,2,0,0,0,0,0,0,1,0,0,0,0,322,0,322,
82,403,165,6,4,18,1,0,0,0,0,2,1,2,2,1,5,610,0,610,
83,581,96,0,1,11,1,0,1,0,0,0,0,1,0,1,19,712,0,712,
84,276,191,3,1,3,0,1,1,0,1,0,1,0,2,2,10,492,0,492,
85,630,43,5,3,8,1,1,1,1,1,0,0,0,0,0,5,699,0,699,
86,825,60,1,1,9,0,0,0,1,0,0,1,1,1,1,1,902,0,902,
87,429,39,0,0,8,0,0,1,0,0,1,0,0,0,0,4,482,0,482,
88,658,30,0,0,3,0,0,0,0,0,0,0,0,1,0,8,700,0,700,
89,840,79,1,0,13,1,0,0,0,1,0,0,0,0,1,6,942,0,942,
90,558,33,0,0,4,0,0,2,1,0,0,0,0,0,0,3,601,0,601,
91,614,28,1,0,4,0,0,2,0,0,0,0,1,0,0,4,654,0,654,
92,713,46,0,1,3,0,0,0,0,0,1,0,0,0,1,8,773,0,773,
93,790,27,0,0,1,0,0,0,0,0,0,0,0,0,0,5,823,0,823,
94,629,125,0,0,16,1,0,0,1,0,0,0,0,0,1,7,780,0,780,
95,561,57,2,0,7,0,0,1,0,0,0,0,0,0,2,3,633,0,633,
96,465,96,0,1,6,0,0,2,0,1,0,2,0,2,2,5,582,0,582,
97,303,37,1,0,5,0,0,0,0,0,0,0,0,0,0,2,348,0,348,
98,483,50,0,0,4,0,0,1,0,0,0,0,0,1,0,3,542,0,542,
99,752,67,0,0,9,0,0,0,1,0,0,0,0,0,2,14,845,0,845,
100,695,87,0,0,6,0,0,1,0,1,0,2,2,0,1,9,804,0,804,
101,585,116,4,0,13,0,0,3,0,0,0,1,1,3,2,5,733,0,733,
102,476,50,1,0,8,0,0,0,0,1,0,0,0,2,0,3,541,0,541,
103,444,39,1,0,1,0,0,0,0,1,0,0,0,0,0,4,490,0,490,
104,691,71,2,0,4,0,0,4,0,1,1,0,0,0,2,13,789,0,789,
105,336,135,5,0,8,0,1,1,1,0,1,0,1,2,2,5,498,0,498,
106,411,27,0,0,2,0,0,0,0,0,0,0,1,0,0,3,444,0,444,
107,457,44,2,0,3,1,0,4,0,0,0,0,3,1,3,5,523,0,523,
108,409,214,5,2,14,1,0,2,2,0,0,2,3,1,2,5,662,0,662,
109,390,201,6,1,4,1,1,0,1,0,1,4,5,1,4,11,631,0,631,
110,484,216,3,4,16,1,0,2,3,3,1,2,8,3,8,25,779,0,779,
111,341,119,6,0,25,0,1,1,3,1,1,0,3,2,3,25,531,0,531,
112,427,158,7,0,25,2,2,0,1,1,1,0,2,3,4,20,653,0,653,
113,433,125,7,0,3,0,1,1,1,0,3,0,3,3,0,4,584,0,584,
114,252,240,9,0,2,0,1,1,0,2,0,3,3,5,2,13,533,0,533,
115,292,175,2,1,6,0,0,0,1,0,0,1,4,3,1,7,493,0,493,
116,431,18,0,0,0,0,0,1,4,2,2,0,4,3,0,5,470,0,470,
117,290,83,2,0,2,0,1,1,0,0,1,0,1,1,6,21,409,0,409,
118,249,199,5,0,3,1,2,1,0,0,1,1,2,3,5,10,482,0,482,
119,377,139,3,0,2,0,0,0,1,0,1,3,1,2,6,8,543,0,543,
120,542,87,1,6,7,2,2,1,3,1,4,4,5,3,5,21,694,0,694,
121,296,104,3,0,2,0,0,1,0,1,0,0,1,0,0,2,410,0,410,
122,283,181,2,0,1,0,1,0,1,2,0,1,2,6,3,7,490,0,490,
123,407,144,5,0,3,1,1,0,1,1,1,0,2,3,6,15,590,0,590,
124,231,71,2,0,0,0,0,0,1,1,1,1,5,7,3,11,334,0,334,
125,350,343,8,1,0,2,0,1,1,1,1,2,1,3,8,18,740,0,740,
126,500,239,7,0,5,0,1,1,0,0,0,1,4,1,1,7,767,0,767,
127,407,227,2,1,0,1,0,0,1,1,0,0,2,3,4,8,657,0,657,
128,589,50,1,1,2,0,0,1,1,1,0,2,0,0,1,10,659,0,659,
129,425,231,2,2,0,1,1,2,1,0,2,2,7,4,6,14,700,0,700,
130,391,164,2,0,11,0,0,3,1,1,0,1,4,2,2,7,589,0,589,
131,328,283,8,1,9,0,0,2,0,0,2,0,5,3,6,3,650,0,650,
132,376,290,4,0,4,1,2,3,2,2,0,3,2,4,8,18,719,0,719,
133,363,323,2,0,2,0,2,0,1,1,1,1,2,6,1,5,710,0,710,
134,483,215,5,2,4,0,0,1,2,1,2,3,2,3,3,13,739,0,739,
135,179,234,1,0,1,0,1,0,1,1,2,2,1,0,4,9,436,0,436,
136,526,167,6,0,13,0,3,1,2,1,0,3,4,2,4,13,745,0,745,
137,411,121,4,0,2,0,1,1,3,1,0,4,4,1,3,12,568,0,568,
138,424,154,5,1,5,1,0,1,1,1,0,0,2,0,1,10,606,0,606,
139,231,138,3,0,2,0,0,3,1,0,0,1,4,2,3,8,396,0,396,
140,223,274,1,0,1,0,0,1,0,1,1,4,4,1,6,20,537,0,537,
141,140,85,0,2,0,1,0,2,0,1,3,0,0,0,9,4,247,0,247,
142,216,63,2,0,1,0,1,1,0,0,0,0,0,2,3,4,293,0,293,
143,337,138,4,1,3,0,0,2,1,0,0,1,3,4,1,13,508,0,508,
144,176,185,3,0,1,1,0,0,1,1,2,3,4,2,5,4,388,0,388,
145,232,185,6,0,1,0,1,4,2,0,0,3,3,1,7,15,460,0,460,
146,389,182,1,1,5,0,0,3,0,0,2,2,6,2,2,9,604,0,604,
147,38,104,3,0,1,0,1,1,0,0,0,0,2,1,2,10,163,0,163,
148,24,48,0,0,1,0,0,0,0,0,0,0,2,0,0,0,75,0,75,
149,415,126,0,0,1,0,1,1,0,0,0,1,1,0,2,3,551,0,551,
150,393,46,0,1,2,0,1,0,2,0,0,1,1,0,3,10,460,0,460,
151,491,166,5,1,3,2,3,1,2,1,1,1,2,0,1,11,691,0,691,
152,394,258,2,1,0,0,0,2,0,0,2,5,4,4,4,18,694,0,694,
153,424,123,5,1,0,0,4,2,8,0,1,4,6,4,9,32,623,0,623,
154,399,44,0,3,4,0,0,0,0,0,0,0,0,0,0,6,456,0,456,
155,349,243,3,0,2,1,1,0,0,1,0,1,0,3,2,18,624,0,624,
156,137,239,1,1,0,1,0,1,0,0,0,2,1,0,2,2,387,0,387,
157,307,265,2,2,0,0,1,4,0,1,0,2,0,2,4,4,594,0,594,
158,358,253,8,0,0,1,2,1,1,0,1,0,5,2,2,11,645,0,645,
159,195,144,4,0,0,1,0,2,0,2,2,1,2,3,4,21,381,0,381,
160,186,257,1,1,0,0,0,0,0,0,0,1,1,0,5,10,462,0,462,
161,173,176,3,2,0,0,0,1,1,0,0,2,1,5,6,10,380,0,380,
162,365,149,7,0,1,0,2,1,1,0,0,1,0,2,2,11,542,0,542,
163,556,212,4,0,1,2,0,4,0,1,1,0,3,3,11,30,828,0,828,
164,254,202,3,0,1,0,1,1,0,0,1,0,1,2,0,10,476,0,476,
165,199,188,1,0,1,1,0,3,0,1,0,1,1,1,2,6,405,0,405,
166,158,82,1,0,0,0,1,1,0,0,0,0,1,3,2,5,254,0,254,
167,221,203,3,0,2,1,0,3,1,3,0,0,1,3,4,11,456,0,456,
168,272,219,2,1,3,0,0,0,0,1,0,0,1,2,7,16,524,0,524,
169,179,380,5,4,0,1,0,3,0,2,2,2,2,5,5,17,607,0,607,
170,311,161,5,1,0,0,1,2,1,0,0,0,1,4,4,22,513,0,513,
171,358,160,2,2,2,0,2,2,2,0,2,1,6,5,18,18,580,0,580,
172,375,90,1,0,0,1,0,3,1,0,2,0,0,2,0,10,485,0,485,
173,159,239,2,0,1,2,1,0,0,0,1,1,8,2,4,4,424,0,424,
174,70,56,0,0,0,0,0,1,0,0,0,0,0,1,0,2,130,0,130,
175,232,273,2,3,1,0,1,3,1,0,1,0,8,4,13,20,562,0,562,
176,164,186,2,0,0,0,1,1,0,0,0,0,3,3,8,5,373,0,373,
177,202,171,2,0,2,0,0,0,0,0,0,0,0,1,6,18,402,0,402,
178,256,190,4,2,0,0,2,0,0,1,0,0,3,3,11,11,483,0,483,
179,94,146,0,0,0,0,0,0,0,0,0,1,1,2,6,5,255,0,255,
180,224,85,0,0,2,0,0,1,0,0,0,1,0,0,0,11,324,0,324,
181,145,39,1,0,0,0,0,0,0,0,0,0,2,1,1,1,190,0,190,
182,274,236,4,0,2,0,1,1,2,3,1,0,3,0,3,4,534,0,534,
183,288,121,10,2,0,1,2,1,2,1,2,2,7,8,10,18,475,0,475,
184,627,141,1,0,1,0,0,1,0,0,0,0,1,0,4,8,784,0,784,
185,462,88,0,0,0,1,0,2,2,0,1,4,1,1,7,32,601,0,601,
186,402,90,6,0,1,1,0,2,2,2,2,1,4,9,5,13,540,0,540,
187,355,61,1,1,0,0,0,0,0,0,0,1,1,1,0,16,437,0,437,
188,395,87,4,0,0,0,0,0,0,0,0,1,0,0,0,1,488,0,488,
189,256,110,3,0,1,1,1,0,1,2,0,1,2,2,1,7,388,0,388,
190,139,225,6,0,1,1,1,1,0,0,0,0,2,3,5,6,390,0,390,
191,371,293,1,0,1,0,0,0,1,3,2,2,2,3,4,16,699,0,699,
192,366,52,5,0,4,0,0,0,1,0,1,0,1,0,3,16,449,0,449,
193,188,377,9,1,2,0,2,0,0,0,1,1,1,0,2,8,592,0,592,
194,301,95,3,1,1,0,0,1,1,0,1,0,1,1,1,3,410,0,410,
195,313,144,4,1,0,0,1,2,0,0,0,3,2,1,1,5,477,0,477,
196,493,177,9,0,2,1,0,0,0,0,0,3,1,7,6,29,728,0,728,
197,539,102,1,1,4,0,1,0,1,1,1,1,3,4,2,11,672,0,672,
198,468,96,1,0,2,0,0,1,0,1,0,0,0,0,0,6,575,0,575,
199,341,179,4,0,1,2,0,1,1,0,1,1,0,3,7,17,558,0,558,
200,440,112,1,1,7,0,2,0,0,1,0,2,1,1,4,7,579,0,579,
201,250,178,1,2,0,0,0,0,0,0,1,0,0,1,3,6,442,0,442,
202,487,60,2,1,0,0,1,1,1,0,1,3,2,8,12,27,606,0,606,
203,334,271,5,1,1,2,1,0,0,1,2,0,0,2,3,10,633,0,633,
204,462,257,6,1,2,32,0,2,1,1,2,1,1,1,5,17,791,0,791,
205,397,73,2,2,2,0,1,1,0,0,0,1,3,4,1,10,497,0,497,
206,458,124,3,1,2,1,0,1,2,1,0,2,1,1,6,14,617,0,617,
207,490,225,2,0,1,4,0,2,1,3,0,4,2,1,5,14,754,0,754,
208,460,197,2,1,1,1,0,2,1,2,2,0,1,2,4,13,689,0,689,
209,280,239,3,1,3,0,1,2,0,0,1,0,1,1,2,4,500,0,500,
210,354,131,3,0,0,0,0,1,1,0,0,2,2,0,2,4,538,0,538,
211,335,121,1,0,1,0,0,2,0,1,1,0,1,5,2,6,476,0,476,
212,377,184,5,1,5,1,1,0,0,2,1,3,1,1,3,9,594,0,594,
213,522,289,3,0,0,1,1,1,1,0,0,0,4,2,2,12,838,0,838,
214,215,279,5,6,1,2,2,1,1,1,0,4,6,8,17,23,571,0,571,
215,183,302,2,0,2,0,2,0,1,1,1,1,5,6,5,15,526,0,526,
216,282,41,3,0,1,0,1,3,1,2,0,3,4,1,0,6,348,0,348,
217,592,92,4,1,3,2,1,1,1,0,1,1,3,2,4,14,722,0,722,
218,223,307,3,1,4,3,1,0,0,0,0,1,1,0,3,10,557,0,557,
219,121,149,2,0,2,0,0,0,0,0,0,0,0,0,3,5,282,0,282,
220,337,79,1,0,4,0,0,1,0,0,0,0,0,1,1,7,431,0,431,
221,393,123,2,0,0,0,0,1,0,0,0,0,2,3,2,6,532,0,532,
222,417,350,1,0,1,2,0,1,1,1,1,1,1,3,7,19,806,0,806,
223,325,93,2,0,0,0,1,0,0,0,1,2,4,2,6,21,457,0,457,
224,- 470,236,4,1,2,3,0,3,0,0,2,1,1,0,1,3,727,0,727,
225,210,233,3,0,0,0,2,0,0,1,0,0,1,1,3,10,464,0,464,
226,473,54,4,1,0,0,3,5,0,1,0,3,4,0,6,18,572,0,572,
227,197,217,5,1,0,0,1,2,0,1,1,2,2,0,1,10,440,0,440,
228,333,35,0,0,1,0,0,0,0,0,0,0,1,0,0,2,372,0,372,
229,452,164,0,0,0,0,0,1,0,0,0,1,0,1,2,1,622,0,622,
230,133,385,16,0,5,3,2,1,1,0,0,1,1,1,1,7,557,0,557,
231,492,107,1,0,1,0,1,0,0,0,0,2,1,3,0,4,612,0,612,
232,626,87,1,3,4,0,0,2,0,0,1,0,0,0,0,4,728,0,728,
233,405,290,12,0,5,0,2,2,2,1,0,1,0,1,1,10,732,0,732,
234,434,199,17,2,4,0,0,1,1,1,0,0,4,0,2,10,675,0,675,
235,236,131,10,1,4,0,0,0,1,0,0,0,0,2,0,7,392,0,392,
236,516,84,3,4,2,1,2,1,1,1,0,0,0,3,2,14,634,0,634,
237,168,57,1,0,2,0,0,0,2,0,0,0,0,0,0,1,231,0,231,
238,405,125,5,1,5,0,2,0,0,1,0,0,0,3,0,11,558,0,558,
239,291,197,6,0,2,0,2,0,0,0,0,1,0,0,0,9,508,0,508,
240,250,105,4,2,5,2,2,0,1,1,1,0,1,0,1,2,377,0,377,
241,428,173,4,0,8,0,0,0,0,0,1,1,2,1,1,7,626,0,626,
242,373,142,5,1,6,0,2,0,0,0,1,1,2,1,3,8,545,0,545,
243,507,85,0,1,0,0,2,2,1,1,1,4,1,2,2,5,614,0,614,
244,269,71,2,1,1,0,0,1,0,1,0,1,0,0,0,2,349,0,349,
245,168,218,38,2,0,0,1,1,0,0,0,0,1,4,2,6,441,0,441,
246,318,111,0,1,2,1,0,0,0,0,1,1,0,0,4,9,448,0,448,
247,188,129,5,1,2,1,3,2,0,1,0,1,1,2,3,12,351,0,351,
248,489,38,1,1,0,0,0,1,0,1,0,0,2,1,3,16,553,0,553,
249,289,262,3,0,1,1,1,4,1,0,3,3,2,1,7,12,590,0,590,
250,296,71,3,0,0,1,0,2,0,0,0,0,0,1,4,10,388,0,388,
251,508,168,2,1,1,1,0,2,0,2,0,2,1,2,6,18,714,0,714,
252,336,257,6,0,1,1,0,0,1,0,0,1,2,0,6,6,617,0,617,
253,243,173,4,0,0,0,0,0,0,1,0,0,0,1,1,4,427,0,427,
254,235,335,8,0,1,0,0,1,0,0,0,1,1,0,2,6,590,0,590,
255,503,25,0,0,1,0,0,0,0,0,0,0,0,0,0,2,531,0,531,
256,604,49,4,1,5,0,0,2,2,0,0,1,0,1,2,12,683,0,683,
257,538,156,5,3,9,2,1,3,0,0,2,3,9,7,9,28,775,0,775,
258,469,34,1,2,2,0,0,1,0,0,0,0,0,2,2,13,526,0,526,
259,236,223,3,0,1,0,0,1,0,2,1,0,1,1,0,7,476,0,476,
260,210,274,4,0,0,0,1,0,0,0,1,0,1,0,1,1,493,0,493,
261,371,191,2,0,0,1,0,1,2,0,0,0,1,1,1,6,577,0,577,
262,46,272,5,0,1,2,0,0,0,0,2,0,1,0,1,3,333,0,333,
263,196,187,5,1,0,1,1,0,0,2,2,1,4,2,2,10,414,0,414,
264,395,50,0,1,0,0,1,1,0,0,0,1,0,2,4,12,467,0,467,
265,463,13,3,0,1,1,0,3,1,0,1,2,2,4,2,20,516,0,516,
266,471,148,3,1,1,0,1,0,0,0,0,0,0,4,5,38,672,0,672,
267,461,91,4,1,2,1,0,1,0,0,1,2,0,2,1,15,582,0,582,
268,466,29,1,0,0,1,0,1,1,0,1,0,1,0,0,5,506,0,506,
269,355,131,5,2,3,0,0,2,2,0,1,2,1,0,2,5,511,0,511,
270,629,57,1,1,2,0,0,2,2,1,1,1,1,1,7,17,723,0,723,
271,152,270,200,4,4,10,2,3,3,1,1,3,1,6,3,5,668,0,668,
272,459,121,9,0,1,2,1,2,1,0,5,4,6,7,11,30,659,0,659,
273,290,471,8,2,0,0,1,1,0,1,1,6,6,4,7,39,837,0,837,
274,365,77,4,3,1,1,0,1,0,0,0,0,1,1,1,19,474,0,474,
275,177,126,1,0,1,0,1,0,0,1,0,0,3,3,7,22,342,0,342,
276,494,115,1,0,1,0,1,1,1,0,0,0,1,2,3,7,627,0,627,
277,299,164,5,1,0,2,2,3,2,2,5,1,5,6,6,34,537,0,537,
278,480,47,3,0,0,0,2,2,1,3,2,2,3,2,3,18,568,0,568,
279,415,56,2,2,0,0,0,1,0,0,0,0,0,3,1,20,500,0,500,
280,382,143,3,0,1,1,1,1,1,0,0,0,1,0,3,7,544,0,544,
281,294,208,7,1,0,0,1,2,0,1,2,2,3,3,5,6,535,0,535,
282,531,64,1,0,1,0,0,0,0,0,0,0,0,0,1,15,613,0,613,
283,106,420,6,0,4,0,0,1,0,1,0,1,0,1,5,12,557,0,557,
284,582,111,0,1,4,0,0,1,0,0,0,1,1,1,1,13,716,0,716,
285,329,82,0,0,0,0,0,1,0,1,1,2,0,0,2,8,426,0,426,
286,339,93,0,1,2,0,0,0,0,0,1,0,1,2,3,6,448,0,448,
287,196,46,1,0,1,0,0,1,0,1,0,0,0,1,1,6,254,0,254,
288,297,154,3,0,2,0,0,0,0,1,1,0,2,2,5,10,477,0,477,
289,450,41,0,0,0,1,0,1,0,1,0,0,2,2,1,17,516,0,516,
290,334,105,5,1,2,0,0,3,0,0,0,0,0,1,1,11,463,0,463,
291,285,163,1,0,1,0,0,2,1,0,2,1,0,0,5,15,476,0,476,
292,411,125,4,0,0,0,1,2,0,0,1,1,0,0,1,26,572,0,572,
293,380,111,2,1,0,0,1,1,0,0,0,1,1,0,2,7,507,0,507,
294,340,116,3,0,4,2,3,5,2,0,1,1,3,6,2,36,524,0,524,
295,598,104,2,0,2,0,2,2,0,1,0,0,0,0,2,10,723,0,723,
296,174,97,0,1,1,0,0,0,0,0,0,1,1,1,1,5,282,0,282,
297,70,320,2,0,1,0,3,0,0,0,2,0,0,2,0,2,402,0,402,
298,359,172,4,1,1,1,2,5,3,1,3,2,3,3,5,31,596,0,596,
299,392,300,6,2,1,1,2,2,1,2,0,1,2,6,9,26,753,0,753,
300,561,70,6,1,1,0,1,3,0,2,2,0,2,1,5,18,673,0,673,
