polling station,,,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
,Gamit Movaliyabhai Nopariyabhai.,Chaudhari Tusharbhai Amarsinhbhai.,Chaudhari Revaben Shankarbhai.,Vasava Parbhubhai Nagarbhai.,Chaudhari Chandubhai Machalabhai.,Chaudhari Reniyabhai Shankarbhai.,Jagatsinh Laljibhai Vasava,Bhailalbhai Chhanabhai Rathod,Gamit Surendrabhai Simabhai.,Rathod Rameshbhai Bhikhabhai.,,,,,
1,2,147,3,148,0,0,2,0,1,5,308,0,8,316,0
2,2,332,8,245,2,2,1,3,4,13,612,0,11,623,0
3,6,209,3,395,11,1,1,4,0,7,637,0,6,643,0
4,4,323,9,403,8,3,2,8,0,10,770,0,18,788,0
5,9,360,6,92,1,0,3,0,2,21,494,0,30,524,0
6,3,393,2,128,1,1,0,3,2,2,535,0,3,538,0
7,6,323,7,402,3,0,0,0,1,2,744,0,7,751,0
8,0,145,1,287,4,0,0,0,0,0,437,0,7,444,0
9,3,162,4,387,8,1,0,2,0,2,569,0,7,576,0
10,1,103,2,531,5,0,0,1,1,0,644,0,4,648,0
11,7,186,14,472,9,2,2,7,2,9,710,0,11,721,0
12,13,286,9,429,3,1,2,4,9,19,775,0,18,793,0
13,6,298,8,155,4,0,4,10,4,21,510,0,46,556,0
14,3,122,6,207,5,0,1,1,0,2,347,0,9,356,0
15,7,345,11,201,6,1,2,4,1,9,587,0,23,610,0
16,5,239,8,247,6,2,2,6,2,5,522,0,18,540,0
17,3,183,2,186,0,0,0,8,2,13,397,0,8,405,0
18,1,249,5,381,2,1,4,3,5,15,666,0,26,692,0
19,6,346,9,250,3,0,0,4,3,3,624,0,6,630,0
20,7,456,7,235,1,0,3,4,6,7,726,0,25,751,0
21,5,351,9,283,1,0,1,3,5,9,667,0,5,672,0
22,4,77,6,754,5,1,1,2,3,0,853,0,5,858,0
23,7,232,2,297,4,0,2,3,2,5,554,0,7,561,0
24,19,293,10,322,5,2,0,3,3,3,660,0,16,676,0
25,13,407,18,267,4,3,1,4,5,17,739,0,13,752,0
26,7,277,14,303,4,0,2,0,4,5,616,0,10,626,0
27,5,261,5,294,4,2,3,2,7,15,598,0,18,616,0
28,7,81,7,271,3,1,2,0,0,2,374,0,3,377,0
29,4,162,6,332,6,0,2,2,2,1,517,0,3,520,0
30,9,326,14,66,5,3,1,9,7,28,468,0,36,504,0
31,9,302,7,172,1,0,4,5,4,14,518,0,29,547,0
32,5,350,5,361,0,0,1,4,1,2,729,0,10,739,0
33,31,326,10,296,4,3,5,4,4,6,689,0,13,702,0
34,4,155,5,232,4,2,3,2,4,8,419,0,5,424,0
35,7,232,5,99,3,2,1,3,6,6,364,0,20,384,0
36,14,283,9,400,10,2,1,3,6,5,733,0,24,757,0
37,3,365,0,361,5,1,1,2,1,5,744,0,8,752,0
38,8,288,8,356,2,2,0,0,3,6,673,0,12,685,0
39,3,181,5,121,1,0,0,2,0,6,319,0,6,325,0
40,2,193,5,215,2,1,2,1,0,7,428,0,13,441,0
41,4,219,7,103,1,0,0,4,3,8,349,0,19,368,0
42,10,310,9,71,3,1,3,7,2,7,423,0,14,437,0
43,1,102,1,380,6,0,1,1,0,2,494,0,6,500,0
44,7,375,15,224,4,1,1,0,7,14,648,0,15,663,0
45,2,111,3,459,5,1,0,0,2,1,584,0,5,589,0
46,6,182,10,695,5,5,3,10,2,5,923,0,19,942,0
47,8,253,11,398,10,1,2,7,2,2,694,0,7,701,0
48,4,88,7,463,9,1,2,12,1,4,591,0,14,605,0
49,6,110,4,558,10,0,1,1,0,2,692,0,6,698,0
50,2,110,4,469,6,1,1,4,0,2,599,0,8,607,0
51,5,151,4,582,6,0,2,4,0,2,756,0,6,762,0
52,7,29,3,334,7,1,0,2,1,0,384,0,0,384,0
53,6,382,12,227,6,2,3,5,1,21,665,0,21,686,0
54,6,350,9,210,2,0,0,2,4,9,592,0,5,597,0
55,3,249,3,146,1,0,0,1,1,4,408,0,4,412,0
56,3,244,3,529,8,1,3,2,2,6,801,0,7,808,0
57,2,116,1,369,8,2,0,2,0,0,500,0,9,509,0
58,1,163,2,376,4,0,1,2,2,3,554,0,13,567,0
59,6,206,6,322,5,0,1,3,3,9,561,0,7,568,0
60,1,160,3,711,4,0,1,0,1,2,883,0,10,893,0
61,1,112,3,499,7,0,0,2,2,1,627,0,5,632,0
62,1,195,0,581,11,0,1,0,0,0,789,0,13,802,0
63,3,88,4,594,7,1,0,0,0,0,697,0,7,704,0
64,0,122,4,662,10,0,1,0,0,0,799,0,12,811,0
65,3,163,1,641,8,1,0,0,0,0,817,0,16,833,0
66,2,137,1,627,10,0,0,0,0,0,777,0,6,783,0
67,1,114,4,639,6,2,1,0,0,0,767,0,10,777,0
68,0,150,3,660,5,0,1,0,2,1,822,0,13,835,0
69,4,87,6,566,9,1,0,0,0,4,677,0,6,683,0
70,1,93,1,513,4,0,1,0,1,0,614,0,2,616,0
71,3,143,3,597,10,0,0,2,2,2,762,0,11,773,0
72,9,293,23,504,18,5,9,10,11,32,914,0,33,947,0
73,3,102,3,679,9,0,2,1,0,2,801,0,11,812,0
74,5,203,7,682,11,1,3,3,1,3,919,0,9,928,0
75,1,200,2,583,8,1,0,0,1,1,797,0,10,807,0
76,2,66,1,614,3,0,0,1,2,2,691,0,3,694,0
77,3,76,5,773,7,1,1,1,0,2,869,0,4,873,0
78,3,267,6,576,9,2,1,2,0,4,870,0,11,881,0
79,6,256,6,652,4,3,1,3,3,9,943,0,10,953,0
80,7,250,6,709,6,1,2,1,0,2,984,0,4,988,0
81,2,530,2,36,2,1,2,0,1,5,581,0,6,587,0
82,2,60,1,553,5,0,0,1,0,1,623,0,8,631,0
83,0,48,0,268,3,0,0,0,0,0,319,0,5,324,0
