No & name of polling station,No. of Valid Votes Cast in Favours of,,,,,,,,,,,,,,,,Total of Valid Votes,No.of Reject ed Votes,Total,No.of tender ed Votes
,CHAUHAN 1 DEVUSINH JESINGBHAI,DINSHA PATEL,PANDAV BHAILALBHAI KALUBHAI,ABDUL RAZAKKHAN PATHAN,BADHIWALA LABHUBHAI JIVRAJBHAI,RANVEER PRANAYRAJ GOVINDBHAI,ADWARD KHUSHALBHA I,CHAUHAN DEVUSING MOTISHING,PATHAN AMANULLAKHA SITABKHA,PARIKH VIRAL HASMUKHBHAI,MALEK YAKUBMIYA NABIMIYA,MALEK SADIK HUSHEN MAH. HUSHEN,MALEK SABIRHUSEN ISMAELBHAI,RATANSINH UDESINH CHAUHAN,ROSHAN PRIYAVADAN SHAH,NONE OF THE ABOVE(NOTA),,,,
216,445,274,2,0,2,0,0,0,0,0,0,1,0,2,0,7,733,0,733,0
217,327,450,0,0,1,1,0,2,0,0,0,0,0,0,3,10,794,0,794,0
218,459,96,0,1,0,1,0,1,1,0,0,0,0,0,4,1,564,0,564,0
219,335,169,3,1,1,0,0,0,0,2,1,0,1,3,7,8,531,0,531,0
220,276,114,0,0,1,0,0,0,1,0,1,2,1,0,2,3,401,0,401,0
221,226,437,3,0,0,0,0,1,0,0,1,0,1,6,7,7,689,0,689,0
222,84,630,7,2,0,2,3,1,3,2,2,2,5,7,10,15,775,0,775,0
223,66,452,8,2,0,0,1,0,3,4,0,4,2,7,21,10,580,0,580,0
224,191,281,2,0,1,0,0,1,3,0,0,1,2,7,17,20,526,0,526,0
225,557,36,0,0,1,0,0,1,0,0,0,0,0,1,0,2,598,0,598,0
226,278,331,4,3,0,0,0,1,0,2,2,0,6,4,9,22,662,0,662,0
227,334,266,3,1,0,1,0,0,2,0,0,0,2,2,5,19,635,0,635,0
228,217,385,3,1,0,2,1,1,0,2,1,2,2,3,13,13,646,0,646,0
229,104,330,3,1,1,0,1,0,1,0,0,2,3,3,5,2,456,0,456,0
