polling station,,,,,,,,,valid,No. of rejected votes,NOTA,Total,No. of tendered votes
,Narendra Modi,Mistri Madhusudan Devram,Rohit Madhusudan Mohanbhai,Jadav Ambalal Kanabhai,Tapan Dasgupta,Pathan Mahemudk han Razakkhan,Pathan Sahebkhan Asifkhan,Sunil Digamba r Kulkarn i,,,,,
221,767,122,0,0,0,0,0,7,896,0,6,902,0
222,832,124,2,0,0,0,0,9,967,0,14,981,0
223,779,140,5,0,2,1,1,14,942,0,10,952,0
224,559,116,2,0,0,0,1,2,680,0,5,685,0
225,633,42,2,0,0,0,0,1,678,0,12,690,0
226,785,80,1,1,1,0,0,4,872,0,9,881,0
227,621,195,3,2,4,0,2,0,827,0,10,837,0
228,559,186,8,0,2,2,3,4,764,0,4,768,0
229,765,80,2,1,3,0,0,12,863,0,8,871,0
230,573,213,8,0,2,0,1,4,801,0,6,807,0
231,748,230,13,1,0,1,2,21,1016,0,26,1042,0
232,396,134,5,3,1,0,2,2,543,0,14,557,0
233,290,109,2,0,0,0,0,3,404,0,2,406,0
234,570,213,5,0,3,0,3,1,795,0,6,801,0
235,361,276,6,0,5,0,0,3,651,0,21,672,0
236,354,191,8,1,3,0,4,8,569,0,4,573,0
237,861,71,0,0,3,0,1,11,947,0,13,960,0
238,682,130,1,3,1,0,0,3,820,0,9,829,0
239,761,114,0,1,0,0,0,2,878,0,9,887,0
