polling station,,,,,,,,,,,,,,,valid,No. of Rejected Votes,NOTA,Total,Total No. of tendered votes
,Chaudhary Haribhai Parthibhai,Patel Joitabhai Kasnabhai,Mahant Parsotamgiri Turantgiri,Choudhary Adambhai Nasirbhai,Sanjaykumar Somnathbhai Raval,Gamar Vadhabhai Radhabhai,Thakor Bhupataji Ravaji,Dabhi Navajibhai Madhabhai,Babaji Thakor,Mahendrabhai Kesarabhai Bumbadia,Madhu Nirupaben Natvarlal,Shrimali Ashokbhai Balchndbhai,Solanki Dineshkumar Aljibhai,Solanki Saybabhai Nanabhai,,,,,
207,308,173,7,1,3,0,1,3,10,9,5,3,8,5,536,0,16,552,0
208,165,206,5,0,3,1,4,1,5,3,1,0,2,3,399,0,18,417,0
209,180,117,2,1,2,0,1,2,2,4,2,1,4,7,325,0,15,340,0
210,405,107,4,1,3,2,2,2,7,6,1,3,2,6,551,0,10,561,0
211,101,29,2,2,0,0,0,3,21,2,0,3,6,2,171,0,10,181,0
212,181,133,5,0,2,1,0,1,36,2,3,3,5,1,373,0,6,379,0
213,238,131,5,0,0,1,2,2,14,0,1,0,8,2,404,0,5,409,0
214,71,106,1,0,0,1,0,2,141,0,1,2,4,4,333,0,2,335,0
215,57,147,3,2,2,1,1,0,242,2,0,0,1,5,463,0,8,471,0
216,70,25,3,0,0,0,0,0,10,0,4,1,0,1,114,0,3,117,0
217,321,170,4,1,2,0,2,1,9,5,1,3,8,5,532,0,19,551,0
218,324,104,9,0,0,0,0,1,14,1,1,1,7,3,465,0,8,473,0
219,422,40,1,1,28,0,1,0,2,2,4,4,2,1,508,0,6,514,0
220,193,141,0,3,0,1,0,1,9,1,0,1,0,0,350,0,6,356,0
221,390,159,8,0,2,0,1,2,2,1,2,0,3,3,573,0,9,582,0
222,118,202,11,3,2,1,0,0,3,4,2,1,3,6,356,0,8,364,0
223,162,86,0,1,1,0,2,0,1,0,0,0,1,2,256,0,3,259,0
224,280,134,2,1,1,0,2,2,3,0,4,6,7,5,447,0,21,468,0
225,357,53,1,0,1,2,0,1,0,1,0,0,0,2,418,0,4,422,0
226,68,90,1,0,1,2,2,2,25,2,0,1,2,1,197,0,3,200,0
227,351,93,1,0,1,0,2,4,42,7,7,1,2,5,516,0,11,527,0
228,252,77,1,0,0,0,1,2,2,0,1,0,5,2,343,0,7,350,0
229,247,159,2,1,4,1,1,2,6,5,2,0,5,2,437,0,12,449,0
230,288,154,11,0,2,0,0,4,38,4,2,3,3,2,511,0,12,523,0
231,227,368,10,1,2,1,3,1,25,4,2,2,2,3,651,0,16,667,0
232,310,45,1,0,2,1,0,0,14,2,1,1,0,4,381,0,8,389,0
233,312,55,1,1,0,1,0,0,7,2,0,0,0,0,379,0,1,380,0
234,330,318,7,0,0,0,0,0,36,2,2,2,7,15,719,0,22,741,0
235,341,201,10,1,3,1,1,1,137,7,1,4,10,21,739,0,32,771,0
236,411,215,1,0,3,1,1,1,4,2,4,5,10,13,671,0,17,688,0
237,496,73,0,0,3,1,0,0,4,1,2,3,1,0,584,0,10,594,0
238,291,86,0,0,1,1,0,1,82,1,3,0,1,4,471,0,7,478,0
239,267,197,9,3,2,1,1,2,19,1,0,0,2,4,508,0,8,516,0
240,182,81,1,1,1,1,0,0,3,2,0,1,2,0,275,0,7,282,0
241,144,77,4,1,0,1,1,2,6,0,1,1,3,0,241,0,11,252,0
