polling station,No. Of Valid Votes Cast in favour of,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,Tendered Votes
,Patel Jayeshbhai Ambalalbhai (Jayesh kaka) - INC,Vasava Mansukhbhai Dhanjibhai - BJP,Sukhramsingh - BSP,Anilkumar Chhitubhai Bhagat - JD(U),Jayendrasinh Rana - AAP,Sayyed Asif Zafar Ali - ADP,Saiyad Mohsin Bapu Nanumiyawala - BMP,Anandkumar Sarvarsinh Vasava - IND,Nitin Ishwarlal Vakil (Advocate ) - IND,Bhura Shabbirbhai Valibhai - IND,Rafikbhai Suleman Sapa - IND,Virsangbhai Parbatbhai Gohil - IND,Shaileshkumar Maganbhai Parmar - IND,Sindhi Mayyudeen Umarbhai - IND,,,,,
1,87,228,2,23,2,1,0,1,2,0,2,0,2,3,353,0,4,357,0
2,191,346,2,30,1,0,1,0,2,0,1,0,0,1,575,0,1,576,0
3,388,303,7,37,3,0,1,0,0,0,1,3,8,7,758,0,24,782,0
4,96,562,3,2,0,0,0,0,0,0,0,1,0,1,665,0,4,669,0
5,241,243,2,110,6,2,2,4,2,4,3,6,8,12,645,0,37,682,0
6,293,279,4,34,4,1,0,2,1,2,1,5,6,9,641,0,24,665,0
7,84,285,10,40,2,0,1,0,0,0,0,0,1,1,424,0,3,427,0
8,59,240,5,87,6,0,1,1,0,1,2,0,3,3,408,0,5,413,0
9,243,172,8,76,5,1,1,3,1,0,2,3,4,11,530,0,26,556,0
10,87,392,5,5,0,0,1,1,1,1,1,2,1,4,501,0,3,504,0
11,117,231,5,7,0,3,2,1,1,6,3,1,3,17,397,0,30,427,0
12,498,92,1,27,2,0,0,1,0,0,0,1,0,1,623,0,3,626,0
13,483,83,2,45,2,0,1,0,1,1,0,0,0,5,623,0,14,637,0
14,20,212,2,89,4,0,0,2,1,2,0,0,5,5,342,0,3,345,0
15,41,199,7,3,0,0,0,0,0,1,0,2,2,0,255,0,4,259,0
16,289,427,3,6,1,0,0,0,2,0,2,1,4,4,739,0,12,751,0
17,111,202,3,33,2,0,1,0,0,1,0,4,1,2,360,0,3,363,0
18,25,116,4,109,4,0,0,0,0,0,2,2,0,1,263,0,1,264,0
19,38,199,8,78,2,3,2,2,2,2,0,3,6,6,351,0,3,354,0
20,126,304,9,129,4,1,3,5,3,2,1,3,2,5,597,0,9,606,0
21,285,226,5,52,3,2,1,0,3,5,5,7,3,11,608,0,21,629,0
22,215,24,3,33,0,0,0,0,2,1,1,0,0,1,280,0,5,285,0
23,183,21,2,3,1,0,0,1,1,1,0,0,0,0,213,0,7,220,0
24,275,16,3,33,2,0,0,0,0,2,0,2,0,6,339,0,12,351,0
25,233,254,6,203,6,3,2,1,4,2,3,3,2,3,725,0,11,736,0
