polling station,,,,,,,,,,,,,,,,,,,,valid votes,rejected votes,nota,total,tendered votes
,Chuhan Kesavbhai Malabhai (Master),C.R.Patil,Maksud Mirza,Aslam Mistry,Patel Bhupendrakuma r Dhirubhai,Pyarelal Bharti,Mehul Patel,Warde Rajubhai Bhimrao,Sonal Kellogg,Arun S. Pathak (Journalist),Keshavji L. Saradva,Percy Munshi,Ramjan Mansuri (Journalist),Ravshaheb Bhimrav Patil (Bandhu),Rohit Gandhi,Lataben Ashokkumar Dwivedi,Vimal Patel (Endhal),Saiyed Mehmud Ahmed,Hasan Shaikh,,,,,
58,1,614,13,0,0,0,9,0,0,0,0,0,0,0,0,1,1,4,1,644,0,4,648,0
59,3,702,87,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,815,0,14,829,0
60,3,912,48,0,1,0,23,0,0,0,0,0,0,0,1,0,0,1,0,989,0,16,1005,0
61,1,548,19,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,593,0,10,603,0
62,0,737,32,0,0,0,17,0,0,0,0,0,0,0,2,0,1,0,0,789,0,32,821,0
63,3,426,152,0,0,0,14,0,0,0,0,1,0,0,1,2,1,2,0,602,0,6,608,0
64,5,641,72,0,1,1,32,0,0,0,0,0,0,0,1,2,1,0,0,756,0,20,776,0
65,1,813,47,2,1,0,26,0,0,1,0,0,0,0,0,1,0,1,0,893,0,14,907,0
66,5,357,350,1,1,0,9,3,0,0,1,1,1,2,6,3,4,4,1,749,0,3,752,0
67,6,420,326,6,0,0,9,1,0,1,0,1,0,1,2,5,1,2,2,783,0,3,786,0
68,3,762,42,2,1,1,23,0,1,1,0,1,0,0,0,3,1,1,0,842,0,4,846,0
69,5,530,131,0,0,0,3,0,0,1,0,1,0,0,0,3,0,0,1,675,0,4,679,0
70,2,269,162,0,0,1,23,0,0,0,1,1,0,0,1,4,1,0,0,465,0,5,470,0
71,1,502,52,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,579,0,9,588,0
72,2,452,88,3,0,0,13,0,0,0,0,0,0,0,0,1,1,0,1,561,0,9,570,0
