Serial No. of Polling Station,No. of Valid votes cast in favour of,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA option,Total Votes,Total No. of Tendered Votes
,KACHHADIYA NARANBHAI BHIKHABHAI,THUMMAR VIRJIBHAI KESHAVBHAI (VIRJIBHAI THUMMAR),DAFADA RAMJIBHAI NANJIBHAI,CHAVADA MANUBHAI PARSHOTTMBHAI,RATHOD JIVANBHAI R.,SANGANI VIJAYBHAI DINESHBHAI,SUKHADIYA NATHALAL VALLABHBHAI,USMANBHAI P. MAGHARA,JADAV MUSTAKBHAI,DHIMECHA NARESHBHAI NANJIBHAI,NATHABHAI DAYABHAI TOTA,MEHULBHAI HIMATBHAI SUKHADIA,RAMANI SURESHBHAI DHIRUBHAI,VALODARA VRAJLAL JIVABHAI,,,,,
1,590,132,2,2,1,1,2,4,1,3,2,2,3,10,755,0,16,771,0
2,280,161,5,6,1,1,1,0,0,1,1,1,3,7,468,0,9,477,0
3,193,156,3,11,1,0,3,2,1,1,3,1,4,10,389,0,13,402,0
4,94,247,1,7,1,1,2,0,0,1,0,1,3,5,363,0,2,365,0
5,202,209,3,2,1,3,9,1,0,0,0,2,6,5,443,0,10,453,0
6,226,159,8,4,0,2,1,0,0,1,0,1,1,5,408,0,5,413,0
7,254,102,4,2,1,0,1,1,1,0,0,4,3,3,376,0,8,384,0
8,278,141,5,9,0,0,3,0,1,1,0,2,6,2,448,0,18,466,0
9,150,153,1,2,3,3,4,3,0,1,2,5,1,7,335,0,6,341,0
10,178,63,2,2,1,1,6,0,0,1,1,2,5,3,265,0,4,269,0
11,268,93,5,2,0,0,2,4,0,3,0,2,2,2,383,0,8,391,0
12,427,98,4,1,1,0,9,0,1,2,9,1,8,4,565,0,8,573,0
13,232,105,8,7,0,0,7,0,1,1,5,1,2,3,372,0,7,379,0
14,526,99,3,9,0,2,15,0,0,0,0,2,0,3,659,0,3,662,0
15,340,200,2,1,1,2,9,2,1,0,2,1,2,5,568,0,16,584,0
16,57,279,3,0,2,1,1,1,0,0,0,2,4,8,358,0,9,367,0
17,64,180,4,0,0,1,1,0,0,0,0,0,0,2,252,0,1,253,0
18,143,42,2,4,0,1,2,0,0,0,1,0,1,1,197,0,7,204,0
19,170,156,8,5,0,2,4,2,0,1,5,0,3,3,359,0,5,364,0
20,186,272,14,5,0,1,9,1,0,0,0,0,3,1,492,0,5,497,0
21,191,312,3,4,1,1,3,0,0,0,1,1,4,3,524,0,8,532,0
22,238,47,1,0,1,0,5,0,0,0,0,0,2,2,296,0,8,304,0
23,221,50,1,6,0,0,3,0,1,0,0,0,2,0,284,0,3,287,0
24,390,247,5,5,1,1,8,1,1,2,4,4,4,10,683,0,17,700,0
25,283,65,0,5,0,1,3,0,0,0,0,1,0,2,360,0,7,367,0
26,229,45,2,3,0,0,4,0,0,0,1,0,1,1,286,0,8,294,0
27,268,246,5,2,2,0,1,0,1,1,3,1,3,1,534,0,12,546,0
28,374,306,6,22,1,3,4,1,0,3,3,3,6,4,736,0,15,751,0
29,272,224,1,5,0,0,5,0,1,0,3,3,2,8,524,0,5,529,0
30,165,65,0,0,0,0,1,0,0,0,0,0,2,0,233,0,5,238,0
31,147,58,0,0,1,0,4,1,0,1,1,2,2,1,218,0,4,222,0
32,256,259,10,33,3,1,8,0,3,2,4,5,8,7,599,0,31,630,0
33,65,157,3,5,0,0,2,0,1,0,1,0,6,4,244,0,3,247,0
34,163,174,8,8,0,2,2,1,0,1,3,3,2,3,370,0,13,383,0
35,215,263,10,24,0,2,4,3,1,1,10,2,1,3,539,0,8,547,0
36,239,55,1,3,0,0,2,0,0,0,3,1,4,6,314,0,11,325,0
37,47,618,1,13,0,0,1,0,1,0,3,0,2,0,686,0,2,688,0
38,198,143,2,5,1,3,8,0,2,1,1,2,11,7,384,0,21,405,0
39,136,122,0,0,0,0,1,0,0,0,0,1,4,4,268,0,4,272,0
40,181,256,3,1,0,2,3,0,1,0,2,0,3,3,455,0,6,461,0
41,188,194,4,3,0,3,2,0,0,1,0,1,0,3,399,0,10,409,0
42,401,111,4,0,2,1,1,2,1,0,1,1,0,3,528,0,12,540,0
43,289,60,1,1,0,0,1,2,1,0,1,3,4,3,366,0,9,375,0
