Serial  No.of  Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,Total of valid  votes,No. of  Rejected  Votes,NOTA,Total,No. of  tendered  votes
,Thakor  Kevalji  Nathaji,Patel  Jayshreeben  Kanubhai,Patel  Jivabhai  Ambalal,Girishji  Jenaji  Dabhi,Chaudhary  Dineshbhai  Salubhai,Zala  Indrajitsinh  Mahendrasinh,Thakor  Mansangji  Punjaji,Patel  Dilipbhai  Somabhai,Smt.  Vandanaben  Dineshkumar  Patel,Thakor  Baldevji  Maganji,Thakor  Babuji  Dhanaji,Thakor  Samaratji  Balavantsinh,Prajapati  Vitthalbhai  Virdas,Mahmad  Azam  Haiderkhan  Pathan,,,,,
1,7,179,206,2,1,0,10,2,0,1,0,1,3,1,413,0,5,418,
2,14,284,246,5,0,0,0,0,4,1,1,2,6,1,564,0,10,574,
3,4,498,288,0,2,1,0,0,6,1,1,0,4,1,806,0,3,809,
4,8,317,160,5,0,0,0,0,0,3,1,2,2,2,500,0,7,507,
5,7,354,221,0,0,0,0,0,9,1,1,0,1,4,598,0,7,605,
6,0,337,77,0,1,0,0,0,0,0,0,0,1,2,418,0,3,421,
7,1,204,537,3,1,0,2,0,7,1,0,0,6,7,769,0,4,773,
8,8,300,312,4,1,0,1,1,1,0,3,0,5,4,640,0,11,651,
9,2,475,191,0,1,0,0,0,5,0,0,0,2,2,678,0,6,684,
10,1,425,95,0,0,0,0,0,1,0,0,0,0,0,522,0,3,525,
11,2,399,90,0,2,0,0,0,3,0,0,0,0,1,497,0,2,499,
12,0,973,103,0,2,0,0,0,9,0,0,0,1,0,1088,0,7,1095,
13,0,111,201,0,0,0,1,0,1,0,0,0,0,1,315,0,3,318,
14,2,317,259,3,0,0,6,0,4,0,0,0,0,1,592,0,12,604,
15,2,286,478,6,0,1,1,0,8,0,0,0,3,42,827,0,15,842,
16,3,76,446,0,0,1,1,1,8,1,0,0,0,0,537,0,13,550,
17,4,156,393,3,0,0,3,0,11,1,0,2,2,1,576,0,12,588,
18,3,170,565,1,1,1,4,0,4,1,0,1,0,2,753,0,18,771,
19,1,597,181,2,0,0,0,0,13,0,1,0,0,0,795,0,9,804,
20,6,150,495,0,0,0,7,0,6,0,0,0,1,0,665,0,1,666,
21,11,306,305,6,1,2,3,2,2,2,1,1,4,1,647,0,11,658,
22,3,49,467,4,1,1,11,0,5,0,1,1,0,0,543,0,9,552,
23,7,141,645,2,0,2,11,0,6,1,1,0,1,1,818,0,20,838,
24,3,57,549,1,2,0,9,0,2,0,0,0,2,0,625,0,12,637,
25,7,383,508,0,1,1,1,1,12,0,1,0,1,2,918,0,7,925,
26,13,447,503,6,2,1,12,1,8,0,1,0,5,3,1002,0,12,1014,
27,1,119,171,2,0,0,0,1,4,0,0,1,2,1,302,0,12,314,
28,4,59,508,2,0,1,1,1,2,1,0,1,1,4,585,0,10,595,
29,1,498,161,4,0,1,2,2,6,1,2,1,0,5,684,0,18,702,
30,2,375,313,5,0,0,3,0,3,0,0,0,0,0,701,0,6,707,
31,2,599,162,4,0,1,0,0,6,0,0,1,0,0,775,0,6,781,
32,0,579,153,2,0,0,0,0,7,2,0,0,0,1,744,0,7,751,
33,1,629,92,1,0,0,0,0,1,1,0,0,1,0,726,0,6,732,
34,4,302,304,3,2,0,3,0,0,0,1,1,4,3,627,0,8,635,
35,5,498,270,4,0,1,1,0,4,4,1,2,4,7,801,0,14,815,
36,4,878,144,1,0,0,1,0,13,1,0,1,3,3,1049,0,9,1058,
37,1,464,63,0,0,0,0,0,3,0,0,1,2,1,535,0,8,543,
38,3,371,83,1,0,0,0,0,2,0,0,1,1,0,462,0,4,466,
39,5,812,123,0,0,0,0,0,14,0,0,1,1,1,957,0,7,964,
40,5,635,248,1,1,0,2,1,7,0,0,2,3,5,910,0,11,921,
41,0,427,115,2,0,0,0,0,4,0,0,0,0,0,548,0,7,555,
42,15,196,532,10,3,2,2,2,6,2,3,5,17,7,802,0,17,819,
43,5,732,144,2,0,0,1,0,9,0,0,2,1,4,900,0,11,911,
44,7,172,246,4,0,4,2,0,3,1,1,2,5,2,449,0,5,454,
45,1,305,107,2,0,0,0,0,1,0,0,1,2,0,419,0,2,421,
46,0,834,103,0,0,0,0,1,7,0,0,1,2,1,949,0,7,956,
47,3,392,106,2,0,0,2,0,20,0,1,0,1,0,527,0,7,534,
48,2,122,373,1,0,0,0,0,4,0,0,0,1,1,504,0,1,505,
49,2,72,794,4,0,0,0,0,3,0,0,0,1,0,876,0,6,882,
50,3,678,100,1,0,0,1,0,5,0,0,0,1,1,790,0,5,795,
51,2,512,41,0,0,0,0,0,0,0,0,0,1,0,556,0,3,559,
52,1,418,38,1,0,0,0,0,2,0,0,0,0,0,460,0,4,464,
53,1,212,71,0,0,0,0,0,1,0,0,0,0,1,286,0,5,291,
54,0,641,238,1,0,0,17,1,4,1,0,0,1,1,905,0,14,919,
55,1,567,131,1,0,0,0,0,3,0,0,0,0,0,703,0,3,706,
56,1,109,660,3,0,0,0,1,8,1,0,0,1,0,784,0,6,790,
57,8,546,222,3,0,0,2,2,10,0,1,0,3,2,799,0,8,807,
58,13,540,355,15,2,2,3,3,1,3,4,3,4,3,951,0,27,978,
59,12,434,221,8,0,1,1,0,1,2,2,3,1,9,695,0,22,717,
60,3,646,236,2,2,1,1,0,2,0,3,3,1,1,901,0,10,911,
61,1,676,118,1,0,0,0,0,2,1,1,0,2,1,803,0,3,806,
62,4,897,101,2,0,1,0,0,1,1,1,0,0,1,1009,0,13,1022,
63,3,358,137,0,0,1,0,0,1,0,0,0,1,0,501,0,7,508,
64,21,389,446,7,0,1,2,1,6,9,2,2,11,10,907,0,19,926,
65,10,235,413,2,0,0,0,0,3,0,0,0,0,0,663,0,8,671,
66,10,46,483,1,1,0,3,0,1,0,0,0,2,1,548,0,4,552,
67,4,190,562,7,0,1,2,0,6,3,2,2,2,2,783,0,4,787,
68,23,472,382,3,1,4,1,3,2,2,2,6,4,7,912,0,20,932,
69,22,230,605,4,0,0,4,0,9,1,2,1,3,4,885,0,6,891,
70,5,270,268,5,1,1,0,1,8,1,2,1,5,4,572,0,5,577,
71,1,387,103,2,0,1,0,0,2,1,1,0,1,0,499,0,5,504,
