polling station,No. of Valid Votes cast in favour of,,,,,,,,,,Total of  Valid  Votes,No.of  rejected  votes,Votes for  'NOTA'  option,Total  Votes,No.of       tendered  votes
,Katara  Singjibhai  Jaljibhai,Jasvantsinh  Sumanbhai  Bhabhor,Taviyad  Dr.Prabhaben  Kishorsinh,Bamaniya  Jyotishkumar  Bapubhai,Bhabhor  Mavjibhai  Titubhai,K. C. MUNIA  Advocate,Meda  Jagdishbhai  Manilal,Ramsingbhai  Nanjibhai  Kalara,Kumari  Induben  Nathubhai  Sangada,Bhura  Navalbhai  Manabhai,,,,,
1,25,431,158,6,3,9,5,0,4,7,648,0,23,671,0
2,15,268,34,2,0,2,1,3,0,4,329,0,9,338,0
3,19,507,51,3,0,3,3,1,4,15,606,0,21,627,0
4,14,237,21,1,1,0,1,2,0,4,281,0,11,292,0
5,25,446,164,4,2,0,4,1,9,8,663,0,32,695,0
6,15,489,340,20,12,9,7,5,11,12,920,0,26,946,0
7,13,411,164,2,2,4,2,5,6,14,623,0,35,658,0
8,18,547,53,6,6,3,3,8,5,22,671,0,39,710,0
9,17,349,88,5,1,2,5,0,3,7,477,0,12,489,0
10,16,474,50,4,1,1,2,3,3,7,561,0,19,580,0
11,6,446,34,1,1,0,0,0,1,3,492,0,7,499,0
12,28,375,206,8,2,6,1,5,1,7,639,0,14,653,0
13,17,665,74,2,1,2,1,0,4,8,774,0,18,792,0
14,8,311,133,0,3,2,1,0,4,7,469,0,10,479,0
15,12,699,53,2,5,1,2,2,5,11,792,0,27,819,0
16,14,817,28,1,0,3,1,1,4,11,880,0,19,899,0
17,14,551,44,4,1,1,1,4,3,12,635,0,16,651,0
18,24,411,31,3,1,2,1,0,3,10,486,0,25,511,0
19,18,542,78,5,3,0,0,2,3,3,654,0,22,676,0
20,34,729,82,7,1,1,7,4,9,12,886,0,20,906,0
21,22,552,23,4,2,0,0,1,0,5,609,0,6,615,0
22,20,322,49,4,0,1,0,0,1,4,401,0,20,421,0
23,15,552,89,9,3,3,2,4,3,6,686,0,28,714,0
24,32,657,40,3,0,3,4,1,3,9,752,0,24,776,0
25,8,229,205,2,0,1,1,0,1,0,447,0,3,450,0
26,6,336,108,0,0,4,0,1,3,3,461,0,7,468,0
27,17,618,96,1,0,0,1,2,4,16,755,0,22,777,0
28,15,273,130,2,1,0,0,2,4,8,435,0,11,446,0
29,18,435,131,6,3,3,1,5,2,9,613,0,19,632,0
30,21,355,233,5,1,0,6,5,5,21,652,0,28,680,0
31,22,298,74,2,2,4,3,3,1,6,415,0,19,434,0
32,11,290,74,7,3,1,2,5,3,7,403,0,29,432,0
33,43,451,71,9,7,3,1,5,9,14,613,0,60,673,0
34,16,376,54,3,1,1,4,2,3,2,462,0,24,486,0
35,34,508,93,5,3,3,3,3,3,6,661,0,13,674,0
36,17,368,97,5,1,5,5,1,3,15,517,0,44,561,0
37,39,474,187,7,4,3,8,6,7,22,757,0,73,830,0
38,19,485,31,4,0,2,0,1,1,6,549,0,11,560,0
39,70,617,64,10,5,3,1,4,2,18,794,0,41,835,0
40,9,293,27,1,1,1,0,0,0,4,336,0,5,341,0
41,31,611,98,3,2,1,2,0,5,17,770,0,50,820,0
42,22,527,48,5,3,1,0,4,1,10,621,0,12,633,0
43,3,626,84,0,0,2,1,1,1,1,719,0,6,725,0
44,17,323,46,8,1,1,3,1,4,12,416,0,19,435,0
45,29,355,114,11,9,4,4,3,2,5,536,0,36,572,0
46,24,310,134,7,1,1,2,0,7,10,496,0,19,515,0
47,11,274,122,7,2,1,4,4,4,3,432,0,14,446,0
48,57,522,112,7,2,2,6,6,6,9,729,0,22,751,0
49,22,282,158,3,2,7,5,2,5,12,498,0,30,528,0
50,14,173,98,6,2,2,2,2,4,6,309,0,13,322,0
51,43,385,236,12,7,4,2,2,11,34,736,0,37,773,0
52,38,213,129,10,2,1,1,1,4,14,413,0,19,432,0
53,40,558,122,11,2,4,7,3,8,13,768,0,24,792,0
54,19,573,46,5,1,1,0,1,0,0,646,0,8,654,0
55,20,484,177,6,2,6,10,6,15,30,756,0,68,824,0
56,20,281,111,7,5,3,4,3,10,12,456,0,57,513,0
57,11,249,58,2,1,0,3,2,2,10,338,0,19,357,0
58,14,347,108,5,0,2,2,4,4,7,493,0,26,519,0
59,35,684,75,6,2,1,4,4,1,14,826,0,35,861,0
60,25,232,193,8,1,2,5,2,4,15,487,0,30,517,0
61,32,401,177,8,5,1,4,2,7,10,647,0,38,685,0
62,45,481,141,7,6,2,6,3,7,32,730,0,64,794,0
63,35,291,27,6,0,2,0,2,3,4,370,0,35,405,0
64,31,331,87,5,0,2,1,0,4,4,465,0,17,482,0
65,26,231,136,7,2,2,3,1,3,8,419,0,27,446,0
66,9,649,4,0,2,0,0,0,1,1,666,0,2,668,0
67,73,598,28,1,8,0,3,0,3,5,719,0,27,746,0
68,22,500,51,7,2,0,2,1,0,8,593,0,31,624,0
69,3,842,34,0,0,0,0,0,0,0,879,0,1,880,0
70,30,339,50,5,6,5,3,0,6,8,452,0,21,473,0
71,15,338,58,3,1,1,0,0,2,10,428,0,13,441,0
72,15,579,102,1,1,3,1,1,2,2,707,0,12,719,0
73,35,511,76,6,1,2,2,1,5,5,644,0,18,662,0
74,45,493,95,2,0,5,2,6,5,20,673,0,37,710,0
75,22,308,206,7,0,1,1,1,4,12,562,0,31,593,0
76,21,503,138,4,2,2,4,0,3,5,682,0,11,693,0
77,41,383,89,3,1,2,4,4,14,22,563,0,56,619,0
78,19,190,83,6,1,4,3,2,8,11,327,0,30,357,0
79,5,508,20,2,2,0,0,0,2,5,544,0,2,546,0
80,6,381,186,4,1,1,0,0,2,5,586,0,6,592,0
81,9,118,452,9,2,2,1,3,5,11,612,0,32,644,0
82,4,64,460,10,2,1,1,0,2,4,548,0,11,559,0
83,3,49,346,3,1,2,4,1,7,6,422,0,12,434,0
84,5,27,344,7,2,2,1,1,1,3,393,0,6,399,0
85,4,135,330,11,6,1,0,1,4,2,494,0,6,500,0
86,26,393,310,5,1,3,1,0,4,5,748,0,18,766,0
87,14,370,110,1,1,4,0,0,0,2,502,0,13,515,0
88,2,350,105,0,0,6,0,0,0,2,465,0,14,479,0
89,7,476,270,2,1,17,1,0,1,2,777,0,9,786,0
90,3,291,93,1,0,1,0,0,1,0,390,0,7,397,0
