polling station,,,,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,Gamit Movaliyabhai Nopariyabhai.,Chaudhari Tusharbhai Amarsinhbhai.,Chaudhari Revaben Shankarbhai.,Vasava Parbhubhai Nagarbhai.,Chaudhari Chandubhai Machalabhai.,Chaudhari Reniyabhai Shankarbhai.,Jagatsinh Laljibhai Vasava,Bhailalbhai Chhanabhai Rathod,Gamit Surendrabhai Simabhai.,Rathod Rameshbhai Bhikhabhai.,,,,,
198,18,590,13,223,6,6,1,11,4,5,877,0,15,892,0
199,2,372,12,330,5,2,0,3,1,3,730,0,4,734,0
200,6,272,15,328,6,0,1,2,6,6,642,0,11,653,0
201,3,126,6,375,4,1,0,0,0,1,516,0,2,518,0
202,2,192,3,608,6,0,0,0,0,0,811,0,2,813,0
203,1,400,1,248,0,0,0,3,0,3,656,0,5,661,0
204,7,413,10,314,4,1,3,2,3,2,759,0,11,770,0
205,9,223,4,589,5,3,2,2,1,3,841,0,2,843,0
206,3,235,6,397,8,0,2,2,0,2,655,0,10,665,0
207,6,368,4,183,2,1,2,0,0,0,566,0,2,568,0
208,4,142,14,368,5,1,2,1,0,2,539,0,1,540,0
209,11,169,6,435,4,1,0,0,2,1,629,0,9,638,0
210,1,188,2,201,4,0,1,0,1,2,400,0,6,406,0
211,0,84,1,332,3,0,1,0,0,0,421,0,2,423,0
212,12,175,11,452,5,2,1,2,1,1,662,0,17,679,0
213,1,269,4,105,2,1,1,0,0,1,384,0,0,384,0
214,3,140,2,572,12,0,0,0,0,0,729,0,6,735,0
215,9,536,6,292,6,0,0,3,0,6,858,0,18,876,0
216,3,272,10,252,5,1,0,1,1,4,549,0,9,558,0
217,11,270,2,313,2,0,1,2,1,1,603,0,8,611,0
218,6,173,3,563,3,4,1,0,0,4,757,0,10,767,0
219,15,193,2,355,7,2,2,0,0,1,577,0,3,580,0
220,1,291,4,22,0,1,2,0,0,0,321,0,2,323,0
221,4,250,8,202,2,0,0,3,3,8,480,0,14,494,0
222,2,500,15,129,1,0,0,2,3,4,656,0,14,670,0
223,12,151,5,547,3,3,1,1,2,2,727,0,8,735,0
224,11,207,19,584,4,1,0,6,4,4,840,0,15,855,0
225,14,183,9,506,9,3,1,6,5,1,737,0,20,757,0
226,9,599,15,140,2,1,1,2,5,5,779,0,13,792,0
227,7,468,12,64,1,1,2,3,1,5,564,0,10,574,0
228,3,268,16,318,7,1,2,0,1,5,621,0,9,630,0
229,5,646,22,133,3,1,3,7,5,11,836,0,15,851,0
230,13,656,18,67,3,1,0,0,0,5,763,0,3,766,0
231,7,586,19,17,0,2,3,3,5,5,647,0,10,657,0
