Serial No. of Polling Station,No. of Valid votes cast in favour of,,,,,Total of valid votes,No.of rejected votes,NOTA,Total,No of tendered votes
,Kamalbhai Matang,Chavda Vinod Lakhamashi,Dr. Dinesh Parmar,Danicha Govindbhai Punamchand,Hirji Punjabhai Siju,,,,,
1,13,390,156,6,5,570,0,4,574,0
2,13,90,203,8,11,325,0,8,333,0
3,19,184,170,10,10,393,0,13,406,0
4,10,148,149,7,10,324,0,15,339,0
5,6,462,62,7,5,542,0,11,553,0
6,1,68,21,1,0,91,0,0,91,0
7,5,313,289,7,0,614,0,4,618,0
8,8,423,240,10,4,685,0,10,695,0
9,11,337,230,2,6,586,0,7,593,0
10,10,233,174,2,1,420,0,11,431,0
11,6,170,173,2,0,351,0,6,357,0
12,5,67,36,5,3,116,0,4,120,0
13,12,23,367,17,9,428,0,5,433,0
14,19,133,499,27,8,686,0,4,690,0
Total,138,3041,2769,111,72,6131,0,102,6233,0
15,18,108,473,30,8,637,0,22,659,0
16,10,41,440,27,5,523,0,5,528,0
17,13,48,447,31,4,543,0,5,548,0
18,10,26,362,18,10,426,0,5,431,0
19,19,52,536,53,12,672,0,9,681,0
20,13,37,376,14,7,447,0,10,457,0
21,0,207,56,0,1,264,0,1,265,0
22,8,118,59,3,4,192,0,2,194,0
23,4,164,137,5,3,313,0,0,313,0
24,7,351,66,0,3,427,0,1,428,0
25,8,288,189,2,2,489,0,2,491,0
26,18,293,219,3,3,536,0,11,547,0
27,6,320,183,11,5,525,0,5,530,0
28,4,79,88,3,0,174,0,3,177,0
Total,138,2132,3631,200,67,6168,0,81,6249,0
29,6,204,177,1,2,390,0,4,394,0
30,3,175,27,2,1,208,0,3,211,0
31,7,198,101,5,2,313,0,5,318,0
32,8,144,92,4,0,248,0,3,251,0
33,15,381,40,5,0,441,0,4,445,0
34,0,118,2,0,0,120,0,0,120,0
35,1,129,70,2,1,203,0,3,206,0
36,16,295,125,15,0,451,0,6,457,0
37,12,227,148,1,1,389,0,2,391,0
38,7,118,128,4,2,259,0,2,261,0
39,6,134,193,9,6,348,0,2,350,0
40,15,198,169,7,1,390,0,2,392,0
41,7,199,105,7,1,319,0,4,323,0
42,15,90,375,13,8,501,0,7,508,0
Total,118,2610,1752,75,25,4580,0,47,4627,0
43,18,289,146,10,2,465,0,14,479,0
44,7,195,97,8,10,317,0,10,327,0
45,10,93,330,18,10,461,0,11,472,0
46,7,318,15,2,1,343,0,3,346,0
47,1,38,74,2,0,115,0,3,118,0
48,2,137,48,3,2,192,0,3,195,0
49,3,115,102,8,0,228,0,5,233,0
50,10,188,96,3,0,297,0,2,299,0
51,6,156,68,3,2,235,0,1,236,0
52,4,194,100,5,0,303,0,4,307,0
53,11,151,42,1,6,211,0,7,218,0
54,1,13,14,1,0,29,0,1,30,0
55,3,472,248,8,5,736,0,7,743,0
56,13,425,293,9,3,743,0,6,749,0
Total,96,2784,1673,81,41,4675,0,77,4752,0
57,11,197,252,6,2,468,0,12,480,0
58,3,313,179,2,0,497,0,2,499,0
59,13,380,120,5,2,520,0,13,533,0
60,16,295,186,6,4,507,0,9,516,0
61,7,455,18,6,3,489,0,1,490,0
62,6,121,99,4,2,232,0,7,239,0
63,2,127,96,8,2,235,0,12,247,0
64,2,166,65,0,0,233,0,3,236,0
65,37,79,201,16,5,338,0,10,348,0
66,3,150,64,5,1,223,0,5,228,0
67,15,238,138,9,1,401,0,13,414,0
68,5,351,133,6,5,500,0,5,505,0
69,5,405,208,7,2,627,0,9,636,0
70,3,273,58,0,2,336,0,1,337,0
Total,128,3550,1817,80,31,5606,0,102,5708,0
71,8,235,57,4,2,306,0,6,312,0
72,4,282,34,0,0,320,0,0,320,0
73,2,334,19,2,1,358,0,2,360,0
74,4,147,52,4,4,211,0,5,216,0
75,7,293,31,2,1,334,0,1,335,0
76,8,401,181,13,5,608,0,9,617,0
77,5,323,111,14,0,453,0,11,464,0
78,5,297,66,8,0,376,0,13,389,0
79,7,330,172,8,2,519,0,9,528,0
80,9,167,171,9,0,356,0,10,366,0
81,4,308,65,3,1,381,0,3,384,0
82,8,357,38,3,2,408,0,5,413,0
83,5,245,137,6,2,395,0,7,402,0
84,5,140,96,3,0,244,0,1,245,0
Total,81,3859,1230,79,20,5269,0,82,5351,0
85,10,87,78,2,5,182,0,5,187,0
86,6,193,91,5,8,303,0,4,307,0
87,10,326,74,2,0,412,0,3,415,0
88,6,337,37,6,2,388,0,10,398,0
89,12,92,116,5,5,230,0,11,241,0
90,4,225,62,4,3,298,0,6,304,0
91,3,96,90,7,3,199,0,3,202,0
92,1,150,35,0,0,186,0,4,190,0
