polling station,,,,,,,,,Total of valid Votes,No. of rejected Votes,NOTA,TOTAL,No of Tendered Votes
,Chudasama Rajeshbhai Naranbhai,Punjabhai Bhimabhai Vansh,Atul Govindbhai Shekhada,Kadri Ibrahim Saiyed Husen,Solanki Haribhai Boghabhai,Gadhiya Soyeb Hushenbhai,Saiyed Altaf Husain Abdullah Miyan,Harilal Ranchhodbhai Chauhan,,,,,
211,667,143,7,4,5,3,5,2,836,0,15,851,0
212,488,105,7,2,1,0,0,6,609,0,6,615,0
213,355,152,26,6,2,1,5,3,550,0,7,557,0
214,437,367,9,0,2,3,1,5,824,0,5,829,0
215,229,234,99,0,5,2,2,4,575,0,6,581,0
216,150,144,27,0,0,1,2,0,324,0,7,331,0
217,462,177,10,1,0,1,2,7,660,0,5,665,0
218,111,46,1,0,0,0,1,1,160,0,1,161,0
219,400,73,5,1,0,2,0,0,481,0,5,486,0
220,314,143,5,1,1,1,1,2,468,0,1,469,0
221,331,95,2,0,1,0,7,3,439,0,3,442,0
222,379,324,11,2,1,1,2,2,722,0,4,726,0
223,467,263,9,2,1,0,2,6,750,0,13,763,0
224,390,346,9,3,4,1,3,8,764,0,16,780,0
225,480,222,6,0,0,0,1,2,711,0,11,722,0
226,364,336,7,0,1,0,3,3,714,0,9,723,0
