NO. OF VALID VOTES CAST IN FAVOUR OF CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial No. of Polling Station,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHAI,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHA SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
42,90,775,1,0,13,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,884,0,12,896,0
43,72,654,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,738,0,10,748,0
44,54,325,2,0,0,1,0,0,0,0,0,1,0,0,3,2,4,2,0,1,1,2,1,0,2,401,0,9,410,0
45,81,619,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,1,0,0,1,712,0,8,720,0
46,78,646,5,1,5,1,0,0,0,1,0,0,0,2,1,0,2,13,1,1,1,0,0,0,1,759,0,4,763,0
47,22,165,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,192,0,0,192,0
48,117,671,1,0,1,0,2,0,0,0,1,0,0,1,0,6,2,4,0,2,0,0,0,1,0,809,0,1,810,0
49,58,546,1,0,3,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,613,0,4,617,0
50,73,690,2,1,3,2,1,0,0,0,0,1,2,0,1,3,1,2,0,0,0,0,0,0,1,783,0,4,787,0
51,46,382,1,1,6,0,1,1,0,1,0,0,0,0,5,2,1,2,2,0,0,0,0,0,1,452,0,1,453,0
52,63,547,5,0,2,0,0,1,0,0,0,0,2,0,2,2,1,3,0,1,0,0,0,0,0,629,0,7,636,0
53,26,307,3,0,2,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,344,0,4,348,0
54,84,766,2,1,1,0,0,1,0,0,0,1,1,1,6,4,3,8,2,1,1,1,0,0,0,884,0,6,890,0
55,44,634,0,0,1,0,1,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,685,0,4,689,0
56,53,393,3,2,1,0,0,0,0,0,0,0,0,0,2,1,1,4,0,0,0,0,0,0,0,460,0,1,461,0
57,80,427,3,1,2,1,1,0,1,2,1,1,3,1,3,17,4,7,0,0,0,0,0,3,1,559,0,5,564,0
58,109,576,6,1,1,2,2,2,0,0,3,0,0,0,12,12,3,1,0,0,0,1,0,0,0,731,0,5,736,0
59,67,270,2,1,0,1,0,0,1,0,0,0,0,0,6,10,2,1,0,1,0,0,0,0,1,363,0,5,368,0
60,49,389,1,1,2,0,0,0,0,1,0,0,0,1,4,3,0,3,0,1,0,0,1,0,0,456,0,3,459,0
61,120,681,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,809,0,7,816,0
62,118,451,5,0,6,0,10,1,0,1,0,2,0,0,1,5,0,2,0,0,0,0,0,0,0,602,0,3,605,0
63,81,437,1,0,2,0,0,0,0,0,2,1,0,0,1,3,3,5,0,0,0,0,1,0,0,537,0,3,540,0
64,74,527,0,0,3,0,0,0,0,0,2,0,1,1,0,1,0,2,0,0,0,0,0,0,0,611,0,5,616,0
65,91,809,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,906,0,11,917,0
66,189,565,2,0,7,0,1,0,0,0,0,0,1,0,1,0,2,3,0,0,0,0,0,0,0,771,0,7,778,0
67,207,546,6,0,3,0,0,0,0,0,0,0,0,0,3,3,3,5,0,0,1,0,0,0,0,777,0,3,780,0
68,329,417,2,0,1,0,0,0,0,0,0,2,0,0,2,4,9,5,0,0,0,0,0,0,0,771,0,6,777,0
69,188,393,2,4,1,0,0,1,0,1,0,0,0,0,1,0,2,0,1,1,0,2,0,1,0,598,0,5,603,0
70,57,543,5,1,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,611,0,1,612,0
71,102,541,3,1,5,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,655,0,9,664,0
72,103,485,2,0,7,0,0,0,0,0,0,0,0,2,1,5,0,2,0,0,0,0,0,0,1,608,0,3,611,0
73,588,233,2,1,4,0,0,0,0,0,0,0,1,0,1,3,2,1,0,0,0,0,0,1,0,837,0,7,844,0
74,72,457,0,0,4,1,1,0,1,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,1,543,0,7,550,0
75,106,574,2,2,7,0,0,1,2,0,0,0,0,1,0,1,2,1,0,0,1,0,0,0,0,700,0,7,707,0
76,108,379,2,0,6,0,0,0,2,0,0,0,0,1,1,2,2,3,0,0,0,0,0,0,1,507,0,4,511,0
77,144,534,3,2,6,0,0,1,0,1,0,2,0,0,2,2,4,4,0,0,0,0,0,0,0,705,0,6,711,0
78,509,133,1,2,5,0,0,1,1,0,0,1,0,1,1,6,8,1,1,1,1,0,0,2,1,676,0,2,678,0
79,111,388,6,0,5,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,515,0,10,525,0
80,199,633,1,0,5,1,0,0,0,0,0,2,1,1,2,1,2,5,1,0,1,1,0,1,1,858,0,6,864,0
81,193,459,0,2,7,0,0,0,0,0,1,0,1,1,0,3,4,4,0,0,1,0,0,0,0,676,0,9,685,0
82,66,473,2,0,10,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,557,0,10,567,0
83,110,680,2,1,4,0,0,1,0,0,0,2,1,0,5,5,2,4,0,0,0,0,0,1,0,818,0,11,829,0
84,70,580,1,1,17,1,1,0,1,0,0,0,1,1,0,3,2,7,0,0,1,0,2,0,1,690,0,8,698,0
85,131,562,1,0,5,0,0,0,0,1,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,705,0,15,720,0
86,363,386,2,1,2,1,0,0,0,1,1,2,1,0,0,4,2,2,0,0,5,0,0,1,0,774,0,0,774,0
87,223,418,5,0,5,1,0,0,1,2,0,0,0,0,1,5,6,1,1,2,1,2,0,0,1,675,0,8,683,0
88,141,483,5,0,3,0,1,0,0,0,0,0,0,1,1,3,0,2,0,0,0,0,0,0,0,640,0,3,643,0
89,519,191,3,1,5,2,0,0,0,1,0,2,2,3,0,4,3,1,0,0,4,1,0,0,1,743,0,6,749,0
90,235,487,2,2,4,0,1,0,2,0,0,1,0,2,3,3,0,1,1,0,0,0,0,1,0,745,0,4,749,0
91,86,541,4,1,2,0,1,0,1,0,0,1,0,0,0,2,7,5,1,0,0,0,1,1,0,654,0,2,656,0
92,625,180,0,0,8,3,2,0,0,0,0,1,0,5,0,10,13,5,1,2,47,0,0,2,1,905,0,9,914,0
93,531,156,2,1,6,0,0,0,0,0,0,0,0,0,1,6,3,0,0,1,0,0,0,0,0,707,0,4,711,0
94,183,527,6,1,2,0,2,0,0,0,1,0,0,1,4,4,7,2,1,0,13,0,1,0,0,755,0,5,760,0
95,166,483,4,0,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,659,0,5,664,0
96,178,581,2,2,5,0,0,0,0,0,0,1,1,0,3,5,1,3,0,0,0,0,0,0,0,782,0,7,789,0
97,745,32,2,1,5,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,3,0,797,0,6,803,0
98,546,71,0,0,1,0,0,0,0,0,1,0,1,0,0,7,14,1,0,1,0,2,1,1,0,647,0,11,658,0
99,526,236,1,1,3,3,0,0,1,0,1,1,0,0,1,3,1,1,0,0,0,0,0,0,1,780,0,5,785,0
