polling station,No. of valid votes cast in favour of,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,Narendra Modi,Mistri Madhusudan Devram,Rohit Madhusu dan Mohanb hai,Jadav Ambalal Kanabhai,Tapan Dasgup ta,Pathan Mahemudk han Razakkhan,Pathan Sahebkhan Aasifkhan,Sunil Digambar Kulkarni,,,,,
197,585,114,0,1,0,1,2,10,723,0,10,723,0
198,802,81,1,1,0,0,0,3,896,0,8,896,0
199,351,50,1,0,0,1,1,1,414,0,9,414,0
200,701,162,2,0,2,1,1,6,890,0,15,890,0
201,679,83,1,0,4,1,1,2,788,0,17,788,0
202,859,57,2,0,2,2,0,5,940,0,13,940,0
203,823,56,0,2,1,0,0,9,900,0,9,900,0
204,683,51,2,1,1,0,0,2,749,0,9,749,0
205,466,179,0,0,1,0,2,4,655,0,3,655,0
206,570,249,2,3,1,0,1,1,835,0,8,835,0
207,670,190,2,0,0,0,0,2,876,0,12,876,0
208,116,423,5,0,2,1,3,1,556,0,5,556,0
209,485,403,2,2,1,1,3,0,905,0,8,905,0
210,349,264,4,0,3,0,1,4,635,0,10,635,0
211,108,672,3,2,1,2,1,9,804,0,6,804,0
212,104,90,0,0,0,0,1,2,202,0,5,202,0
213,825,86,1,0,2,1,1,6,946,0,24,946,0
214,764,83,0,1,1,4,1,9,880,0,17,880,0
215,369,25,0,0,0,0,0,6,404,0,4,404,0
216,330,593,0,1,2,1,3,3,946,0,13,946,0
217,902,170,4,1,1,0,2,9,1118,0,29,1118,0
218,294,95,0,0,0,1,0,10,408,0,8,408,0
219,635,160,0,1,2,2,0,11,824,0,13,824,0
220,743,211,0,1,0,0,0,9,978,0,14,978,0
221,860,94,3,1,3,0,0,9,991,0,21,991,0
222,456,198,1,1,2,0,0,16,689,0,15,689,0
